Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-10,13.17,13.31,13.12,13.12,31846200,0.0,0
2012-08-13,13.09,14.31,13.08,13.26,2061800,0.0,0
2012-08-14,13.31,13.57,13.26,13.31,204800,0.0,0
2012-08-15,13.51,13.94,13.15,13.17,563500,0.0,0
2012-08-16,13.18,13.19,12.45,12.9,1605600,0.0,0
2012-08-17,12.95,12.97,12.52,12.58,532500,0.0,0
2012-08-20,12.61,12.72,11.99,12.24,984800,0.0,0
2012-08-21,12.46,12.49,12.26,12.36,317900,0.0,0
2012-08-22,12.59,12.59,12.2,12.3,447300,0.0,0
2012-08-23,12.27,12.65,12.27,12.42,561500,0.0,0
2012-08-24,12.62,12.62,12.29,12.43,193800,0.0,0
2012-08-27,12.56,12.96,12.47,12.96,289500,0.0,0
2012-08-28,12.98,12.98,12.68,12.68,242600,0.0,0
2012-08-29,12.89,12.89,12.65,12.72,262100,0.0,0
2012-08-30,12.81,12.81,12.52,12.57,202200,0.0,0
2012-08-31,12.67,12.68,12.44,12.46,250900,0.0,0
2012-09-04,12.74,12.79,12.28,12.36,512200,0.0,0
2012-09-05,12.31,12.37,11.95,12.09,407800,0.0,0
2012-09-06,12.09,12.35,12.03,12.07,200500,0.0,0
2012-09-07,12.33,12.33,11.8,11.81,294000,0.0,0
2012-09-10,11.68,11.8,11.65,11.7,263500,0.0,0
2012-09-11,11.68,11.72,11.48,11.54,315000,0.0,0
2012-09-12,11.35,11.71,11.35,11.41,243900,0.0,0
2012-09-13,11.34,11.65,11.25,11.61,642700,0.0,0
2012-09-14,11.67,11.71,11.37,11.67,224400,0.0,0
2012-09-17,11.66,12.53,11.61,12.14,440600,0.0,0
2012-09-18,11.3,12.23,11.3,11.79,392300,0.0,0
2012-09-19,12.01,12.01,11.59,11.69,248600,0.0,0
2012-09-20,11.67,11.71,11.61,11.63,102100,0.0,0
2012-09-21,11.73,11.96,11.67,11.92,90700,0.0,0
2012-09-24,11.95,12.64,11.95,12.53,258500,0.0,0
2012-09-25,12.53,12.59,12.33,12.54,122900,0.0,0
2012-09-26,12.55,12.55,12.29,12.42,67300,0.0,0
2012-09-27,12.44,12.53,12.28,12.43,70800,0.0,0
2012-09-28,12.43,12.43,11.93,11.93,161800,0.0,0
2012-10-01,11.97,12.18,11.71,11.76,91000,0.0,0
2012-10-02,11.82,11.93,11.71,11.77,61100,0.0,0
2012-10-03,11.79,12.39,11.71,12.23,221700,0.0,0
2012-10-04,12.29,12.29,12.07,12.18,127200,0.0,0
2012-10-05,12.18,12.3,12.09,12.16,88800,0.0,0
2012-10-08,12.18,12.27,11.95,12.18,144100,0.0,0
2012-10-09,12.21,12.63,12.13,12.52,101000,0.0,0
2012-10-10,12.48,12.48,12.06,12.42,148700,0.0,0
2012-10-11,12.45,12.45,11.94,12.05,91600,0.0,0
2012-10-12,12.09,12.18,12.03,12.07,72300,0.0,0
2012-10-15,12.11,12.12,11.81,11.84,80000,0.0,0
2012-10-16,11.84,11.91,11.71,11.71,121900,0.0,0
2012-10-17,11.76,11.81,11.43,11.49,110700,0.0,0
2012-10-18,11.59,11.67,11.5,11.51,42600,0.0,0
2012-10-19,11.67,11.68,11.46,11.48,107000,0.0,0
2012-10-22,11.5,11.71,11.5,11.6,58200,0.0,0
2012-10-23,11.52,11.57,11.43,11.48,24700,0.0,0
2012-10-24,11.49,11.64,11.48,11.53,31300,0.0,0
2012-10-25,11.71,11.88,11.58,11.65,59600,0.0,0
2012-10-26,11.69,11.81,11.62,11.66,10900,0.0,0
2012-10-31,12.16,12.16,11.52,11.8,37100,0.0,0
2012-11-01,11.8,12.23,11.7,12.04,152500,0.0,0
2012-11-02,12.03,12.03,11.57,11.61,57200,0.0,0
2012-11-05,11.69,11.84,11.6,11.6,11300,0.0,0
2012-11-06,11.67,12.04,11.5,11.95,46400,0.0,0
2012-11-07,11.84,11.84,11.62,11.75,19800,0.0,0
2012-11-08,11.77,12.17,11.77,12.0,28100,0.0,0
2012-11-09,12.14,12.14,11.9,11.99,72400,0.0,0
2012-11-12,12.09,12.09,11.91,11.99,33500,0.0,0
2012-11-13,12.01,12.25,11.91,12.16,41500,0.0,0
2012-11-14,12.54,12.54,11.97,12.15,115200,0.0,0
2012-11-15,12.16,12.16,11.81,11.9,168400,0.0,0
2012-11-16,11.77,12.25,11.77,12.13,535000,0.0,0
2012-11-19,12.37,12.37,12.06,12.2,25800,0.0,0
2012-11-20,12.24,12.48,12.23,12.41,49900,0.0,0
2012-11-21,12.38,12.38,12.16,12.32,64400,0.0,0
2012-11-23,12.3,12.51,12.18,12.3,48500,0.0,0
2012-11-26,12.34,12.6,12.32,12.46,51400,0.0,0
2012-11-27,12.45,12.53,12.09,12.43,642600,0.0,0
2012-11-28,12.45,12.56,12.25,12.46,15100,0.0,0
2012-11-29,12.51,12.55,12.23,12.25,24300,0.0,0
2012-11-30,12.25,12.57,12.25,12.49,1091900,0.0,0
2012-12-03,12.55,12.63,12.35,12.49,82600,0.0,0
2012-12-04,12.53,12.6,12.43,12.5,29100,0.0,0
2012-12-05,12.47,12.56,12.15,12.51,211200,0.0,0
2012-12-06,12.51,12.59,12.45,12.49,825000,0.0,0
2012-12-07,12.56,13.03,12.51,12.84,138800,0.0,0
2012-12-10,12.79,12.94,12.65,12.77,32500,0.0,0
2012-12-11,12.72,13.02,12.72,13.02,137300,0.0,0
2012-12-12,12.95,13.0,12.74,12.89,397100,0.0,0
2012-12-13,12.86,12.99,12.79,12.86,11900,0.0,0
