Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-17,25.24,25.48,25.15,25.45,1851400,0,0
2021-03-18,25.5,25.99,25.22,25.26,401700,0,0
2021-03-19,25.27,25.4,25.2,25.38,193100,0,0
2021-03-22,25.38,25.49,25.3,25.43,109600,0,0
2021-03-23,25.38,25.42,25.31,25.34,193400,0,0
2021-03-24,25.38,25.62,25.28,25.47,267900,0,0
2021-03-25,25.5,25.58,25.35,25.55,251800,0,0
2021-03-26,25.48,25.7,25.42,25.67,225500,0,0
2021-03-29,25.58,25.71,25.57,25.62,130200,0,0
2021-03-30,25.53,25.62,25.5,25.59,221400,0,0
2021-03-31,25.59,25.69,25.45,25.52,901900,0,0
2021-04-01,25.56,25.65,25.5,25.62,120500,0,0
2021-04-05,25.64,25.73,25.64,25.72,95200,0,0
2021-04-06,25.74,25.8,25.65,25.79,94100,0,0
2021-04-07,25.75,25.84,25.7,25.75,58700,0,0
2021-04-08,25.75,25.95,25.75,25.85,62200,0,0
2021-04-09,25.98,26.05,25.95,26.03,47600,0,0
2021-04-12,26.0,26.05,25.98,26.03,46700,0,0
2021-04-13,26.05,26.4,26.05,26.4,54800,0,0
2021-04-14,26.39,26.39,26.25,26.34,14600,0,0
2021-04-15,26.34,26.39,26.26,26.39,26800,0,0
2021-04-16,26.4,26.4,26.01,26.04,52300,0,0
2021-04-19,26.11,26.29,25.93,26.04,44800,0,0
2021-04-20,26.05,26.09,25.91,26.08,36900,0,0
2021-04-21,26.09,26.19,26.0,26.1,34200,0,0
2021-04-22,26.14,26.2,26.0,26.2,38600,0,0
2021-04-23,26.2,26.39,26.1,26.11,22600,0,0
2021-04-26,26.11,26.4,26.11,26.4,33300,0,0
2021-04-27,26.4,26.48,26.25,26.31,36900,0,0
2021-04-28,26.17,26.46,26.17,26.38,10800,0,0
2021-04-29,26.27,26.41,26.11,26.27,18600,0,0
2021-04-30,26.25,26.35,26.03,26.3,33200,0,0
2021-05-03,26.29,26.43,26.21,26.28,22800,0,0
2021-05-04,26.39,26.45,26.25,26.25,19100,0,0
2021-05-05,26.25,26.42,26.21,26.38,25800,0,0
2021-05-06,26.38,26.38,26.15,26.26,18200,0,0
2021-05-07,26.24,26.37,26.24,26.32,26500,0,0
2021-05-10,26.35,26.44,26.24,26.25,44900,0,0
2021-05-11,26.15,26.3,26.02,26.25,46600,0,0
2021-05-12,26.12,26.29,25.74,26.0,41500,0,0
2021-05-13,25.8,26.13,25.8,25.9,29600,0,0
2021-05-14,25.98,26.15,25.98,26.14,24300,0,0
2021-05-17,26.06,26.3,26.06,26.19,27000,0,0
2021-05-18,26.25,26.44,26.15,26.15,27700,0,0
2021-05-19,26.1,26.38,26.1,26.38,38400,0,0
2021-05-20,26.29,26.5,26.22,26.49,21100,0,0
2021-05-21,26.36,26.6,26.36,26.51,43200,0,0
