Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-04,5.8969,5.8969,5.8969,5.8969,1250,0.0,0.0
1994-04-05,5.8969,5.8969,5.8969,5.8969,1250,0.0,0.0
1994-04-06,5.661,5.661,5.661,5.661,1400,0.0,0.0
1994-04-07,5.661,5.661,5.661,5.661,0,0.0,0.0
1994-04-08,5.661,5.661,5.661,5.661,0,0.0,0.0
1994-04-11,4.7175,4.7175,4.7175,4.7175,1650,0.0,0.0
1994-04-12,4.7175,4.7175,4.7175,4.7175,0,0.0,0.0
1994-04-13,4.7175,4.7175,4.7175,4.7175,0,0.0,0.0
1994-04-14,4.7175,4.7175,4.7175,4.7175,550,0.0,0.0
1994-04-15,4.7175,4.7175,4.7175,4.7175,0,0.0,0.0
1994-04-18,4.2457,4.2457,3.774,3.774,2500,0.0,0.0
1994-04-19,3.774,3.774,3.774,3.774,0,0.0,0.0
1994-04-20,3.3022,3.3022,3.3022,3.3022,500,0.0,0.0
1994-04-21,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-04-22,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-04-25,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-04-26,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-04-28,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-04-29,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-02,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-03,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-04,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-05,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-06,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-09,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-10,3.3022,3.3022,3.3022,3.3022,0,0.0,0.0
1994-05-11,2.8305,2.8305,2.8305,2.8305,750,0.0,0.0
1994-05-12,2.8305,2.8305,2.8305,2.8305,0,0.0,0.0
1994-05-13,2.8305,2.8305,2.8305,2.8305,0,0.0,0.0
