Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-08-30,1.62,1.74,1.62,1.71,723600,0.0,0.0
1991-09-03,1.71,1.71,1.55,1.58,506100,0.0,0.0
1991-09-04,1.55,1.6,1.55,1.58,398100,0.0,0.0
1991-09-05,1.58,1.58,1.53,1.55,453300,0.0,0.0
1991-09-06,1.55,1.55,1.51,1.51,117300,0.0,0.0
1991-09-09,1.55,1.55,1.48,1.48,44700,0.0,0.0
1991-09-10,1.48,1.53,1.48,1.51,72000,0.0,0.0
1991-09-11,1.48,1.51,1.48,1.51,240300,0.0,0.0
1991-09-12,1.51,1.55,1.48,1.55,86400,0.0,0.0
1991-09-13,1.55,1.6,1.53,1.6,118800,0.0,0.0
1991-09-16,1.62,1.67,1.55,1.62,446100,0.0,0.0
1991-09-17,1.62,1.71,1.62,1.62,141300,0.0,0.0
1991-09-18,1.69,1.85,1.64,1.83,431700,0.0,0.0
1991-09-19,1.78,1.92,1.71,1.92,1057500,0.0,0.0
1991-09-20,1.97,2.04,1.85,1.88,236400,0.0,0.0
1991-09-23,1.97,1.97,1.81,1.81,127800,0.0,0.0
1991-09-24,1.83,1.9,1.81,1.81,166800,0.0,0.0
1991-09-25,1.9,1.9,1.76,1.85,61800,0.0,0.0
1991-09-26,1.88,1.88,1.81,1.81,48600,0.0,0.0
1991-09-27,1.88,1.9,1.83,1.83,121200,0.0,0.0
1991-09-30,1.78,1.85,1.78,1.81,51900,0.0,0.0
1991-10-01,1.88,1.88,1.76,1.85,21300,0.0,0.0
1991-10-02,1.88,1.9,1.83,1.9,81600,0.0,0.0
1991-10-03,1.88,1.92,1.85,1.85,119700,0.0,0.0
1991-10-04,1.92,1.92,1.85,1.9,57900,0.0,0.0
1991-10-07,1.95,1.97,1.83,1.85,71400,0.0,0.0
1991-10-08,1.92,1.92,1.83,1.85,36000,0.0,0.0
1991-10-09,1.88,1.88,1.76,1.76,50400,0.0,0.0
1991-10-10,1.81,1.81,1.71,1.76,49200,0.0,0.0
1991-10-11,1.81,1.81,1.71,1.71,33600,0.0,0.0
1991-10-14,1.76,1.83,1.71,1.83,23100,0.0,0.0
1991-10-15,1.83,1.83,1.71,1.76,40200,0.0,0.0
1991-10-16,1.81,1.81,1.76,1.76,4500,0.0,0.0
1991-10-17,1.74,1.83,1.74,1.81,164100,0.0,0.0
1991-10-18,1.76,1.85,1.76,1.81,17700,0.0,0.0
1991-10-21,1.76,1.81,1.76,1.76,39900,0.0,0.0
1991-10-22,1.74,1.92,1.74,1.92,311100,0.0,0.0
1991-10-23,1.83,1.88,1.78,1.78,78900,0.0,0.0
1991-10-24,1.83,1.83,1.74,1.74,71100,0.0,0.0
1991-10-25,1.81,1.85,1.74,1.74,6000,0.0,0.0
1991-10-28,1.85,1.85,1.74,1.76,50400,0.0,0.0
1991-10-29,1.78,1.78,1.71,1.78,17100,0.0,0.0
1991-10-30,1.81,1.83,1.76,1.83,115800,0.0,0.0
1991-10-31,1.76,1.85,1.76,1.85,35700,0.0,0.0
1991-11-01,1.81,1.81,1.76,1.81,21000,0.0,0.0
1991-11-04,1.83,1.85,1.81,1.81,34200,0.0,0.0
1991-11-05,1.88,1.88,1.78,1.78,31200,0.0,0.0
1991-11-06,1.81,1.81,1.71,1.71,12900,0.0,0.0
1991-11-07,1.81,1.81,1.71,1.74,31800,0.0,0.0
