Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-29,10.0,10.0,10.0,10.0,1100,0,0
2017-06-30,10.25,10.25,10.05,10.06,3300,0,0
2017-07-03,10.06,10.06,10.06,10.06,0,0,0
2017-07-05,10.06,10.06,10.06,10.06,0,0,0
2017-07-06,10.06,10.06,10.06,10.06,0,0,0
2017-07-07,9.98,9.98,9.7,9.84,1400,0,0
2017-07-10,9.84,9.84,9.84,9.84,0,0,0
2017-07-11,9.84,9.84,9.84,9.84,0,0,0
2017-07-12,9.84,9.84,9.84,9.84,0,0,0
2017-07-13,9.85,9.85,9.85,9.85,200,0,0
2017-07-14,9.85,9.85,9.85,9.85,0,0,0
2017-07-17,9.9,9.9,9.9,9.9,1000,0,0
2017-07-18,9.9,9.9,9.9,9.9,0,0,0
2017-07-19,9.9,9.9,9.9,9.9,0,0,0
2017-07-20,9.8,9.95,9.8,9.9,47500,0,0
2017-07-21,9.9,9.9,9.9,9.9,9300,0,0
2017-07-24,9.9,9.9,9.9,9.9,0,0,0
2017-07-25,9.9,9.9,9.9,9.9,0,0,0
2017-07-26,9.9,9.9,9.9,9.9,0,0,0
2017-07-27,9.9,9.9,9.9,9.9,0,0,0
2017-07-28,9.9,9.9,9.9,9.9,0,0,0
2017-07-31,9.9,9.9,9.9,9.9,0,0,0
2017-08-01,9.9,9.9,9.9,9.9,0,0,0
2017-08-02,9.9,9.9,9.9,9.9,0,0,0
2017-08-03,9.9,9.9,9.9,9.9,0,0,0
2017-08-04,9.9,9.9,9.9,9.9,0,0,0
2017-08-07,9.88,9.88,9.88,9.88,300,0,0
2017-08-08,9.88,9.88,9.88,9.88,0,0,0
2017-08-09,9.88,9.88,9.88,9.88,0,0,0
2017-08-10,9.88,9.88,9.88,9.88,0,0,0
2017-08-11,9.88,9.88,9.88,9.88,0,0,0
2017-08-14,9.88,9.88,9.88,9.88,0,0,0
2017-08-15,9.8,9.8,9.7,9.7,3000,0,0
2017-08-16,9.76,9.82,9.76,9.8,131700,0,0
2017-08-17,9.8,9.8,9.8,9.8,100000,0,0
2017-08-18,9.8,9.8,9.8,9.8,15000,0,0
2017-08-21,9.8,9.8,9.8,9.8,2100,0,0
2017-08-22,9.8,9.8,9.8,9.8,0,0,0
2017-08-23,9.8,9.8,9.79,9.8,3500,0,0
2017-08-24,9.8,9.8,9.77,9.8,228000,0,0
2017-08-25,9.8,9.8,9.8,9.8,0,0,0
2017-08-28,9.83,9.85,9.78,9.78,1000,0,0
2017-08-29,9.78,9.78,9.78,9.78,0,0,0
2017-08-30,9.78,9.78,9.78,9.78,0,0,0
2017-08-31,9.85,9.85,9.84,9.84,1000,0,0
2017-09-01,9.85,9.85,9.81,9.81,400,0,0
2017-09-05,9.85,9.85,9.81,9.85,28100,0,0
2017-09-06,9.85,9.85,9.81,9.81,26700,0,0
2017-09-07,9.85,9.85,9.84,9.85,25800,0,0
2017-09-08,9.85,9.85,9.8,9.85,27300,0,0
2017-09-11,9.85,9.85,9.85,9.85,0,0,0
2017-09-12,9.8,9.85,9.79,9.8,23700,0,0
2017-09-13,9.85,9.85,9.8,9.8,5500,0,0
2017-09-14,9.8,9.8,9.8,9.8,55600,0,0
2017-09-15,9.7,9.84,9.7,9.8,2600,0,0
2017-09-18,9.8,9.8,9.8,9.8,0,0,0
2017-09-19,9.71,9.83,9.7,9.83,1900,0,0
2017-09-20,9.83,9.83,9.83,9.83,0,0,0
2017-09-21,9.83,9.84,9.8,9.81,400,0,0
2017-09-22,9.81,9.81,9.81,9.81,0,0,0
2017-09-25,9.81,9.81,9.81,9.81,0,0,0
2017-09-26,9.71,9.77,9.71,9.77,900,0,0
2017-09-27,9.77,9.77,9.77,9.77,0,0,0
2017-09-28,9.77,9.77,9.77,9.77,0,0,0
2017-09-29,9.77,9.77,9.77,9.77,44000,0,0
2017-10-02,9.77,9.77,9.77,9.77,0,0,0
2017-10-03,9.7,9.7,9.7,9.7,500,0,0
2017-10-04,9.7,9.7,9.7,9.7,0,0,0
2017-10-05,9.7,9.84,9.7,9.83,571400,0,0
2017-10-06,9.85,10.07,9.83,9.86,213100,0,0
2017-10-09,9.86,9.86,9.86,9.86,0,0,0
2017-10-10,9.86,9.86,9.86,9.86,0,0,0
2017-10-11,9.86,9.86,9.75,9.86,22000,0,0
2017-10-12,9.86,9.86,9.86,9.86,0,0,0
2017-10-13,9.86,9.86,9.86,9.86,0,0,0
2017-10-16,9.9,9.9,9.9,9.9,12900,0,0
2017-10-17,9.8,9.8,9.8,9.8,100000,0,0
2017-10-18,10.04,10.04,9.9,9.9,400,0,0
2017-10-19,10.06,10.06,9.72,9.83,2500,0,0
2017-10-20,9.83,9.83,9.83,9.83,0,0,0
2017-10-23,9.93,9.93,9.86,9.86,1400,0,0
2017-10-24,10.06,10.06,9.8,9.8,113500,0,0
2017-10-25,9.8,9.8,9.8,9.8,0,0,0
2017-10-26,9.77,9.81,9.77,9.77,112200,0,0
2017-10-27,9.77,9.77,9.77,9.77,0,0,0
2017-10-30,9.77,9.77,9.77,9.77,0,0,0
2017-10-31,9.77,9.77,9.75,9.76,128700,0,0
2017-11-01,9.74,9.76,9.74,9.76,1100,0,0
2017-11-02,9.76,9.76,9.76,9.76,0,0,0
2017-11-03,9.76,9.76,9.76,9.76,0,0,0
2017-11-06,9.73,9.73,9.73,9.73,300000,0,0
2017-11-07,9.73,9.73,9.73,9.73,0,0,0
2017-11-08,9.73,9.73,9.73,9.73,0,0,0
2017-11-09,9.73,9.73,9.73,9.73,0,0,0
2017-11-10,9.72,9.72,9.72,9.72,30400,0,0
2017-11-13,9.72,9.72,9.72,9.72,0,0,0
2017-11-14,9.85,9.85,9.72,9.72,208000,0,0
2017-11-15,9.72,9.72,9.72,9.72,0,0,0
2017-11-16,9.85,9.85,9.85,9.85,400,0,0
2017-11-17,9.7,9.7,9.7,9.7,400100,0,0
2017-11-20,9.7,9.7,9.7,9.7,50000,0,0
2017-11-21,9.72,9.72,9.72,9.72,2500,0,0
2017-11-22,9.72,9.72,9.72,9.72,0,0,0
2017-11-24,9.72,9.72,9.72,9.72,0,0,0
2017-11-27,9.72,9.72,9.72,9.72,0,0,0
2017-11-28,9.69,9.69,9.69,9.69,700,0,0
2017-11-29,9.69,9.69,9.69,9.69,0,0,0
2017-11-30,9.68,9.68,9.68,9.68,4300,0,0
2017-12-01,9.68,9.72,9.66,9.72,3949500,0,0
2017-12-04,9.74,9.75,9.74,9.74,2800,0,0
2017-12-05,9.74,9.74,9.74,9.74,0,0,0
2017-12-06,9.74,9.74,9.74,9.74,100,0,0
2017-12-07,9.75,9.75,9.7,9.72,27800,0,0
2017-12-08,9.72,9.72,9.72,9.72,0,0,0
2017-12-11,9.68,9.72,9.68,9.72,25900,0,0
2017-12-12,9.73,9.74,9.73,9.74,45100,0,0
2017-12-13,9.74,9.74,9.73,9.74,35200,0,0
2017-12-14,9.75,9.75,9.75,9.75,77200,0,0
2017-12-15,9.75,9.75,9.75,9.75,1000,0,0
2017-12-18,9.74,9.75,9.74,9.75,14700,0,0
2017-12-19,9.74,9.74,9.69,9.74,7600,0,0
2017-12-20,9.76,9.77,9.73,9.73,19000,0,0
2017-12-21,9.73,9.73,9.73,9.73,0,0,0
2017-12-22,9.73,9.73,9.73,9.73,0,0,0
2017-12-26,9.73,9.73,9.73,9.73,0,0,0
2017-12-27,9.73,9.73,9.73,9.73,0,0,0
2017-12-28,9.73,9.73,9.73,9.73,0,0,0
2017-12-29,9.75,9.75,9.74,9.74,500,0,0
2018-01-02,9.74,9.74,9.74,9.74,0,0,0
2018-01-03,9.74,9.74,9.67,9.73,169700,0,0
2018-01-04,9.77,9.8,9.76,9.8,4100,0,0
2018-01-05,9.78,9.78,9.76,9.76,400,0,0
2018-01-08,9.76,9.76,9.76,9.76,225000,0,0
2018-01-09,9.73,9.78,9.73,9.77,294900,0,0
2018-01-10,9.77,9.77,9.77,9.77,0,0,0
2018-01-11,9.77,9.77,9.77,9.77,0,0,0
2018-01-12,9.77,9.77,9.75,9.75,6000,0,0
2018-01-16,9.76,9.78,9.76,9.78,88000,0,0
2018-01-17,9.77,9.77,9.73,9.74,8000,0,0
2018-01-18,9.74,9.74,9.74,9.74,0,0,0
2018-01-19,9.77,9.77,9.76,9.76,500,0,0
2018-01-22,9.8,9.8,9.73,9.73,8200,0,0
2018-01-23,9.73,9.73,9.73,9.73,0,0,0
2018-01-24,9.73,9.74,9.73,9.73,25200,0,0
2018-01-25,9.73,9.73,9.73,9.73,0,0,0
2018-01-26,9.75,9.75,9.73,9.73,600,0,0
2018-01-29,9.73,9.73,9.73,9.73,0,0,0
2018-01-30,9.73,9.73,9.73,9.73,0,0,0
2018-01-31,9.73,9.73,9.73,9.73,0,0,0
2018-02-01,9.73,9.73,9.73,9.73,0,0,0
2018-02-02,9.75,9.75,9.73,9.75,7400,0,0
2018-02-05,9.75,9.75,9.75,9.75,100,0,0
2018-02-06,9.73,9.76,9.72,9.73,701700,0,0
2018-02-07,9.73,9.73,9.73,9.73,0,0,0
2018-02-08,9.7,9.7,9.7,9.7,8400,0,0
2018-02-09,9.7,9.75,9.7,9.7,9800,0,0
2018-02-12,9.71,9.73,9.71,9.71,5500,0,0
2018-02-13,9.7,9.72,9.7,9.7,7800,0,0
2018-02-14,9.7,9.75,9.7,9.7,2000,0,0
2018-02-15,9.71,9.71,9.69,9.69,3800,0,0
2018-02-16,9.69,9.69,9.69,9.69,0,0,0
2018-02-20,9.69,9.69,9.69,9.69,0,0,0
2018-02-21,9.71,9.73,9.7,9.72,11100,0,0
2018-02-22,9.72,9.72,9.72,9.72,0,0,0
2018-02-23,9.72,9.72,9.72,9.72,0,0,0
2018-02-26,9.76,9.78,9.7,9.72,25100,0,0
2018-02-27,9.72,9.72,9.72,9.72,11100,0,0
2018-02-28,9.75,9.75,9.74,9.74,200,0,0
2018-03-01,9.75,9.75,9.75,9.75,200,0,0
2018-03-02,9.75,9.75,9.75,9.75,0,0,0
2018-03-05,9.75,9.75,9.75,9.75,0,0,0
2018-03-06,9.75,9.75,9.75,9.75,0,0,0
2018-03-07,9.75,9.75,9.75,9.75,0,0,0
2018-03-08,9.75,9.75,9.75,9.75,0,0,0
2018-03-09,9.75,9.75,9.75,9.75,0,0,0
2018-03-12,9.75,9.75,9.75,9.75,0,0,0
2018-03-13,9.75,9.75,9.75,9.75,0,0,0
2018-03-14,9.75,9.75,9.75,9.75,0,0,0
2018-03-15,9.75,9.75,9.75,9.75,0,0,0
2018-03-16,9.75,9.75,9.75,9.75,0,0,0
2018-03-19,9.76,9.78,9.73,9.73,400,0,0
2018-03-20,10.2,10.3,10.15,10.16,9395400,0,0
2018-03-21,10.24,10.24,10.16,10.18,813500,0,0
2018-03-22,10.2,10.2,10.14,10.15,459000,0,0
2018-03-23,10.15,10.18,10.11,10.13,457300,0,0
2018-03-26,10.13,10.15,10.13,10.15,209900,0,0
2018-03-27,10.18,10.18,10.11,10.12,121800,0,0
2018-03-28,10.13,10.15,10.05,10.09,436400,0,0
2018-03-29,10.06,10.12,10.05,10.11,394100,0,0
2018-04-02,10.05,10.11,10.05,10.1,7700,0,0
2018-04-03,10.09,10.1,10.07,10.07,2700,0,0
2018-04-04,10.08,10.1,10.08,10.09,55200,0,0
2018-04-05,10.07,10.08,10.07,10.08,800,0,0
2018-04-06,10.06,10.06,10.06,10.06,300,0,0
2018-04-09,10.1,10.1,10.07,10.1,112800,0,0
2018-04-10,10.07,10.09,10.06,10.07,592500,0,0
2018-04-11,10.08,10.1,10.07,10.1,530600,0,0
2018-04-12,10.1,10.1,10.06,10.06,1068100,0,0
2018-04-13,10.07,10.09,10.07,10.09,49500,0,0
2018-04-16,10.1,10.1,10.07,10.09,756300,0,0
2018-04-17,10.08,10.1,10.06,10.06,11400,0,0
2018-04-18,10.08,10.15,10.08,10.14,1918800,0,0
2018-04-19,10.12,10.14,10.12,10.14,1453000,0,0
2018-04-20,10.12,10.15,10.12,10.12,47400,0,0
2018-04-23,10.12,10.15,10.12,10.14,219100,0,0
2018-04-24,10.12,10.14,10.12,10.13,367500,0,0
2018-04-25,10.15,10.15,10.13,10.15,1625400,0,0
2018-04-26,10.15,10.25,10.15,10.18,660100,0,0
2018-04-27,10.18,10.32,10.18,10.27,3291100,0,0
2018-04-30,10.3,10.38,10.26,10.32,645500,0,0
2018-05-01,10.31,10.34,10.27,10.33,1719600,0,0
2018-05-02,10.33,10.35,10.3,10.33,1608000,0,0
2018-05-03,10.3,10.34,10.25,10.3,885100,0,0
2018-05-04,10.3,10.33,10.3,10.31,138900,0,0
2018-05-07,10.34,10.35,10.3,10.34,638800,0,0
