Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-03,11.77,11.8,11.66,11.74,89500,0.0,0
2012-08-06,11.75,11.76,11.74,11.74,30000,0.0,0
2012-08-07,11.75,11.76,11.74,11.74,24400,0.0,0
2012-08-08,11.74,11.83,11.74,11.76,43600,0.0,0
2012-08-09,11.76,11.8,11.75,11.76,25500,0.0,0
2012-08-10,11.8,11.84,11.75,11.79,27500,0.0,0
2012-08-13,11.8,11.8,11.33,11.7,94400,0.0,0
2012-08-14,11.74,11.74,11.45,11.51,140500,0.0,0
2012-08-15,11.46,11.74,11.46,11.74,51800,0.0,0
2012-08-16,11.73,11.74,11.65,11.7,31000,0.0,0
2012-08-17,11.66,11.94,11.66,11.77,45700,0.0,0
2012-08-20,11.72,11.77,11.52,11.73,71300,0.0,0
2012-08-21,11.63,11.73,11.6,11.7,42300,0.0,0
2012-08-22,11.65,11.7,11.53,11.7,26500,0.0,0
2012-08-23,11.7,11.73,11.69,11.72,32300,0.0,0
2012-08-24,11.72,11.89,11.66,11.79,64700,0.0,0
2012-08-27,11.83,11.83,11.69,11.74,13900,0.0,0
2012-08-28,11.76,11.89,11.72,11.89,38900,0.0,0
2012-08-29,11.73,11.89,11.67,11.83,25300,0.0,0
2012-08-30,11.89,11.89,11.73,11.73,21000,0.0,0
2012-08-31,11.74,11.86,11.63,11.74,34700,0.0,0
2012-09-04,11.83,11.87,11.77,11.83,20800,0.0,0
2012-09-05,11.87,11.89,11.76,11.77,19300,0.0,0
2012-09-06,11.74,11.84,11.7,11.8,30100,0.0,0
2012-09-07,11.79,11.86,11.74,11.81,20200,0.0,0
2012-09-10,11.83,11.86,11.81,11.81,30000,0.0,0
2012-09-11,11.8,11.84,11.76,11.8,32000,0.0,0
2012-09-12,11.8,11.9,11.77,11.8,39100,0.096,0
2012-09-13,11.89,11.89,11.68,11.8,42400,0.0,0
2012-09-14,11.75,11.9,11.74,11.77,42700,0.0,0
2012-09-17,11.84,11.9,11.74,11.81,29800,0.0,0
2012-09-18,11.87,11.87,11.77,11.82,29700,0.0,0
2012-09-19,11.8,11.9,11.59,11.8,57000,0.0,0
2012-09-20,11.78,11.85,11.77,11.78,39600,0.0,0
2012-09-21,11.78,11.92,11.77,11.87,53500,0.0,0
2012-09-24,11.87,11.93,11.71,11.71,69500,0.0,0
2012-09-25,11.82,11.83,11.62,11.69,143600,0.0,0
2012-09-26,11.7,11.86,11.69,11.81,45200,0.0,0
2012-09-27,11.85,11.91,11.81,11.9,61100,0.0,0
2012-09-28,11.91,11.93,11.84,11.84,72300,0.0,0
2012-10-01,11.92,11.92,11.77,11.8,59800,0.0,0
2012-10-02,11.88,11.9,11.78,11.78,65700,0.0,0
2012-10-03,11.84,11.84,11.78,11.8,63300,0.0,0
2012-10-04,11.81,11.86,11.8,11.86,60700,0.0,0
2012-10-05,11.85,11.91,11.83,11.91,65200,0.0,0
