Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-07-17,1.86,1.86,1.8,1.84,180600,0.0,0
1992-07-20,1.84,1.86,1.84,1.84,96800,0.0,0
1992-07-21,1.86,1.86,1.84,1.86,73300,0.0,0
1992-07-22,1.86,1.86,1.84,1.84,84300,0.0,0
1992-07-23,1.84,1.86,1.84,1.86,43500,0.0,0
1992-07-24,1.86,1.86,1.84,1.86,73600,0.0,0
1992-07-27,1.86,1.86,1.84,1.84,37500,0.0,0
1992-07-28,1.84,1.86,1.84,1.86,84100,0.0,0
1992-07-29,1.86,1.9,1.84,1.9,119800,0.0,0
1992-07-30,1.88,1.9,1.88,1.9,85100,0.0,0
1992-07-31,1.88,1.9,1.88,1.9,103900,0.0,0
1992-08-03,1.9,1.92,1.88,1.9,37800,0.0,0
1992-08-04,1.9,1.92,1.9,1.92,65000,0.0,0
1992-08-05,1.92,1.92,1.9,1.92,49500,0.0,0
1992-08-06,1.92,1.92,1.9,1.92,77500,0.0,0
1992-08-07,1.92,1.94,1.92,1.94,36200,0.0,0
1992-08-10,1.92,1.94,1.92,1.92,59200,0.0,0
1992-08-11,1.94,1.94,1.92,1.92,60100,0.0,0
1992-08-12,1.92,1.94,1.92,1.94,79100,0.0,0
1992-08-13,1.94,1.94,1.92,1.92,33900,0.0,0
1992-08-14,1.94,1.94,1.92,1.92,104700,0.0,0
1992-08-17,1.9,1.92,1.9,1.9,39600,0.0,0
1992-08-18,1.92,1.92,1.9,1.9,56900,0.0,0
1992-08-19,1.92,1.92,1.9,1.9,47300,0.0,0
1992-08-20,1.9,1.92,1.9,1.92,27400,0.0,0
1992-08-21,1.92,1.92,1.9,1.92,55700,0.0,0
1992-08-24,1.92,1.92,1.9,1.9,15700,0.0,0
1992-08-25,1.92,1.92,1.9,1.92,102800,0.0,0
1992-08-26,1.92,1.92,1.9,1.92,55000,0.0,0
1992-08-27,1.92,1.92,1.9,1.92,41300,0.0,0
1992-08-28,1.92,1.92,1.9,1.9,65200,0.0,0
1992-08-31,1.92,1.92,1.9,1.92,17700,0.0,0
1992-09-01,1.9,1.9,1.88,1.9,16800,0.0,0
1992-09-02,1.9,1.9,1.88,1.88,23400,0.0,0
1992-09-03,1.88,1.9,1.88,1.9,32200,0.0,0
1992-09-04,1.9,1.9,1.88,1.9,16200,0.0,0
1992-09-08,1.88,1.9,1.88,1.88,18200,0.0,0
1992-09-09,1.9,1.9,1.88,1.9,16400,0.0,0
1992-09-10,1.9,1.9,1.88,1.88,16600,0.0,0
1992-09-11,1.9,1.9,1.88,1.9,20700,0.0,0
1992-09-14,1.9,1.9,1.88,1.9,24500,0.0,0
1992-09-15,1.9,1.9,1.88,1.9,25600,0.0,0
1992-09-16,1.9,1.9,1.88,1.88,28600,0.0,0
1992-09-17,1.89,1.91,1.87,1.89,56800,0.061,0
1992-09-18,1.89,1.89,1.87,1.89,40000,0.0,0
1992-09-21,1.87,1.89,1.85,1.89,37700,0.0,0
1992-09-22,1.87,1.89,1.85,1.85,19200,0.0,0
1992-09-23,1.85,1.85,1.85,1.85,23000,0.0,0
1992-09-24,1.85,1.87,1.83,1.87,22500,0.0,0
1992-09-25,1.85,1.87,1.83,1.85,17100,0.0,0
1992-09-28,1.87,1.87,1.85,1.87,31000,0.0,0
1992-09-29,1.87,1.87,1.85,1.87,19200,0.0,0
1992-09-30,1.87,1.87,1.87,1.87,23300,0.0,0
1992-10-01,1.85,1.89,1.85,1.87,71000,0.0,0
1992-10-02,1.87,1.89,1.87,1.87,120500,0.0,0
1992-10-05,1.89,1.91,1.87,1.89,75800,0.0,0
1992-10-06,1.89,1.91,1.87,1.87,36600,0.0,0
1992-10-07,1.89,1.89,1.87,1.87,24200,0.0,0
1992-10-08,1.89,1.89,1.87,1.89,49500,0.0,0
1992-10-09,1.89,1.89,1.87,1.89,32300,0.0,0
1992-10-12,1.89,1.89,1.87,1.89,37700,0.0,0
1992-10-13,1.89,1.89,1.87,1.87,13300,0.0,0
1992-10-14,1.89,1.89,1.77,1.89,24200,0.0,0
1992-10-15,1.89,1.89,1.85,1.89,29900,0.0,0
1992-10-16,1.89,1.89,1.87,1.89,27700,0.0,0
1992-10-19,1.9,1.92,1.88,1.9,57300,0.182,0
1992-10-20,1.9,1.9,1.88,1.9,58900,0.0,0
1992-10-21,1.88,1.9,1.88,1.88,32300,0.0,0
1992-10-22,1.88,1.88,1.84,1.86,34000,0.0,0
1992-10-23,1.86,1.88,1.84,1.84,23400,0.0,0
1992-10-26,1.86,1.86,1.82,1.84,36100,0.0,0
1992-10-27,1.84,1.86,1.84,1.84,15600,0.0,0
1992-10-28,1.82,1.82,1.8,1.8,40700,0.0,0
1992-10-29,1.78,1.78,1.74,1.78,62900,0.0,0
1992-10-30,1.78,1.82,1.78,1.82,71300,0.0,0
1992-11-02,1.82,1.9,1.8,1.88,111700,0.0,0
1992-11-03,1.88,1.9,1.88,1.88,185900,0.0,0
1992-11-04,1.88,1.9,1.86,1.9,23700,0.0,0
1992-11-05,1.88,1.9,1.86,1.86,17900,0.0,0
1992-11-06,1.88,1.9,1.86,1.88,47500,0.0,0
1992-11-09,1.86,1.9,1.86,1.9,39700,0.0,0
1992-11-10,1.88,1.9,1.86,1.86,73200,0.0,0
1992-11-11,1.86,1.9,1.86,1.9,37900,0.0,0
1992-11-12,1.86,1.88,1.86,1.86,20500,0.0,0
1992-11-13,1.84,1.88,1.84,1.86,38100,0.0,0
1992-11-16,1.86,1.9,1.86,1.88,25700,0.0,0
1992-11-17,1.87,1.89,1.87,1.89,59000,0.061,0
1992-11-18,1.89,1.91,1.87,1.87,57400,0.0,0
1992-11-19,1.87,1.89,1.85,1.87,37000,0.0,0
