Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-22,2.79,2.79,2.79,2.79,13000,0.0,0
1993-01-25,2.79,2.83,2.79,2.81,9700,0.0,0
1993-01-26,2.83,2.83,2.81,2.81,3000,0.0,0
1993-01-27,2.81,2.81,2.81,2.81,4800,0.0,0
1993-01-28,2.81,2.81,2.81,2.81,2600,0.0,0
1993-01-29,2.81,2.81,2.81,2.81,0,0.0,0
1993-02-01,2.79,2.81,2.79,2.79,3500,0.0,0
1993-02-02,2.81,2.81,2.79,2.79,1500,0.0,0
1993-02-03,2.79,2.81,2.79,2.79,3500,0.0,0
1993-02-04,2.81,2.83,2.79,2.81,3100,0.0,0
1993-02-05,2.81,2.81,2.81,2.81,500,0.0,0
1993-02-08,2.86,2.86,2.81,2.81,2900,0.0,0
1993-02-09,2.81,2.83,2.81,2.83,1300,0.0,0
1993-02-10,2.81,2.86,2.81,2.81,5600,0.0,0
1993-02-11,2.83,2.83,2.79,2.79,3400,0.0,0
1993-02-12,2.79,2.81,2.79,2.81,2700,0.0,0
1993-02-16,2.79,2.81,2.79,2.81,3700,0.0,0
1993-02-17,2.79,2.81,2.79,2.79,4400,0.0,0
1993-02-18,2.79,2.83,2.79,2.83,8200,0.0,0
1993-02-19,2.83,2.83,2.81,2.83,8400,0.0,0
1993-02-22,2.86,2.86,2.81,2.81,2900,0.0,0
1993-02-23,2.81,2.81,2.79,2.79,21500,0.0,0
1993-02-24,2.79,2.81,2.79,2.79,81100,0.0,0
1993-02-25,2.79,2.81,2.79,2.81,12400,0.0,0
1993-02-26,2.79,2.79,2.79,2.79,2100,0.0,0
1993-03-01,2.79,2.79,2.79,2.79,15500,0.0,0
1993-03-02,2.79,2.81,2.79,2.81,21000,0.0,0
1993-03-03,2.81,2.81,2.81,2.81,8000,0.0,0
1993-03-04,2.79,2.81,2.79,2.81,9000,0.0,0
1993-03-05,2.79,2.81,2.79,2.81,6200,0.0,0
1993-03-08,2.79,2.81,2.79,2.79,35300,0.0,0
1993-03-09,2.79,2.81,2.79,2.79,7400,0.0,0
1993-03-10,2.81,2.81,2.79,2.81,17000,0.0,0
1993-03-11,2.83,2.83,2.81,2.81,2800,0.0,0
1993-03-12,2.81,2.81,2.81,2.81,0,0.0,0
1993-03-15,2.81,2.81,2.79,2.81,3300,0.0,0
1993-03-16,2.79,2.79,2.79,2.79,2000,0.0,0
1993-03-17,2.81,2.81,2.79,2.81,2500,0.0,0
1993-03-18,2.79,2.81,2.79,2.79,4100,0.0,0
1993-03-19,2.79,2.81,2.79,2.81,6000,0.0,0
1993-03-22,2.79,2.79,2.79,2.79,2800,0.0,0
1993-03-23,2.79,2.81,2.79,2.79,7400,0.0,0
1993-03-24,2.79,2.81,2.79,2.79,5600,0.0,0
1993-03-25,2.79,2.79,2.79,2.79,3600,0.0,0
1993-03-26,2.79,2.79,2.79,2.79,7200,0.0,0
1993-03-29,2.79,2.79,2.79,2.79,3000,0.0,0
1993-03-30,2.79,2.79,2.79,2.79,9600,0.0,0
1993-03-31,2.79,2.79,2.79,2.79,14400,0.0,0
1993-04-01,2.81,2.81,2.79,2.81,4700,0.0,0
1993-04-02,2.79,2.81,2.79,2.81,2100,0.0,0
1993-04-05,2.96,2.98,2.96,2.98,7800,0.88,0
1993-04-06,2.96,2.96,2.96,2.96,11000,0.0,0
1993-04-07,2.98,2.98,2.98,2.98,2200,0.0,0
1993-04-08,2.96,2.96,2.96,2.96,7800,0.0,0
1993-04-12,2.96,2.96,2.96,2.96,32400,0.0,0
1993-04-13,2.96,2.96,2.96,2.96,15800,0.0,0
1993-04-14,2.96,2.98,2.96,2.96,32600,0.0,0
1993-04-15,2.96,2.96,2.96,2.96,8000,0.0,0
1993-04-16,2.96,2.96,2.96,2.96,20500,0.0,0
1993-04-19,2.98,2.98,2.96,2.96,8300,0.0,0
1993-04-20,2.96,2.98,2.96,2.96,28800,0.0,0
1993-04-21,2.98,2.98,2.96,2.96,6100,0.0,0
1993-04-22,2.96,2.98,2.96,2.96,16000,0.0,0
1993-04-23,2.96,2.96,2.96,2.96,100,0.0,0
1993-04-26,2.96,2.96,2.96,2.96,800,0.0,0
1993-04-27,2.96,2.98,2.96,2.98,600,0.0,0
1993-04-28,2.96,2.96,2.96,2.96,2100,0.0,0
1993-04-29,2.96,2.96,2.96,2.96,16100,0.0,0
1993-04-30,2.93,2.93,2.86,2.91,27000,0.0,0
1993-05-03,2.88,2.88,2.86,2.86,33200,0.0,0
1993-05-04,2.88,2.88,2.88,2.88,15400,0.078,0
1993-05-05,2.88,2.88,2.83,2.83,6500,0.0,0
1993-05-06,2.85,2.85,2.85,2.85,2200,0.0,0
1993-05-07,2.85,2.85,2.83,2.83,3600,0.0,0
1993-05-10,2.85,2.85,2.83,2.83,11600,0.0,0
1993-05-11,2.83,2.88,2.83,2.85,11600,0.0,0
1993-05-12,2.83,2.88,2.83,2.88,4100,0.0,0
1993-05-13,2.85,2.88,2.85,2.85,12900,0.0,0
1993-05-14,2.85,2.85,2.83,2.83,7100,0.0,0
1993-05-17,2.88,2.88,2.83,2.83,8300,0.0,0
1993-05-18,2.85,2.88,2.85,2.88,46400,0.0,0
1993-05-19,2.92,2.92,2.88,2.88,58100,0.0,0
1993-05-20,2.88,2.9,2.88,2.9,2600,0.0,0
1993-05-21,2.9,2.9,2.88,2.9,34700,0.0,0
1993-05-24,2.88,2.9,2.88,2.88,27700,0.0,0
1993-05-25,2.9,2.9,2.88,2.88,5700,0.0,0
1993-05-26,2.88,2.88,2.88,2.88,300,0.0,0
1993-05-27,2.9,2.9,2.88,2.9,3100,0.0,0
1993-05-28,2.9,2.9,2.9,2.9,2000,0.0,0
1993-06-01,2.88,2.92,2.88,2.9,8700,0.0,0
1993-06-02,2.92,2.92,2.88,2.9,17800,0.0,0
1993-06-03,2.88,2.92,2.88,2.88,4100,0.0,0
1993-06-04,2.88,2.92,2.88,2.92,17200,0.0,0
1993-06-07,2.9,2.9,2.88,2.88,4600,0.0,0
1993-06-08,2.87,2.89,2.87,2.89,2100,0.078,0
1993-06-09,2.89,2.92,2.89,2.89,6800,0.0,0
1993-06-10,2.89,2.89,2.89,2.89,2600,0.0,0
1993-06-11,2.92,2.92,2.92,2.92,2900,0.0,0
1993-06-14,2.89,2.89,2.89,2.89,2000,0.0,0
1993-06-15,2.89,2.97,2.89,2.94,41500,0.0,0
1993-06-16,2.94,2.97,2.92,2.92,6100,0.0,0
1993-06-17,2.92,2.92,2.92,2.92,3500,0.0,0
1993-06-18,2.92,2.92,2.87,2.89,8100,0.0,0
1993-06-21,2.89,2.92,2.89,2.92,6200,0.0,0
1993-06-22,2.89,2.94,2.89,2.92,14600,0.0,0
1993-06-23,2.94,2.97,2.94,2.97,3500,0.0,0
1993-06-24,2.94,2.97,2.94,2.97,11200,0.0,0
1993-06-25,2.97,2.99,2.97,2.99,16900,0.0,0
1993-06-28,2.99,2.99,2.97,2.97,5600,0.0,0
1993-06-29,2.99,2.99,2.97,2.97,13900,0.0,0
1993-06-30,2.99,3.02,2.99,3.02,16500,0.0,0
1993-07-01,2.99,3.02,2.97,3.02,15300,0.0,0
1993-07-02,2.99,2.99,2.99,2.99,3100,0.0,0
1993-07-06,2.96,2.96,2.93,2.96,1100,0.078,0
1993-07-07,2.96,2.98,2.96,2.98,2600,0.0,0
1993-07-08,2.98,2.98,2.98,2.98,300,0.0,0
1993-07-09,2.98,2.98,2.98,2.98,100,0.0,0
1993-07-12,2.98,2.98,2.98,2.98,1000,0.0,0
1993-07-13,3.01,3.01,2.98,3.01,3200,0.0,0
1993-07-14,2.98,3.01,2.98,3.01,3500,0.0,0
1993-07-15,3.01,3.01,3.01,3.01,1600,0.0,0
1993-07-16,3.03,3.03,3.01,3.01,3000,0.0,0
1993-07-19,3.01,3.03,3.01,3.03,2000,0.0,0
1993-07-20,3.03,3.03,3.01,3.01,6000,0.0,0
1993-07-21,3.01,3.01,3.01,3.01,9900,0.0,0
1993-07-22,3.03,3.03,3.01,3.01,4000,0.0,0
1993-07-23,2.98,3.01,2.93,3.01,6900,0.0,0
1993-07-26,3.01,3.03,2.93,3.01,8900,0.0,0
1993-07-27,2.98,2.98,2.93,2.93,8700,0.0,0
1993-07-28,2.96,3.06,2.96,3.01,18500,0.0,0
1993-07-29,3.03,3.03,2.98,3.01,3000,0.0,0
1993-07-30,2.98,2.98,2.93,2.96,3800,0.0,0
1993-08-02,2.98,2.98,2.96,2.96,3000,0.0,0
1993-08-03,2.98,2.98,2.96,2.96,700,0.0,0
1993-08-04,3.01,3.01,2.96,2.96,6100,0.0,0
1993-08-05,2.96,2.98,2.96,2.98,7600,0.0,0
1993-08-06,2.98,2.98,2.98,2.98,900,0.0,0
1993-08-09,3.0,3.0,2.97,3.0,6300,0.078,0
1993-08-10,3.0,3.0,2.97,2.97,2900,0.0,0
1993-08-11,2.95,2.95,2.92,2.95,8700,0.0,0
1993-08-12,3.0,3.0,2.97,2.97,1900,0.0,0
1993-08-13,3.0,3.02,3.0,3.0,5300,0.0,0
1993-08-16,3.02,3.02,3.0,3.0,400,0.0,0
1993-08-17,3.02,3.05,3.02,3.02,1800,0.0,0
1993-08-18,3.02,3.05,3.02,3.02,7600,0.0,0
1993-08-19,3.02,3.02,3.0,3.02,7000,0.0,0
1993-08-20,3.0,3.02,3.0,3.0,2500,0.0,0
1993-08-23,2.97,3.0,2.97,3.0,5400,0.0,0
1993-08-24,3.0,3.0,3.0,3.0,5000,0.0,0
1993-08-25,3.0,3.02,3.0,3.02,2700,0.0,0
1993-08-26,3.0,3.07,3.0,3.05,15200,0.0,0
1993-08-27,3.02,3.02,3.02,3.02,2800,0.0,0
1993-08-30,3.02,3.02,2.97,2.97,7900,0.0,0
1993-08-31,3.0,3.0,2.97,3.0,2300,0.0,0
1993-09-01,2.97,3.0,2.97,3.0,700,0.0,0
1993-09-02,3.02,3.02,2.97,2.97,9500,0.0,0
1993-09-03,3.0,3.0,3.0,3.0,2000,0.0,0
1993-09-07,3.0,3.0,3.0,3.0,3600,0.0,0
1993-09-08,3.0,3.0,2.97,3.0,6400,0.0,0
1993-09-09,3.0,3.02,3.0,3.0,6800,0.0,0
1993-09-10,3.02,3.02,3.0,3.0,5700,0.0,0
1993-09-13,3.01,3.01,2.99,2.99,1800,0.078,0
1993-09-14,2.99,3.01,2.99,3.01,3200,0.0,0
1993-09-15,3.04,3.04,3.01,3.01,18800,0.0,0
1993-09-16,3.01,3.01,3.01,3.01,400,0.0,0
1993-09-17,2.99,3.04,2.99,3.01,4800,0.0,0
1993-09-20,3.04,3.04,2.99,2.99,5600,0.0,0
1993-09-21,3.01,3.01,2.99,3.01,29800,0.0,0
1993-09-22,3.01,3.01,2.96,2.99,4000,0.0,0
1993-09-23,2.99,2.99,2.96,2.96,1900,0.0,0
1993-09-24,2.96,3.01,2.96,3.01,3000,0.0,0
1993-09-27,3.04,3.04,2.96,2.96,6500,0.0,0
1993-09-28,2.99,3.06,2.96,3.04,14000,0.0,0
1993-09-29,3.04,3.04,3.01,3.04,10600,0.0,0
1993-09-30,3.04,3.04,3.04,3.04,300,0.0,0
1993-10-01,3.01,3.04,3.01,3.01,3900,0.0,0
1993-10-04,3.01,3.01,3.01,3.01,300,0.0,0
1993-10-05,3.01,3.04,3.01,3.04,1800,0.235,0
1993-10-06,3.01,3.06,3.01,3.06,5300,0.0,0
1993-10-07,3.04,3.04,3.01,3.01,5500,0.0,0
1993-10-08,3.04,3.04,3.04,3.04,900,0.0,0
1993-10-11,3.01,3.01,3.01,3.01,2600,0.0,0
1993-10-12,3.04,3.06,3.04,3.06,1600,0.0,0
1993-10-13,3.01,3.04,3.01,3.01,36800,0.0,0
1993-10-14,3.04,3.04,3.01,3.01,2300,0.0,0
1993-10-15,3.04,3.04,3.01,3.01,3100,0.0,0
1993-10-18,3.01,3.04,3.01,3.04,5900,0.0,0
1993-10-19,3.01,3.01,3.01,3.01,400,0.0,0
1993-10-20,3.04,3.04,3.01,3.01,6300,0.0,0
1993-10-21,3.01,3.04,3.01,3.04,4300,0.0,0
1993-10-22,3.01,3.04,3.01,3.01,7400,0.0,0
1993-10-25,3.04,3.04,3.01,3.01,16000,0.0,0
1993-10-26,3.01,3.01,3.01,3.01,1600,0.0,0
1993-10-27,3.04,3.04,3.01,3.01,3200,0.0,0
1993-10-28,3.01,3.04,3.01,3.04,8500,0.0,0
1993-10-29,3.01,3.06,3.01,3.06,4600,0.0,0
1993-11-01,3.01,3.06,3.01,3.06,2300,0.0,0
1993-11-02,3.04,3.04,3.01,3.01,5600,0.0,0
1993-11-03,3.04,3.04,3.01,3.01,4100,0.0,0
1993-11-04,3.04,3.04,3.04,3.04,4600,0.0,0
1993-11-05,3.03,3.03,3.0,3.03,7800,0.078,0
1993-11-08,3.03,3.05,3.03,3.05,3900,0.0,0
1993-11-09,3.03,3.05,3.03,3.03,14300,0.0,0
1993-11-10,3.03,3.05,3.03,3.05,18100,0.0,0
1993-11-11,3.05,3.08,3.05,3.08,10700,0.0,0
1993-11-12,3.05,3.08,3.03,3.03,7700,0.0,0
1993-11-15,3.03,3.05,3.03,3.03,3800,0.0,0
1993-11-16,3.03,3.05,3.03,3.03,7900,0.0,0
1993-11-17,3.03,3.05,3.0,3.0,18700,0.0,0
1993-11-18,3.0,3.0,3.0,3.0,17600,0.0,0
1993-11-19,3.0,3.03,3.0,3.0,3600,0.0,0
1993-11-22,3.0,3.0,3.0,3.0,2800,0.0,0
1993-11-23,3.03,3.03,3.0,3.0,2100,0.0,0
1993-11-24,2.97,2.97,2.97,2.97,3600,0.0,0
1993-11-26,2.97,2.97,2.97,2.97,0,0.0,0
1993-11-29,3.0,3.03,3.0,3.03,1000,0.0,0
1993-11-30,3.0,3.0,3.0,3.0,4200,0.0,0
1993-12-01,3.03,3.03,2.97,2.97,12000,0.0,0
1993-12-02,3.0,3.0,3.0,3.0,6000,0.0,0
1993-12-03,2.97,3.0,2.97,3.0,20600,0.0,0
1993-12-06,2.97,3.03,2.97,2.97,15500,0.0,0
1993-12-07,2.96,2.96,2.96,2.96,900,0.078,0
1993-12-08,2.96,2.99,2.96,2.99,20400,0.0,0
1993-12-09,2.96,2.99,2.91,2.94,12200,0.0,0
1993-12-10,2.96,2.96,2.89,2.94,22700,0.0,0
1993-12-13,2.91,2.94,2.91,2.94,2500,0.0,0
1993-12-14,2.91,2.91,2.91,2.91,1000,0.0,0
1993-12-15,2.91,2.94,2.91,2.91,2900,0.0,0
1993-12-16,2.89,2.89,2.86,2.86,3100,0.0,0
1993-12-17,2.86,2.86,2.83,2.83,4400,0.0,0
1993-12-20,2.83,2.83,2.81,2.81,10700,0.0,0
1993-12-21,2.78,2.89,2.78,2.83,32100,0.0,0
1993-12-22,2.86,2.94,2.86,2.91,56100,0.0,0
1993-12-23,2.91,2.94,2.89,2.94,25200,0.0,0
1993-12-27,2.91,2.91,2.86,2.86,13900,0.0,0
1993-12-28,2.86,2.94,2.86,2.91,25800,0.0,0
1993-12-29,2.89,2.91,2.89,2.89,6500,0.0,0
1993-12-30,2.89,2.91,2.89,2.89,10800,0.0,0
1993-12-31,2.89,2.91,2.86,2.86,14300,0.0,0
1994-01-03,2.86,2.89,2.86,2.89,6100,0.0,0
1994-01-04,2.91,2.91,2.89,2.91,5100,0.0,0
1994-01-05,2.91,2.96,2.91,2.96,11300,0.0,0
1994-01-06,2.96,2.99,2.94,2.99,12300,0.0,0
1994-01-07,2.99,2.99,2.99,2.99,300,0.0,0
