Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-10-01,0.0,0.57,0.43,0.43,300,0.0,0
1987-10-02,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-05,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-06,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-07,0.0,0.57,0.43,0.43,1500,0.0,0
1987-10-08,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-09,0.0,0.57,0.43,0.43,500,0.0,0
1987-10-12,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-13,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-14,0.0,0.57,0.43,0.43,1800,0.0,0
1987-10-15,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-16,0.43,0.43,0.43,0.43,0,0.0,0
1987-10-19,0.0,0.52,0.39,0.39,3400,0.0,0
1987-10-20,0.0,0.46,0.36,0.36,4200,0.0,0
1987-10-21,0.36,0.36,0.36,0.36,0,0.0,0
1987-10-22,0.0,0.43,0.32,0.32,400,0.0,0
1987-10-23,0.0,0.43,0.3,0.3,2300,0.0,0
1987-10-26,0.3,0.3,0.3,0.3,0,0.0,0
1987-10-27,0.3,0.3,0.3,0.3,0,0.0,0
1987-10-28,0.3,0.3,0.3,0.3,0,0.0,0
1987-10-29,0.3,0.3,0.3,0.3,0,0.0,0
1987-10-30,0.0,0.44,0.34,0.34,200,0.0,0
1987-11-02,0.0,0.44,0.34,0.34,500,0.0,0
1987-11-03,0.34,0.34,0.34,0.34,0,0.0,0
1987-11-04,0.34,0.34,0.34,0.34,0,0.0,0
1987-11-05,0.0,0.44,0.34,0.34,2000,0.0,0
1987-11-06,0.34,0.34,0.34,0.34,0,0.0,0
1987-11-09,0.35,0.35,0.35,0.35,0,0.15,0
1987-11-10,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-11,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-12,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-13,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-16,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-17,0.0,0.46,0.35,0.35,100,0.0,0
1987-11-18,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-19,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-20,0.0,0.48,0.35,0.35,1200,0.0,0
1987-11-23,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-24,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-25,0.0,0.48,0.35,0.35,300,0.0,0
1987-11-27,0.35,0.35,0.35,0.35,0,0.0,0
1987-11-30,0.35,0.35,0.35,0.35,0,0.0,0
1987-12-01,0.35,0.35,0.35,0.35,0,0.0,0
1987-12-02,0.35,0.35,0.35,0.35,0,0.0,0
1987-12-03,0.35,0.35,0.35,0.35,0,0.0,0
1987-12-04,0.35,0.35,0.35,0.35,0,0.0,0
