Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-15,24.4,24.9,20.65,20.88,21708500,0,0
2020-10-16,22.01,24.49,21.78,23.18,7596000,0,0
2020-10-19,23.76,23.89,20.65,20.88,4074200,0,0
2020-10-20,21.6,22.12,19.46,20.0,2263600,0,0
2020-10-21,20.3,22.5,20.28,21.05,2718100,0,0
2020-10-22,21.3,21.3,20.01,20.15,698300,0,0
2020-10-23,20.3,20.3,19.0,19.42,1367500,0,0
2020-10-26,19.27,19.27,18.34,18.45,1881600,0,0
2020-10-27,18.45,19.05,18.45,19.04,850000,0,0
2020-10-28,18.5,19.69,18.5,19.0,1045000,0,0
2020-10-29,19.06,19.31,18.75,19.0,893300,0,0
2020-10-30,18.8,19.16,18.8,19.1,508600,0,0
2020-11-02,19.0,19.31,18.7,19.3,881500,0,0
2020-11-03,19.05,20.65,18.99,20.24,552300,0,0
2020-11-04,20.24,21.2,19.16,20.45,882000,0,0
2020-11-05,20.4,20.79,19.94,20.39,631300,0,0
2020-11-06,20.15,20.67,19.57,20.45,449100,0,0
2020-11-09,22.54,24.79,21.98,22.91,3168800,0,0
2020-11-10,22.74,22.74,20.72,21.07,1491000,0,0
2020-11-11,21.08,21.43,20.57,20.72,697600,0,0
2020-11-12,20.72,21.0,19.91,20.03,934900,0,0
2020-11-13,20.29,20.63,19.99,20.11,576200,0,0
2020-11-16,20.5,20.69,20.02,20.46,803200,0,0
2020-11-17,20.2,20.33,19.84,20.0,414700,0,0
2020-11-18,20.0,20.18,18.8,19.95,412900,0,0
2020-11-19,19.86,19.89,18.85,19.73,405000,0,0
2020-11-20,19.71,19.73,18.94,19.01,592600,0,0
2020-11-23,19.15,19.35,18.35,18.37,684400,0,0
2020-11-24,18.42,18.42,17.98,18.02,1022500,0,0
2020-11-25,18.08,20.44,18.05,20.0,1653200,0,0
2020-11-27,20.0,20.34,19.02,20.1,1114900,0,0
2020-11-30,20.1,20.18,19.11,19.94,332400,0,0
2020-12-01,19.94,20.54,19.75,20.1,580200,0,0
2020-12-02,19.98,19.99,19.28,19.7,260100,0,0
2020-12-03,19.6,20.2,19.42,19.94,387600,0,0
2020-12-04,20.17,22.08,20.16,21.96,878300,0,0
2020-12-07,21.77,22.1,20.04,20.3,732400,0,0
2020-12-08,20.55,21.75,20.5,20.79,784800,0,0
2020-12-09,21.03,21.83,20.81,20.93,876500,0,0
2020-12-10,21.51,23.19,21.32,21.94,1758800,0,0
2020-12-11,21.8,23.11,21.8,22.84,837000,0,0
2020-12-14,23.33,23.35,21.86,22.17,894800,0,0
2020-12-15,22.1,23.33,21.22,23.18,1327200,0,0
2020-12-16,23.2,23.99,22.22,22.99,1380600,0,0
2020-12-17,23.5,24.4,23.43,24.2,2163000,0,0
2020-12-18,24.4,24.69,23.01,23.9,2643700,0,0
2020-12-21,23.99,28.8,23.83,27.85,2623800,0,0
2020-12-22,27.85,28.5,26.8,27.74,1784900,0,0
2020-12-23,27.5,30.24,27.37,29.54,1786400,0,0
2020-12-24,29.93,31.6,29.55,31.04,1001900,0,0
2020-12-28,29.59,29.66,24.33,25.63,2710100,0,0
2020-12-29,26.83,27.25,26.0,26.68,937500,0,0
2020-12-30,26.81,27.4,25.64,26.37,1367900,0,0
2020-12-31,26.39,27.38,26.18,26.39,679300,0,0
2021-01-04,26.42,26.7,25.22,25.42,942400,0,0
2021-01-05,25.42,26.88,25.42,26.74,547500,0,0
2021-01-06,26.54,29.25,26.54,29.0,1503000,0,0
2021-01-07,28.61,29.5,27.77,28.5,1907700,0,0
2021-01-08,28.28,28.65,27.24,27.9,893300,0,0
2021-01-11,27.16,29.31,26.25,29.05,1218000,0,0
2021-01-12,29.1,31.21,29.02,31.09,1847200,0,0
2021-01-13,30.78,31.43,29.62,30.59,1442300,0,0
2021-01-14,30.98,31.11,29.05,29.48,772900,0,0
2021-01-15,29.06,29.35,28.2,28.59,757500,0,0
2021-01-19,29.19,30.98,28.89,30.32,852200,0,0
2021-01-20,31.28,32.66,31.28,32.14,1326400,0,0
2021-01-21,31.91,31.95,28.68,30.33,1392300,0,0
2021-01-22,30.1,30.62,29.51,30.38,1066500,0,0
2021-01-25,31.52,34.99,30.55,33.99,2351100,0,0
2021-01-26,33.75,33.75,30.31,30.79,1109000,0,0
2021-01-27,29.62,29.75,28.1,29.31,1693900,0,0
2021-01-28,29.3,31.66,29.04,31.02,864200,0,0
2021-01-29,30.82,32.32,29.75,31.5,489600,0,0
2021-02-01,32.14,32.35,30.2,31.21,792500,0,0
2021-02-02,31.21,31.32,29.8,30.04,692200,0,0
2021-02-03,30.17,31.39,29.81,31.12,663700,0,0
2021-02-04,31.49,31.49,30.1,30.43,509300,0,0
2021-02-05,30.7,30.71,29.34,30.3,676900,0,0
2021-02-08,29.79,35.19,29.58,34.77,1097400,0,0
2021-02-09,34.51,35.21,33.16,34.1,712100,0,0
2021-02-10,34.48,34.99,32.22,32.59,903700,0,0
2021-02-11,32.9,33.26,31.81,32.25,381100,0,0
2021-02-12,32.02,34.14,32.02,33.64,264600,0,0
2021-02-16,34.64,34.64,32.9,33.05,739900,0,0
2021-02-17,34.0,34.38,32.75,33.39,561400,0,0
2021-02-18,32.0,32.5,30.3,31.75,843500,0,0
2021-02-19,32.2,32.7,29.32,29.54,994300,0,0
2021-02-22,29.1,31.13,28.53,30.37,809900,0,0
2021-02-23,28.8,30.3,27.64,29.71,890100,0,0
2021-02-24,29.67,29.82,27.84,28.09,1129600,0,0
2021-02-25,30.63,31.0,27.06,27.18,1638200,0,0
2021-02-26,27.92,27.94,25.75,26.67,953200,0,0
2021-03-01,27.62,28.2,27.27,28.05,1059100,0,0
2021-03-02,28.0,28.66,27.27,28.59,807500,0,0
2021-03-03,28.98,29.7,28.5,29.2,1099000,0,0
2021-03-04,28.21,29.54,26.24,27.88,1890900,0,0
2021-03-05,27.62,28.13,26.0,26.7,1442700,0,0
2021-03-08,25.92,26.5,22.72,22.93,1327200,0,0
2021-03-09,23.86,25.45,23.86,24.59,739200,0,0
2021-03-10,24.87,25.33,23.45,24.26,767000,0,0
2021-03-11,24.86,25.03,24.0,24.4,1098300,0,0
2021-03-12,24.0,25.34,23.72,25.0,492100,0,0
2021-03-15,25.0,25.31,24.29,24.81,808400,0,0
2021-03-16,25.1,25.3,23.99,24.31,475000,0,0
2021-03-17,24.2,24.39,23.4,24.0,664700,0,0
2021-03-18,24.16,24.44,23.65,24.09,581500,0,0
2021-03-19,24.18,24.45,23.62,23.67,812500,0,0
2021-03-22,23.68,24.0,22.22,22.92,774000,0,0
2021-03-23,22.18,22.32,21.33,21.69,938600,0,0
2021-03-24,21.43,22.18,20.58,21.2,1245500,0,0
2021-03-25,20.52,21.2,20.24,20.75,452900,0,0
2021-03-26,21.22,22.1,20.8,21.53,2871100,0,0
2021-03-29,21.51,23.86,21.36,22.48,1413300,0,0
2021-03-30,22.5,23.01,21.15,22.54,1099600,0,0
2021-03-31,22.55,24.35,22.49,24.02,952300,0,0
2021-04-01,24.29,24.47,23.97,24.07,506400,0,0
2021-04-05,24.18,25.16,23.85,24.9,1090500,0,0
2021-04-06,24.66,25.1,23.88,24.91,1264000,0,0
2021-04-07,25.0,25.47,24.62,25.43,422500,0,0
2021-04-08,25.51,25.74,24.81,24.89,672400,0,0
2021-04-09,24.8,25.23,24.62,24.69,1169800,0,0
2021-04-12,24.7,25.3,24.64,24.95,500100,0,0
2021-04-13,25.48,28.17,25.34,27.36,540600,0,0
2021-04-14,27.27,27.82,26.88,27.21,514700,0,0
2021-04-15,27.56,27.78,25.86,26.05,532700,0,0
2021-04-16,26.1,26.42,24.51,24.84,423700,0,0
2021-04-19,24.83,24.95,24.21,24.57,197800,0,0
2021-04-20,24.8,25.67,23.85,23.98,558300,0,0
2021-04-21,24.1,26.34,24.1,26.08,671600,0,0
2021-04-22,26.2,27.47,25.93,26.8,311700,0,0
2021-04-23,26.56,27.6,26.52,27.44,176000,0,0
2021-04-26,27.32,27.66,27.05,27.39,642500,0,0
2021-04-27,27.15,27.99,27.06,27.84,179100,0,0
2021-04-28,28.55,28.55,27.3,27.53,919000,0,0
2021-04-29,27.0,27.1,25.5,26.44,316700,0,0
2021-04-30,26.44,27.07,25.97,26.9,158300,0,0
2021-05-03,26.81,27.22,26.59,27.07,166800,0,0
2021-05-04,27.0,27.03,25.98,26.43,226400,0,0
2021-05-05,26.42,26.42,25.01,25.26,209800,0,0
2021-05-06,25.26,25.87,24.75,25.85,662800,0,0
2021-05-07,25.75,26.32,24.35,24.68,208200,0,0
2021-05-10,24.5,24.54,22.72,22.91,2054300,0,0
2021-05-11,22.29,24.3,22.04,24.01,489900,0,0
2021-05-12,23.53,23.82,22.54,23.0,364200,0,0
2021-05-13,23.15,23.66,22.2,22.75,283600,0,0
2021-05-14,22.6,24.31,22.55,24.26,271000,0,0
2021-05-17,24.03,24.46,23.43,23.52,164000,0,0
2021-05-18,23.81,23.91,22.8,22.82,338400,0,0
2021-05-19,22.55,23.93,22.1,23.5,710800,0,0
2021-05-20,23.67,24.17,23.21,23.72,184200,0,0
2021-05-21,23.76,24.39,23.29,23.76,379400,0,0
