Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-15,9.95,9.95,9.87,9.88,7511100,0,0
2020-10-16,9.86,9.9,9.86,9.86,259700,0,0
2020-10-19,9.9,9.9,9.85,9.87,150200,0,0
2020-10-20,9.91,9.92,9.87,9.89,50800,0,0
2020-10-21,9.87,9.9,9.85,9.9,53300,0,0
2020-10-22,9.86,9.89,9.86,9.88,4900,0,0
2020-10-23,9.9,9.91,9.88,9.9,29500,0,0
2020-10-26,9.91,9.92,9.88,9.89,4900,0,0
2020-10-27,9.92,9.93,9.9,9.9,24500,0,0
2020-10-28,9.88,9.9,9.88,9.9,12400,0,0
2020-10-29,9.93,9.93,9.9,9.9,700,0,0
2020-10-30,9.88,9.88,9.88,9.88,6100,0,0
2020-11-02,9.93,9.94,9.9,9.9,103400,0,0
2020-11-03,9.9,9.95,9.9,9.94,4000,0,0
2020-11-04,9.92,9.92,9.92,9.92,100,0,0
2020-11-05,9.92,9.92,9.92,9.92,0,0,0
2020-11-06,9.93,9.93,9.93,9.93,6500,0,0
2020-11-09,9.95,9.96,9.94,9.94,77300,0,0
2020-11-10,9.94,9.95,9.94,9.95,12500,0,0
2020-11-11,9.94,9.94,9.93,9.94,45300,0,0
2020-11-12,9.9,9.9,9.9,9.9,25100,0,0
2020-11-13,9.9,9.9,9.9,9.9,0,0,0
2020-11-16,9.9,9.9,9.89,9.89,5600,0,0
2020-11-17,9.95,9.96,9.95,9.96,13100,0,0
2020-11-18,9.95,9.95,9.9,9.9,18200,0,0
2020-11-19,9.94,9.94,9.91,9.92,2900,0,0
2020-11-20,9.92,9.92,9.92,9.92,0,0,0
2020-11-23,9.97,9.98,9.95,9.95,4100,0,0
2020-11-24,9.95,10.26,9.95,10.26,276300,0,0
2020-11-25,9.99,10.07,9.99,10.05,6700,0,0
2020-11-27,10.01,10.01,10.0,10.0,2400,0,0
2020-11-30,10.1,10.1,10.0,10.0,14700,0,0
2020-12-01,10.06,10.08,10.05,10.08,4300,0,0
2020-12-02,10.05,10.1,10.01,10.1,1900,0,0
2020-12-03,10.1,10.1,10.1,10.1,0,0,0
2020-12-04,10.1,10.17,10.05,10.15,31700,0,0
2020-12-07,10.19,10.2,10.17,10.2,15400,0,0
