Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.08,0.08,0.08,604800,0.0,0.0
1962-01-03,0.0,0.08,0.07,0.07,6264000,0.0,0.0
1962-01-04,0.0,0.08,0.07,0.07,1144800,0.0,0.0
1962-01-05,0.0,0.07,0.07,0.07,496800,0.0,0.0
1962-01-08,0.0,0.07,0.07,0.07,1317600,0.0,0.0
1962-01-09,0.0,0.07,0.07,0.07,1123200,0.0,0.0
1962-01-10,0.0,0.07,0.07,0.07,842400,0.0,0.0
1962-01-11,0.0,0.07,0.07,0.07,561600,0.0,0.0
1962-01-12,0.0,0.07,0.07,0.07,388800,0.0,0.0
1962-01-15,0.0,0.07,0.07,0.07,756000,0.0,0.0
1962-01-16,0.0,0.07,0.07,0.07,367200,0.0,0.0
1962-01-17,0.0,0.07,0.07,0.07,475200,0.0,0.0
1962-01-18,0.0,0.07,0.07,0.07,1123200,0.0,0.0
1962-01-19,0.0,0.07,0.07,0.07,604800,0.0,0.0
1962-01-22,0.0,0.07,0.07,0.07,799200,0.0,0.0
1962-01-23,0.0,0.07,0.07,0.07,885600,0.0,0.0
1962-01-24,0.0,0.07,0.07,0.07,950400,0.0,0.0
1962-01-25,0.0,0.07,0.07,0.07,583200,0.0,0.0
1962-01-26,0.0,0.07,0.07,0.07,885600,0.0,0.0
1962-01-29,0.0,0.07,0.07,0.07,712800,0.0,0.0
1962-01-30,0.0,0.07,0.07,0.07,842400,0.0,0.0
1962-01-31,0.0,0.07,0.07,0.07,777600,0.0,0.0
1962-02-01,0.0,0.07,0.07,0.07,475200,0.0,0.0
1962-02-02,0.0,0.07,0.07,0.07,410400,0.0,0.0
1962-02-05,0.0,0.07,0.07,0.07,885600,0.0,0.0
1962-02-06,0.0,0.07,0.07,0.07,1382400,0.0,0.0
1962-02-07,0.0,0.07,0.07,0.07,561600,0.0,0.0
1962-02-08,0.0,0.07,0.07,0.07,453600,0.0,0.0
1962-02-09,0.0,0.07,0.07,0.07,648000,0.0,0.0
1962-02-12,0.0,0.07,0.07,0.07,129600,0.0,0.0
1962-02-13,0.0,0.07,0.07,0.07,1166400,0.0,0.0
1962-02-14,0.0,0.08,0.07,0.08,993600,0.0,0.0
1962-02-15,0.0,0.08,0.08,0.08,885600,0.0,0.0
1962-02-16,0.0,0.08,0.08,0.08,734400,0.0,0.0
1962-02-19,0.0,0.08,0.08,0.08,1404000,0.0,0.0
1962-02-20,0.0,0.08,0.08,0.08,1533600,0.0,0.0
1962-02-21,0.0,0.08,0.08,0.08,907200,0.0,0.0
1962-02-23,0.0,0.08,0.08,0.08,1101600,0.0,0.0
1962-02-26,0.0,0.08,0.08,0.08,1944000,0.0,0.0
1962-02-27,0.0,0.08,0.08,0.08,799200,0.0,0.0
1962-02-28,0.0,0.08,0.08,0.08,432000,0.0,0.0
1962-03-01,0.0,0.08,0.08,0.08,583200,0.0,0.0
1962-03-02,0.0,0.08,0.08,0.08,864000,0.0,0.0
