Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.73,0.74,0.73,0.74,105900,0.0,0.0
1970-01-05,0.74,0.75,0.74,0.75,136100,0.0,0.0
1970-01-06,0.75,0.75,0.73,0.73,159500,0.0,0.0
1970-01-07,0.73,0.74,0.73,0.74,119600,0.0,0.0
1970-01-08,0.74,0.77,0.74,0.77,454900,0.0,0.0
1970-01-09,0.77,0.78,0.75,0.76,1154000,0.0,0.0
1970-01-12,0.76,0.76,0.74,0.74,117000,0.0,0.0
1970-01-13,0.74,0.74,0.74,0.74,99200,0.0,0.0
1970-01-14,0.74,0.74,0.73,0.73,57600,0.0,0.0
1970-01-15,0.73,0.74,0.73,0.73,70400,0.0,0.0
1970-01-16,0.73,0.74,0.73,0.73,79400,0.0,0.0
1970-01-19,0.73,0.74,0.73,0.73,94500,0.0,0.0
1970-01-20,0.73,0.73,0.73,0.73,86800,0.0,0.0
1970-01-21,0.73,0.73,0.72,0.73,165600,0.0,0.0
1970-01-22,0.73,0.73,0.72,0.72,89500,0.0,0.0
1970-01-23,0.72,0.73,0.72,0.72,77100,0.0,0.0
1970-01-26,0.72,0.72,0.7,0.7,402300,0.0,0.0
1970-01-27,0.7,0.7,0.69,0.69,310400,0.0,0.0
1970-01-28,0.7,0.71,0.7,0.71,137400,0.0,0.0
1970-01-29,0.71,0.71,0.7,0.7,171600,0.0,0.0
1970-01-30,0.7,0.71,0.7,0.71,139100,0.0,0.0
1970-02-02,0.71,0.72,0.7,0.7,149800,0.0,0.0
1970-02-03,0.7,0.73,0.7,0.72,150800,0.0,0.0
1970-02-04,0.72,0.74,0.72,0.72,122000,0.0,0.0
1970-02-05,0.72,0.73,0.71,0.71,140100,0.0,0.0
1970-02-06,0.71,0.72,0.71,0.72,111900,0.0,0.0
1970-02-09,0.72,0.73,0.72,0.72,167900,0.0,0.0
1970-02-10,0.72,0.73,0.72,0.72,98900,0.0,0.0
1970-02-11,0.72,0.73,0.72,0.73,85400,0.0,0.0
1970-02-12,0.73,0.74,0.73,0.73,119300,0.0,0.0
1970-02-13,0.73,0.73,0.72,0.72,231600,0.0,0.0
1970-02-16,0.72,0.74,0.72,0.73,105200,0.0,0.0
1970-02-17,0.73,0.75,0.73,0.75,131400,0.0,0.0
1970-02-18,0.75,0.77,0.75,0.77,146100,0.0,0.0
1970-02-19,0.77,0.77,0.76,0.77,150800,0.0,0.0
1970-02-20,0.77,0.78,0.77,0.77,136100,0.0,0.0
1970-02-24,0.77,0.78,0.77,0.77,116000,0.0,0.0
1970-02-25,0.77,0.8,0.77,0.8,226600,0.0,0.0
1970-02-26,0.8,0.8,0.78,0.8,157900,0.0,0.0
1970-02-27,0.8,0.8,0.79,0.8,160200,0.0,0.0
1970-03-02,0.8,0.8,0.79,0.8,171600,0.0,0.0
1970-03-03,0.8,0.82,0.8,0.82,195800,0.0,0.0
1970-03-04,0.82,0.83,0.82,0.83,207500,0.0,0.0
1970-03-05,0.83,0.84,0.82,0.83,182300,0.0,0.0
1970-03-06,0.83,0.83,0.82,0.83,83400,0.0,0.0
1970-03-09,0.81,0.81,0.79,0.8,109900,0.0,0.0
1970-03-10,0.8,0.8,0.79,0.8,85400,0.0,0.0
1970-03-11,0.8,0.82,0.8,0.81,73700,0.0,0.0
1970-03-12,0.81,0.81,0.8,0.81,99900,0.0,0.0
1970-03-13,0.81,0.81,0.8,0.81,90500,0.0,0.0
1970-03-16,0.8,0.8,0.78,0.79,91500,0.0,0.0
1970-03-17,0.79,0.8,0.78,0.8,114600,0.0,0.0
1970-03-18,0.8,0.81,0.79,0.79,100500,0.0,0.0
1970-03-19,0.79,0.79,0.78,0.78,49600,0.0,0.0
1970-03-20,0.78,0.78,0.77,0.78,109900,0.0,0.0
1970-03-23,0.78,0.78,0.77,0.78,105200,0.0,0.0
1970-03-24,0.78,0.8,0.78,0.8,76400,0.0,0.0
1970-03-25,0.8,0.81,0.8,0.81,155500,0.0,0.0
1970-03-26,0.81,0.81,0.8,0.81,122000,0.0,0.0
1970-03-30,0.81,0.81,0.79,0.79,73700,0.0,0.0
1970-03-31,0.79,0.8,0.78,0.8,72400,0.0,0.0
1970-04-01,0.8,0.82,0.8,0.82,119300,0.0,0.0
1970-04-02,0.82,0.82,0.81,0.82,113300,0.0,0.0
1970-04-03,0.82,0.82,0.81,0.82,87100,0.0,0.0
1970-04-06,0.82,0.82,0.81,0.82,94500,0.0,0.0
1970-04-07,0.82,0.84,0.81,0.83,157900,0.0,0.0
1970-04-08,0.83,0.84,0.83,0.83,73400,0.0,0.0
1970-04-09,0.83,0.84,0.83,0.83,123300,0.0,0.0
1970-04-10,0.83,0.83,0.81,0.81,95200,0.0,0.0
1970-04-13,0.81,0.82,0.81,0.81,70400,0.0,0.0
1970-04-14,0.81,0.81,0.79,0.8,102900,0.0,0.0
1970-04-15,0.81,0.83,0.81,0.83,165200,0.0,0.0
1970-04-16,0.82,0.82,0.8,0.8,144800,0.0,0.0
1970-04-17,0.8,0.81,0.78,0.79,85400,0.0,0.0
1970-04-20,0.79,0.81,0.78,0.8,55300,0.0,0.0
1970-04-21,0.8,0.81,0.79,0.8,83100,0.0,0.0
1970-04-22,0.8,0.81,0.79,0.8,77100,0.0,0.0
1970-04-23,0.79,0.79,0.77,0.78,162900,0.0,0.0
1970-04-24,0.78,0.78,0.77,0.77,69000,0.0,0.0
1970-04-27,0.77,0.78,0.76,0.76,107600,0.0,0.0
1970-04-28,0.76,0.8,0.75,0.76,221900,0.0,0.0
1970-04-29,0.76,0.76,0.73,0.76,201800,0.0,0.0
1970-04-30,0.76,0.77,0.75,0.75,93200,0.0,0.0
1970-05-01,0.75,0.77,0.74,0.76,50600,0.0,0.0
1970-05-04,0.76,0.76,0.74,0.74,105900,0.09942,0.0
1970-05-05,0.74,0.75,0.73,0.74,81100,0.0,0.0
1970-05-06,0.74,0.78,0.74,0.75,157900,0.0,0.0
1970-05-07,0.75,0.77,0.74,0.76,83400,0.0,0.0
1970-05-08,0.76,0.77,0.75,0.76,75700,0.0,0.0
1970-05-11,0.76,0.76,0.76,0.76,78700,0.0,0.0
1970-05-12,0.76,0.77,0.75,0.76,121700,0.0,0.0
1970-05-13,0.76,0.77,0.75,0.76,78700,0.0,0.0
1970-05-14,0.75,0.75,0.73,0.74,179000,0.0,0.0
1970-05-15,0.74,0.75,0.72,0.74,164200,0.0,0.0
