Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-06-04,,,,,,0.0,2.0
1977-01-03,2.94,3.01,2.94,2.95,227800.0,0.0,0.0
1977-01-04,2.94,2.94,2.89,2.89,164100.0,0.0,0.0
1977-01-05,2.89,2.95,2.89,2.9,193000.0,0.0,0.0
1977-01-06,2.9,2.91,2.88,2.88,139200.0,0.0,0.0
1977-01-07,2.88,2.9,2.84,2.84,119300.0,0.0,0.0
1977-01-10,2.84,2.85,2.79,2.81,235700.0,0.0,0.0
1977-01-11,2.79,2.79,2.73,2.73,201900.0,0.0,0.0
1977-01-12,2.73,2.73,2.67,2.7,184000.0,0.0,0.0
1977-01-13,2.73,2.74,2.73,2.73,241700.0,0.0,0.0
1977-01-14,2.73,2.77,2.71,2.76,761100.0,0.0,0.0
1977-01-17,2.76,2.77,2.75,2.77,672600.0,0.0,0.0
1977-01-18,2.77,2.78,2.77,2.77,222800.0,0.0,0.0
1977-01-19,2.77,2.82,2.77,2.82,94500.0,0.0,0.0
1977-01-20,2.83,2.87,2.83,2.83,176100.0,0.0,0.0
1977-01-21,2.83,2.85,2.83,2.84,1066600.0,0.0,0.0
1977-01-24,2.84,2.86,2.82,2.83,511400.0,0.0,0.0
1977-01-25,2.83,2.83,2.75,2.75,317400.0,0.0,0.0
1977-01-26,2.75,2.78,2.74,2.75,117400.0,0.0,0.0
1977-01-27,2.71,2.71,2.65,2.66,254700.0,0.0,0.0
1977-01-28,2.67,2.71,2.67,2.7,112400.0,0.0,0.0
1977-01-31,2.7,2.7,2.63,2.66,202900.0,0.0,0.0
1977-02-01,2.66,2.69,2.65,2.67,81500.0,0.0,0.0
1977-02-02,2.67,2.69,2.64,2.64,538200.0,0.0,0.0
1977-02-03,2.64,2.65,2.63,2.63,126300.0,0.0,0.0
1977-02-04,2.63,2.63,2.53,2.54,359100.0,0.0,0.0
1977-02-07,2.54,2.54,2.45,2.45,299400.0,0.0,0.0
1977-02-08,2.45,2.5,2.45,2.48,422800.0,0.0,0.0
1977-02-09,2.48,2.48,2.44,2.44,14900.0,0.0,0.0
1977-02-10,2.44,2.45,2.42,2.42,269600.0,0.0,0.0
1977-02-11,2.42,2.44,2.42,2.44,292500.0,0.0,0.0
1977-02-14,2.44,2.46,2.42,2.46,306400.0,0.0,0.0
