Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-03-27,11.84,11.9,11.84,11.84,265640,0.0,0
2009-03-30,11.72,11.85,11.72,11.85,100211,0.0,0
2009-03-31,11.01,11.9,11.01,11.84,23150,0.0,0
2009-04-01,11.87,11.92,11.84,11.9,11600,0.0,0
2009-04-02,11.93,11.93,11.84,11.84,13074,0.0,0
2009-04-03,11.84,11.85,11.84,11.84,18350,0.0,0
2009-04-06,11.91,11.91,11.84,11.84,36350,0.0,0
2009-04-07,11.84,11.91,11.84,11.84,46190,0.0,0
2009-04-08,11.91,11.91,11.84,11.84,31790,0.0,0
2009-04-09,11.84,11.95,11.84,11.9,19300,0.0,0
2009-04-13,11.87,11.93,11.84,11.9,28200,0.0,0
2009-04-14,11.84,11.93,11.84,11.87,33732,0.0,0
2009-04-15,11.87,11.93,11.84,11.84,20715,0.0,0
2009-04-16,11.84,11.86,11.84,11.84,18300,0.0,0
2009-04-17,11.85,11.87,11.84,11.84,6325,0.0,0
2009-04-20,11.85,11.86,11.84,11.84,11598,0.0,0
2009-04-21,11.84,11.84,11.84,11.84,14600,0.0,0
2009-04-22,11.84,11.85,11.84,11.84,28424,0.0,0
2009-04-23,11.84,11.84,11.84,11.84,4400,0.0,0
2009-04-24,11.84,11.85,11.84,11.84,32250,0.0,0
2009-04-27,11.84,11.85,11.84,11.84,100895,0.0,0
2009-04-28,11.84,11.85,11.84,11.84,49000,0.0,0
2009-04-29,11.84,11.84,11.84,11.84,35335,0.0,0
2009-04-30,11.84,11.85,11.84,11.84,26400,0.0,0
2009-05-01,11.84,11.84,11.84,11.84,30200,0.0,0
2009-05-04,11.84,11.84,11.84,11.84,47748,0.0,0
2009-05-05,11.85,11.87,11.84,11.87,6000,0.0,0
2009-05-06,11.84,11.87,11.84,11.86,8850,0.0,0
2009-05-07,11.85,11.86,11.85,11.86,13100,0.0,0
2009-05-08,11.86,11.86,11.78,11.82,25495,0.0,0
2009-05-11,11.83,11.85,11.81,11.82,10100,0.0,0
2009-05-12,11.84,11.92,11.84,11.89,34645,0.0,0
2009-05-13,11.85,11.85,11.82,11.82,13765,0.0,0
2009-05-14,11.85,11.85,11.81,11.82,6126,0.0,0
2009-05-15,11.84,11.84,11.75,11.78,9532,0.0,0
2009-05-18,11.6,11.84,11.6,11.78,47095,0.0,0
2009-05-19,11.78,11.84,11.78,11.84,21871,0.0,0
2009-05-20,11.89,11.91,11.86,11.88,27325,0.09,0
2009-05-21,11.37,11.94,11.37,11.82,35692,0.0,0
2009-05-22,11.83,11.84,11.6,11.64,23845,0.0,0
2009-05-26,11.59,11.74,11.54,11.74,38075,0.0,0
2009-05-27,11.69,11.74,11.63,11.73,37111,0.0,0
2009-05-28,11.71,11.87,11.71,11.87,38927,0.0,0
2009-05-29,11.84,11.93,11.84,11.89,18574,0.0,0
2009-06-01,11.88,11.93,11.85,11.88,11935,0.0,0
2009-06-02,11.88,11.96,11.88,11.92,29700,0.0,0
2009-06-03,11.9,11.95,11.88,11.88,15243,0.0,0
2009-06-04,11.88,11.98,11.86,11.98,22695,0.0,0
2009-06-05,11.84,11.95,11.84,11.9,18567,0.0,0
2009-06-08,11.94,11.98,11.82,11.84,13622,0.0,0
2009-06-09,11.6,11.96,11.6,11.85,42535,0.0,0
2009-06-10,11.6,11.85,11.6,11.75,38250,0.0,0
2009-06-11,11.6,11.74,11.52,11.59,23508,0.0,0
2009-06-12,11.71,11.95,11.65,11.7,23020,0.0,0
2009-06-15,11.65,11.89,11.65,11.86,15630,0.0,0
2009-06-16,11.8,11.89,11.75,11.89,12400,0.0,0
2009-06-17,11.79,11.94,11.79,11.88,11730,0.09,0
2009-06-18,11.82,11.97,11.82,11.94,15900,0.0,0
2009-06-19,11.39,11.88,11.29,11.78,14189,0.0,0
2009-06-22,11.82,11.84,11.79,11.82,10950,0.0,0
2009-06-23,11.31,11.94,11.31,11.79,45685,0.0,0
2009-06-24,11.94,12.0,11.8,11.94,40819,0.0,0
2009-06-25,11.99,12.0,11.8,11.94,26789,0.0,0
