Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,13.56,13.56,13.56,13.56,53550,0,0.0
1973-02-22,13.33,13.33,13.33,13.33,10800,0,0.0
1973-02-23,12.5,12.5,12.5,12.5,27675,0,0.0
1973-02-26,12.11,12.11,12.11,12.11,16200,0,0.0
1973-02-27,11.44,11.44,11.44,11.44,32400,0,0.0
1973-02-28,12.0,12.0,12.0,12.0,54900,0,0.0
1973-03-01,11.89,11.89,11.89,11.89,41625,0,0.0
1973-03-02,12.0,12.0,12.0,12.0,27900,0,0.0
1973-03-05,12.22,12.22,12.22,12.22,29700,0,0.0
1973-03-06,12.61,12.61,12.61,12.61,46800,0,0.0
1973-03-07,12.83,12.83,12.83,12.83,32400,0,0.0
1973-03-08,13.0,13.0,13.0,13.0,32175,0,0.0
1973-03-09,13.22,13.22,13.22,13.22,13050,0,0.0
1973-03-12,13.17,13.17,13.17,13.17,149175,0,0.0
1973-03-13,12.83,12.83,12.83,12.83,39825,0,0.0
1973-03-14,12.78,12.78,12.78,12.78,28575,0,0.0
1973-03-15,13.06,13.06,13.06,13.06,57600,0,0.0
1973-03-16,13.11,13.11,13.11,13.11,112950,0,0.0
1973-03-19,13.06,13.06,13.06,13.06,18225,0,0.0
1973-03-20,13.22,13.22,13.22,13.22,43200,0,0.0
1973-03-21,13.22,13.22,13.22,13.22,22275,0,0.0
1973-03-22,13.06,13.06,13.06,13.06,25650,0,0.0
1973-03-23,12.78,12.78,12.78,12.78,49725,0,0.0
1973-03-26,12.67,12.67,12.67,12.67,31950,0,0.0
1973-03-27,12.67,12.67,12.67,12.67,9675,0,0.0
1973-03-28,12.56,12.56,12.56,12.56,19350,0,0.0
1973-03-29,12.5,12.5,12.5,12.5,20700,0,0.0
1973-03-30,11.72,11.72,11.72,11.72,22950,0,0.0
1973-04-02,11.0,11.0,11.0,11.0,45450,0,0.0
1973-04-03,10.78,10.78,10.78,10.78,50625,0,0.0
1973-04-04,10.56,10.56,10.56,10.56,16650,0,0.0
1973-04-05,10.33,10.33,10.33,10.33,47700,0,0.0
1973-04-06,10.44,10.44,10.44,10.44,36900,0,0.0
1973-04-09,10.83,10.83,10.83,10.83,37350,0,0.0
1973-04-10,11.11,11.11,11.11,11.11,78525,0,0.0
1973-04-11,11.0,11.0,11.0,11.0,24525,0,0.0
1973-04-12,10.78,10.78,10.78,10.78,24525,0,0.0
1973-04-13,10.78,10.78,10.78,10.78,12150,0,0.0
1973-04-16,10.89,10.89,10.89,10.89,9900,0,0.0
1973-04-17,10.89,10.89,10.89,10.89,6975,0,0.0
1973-04-18,10.94,10.94,10.94,10.94,19125,0,0.0
1973-04-19,11.0,11.0,11.0,11.0,18000,0,0.0
1973-04-23,10.78,10.78,10.78,10.78,24075,0,0.0
1973-04-24,10.39,10.39,10.39,10.39,23400,0,0.0
1973-04-25,10.22,10.22,10.22,10.22,42075,0,0.0
1973-04-26,10.06,10.06,10.06,10.06,36675,0,0.0
1973-04-27,9.39,9.39,9.39,9.39,76275,0,0.0
1973-04-30,9.22,9.22,9.22,9.22,42975,0,0.0
1973-05-01,9.5,9.5,9.5,9.5,47250,0,0.0
1973-05-02,10.06,10.06,10.06,10.06,44100,0,0.0
1973-05-03,0.0,11.06,10.83,10.83,51975,0,0.0
1973-05-04,0.0,11.67,11.44,11.44,80325,0,0.0
1973-05-07,0.0,12.0,11.78,11.78,58950,0,0.0
1973-05-08,0.0,11.78,11.56,11.56,40950,0,0.0
1973-05-09,0.0,11.28,11.06,11.06,38250,0,0.0
1973-05-10,0.0,11.0,10.78,10.78,42750,0,0.0
1973-05-11,0.0,10.61,10.39,10.39,28350,0,0.0
1973-05-14,0.0,10.0,9.78,9.78,44100,0,0.0
1973-05-15,0.0,10.22,10.0,10.0,74925,0,0.0
1973-05-16,0.0,10.44,10.22,10.22,38250,0,0.0
1973-05-17,0.0,10.22,10.0,10.0,229050,0,0.0
1973-05-18,0.0,9.78,9.56,9.56,23400,0,0.0
1973-05-21,0.0,10.0,9.78,9.78,41850,0,0.0
1973-05-22,0.0,10.33,10.11,10.11,84600,0,0.0
1973-05-23,0.0,10.56,10.33,10.33,48375,0,0.0
1973-05-24,0.0,11.44,11.22,11.22,59625,0,0.0
1973-05-25,0.0,11.44,11.22,11.22,64350,0,0.0
1973-05-29,0.0,11.5,11.28,11.28,38250,0,0.0
1973-05-30,0.0,11.11,10.89,10.89,36675,0,0.0
1973-05-31,0.0,10.94,10.72,10.72,49725,0,0.0
1973-06-01,0.0,10.83,10.61,10.61,33525,0,0.0
1973-06-04,0.0,10.22,10.0,10.0,47475,0,0.0
1973-06-05,0.0,10.44,10.22,10.22,97875,0,0.0
1973-06-06,0.0,10.39,10.17,10.17,51750,0,0.0
1973-06-07,0.0,11.0,10.78,10.78,51300,0,0.0
1973-06-08,0.0,11.11,10.89,10.89,40725,0,0.0
1973-06-11,0.0,10.5,10.28,10.28,35550,0,0.0
1973-06-12,0.0,10.89,10.67,10.67,58950,0,0.0
1973-06-13,0.0,10.83,10.61,10.61,23625,0,0.0
1973-06-14,0.0,10.89,10.67,10.67,20250,0,0.0
1973-06-15,0.0,10.67,10.44,10.44,34650,0,0.0
1973-06-18,0.0,10.56,10.33,10.33,23175,0,0.0
1973-06-19,0.0,10.56,10.33,10.33,21150,0,0.0
1973-06-20,0.0,10.61,10.39,10.39,12375,0,0.0
1973-06-21,0.0,10.11,9.89,9.89,32175,0,0.0
1973-06-22,0.0,10.11,9.89,9.89,40500,0,0.0
1973-06-25,0.0,9.39,9.17,9.17,68400,0,0.0
1973-06-26,0.0,9.67,9.44,9.44,66825,0,0.0
1973-06-27,0.0,9.72,9.5,9.5,33525,0,0.0
1973-06-28,0.0,9.78,9.56,9.56,11475,0,0.0
1973-06-29,0.0,9.67,9.44,9.44,21150,0,0.0
1973-07-02,0.0,9.5,9.28,9.28,6300,0,0.0
