Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-05-18,2.65,2.65,2.65,2.65,9000,0.0,0
1992-05-19,2.65,2.65,2.65,2.65,6700,0.0,0
1992-05-20,2.65,2.65,2.62,2.65,24200,0.0,0
1992-05-21,2.65,2.65,2.62,2.65,7600,0.0,0
1992-05-22,2.65,2.65,2.62,2.65,4000,0.0,0
1992-05-26,2.62,2.65,2.62,2.65,4300,0.0,0
1992-05-27,2.65,2.65,2.65,2.65,5400,0.0,0
1992-05-28,2.65,2.69,2.65,2.65,11500,0.0,0
1992-05-29,2.65,2.71,2.65,2.69,13600,0.0,0
1992-06-01,2.69,2.71,2.69,2.69,6300,0.0,0
1992-06-02,2.73,2.73,2.67,2.69,11900,0.0,0
1992-06-03,2.69,2.69,2.65,2.69,6500,0.0,0
1992-06-04,2.69,2.69,2.67,2.69,6500,0.0,0
1992-06-05,2.69,2.69,2.67,2.69,11800,0.0,0
1992-06-08,2.69,2.69,2.69,2.69,0,0.0,0
1992-06-09,2.69,2.71,2.69,2.71,20800,0.0,0
1992-06-10,2.73,2.73,2.71,2.71,32800,0.0,0
1992-06-11,2.76,2.76,2.73,2.73,53000,0.0,0
1992-06-12,2.73,2.73,2.73,2.73,56400,0.0,0
1992-06-15,2.73,2.73,2.73,2.73,35400,0.0,0
1992-06-16,2.76,2.76,2.73,2.73,21700,0.0,0
1992-06-17,2.73,2.76,2.73,2.73,68600,0.0,0
1992-06-18,2.73,2.76,2.73,2.73,48000,0.0,0
1992-06-19,2.73,2.78,2.73,2.76,43400,0.0,0
1992-06-22,2.76,2.76,2.73,2.73,4300,0.0,0
1992-06-23,2.71,2.73,2.71,2.73,2800,0.0,0
1992-06-24,2.76,2.76,2.73,2.73,7800,0.0,0
1992-06-25,2.71,2.73,2.71,2.73,11000,0.0,0
1992-06-26,2.73,2.73,2.73,2.73,1500,0.0,0
1992-06-29,2.73,2.76,2.73,2.76,6400,0.0,0
1992-06-30,2.73,2.76,2.73,2.73,2000,0.0,0
1992-07-01,2.73,2.76,2.73,2.73,13600,0.0,0
1992-07-02,2.73,2.73,2.71,2.71,19000,0.0,0
1992-07-06,2.73,2.73,2.71,2.73,11600,0.0,0
1992-07-07,2.73,2.73,2.73,2.73,2900,0.0,0
1992-07-08,2.73,2.73,2.71,2.71,12100,0.0,0
1992-07-09,2.73,2.76,2.73,2.73,18200,0.0,0
1992-07-10,2.73,2.73,2.69,2.69,16200,0.0,0
1992-07-13,2.71,2.71,2.69,2.71,3200,0.125,0
1992-07-14,2.71,2.73,2.71,2.73,2200,0.0,0
1992-07-15,2.73,2.73,2.73,2.73,3500,0.0,0
1992-07-16,2.69,2.71,2.69,2.71,8700,0.0,0
1992-07-17,2.71,2.73,2.71,2.73,3900,0.0,0
1992-07-20,2.71,2.73,2.71,2.73,4800,0.0,0
1992-07-21,2.73,2.73,2.73,2.73,1200,0.0,0
1992-07-22,2.73,2.73,2.73,2.73,2600,0.0,0
1992-07-23,2.73,2.73,2.73,2.73,900,0.0,0
1992-07-24,2.73,2.73,2.73,2.73,500,0.0,0
1992-07-27,2.73,2.76,2.73,2.76,3400,0.0,0
1992-07-28,2.76,2.8,2.76,2.78,6600,0.0,0
1992-07-29,2.78,2.78,2.78,2.78,2100,0.0,0
1992-07-30,2.78,2.78,2.71,2.73,17700,0.0,0
1992-07-31,2.73,2.73,2.71,2.73,8700,0.0,0
1992-08-03,2.73,2.76,2.73,2.76,12600,0.0,0
1992-08-04,2.76,2.76,2.76,2.76,4200,0.0,0
1992-08-05,2.76,2.76,2.76,2.76,0,0.0,0
1992-08-06,2.76,2.76,2.73,2.76,10000,0.0,0
1992-08-07,2.78,2.78,2.73,2.76,10700,0.0,0
1992-08-10,2.73,2.76,2.73,2.76,900,0.0,0
1992-08-11,2.73,2.73,2.7,2.73,2500,0.075,0
1992-08-12,2.73,2.73,2.68,2.7,11500,0.0,0
1992-08-13,2.68,2.68,2.68,2.68,100,0.0,0
1992-08-14,2.7,2.7,2.68,2.7,7000,0.0,0
1992-08-17,2.73,2.77,2.73,2.77,4700,0.0,0
1992-08-18,2.77,2.77,2.75,2.75,1500,0.0,0
1992-08-19,2.73,2.73,2.7,2.7,3800,0.0,0
1992-08-20,2.75,2.77,2.75,2.77,2900,0.0,0
1992-08-21,2.77,2.77,2.75,2.77,1600,0.0,0
1992-08-24,2.79,2.79,2.79,2.79,5500,0.0,0
1992-08-25,2.77,2.81,2.75,2.79,9000,0.0,0
1992-08-26,2.75,2.77,2.75,2.77,7800,0.0,0
1992-08-27,2.77,2.79,2.77,2.79,5100,0.0,0
1992-08-28,2.79,2.79,2.79,2.79,0,0.0,0
1992-08-31,2.77,2.77,2.75,2.75,3000,0.0,0
1992-09-01,2.75,2.75,2.7,2.7,6300,0.0,0
1992-09-02,2.73,2.75,2.7,2.75,3100,0.0,0
1992-09-03,2.73,2.73,2.73,2.73,2000,0.0,0
1992-09-04,2.73,2.73,2.73,2.73,3900,0.0,0
1992-09-08,2.75,2.75,2.73,2.73,10100,0.0,0
1992-09-09,2.75,2.75,2.75,2.75,9400,0.0,0
1992-09-10,2.75,2.79,2.75,2.79,7400,0.0,0
1992-09-11,2.84,2.84,2.77,2.79,5900,0.0,0
1992-09-14,2.76,2.76,2.74,2.74,9100,0.08,0
1992-09-15,2.76,2.76,2.72,2.76,11500,0.0,0
1992-09-16,2.78,2.78,2.78,2.78,2500,0.0,0
1992-09-17,2.81,2.81,2.78,2.78,6800,0.0,0
