Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-26,3.97,3.99,3.97,3.97,548900,0.0,0
1999-05-27,3.99,3.99,3.97,3.99,76400,0.0,0
1999-05-28,3.99,3.99,3.97,3.99,48400,0.0,0
1999-06-01,3.97,3.99,3.97,3.97,32200,0.0,0
1999-06-02,3.97,3.99,3.97,3.97,69600,0.0,0
1999-06-03,3.97,3.99,3.97,3.97,59000,0.0,0
1999-06-04,3.97,3.99,3.97,3.97,36200,0.0,0
1999-06-07,3.97,3.99,3.97,3.97,31600,0.0,0
1999-06-08,3.99,3.99,3.97,3.99,98200,0.0,0
1999-06-09,3.99,3.99,3.97,3.97,33100,0.0,0
1999-06-10,3.97,3.99,3.97,3.97,38700,0.0,0
1999-06-11,3.99,3.99,3.97,3.97,49200,0.0,0
1999-06-14,3.97,3.99,3.97,3.99,127100,0.0,0
1999-06-15,3.99,3.99,3.97,3.97,59500,0.0,0
1999-06-16,3.97,3.99,3.97,3.97,48800,0.0,0
1999-06-17,3.97,3.99,3.97,3.99,89700,0.0,0
1999-06-18,3.99,3.99,3.97,3.99,52800,0.0,0
1999-06-21,3.99,3.99,3.97,3.99,48700,0.0,0
1999-06-22,3.97,3.99,3.97,3.97,50000,0.0,0
1999-06-23,3.99,3.99,3.97,3.99,29000,0.0,0
1999-06-24,3.97,4.01,3.97,4.01,64700,0.0,0
1999-06-25,3.99,4.01,3.97,3.99,67600,0.0,0
1999-06-28,3.97,4.01,3.97,3.99,43800,0.0,0
1999-06-29,3.99,3.99,3.97,3.99,23100,0.0,0
1999-06-30,3.97,4.01,3.97,4.01,42200,0.0,0
1999-07-01,4.01,4.01,3.99,3.99,25900,0.0,0
1999-07-02,3.97,3.99,3.97,3.99,40400,0.0,0
1999-07-06,3.99,3.99,3.97,3.99,39400,0.0,0
1999-07-07,3.97,3.99,3.97,3.97,53800,0.0,0
1999-07-08,3.99,3.99,3.97,3.99,22600,0.0,0
1999-07-09,3.99,3.99,3.97,3.99,61800,0.0,0
1999-07-12,3.97,3.99,3.97,3.99,43900,0.0,0
1999-07-13,3.97,3.99,3.97,3.99,37800,0.0,0
1999-07-14,3.97,3.99,3.97,3.99,32700,0.0,0
1999-07-15,3.99,3.99,3.97,3.97,68300,0.0,0
1999-07-16,3.97,3.99,3.97,3.99,23300,0.0,0
1999-07-19,3.99,3.99,3.97,3.97,31000,0.0,0
1999-07-20,3.99,3.99,3.97,3.97,54200,0.0,0
1999-07-21,3.99,3.99,3.97,3.97,30500,0.0,0
1999-07-22,3.98,3.99,3.96,3.99,99800,0.074,0
1999-07-23,3.99,3.99,3.98,3.99,68800,0.0,0
1999-07-26,3.99,4.01,3.98,3.99,34700,0.0,0
1999-07-27,3.99,4.01,3.98,3.99,49600,0.0,0
1999-07-28,4.01,4.01,3.99,4.01,39400,0.0,0
1999-07-29,4.01,4.01,3.99,4.01,42000,0.0,0
1999-07-30,4.01,4.01,3.99,3.99,43500,0.0,0
1999-08-02,4.01,4.01,3.99,4.01,37900,0.0,0
1999-08-03,4.01,4.01,3.99,4.01,37900,0.0,0
1999-08-04,4.01,4.01,3.99,4.01,58400,0.0,0
1999-08-05,4.01,4.01,3.99,4.01,43100,0.0,0
1999-08-06,4.01,4.01,3.99,4.01,18400,0.0,0
1999-08-09,3.99,4.01,3.96,3.96,31900,0.0,0
1999-08-10,3.98,3.98,3.96,3.96,29100,0.0,0
1999-08-11,4.0,4.0,3.98,3.98,65700,0.074,0
1999-08-12,3.98,4.0,3.98,3.98,49300,0.0,0
1999-08-13,4.0,4.0,3.93,3.95,19800,0.0,0
1999-08-16,3.96,3.98,3.93,3.96,41100,0.0,0
1999-08-17,3.98,3.98,3.95,3.96,74000,0.0,0
1999-08-18,3.98,4.0,3.96,4.0,35500,0.0,0
1999-08-19,4.0,4.0,3.96,3.98,29500,0.0,0
1999-08-20,3.96,3.96,3.95,3.95,19200,0.0,0
1999-08-23,3.96,4.0,3.96,3.96,25900,0.0,0
1999-08-24,3.96,3.98,3.95,3.98,31700,0.0,0
1999-08-25,3.98,3.98,3.96,3.98,64500,0.0,0
1999-08-26,3.95,3.95,3.91,3.93,48700,0.0,0
1999-08-27,3.95,3.95,3.91,3.93,45500,0.0,0
1999-08-30,3.95,3.95,3.83,3.83,81400,0.0,0
1999-08-31,3.85,3.9,3.83,3.9,78900,0.0,0
1999-09-01,3.91,3.91,3.83,3.88,81200,0.0,0
1999-09-02,3.88,3.9,3.86,3.88,49600,0.0,0
1999-09-03,3.9,3.93,3.9,3.91,25100,0.0,0
1999-09-07,3.9,3.96,3.9,3.96,63400,0.0,0
1999-09-08,3.98,3.98,3.95,3.98,52800,0.0,0
1999-09-09,3.96,3.98,3.95,3.96,28500,0.0,0
1999-09-10,3.96,3.96,3.93,3.93,31300,0.0,0
1999-09-13,3.95,3.97,3.93,3.97,18800,0.074,0
1999-09-14,3.93,3.97,3.92,3.93,27200,0.0,0
1999-09-15,3.93,3.95,3.9,3.92,25100,0.0,0
1999-09-16,3.92,3.92,3.9,3.92,8400,0.0,0
1999-09-17,3.9,3.9,3.87,3.9,40900,0.0,0
1999-09-20,3.9,3.95,3.9,3.92,57000,0.0,0
1999-09-21,3.92,3.93,3.88,3.9,43000,0.0,0
1999-09-22,3.92,3.92,3.87,3.88,27200,0.0,0
