Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-19,17.48,19.05,17.2,19.0,2489400,0,0
2021-03-22,19.99,20.73,19.02,19.4,996700,0,0
2021-03-23,19.55,20.06,19.24,19.78,1897800,0,0
2021-03-24,20.0,20.5,18.53,18.6,1954600,0,0
2021-03-25,18.25,18.25,16.4,17.5,1371800,0,0
2021-03-26,17.52,17.91,17.04,17.75,1109400,0,0
2021-03-29,17.8,17.98,17.05,17.28,664400,0,0
2021-03-30,17.29,17.48,16.51,16.81,773100,0,0
2021-03-31,16.98,17.48,16.74,16.78,573800,0,0
2021-04-01,16.79,17.73,16.78,17.48,558600,0,0
2021-04-05,17.5,17.75,17.12,17.52,359900,0,0
2021-04-06,17.55,17.73,17.22,17.54,192100,0,0
2021-04-07,17.74,17.74,17.2,17.59,611800,0,0
2021-04-08,17.84,18.1,17.5,18.08,497600,0,0
2021-04-09,17.88,18.98,17.69,18.9,300900,0,0
2021-04-12,18.4,18.81,17.64,18.77,596700,0,0
2021-04-13,18.8,18.83,18.1,18.32,604500,0,0
2021-04-14,18.32,18.57,18.01,18.03,233600,0,0
2021-04-15,18.16,18.22,17.7,17.85,225600,0,0
2021-04-16,17.93,18.45,17.61,18.25,519700,0,0
2021-04-19,18.38,18.44,17.97,18.41,718500,0,0
2021-04-20,18.23,18.85,18.19,18.35,329600,0,0
2021-04-21,18.17,18.27,17.87,18.12,212100,0,0
2021-04-22,17.86,18.15,17.71,17.89,201900,0,0
2021-04-23,17.91,17.99,17.7,17.77,194300,0,0
2021-04-26,17.85,18.27,17.77,18.08,189300,0,0
2021-04-27,18.2,18.24,17.9,18.03,148500,0,0
2021-04-28,18.01,18.39,17.95,18.23,279600,0,0
2021-04-29,18.22,18.68,18.22,18.58,306800,0,0
2021-04-30,18.48,18.74,18.4,18.71,221700,0,0
2021-05-03,18.71,19.32,18.71,19.31,267900,0,0
2021-05-04,19.31,19.7,19.22,19.43,199100,0,0
2021-05-05,19.47,19.47,19.21,19.22,75300,0,0
2021-05-06,19.22,19.26,17.4,17.49,331800,0,0
2021-05-07,17.67,18.27,17.41,18.25,123800,0,0
2021-05-10,18.25,18.26,17.43,17.55,161900,0,0
2021-05-11,17.41,17.54,16.93,16.99,333800,0,0
2021-05-12,16.97,17.47,16.78,16.8,392200,0,0
2021-05-13,16.92,17.15,16.16,16.41,450900,0,0
2021-05-14,16.5,17.04,16.29,17.0,960100,0,0
2021-05-17,17.13,18.64,16.75,18.31,416400,0,0
2021-05-18,18.34,18.85,18.06,18.64,159300,0,0
2021-05-19,18.41,18.78,18.27,18.67,265100,0,0
2021-05-20,18.55,18.9,18.55,18.59,223100,0,0
2021-05-21,18.61,18.98,18.61,18.66,140900,0,0
