Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-28,9.99,10.0,9.99,9.99,440700,0.0,0
2010-04-29,10.04,10.04,9.99,10.0,26200,0.0,0
2010-04-30,10.0,10.0,9.99,10.0,43400,0.0,0
2010-05-03,10.0,10.0,9.99,10.0,43600,0.0,0
2010-05-04,10.0,10.0,9.99,9.99,26800,0.0,0
2010-05-05,9.99,10.01,9.99,9.99,42100,0.0,0
2010-05-06,9.99,10.03,9.99,10.0,54400,0.0,0
2010-05-07,10.0,10.04,9.99,10.02,59200,0.0,0
2010-05-10,10.06,10.06,10.0,10.02,27300,0.0,0
2010-05-11,10.02,10.03,9.99,10.03,20800,0.0,0
2010-05-12,10.02,10.03,10.0,10.03,38900,0.0,0
2010-05-13,10.03,10.09,10.01,10.05,53000,0.0,0
2010-05-14,10.05,10.08,10.01,10.08,15200,0.0,0
2010-05-17,10.08,10.1,10.02,10.08,49300,0.0,0
2010-05-18,10.09,10.11,10.06,10.08,34200,0.0,0
2010-05-19,10.12,10.12,10.05,10.08,47500,0.0,0
2010-05-20,10.1,10.1,10.05,10.05,69800,0.0,0
2010-05-21,10.05,10.12,10.0,10.09,57400,0.0,0
2010-05-24,10.09,10.15,10.05,10.07,107200,0.0,0
2010-05-25,10.06,10.07,10.01,10.02,66600,0.0,0
2010-05-26,9.99,10.0,9.99,9.99,349800,0.0,0
2010-05-27,9.99,10.0,9.99,9.99,114700,0.0,0
2010-05-28,9.99,10.0,9.99,10.0,49600,0.0,0
2010-06-01,9.99,10.0,9.99,9.99,44800,0.0,0
2010-06-02,10.0,10.0,9.98,10.0,172800,0.0,0
2010-06-03,10.01,10.01,9.99,9.99,49200,0.0,0
2010-06-04,10.0,10.0,9.99,9.99,52000,0.0,0
2010-06-07,10.0,10.01,9.99,10.01,78200,0.0,0
2010-06-08,10.02,10.04,9.99,10.0,204600,0.0,0
2010-06-09,10.0,10.04,10.0,10.03,14600,0.0,0
2010-06-10,10.04,10.05,10.02,10.03,12600,0.0,0
2010-06-11,10.05,10.06,10.0,10.04,14200,0.117,0
