Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-15,531.85,593.55,488.3,586.29,274900,0.0,0.0
2004-12-16,626.5,666.14,586.29,621.47,63900,0.0,0.0
2004-12-17,636.55,667.26,630.96,655.81,22200,0.0,0.0
2004-12-20,688.48,704.95,637.66,639.34,21600,0.0,0.0
2004-12-21,645.2,658.6,589.09,605.84,17900,0.0,0.0
2004-12-22,593.55,622.59,593.55,600.25,7400,0.0,0.0
2004-12-23,614.21,614.21,577.92,597.46,9100,0.0,0.0
2004-12-27,592.16,607.23,592.16,593.55,4200,0.0,0.0
2004-12-28,593.27,601.37,591.04,593.27,4400,0.0,0.0
2004-12-29,593.27,669.77,593.27,658.88,15600,0.0,0.0
2004-12-30,657.77,684.01,648.27,672.84,12900,0.0,0.0
2004-12-31,666.98,677.03,649.95,659.44,5000,0.0,0.0
2005-01-03,673.12,673.12,621.47,628.17,8100,0.0,0.0
2005-01-04,644.92,644.92,579.31,594.39,14900,0.0,0.0
2005-01-05,583.22,597.46,580.71,590.48,3900,0.0,0.0
2005-01-06,591.88,602.21,569.54,575.13,2400,0.0,0.0
2005-01-07,568.98,580.43,552.79,572.33,13600,0.0,0.0
2005-01-10,586.29,605.56,564.24,599.69,3400,0.0,0.0
2005-01-11,600.25,607.23,573.73,583.78,3000,0.0,0.0
2005-01-12,580.71,586.29,555.58,558.38,13800,0.0,0.0
2005-01-13,558.37,580.71,558.37,562.56,1700,0.0,0.0
2005-01-14,566.75,576.24,563.96,566.75,3800,0.0,0.0
2005-01-18,563.96,573.17,555.86,565.35,10200,0.0,0.0
2005-01-19,561.17,563.12,540.51,541.62,8900,0.0,0.0
2005-01-20,538.27,552.23,475.18,509.52,16000,0.0,0.0
2005-01-21,495.0,523.2,495.0,508.4,5300,0.0,0.0
2005-01-24,512.31,512.31,480.2,482.16,5600,0.0,0.0
2005-01-25,477.41,500.58,477.13,499.75,3300,0.0,0.0
2005-01-26,502.54,530.46,496.12,521.24,4600,0.0,0.0
2005-01-27,535.2,537.44,515.1,537.44,3100,0.0,0.0
2005-01-28,541.07,547.21,524.87,537.99,2700,0.0,0.0
2005-01-31,549.44,582.39,549.44,580.71,7000,0.0,0.0
2005-02-01,580.71,628.17,580.71,618.4,10100,0.0,0.0
2005-02-02,644.92,644.92,604.44,614.21,2600,0.0,0.0
2005-02-03,600.53,624.26,586.57,621.47,2300,0.0,0.0
2005-02-04,647.71,649.67,626.78,636.55,9200,0.0,0.0
2005-02-07,635.15,638.78,584.62,608.07,1900,0.0,0.0
2005-02-08,586.29,594.11,558.65,586.57,2000,0.0,0.0
2005-02-09,593.27,618.68,585.74,607.23,1400,0.0,0.0
2005-02-10,627.89,629.57,582.66,589.09,1400,0.0,0.0
2005-02-11,584.9,591.04,575.13,585.18,1700,0.0,0.0
2005-02-14,595.23,611.14,587.97,599.42,1800,0.0,0.0
2005-02-15,601.93,601.93,577.36,590.48,900,0.0,0.0
2005-02-16,574.01,593.27,574.01,588.53,1300,0.0,0.0
