Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-08,9.7,9.7,9.7,9.7,100100,0,0
2020-10-09,9.9,9.9,9.64,9.69,7200,0,0
2020-10-12,9.75,10.0,9.64,9.65,27900,0,0
2020-10-13,9.81,9.81,9.6,9.63,6800,0,0
2020-10-14,9.6,10.0,9.6,9.67,16900,0,0
2020-10-15,9.7,9.7,9.61,9.68,10200,0,0
2020-10-16,9.65,9.75,9.61,9.75,21100,0,0
2020-10-19,9.6,9.7,9.6,9.68,12700,0,0
2020-10-20,9.7,9.7,9.64,9.65,477300,0,0
2020-10-21,9.65,9.67,9.64,9.64,55100,0,0
2020-10-22,9.7,9.7,9.63,9.65,516600,0,0
2020-10-23,9.7,9.72,9.65,9.65,27000,0,0
2020-10-26,9.7,9.7,9.64,9.65,141300,0,0
2020-10-27,9.7,9.7,9.65,9.67,8900,0,0
2020-10-28,9.6,9.67,9.6,9.64,3300,0,0
2020-10-29,9.69,9.69,9.62,9.64,117000,0,0
2020-10-30,9.69,9.69,9.6,9.63,38800,0,0
2020-11-02,9.98,10.04,9.75,9.85,310000,0,0
2020-11-03,9.99,9.99,9.81,9.85,124500,0,0
2020-11-04,9.86,9.99,9.8,9.85,88300,0,0
2020-11-05,9.85,10.0,9.8,9.93,143800,0,0
2020-11-06,10.05,10.12,9.88,10.09,107800,0,0
2020-11-09,10.25,10.25,9.95,9.98,67900,0,0
2020-11-10,10.09,10.09,9.92,9.98,43900,0,0
2020-11-11,9.9,10.0,9.87,9.9,53200,0,0
2020-11-12,9.96,9.99,9.83,9.87,76700,0,0
2020-11-13,9.87,9.97,9.87,9.88,276700,0,0
2020-11-16,9.92,10.0,9.85,9.98,90000,0,0
2020-11-17,10.0,10.1,10.0,10.07,68800,0,0
2020-11-18,10.13,10.3,10.01,10.3,166600,0,0
2020-11-19,10.45,10.79,10.02,10.5,1245400,0,0
2020-11-20,10.7,10.82,10.45,10.74,972700,0,0
2020-11-23,11.25,11.35,10.8,11.2,1553900,0,0
2020-11-24,11.54,11.88,11.11,11.42,1816900,0,0
2020-11-25,11.4,13.71,11.37,12.74,3359900,0,0
2020-11-27,13.31,13.44,12.03,13.04,1681100,0,0
2020-11-30,15.59,15.71,12.81,14.0,16407700,0,0
2020-12-01,14.5,14.73,12.94,13.2,6964400,0,0
2020-12-02,12.57,13.28,11.81,12.88,3707000,0,0
2020-12-03,13.25,13.42,12.9,13.34,2803600,0,0
2020-12-04,13.4,14.74,13.3,14.25,4399200,0,0
2020-12-07,15.3,16.28,15.2,16.1,7406400,0,0
2020-12-08,16.56,17.2,15.56,16.37,4917100,0,0
2020-12-09,16.37,16.55,14.85,15.38,4685500,0,0
2020-12-10,15.0,15.69,14.5,15.3,2213100,0,0
2020-12-11,15.15,16.24,14.5,15.4,3446700,0,0
2020-12-14,16.0,16.1,14.85,15.49,2247500,0,0
2020-12-15,14.81,15.4,13.87,14.08,2856800,0,0
2020-12-16,14.0,14.87,13.61,14.27,2165100,0,0
2020-12-17,14.3,14.69,14.17,14.48,1026800,0,0
2020-12-18,14.34,15.1,14.3,15.0,1150800,0,0
2020-12-21,14.77,15.4,14.66,15.02,1845800,0,0
2020-12-22,15.5,15.77,15.15,15.7,1582600,0,0
2020-12-23,16.05,17.74,15.88,17.74,4285200,0,0
2020-12-24,18.12,18.6,17.42,18.4,2517200,0,0
2020-12-28,18.98,20.09,17.51,18.18,3336800,0,0
2020-12-29,18.49,19.23,16.51,17.98,2203300,0,0
2020-12-30,17.43,18.1,17.25,17.81,1945700,0,0
2020-12-31,17.88,18.0,17.28,17.78,1040600,0,0
2021-01-04,19.8,21.98,18.01,21.18,10815100,0,0
2021-01-05,21.25,22.36,19.72,20.45,5257900,0,0
2021-01-06,20.65,24.16,20.3,23.7,8899000,0,0
2021-01-07,23.5,24.45,22.77,23.61,3389600,0,0
2021-01-08,23.79,26.89,22.5,23.1,5044500,0,0
2021-01-11,23.64,25.27,23.03,24.06,4096000,0,0
2021-01-12,24.05,30.97,23.45,27.3,8458800,0,0
2021-01-13,29.02,31.8,28.52,29.37,10409700,0,0
2021-01-14,34.24,34.8,31.01,32.75,13007700,0,0
2021-01-15,34.8,35.25,31.36,33.48,8512300,0,0
2021-01-19,34.2,34.8,29.61,31.35,7100500,0,0
2021-01-20,29.9,29.92,27.75,28.51,5964900,0,0
2021-01-21,27.75,30.2,26.08,28.21,5816100,0,0
2021-01-22,27.09,28.59,26.75,27.15,2622400,0,0
2021-01-25,28.21,28.95,24.01,28.01,3865900,0,0
2021-01-26,28.3,28.5,26.59,26.77,2303000,0,0
2021-01-27,25.14,26.65,24.13,24.59,3088200,0,0
2021-01-28,24.87,25.45,22.59,23.24,3420500,0,0
2021-01-29,23.25,26.46,22.65,25.44,3963400,0,0
2021-02-01,25.53,26.85,24.01,26.62,2524300,0,0
2021-02-02,27.3,28.17,26.52,27.58,1926900,0,0
2021-02-03,26.81,27.32,26.15,26.3,1369500,0,0
2021-02-04,26.66,26.71,25.6,26.29,1069000,0,0
2021-02-05,26.52,26.69,25.05,25.49,1525100,0,0
2021-02-08,25.31,25.44,24.33,24.64,1795400,0,0
2021-02-09,24.47,25.88,24.25,25.44,1653300,0,0
2021-02-10,25.5,25.65,23.67,24.66,1548100,0,0
2021-02-11,24.35,24.65,23.34,23.83,1576500,0,0
2021-02-12,23.9,24.85,23.25,24.28,1388400,0,0
2021-02-16,24.33,24.87,23.25,23.63,1548900,0,0
2021-02-17,23.36,24.55,22.65,24.39,1482300,0,0
2021-02-18,23.99,24.28,22.79,23.49,1509100,0,0
2021-02-19,23.93,24.66,23.01,23.01,1922800,0,0
2021-02-22,23.0,23.25,21.21,21.3,1908900,0,0
2021-02-23,19.7,20.35,18.0,19.16,2792600,0,0
2021-02-24,19.17,19.93,18.62,18.78,2162000,0,0
2021-02-25,21.06,22.04,19.03,20.28,3460300,0,0
2021-02-26,19.8,20.19,18.6,19.91,1804100,0,0
2021-03-01,21.01,21.1,20.02,20.89,1493800,0,0
2021-03-02,21.0,21.15,19.15,19.41,1214700,0,0
2021-03-03,19.3,19.59,17.31,17.85,1593700,0,0
2021-03-04,17.25,17.6,15.17,16.58,3199600,0,0
2021-03-05,16.31,16.67,12.75,16.05,4366400,0,0
2021-03-08,15.85,17.7,14.31,15.03,1917400,0,0
2021-03-09,15.92,16.43,15.75,15.78,1232500,0,0
2021-03-10,16.81,17.22,16.34,16.5,1164900,0,0
2021-03-11,17.5,18.65,17.11,17.84,1687000,0,0
2021-03-12,17.13,17.85,17.0,17.69,1091100,0,0
2021-03-15,20.51,21.4,19.5,20.61,3513100,0,0
2021-03-16,21.5,21.8,18.67,19.26,1947700,0,0
2021-03-17,18.49,19.44,18.2,19.08,1514600,0,0
2021-03-18,19.04,19.04,17.51,17.81,1398000,0,0
2021-03-19,18.0,18.47,16.71,18.2,1609300,0,0
2021-03-22,19.8,19.8,18.73,19.45,1146400,0,0
2021-03-23,19.24,20.19,18.53,18.8,1327200,0,0
2021-03-24,18.95,19.4,17.07,17.29,2341400,0,0
2021-03-25,17.0,18.13,16.3,18.1,1938800,0,0
2021-03-26,18.5,18.59,17.32,18.03,964500,0,0
2021-03-29,17.95,18.0,16.6,16.92,1121900,0,0
2021-03-30,16.5,16.96,15.65,16.73,1543400,0,0
2021-03-31,16.62,17.25,15.75,16.31,2006200,0,0
2021-04-01,17.03,17.24,16.27,16.94,1310600,0,0
2021-04-05,17.5,17.5,16.34,16.6,1254600,0,0
2021-04-06,16.7,17.4,16.35,17.09,856400,0,0
2021-04-07,17.23,17.5,16.45,16.6,769100,0,0
2021-04-08,16.84,17.38,16.35,17.24,565300,0,0
2021-04-09,17.63,17.63,17.13,17.42,740700,0,0
2021-04-12,18.0,18.0,16.51,16.52,793900,0,0
2021-04-13,16.71,16.95,16.01,16.26,982000,0,0
2021-04-14,16.19,16.28,15.7,16.18,1187900,0,0
2021-04-15,16.04,16.3,14.9,15.45,1656200,0,0
2021-04-16,15.35,15.49,14.97,15.17,756900,0,0
2021-04-19,14.91,15.17,13.83,14.0,1432100,0,0
2021-04-20,13.9,14.06,12.76,13.18,1594100,0,0
2021-04-21,13.4,15.86,13.05,15.63,2482300,0,0
2021-04-22,16.0,16.47,14.8,15.17,1345900,0,0
2021-04-23,15.99,17.32,15.55,16.9,2131400,0,0
2021-04-26,18.51,18.65,17.3,18.54,1822500,0,0
2021-04-27,19.0,19.0,17.32,18.52,1283800,0,0
2021-04-28,18.33,18.93,17.55,18.51,786400,0,0
2021-04-29,18.47,19.21,17.9,18.5,824400,0,0
2021-04-30,17.79,18.75,17.56,18.6,926900,0,0
2021-05-03,19.04,19.04,17.3,17.75,669000,0,0
2021-05-04,17.6,17.7,16.3,16.95,835400,0,0
