Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-06-26,10.91,10.92,10.91,10.91,101750,0.0,0.0
2006-06-27,10.91,10.93,10.91,10.91,13200,0.0,0.0
2006-06-28,10.96,10.98,10.92,10.94,6275,0.0,0.0
2006-06-29,10.97,11.04,10.92,11.01,4850,0.0,0.0
2006-06-30,10.99,11.27,10.97,11.24,5925,0.0,0.0
2006-07-03,11.27,11.35,11.27,11.32,3300,0.0,0.0
2006-07-05,11.32,11.4,11.25,11.38,7800,0.0,0.0
2006-07-06,11.38,11.4,11.21,11.3,11175,0.0,0.0
2006-07-07,11.3,11.3,11.19,11.24,6200,0.0,0.0
2006-07-10,11.24,11.3,11.1,11.3,5675,0.0,0.0
2006-07-11,11.3,11.31,11.24,11.31,5475,0.0,0.0
2006-07-12,11.3,11.31,11.13,11.23,7775,0.0,0.0
2006-07-13,11.29,11.3,11.13,11.26,5650,0.0,0.0
2006-07-14,11.21,11.27,11.13,11.27,9875,0.0,0.0
2006-07-17,11.19,11.27,11.17,11.27,6650,0.0,0.0
2006-07-18,11.27,11.32,11.24,11.32,5725,0.0,0.0
2006-07-19,11.32,11.73,11.24,11.61,15625,0.0,0.0
2006-07-20,11.59,11.65,11.46,11.62,8950,0.0,0.0
2006-07-21,11.49,11.57,11.3,11.46,8450,0.0,0.0
2006-07-24,11.51,11.51,10.64,10.82,77125,0.0,0.0
2006-07-25,10.82,10.92,10.7,10.86,22025,0.0,0.0
2006-07-26,10.94,10.94,10.83,10.9,15975,0.0,0.0
2006-07-27,10.91,10.92,10.8,10.84,12350,0.0,0.0
2006-07-28,10.89,10.91,10.81,10.86,12350,0.0,0.0
2006-07-31,10.84,10.91,10.83,10.89,12850,0.0,0.0
2006-08-01,10.89,10.91,10.84,10.91,15100,0.0,0.0
2006-08-02,10.91,10.91,10.86,10.88,11750,0.0,0.0
2006-08-03,10.89,10.92,10.86,10.92,10800,0.0,0.0
2006-08-04,10.92,10.92,10.87,10.88,7650,0.0,0.0
2006-08-07,10.92,10.97,10.89,10.92,14325,0.0,0.0
2006-08-08,10.95,10.95,10.87,10.95,9100,0.0,0.0
2006-08-09,11.09,11.09,10.92,10.92,14950,0.0,0.0
2006-08-10,10.86,10.95,10.86,10.94,19175,0.0,0.0
2006-08-11,10.95,11.0,10.89,10.96,14175,0.0,0.0
2006-08-14,10.99,11.0,10.89,10.92,20025,0.0,0.0
2006-08-15,10.96,11.05,10.92,11.0,17250,0.0,0.0
2006-08-16,11.04,11.08,10.92,10.95,22200,0.0,0.0
