Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.34,0.33,0.33,9900,0.0,0.0
1980-03-18,0.0,0.33,0.32,0.32,69300,0.0,0.0
1980-03-19,0.0,0.33,0.32,0.32,11700,0.0,0.0
1980-03-20,0.0,0.34,0.32,0.32,13500,0.0,0.0
1980-03-21,0.0,0.34,0.33,0.33,9000,0.0,0.0
1980-03-24,0.0,0.34,0.33,0.33,7200,0.0,0.0
1980-03-25,0.0,0.34,0.32,0.32,9900,0.0,0.0
1980-03-26,0.32,0.32,0.32,0.32,0,0.0,0.0
1980-03-27,0.0,0.33,0.32,0.32,12600,0.0,0.0
1980-03-28,0.0,0.33,0.32,0.32,9900,0.0,0.0
1980-03-31,0.0,0.33,0.32,0.32,2700,0.0,0.0
1980-04-01,0.0,0.34,0.33,0.33,14400,0.0,0.0
1980-04-02,0.0,0.34,0.33,0.33,7200,0.0,0.0
1980-04-03,0.0,0.34,0.33,0.33,900,0.0,0.0
1980-04-07,0.0,0.34,0.33,0.33,2700,0.0,0.0
1980-04-08,0.0,0.34,0.33,0.33,1800,0.0,0.0
1980-04-09,0.0,0.34,0.33,0.33,8100,0.0,0.0
1980-04-10,0.0,0.35,0.34,0.34,2700,0.0,0.0
1980-04-11,0.0,0.35,0.34,0.34,900,0.0,0.0
1980-04-14,0.0,0.35,0.34,0.34,9000,0.0,0.0
1980-04-15,0.0,0.36,0.34,0.34,20700,0.0,0.0
1980-04-16,0.0,0.36,0.35,0.35,12600,0.0,0.0
1980-04-17,0.0,0.36,0.35,0.35,900,0.0,0.0
1980-04-18,0.0,0.36,0.35,0.35,10800,0.0,0.0
1980-04-21,0.0,0.36,0.35,0.35,19800,0.0,0.0
1980-04-22,0.0,0.36,0.35,0.35,1800,0.0,0.0
1980-04-23,0.0,0.37,0.35,0.35,9000,0.0,0.0
1980-04-24,0.0,0.37,0.36,0.36,43200,0.0,0.0
1980-04-25,0.0,0.37,0.36,0.36,2700,0.0,0.0
1980-04-28,0.0,0.39,0.38,0.38,25200,0.0,0.0
1980-04-29,0.0,0.4,0.38,0.38,26100,0.0,0.0
1980-04-30,0.0,0.4,0.38,0.38,2700,0.0,0.0
1980-05-01,0.0,0.39,0.38,0.38,27900,0.0,0.0
