Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-01,10.0,10.0,9.6,9.68,263800,0,0
2021-04-05,9.6,9.95,9.6,9.67,4800,0,0
2021-04-06,9.93,9.93,9.7,9.86,100200,0,0
2021-04-07,9.7,9.9,9.64,9.84,392400,0,0
2021-04-08,9.74,9.94,9.71,9.94,136400,0,0
2021-04-09,9.74,9.92,9.74,9.92,800,0,0
2021-04-12,9.76,9.76,9.75,9.75,600,0,0
2021-04-13,9.75,9.75,9.75,9.75,0,0,0
2021-04-14,9.8,9.94,9.8,9.9,111200,0,0
2021-04-15,9.9,9.9,9.9,9.9,0,0,0
2021-04-16,9.9,9.9,9.9,9.9,0,0,0
2021-04-19,9.9,9.9,9.9,9.9,0,0,0
2021-04-20,9.9,9.9,9.9,9.9,0,0,0
2021-04-21,9.75,9.75,9.75,9.75,2900,0,0
2021-04-22,9.76,9.8,9.74,9.8,59200,0,0
2021-04-23,9.75,9.75,9.73,9.73,249100,0,0
2021-04-26,9.71,9.71,9.7,9.71,34000,0,0
2021-04-27,9.74,9.74,9.71,9.74,10900,0,0
2021-04-28,9.78,9.78,9.78,9.78,100,0,0
2021-04-29,9.75,9.77,9.72,9.73,11100,0,0
2021-04-30,9.73,9.76,9.73,9.76,3100,0,0
2021-05-03,9.76,9.76,9.75,9.76,3900,0,0
2021-05-04,9.71,9.72,9.7,9.7,28300,0,0
2021-05-05,9.74,9.74,9.74,9.74,1000,0,0
2021-05-06,9.74,9.74,9.74,9.74,0,0,0
2021-05-07,9.73,9.73,9.69,9.69,25800,0,0
2021-05-10,9.73,9.73,9.73,9.73,100,0,0
2021-05-11,9.73,9.73,9.73,9.73,0,0,0
2021-05-12,9.68,9.7,9.67,9.67,112100,0,0
2021-05-13,9.67,9.67,9.67,9.67,0,0,0
2021-05-14,9.67,9.67,9.67,9.67,0,0,0
2021-05-17,9.65,9.67,9.65,9.65,26500,0,0
2021-05-18,9.66,9.66,9.65,9.65,31000,0,0
2021-05-19,9.7,9.72,9.64,9.64,22800,0,0
2021-05-20,9.64,9.64,9.64,9.64,0,0,0
2021-05-21,9.64,9.64,9.64,9.64,0,0,0
