Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-04-10,5.45,5.65,5.45,5.55,1485800,0.0,0
2001-04-11,5.55,5.75,5.37,5.75,376600,0.0,0
2001-04-12,5.7,5.77,5.59,5.73,131500,0.0,0
2001-04-16,5.68,5.78,5.62,5.7,103400,0.0,0
2001-04-17,5.68,5.74,5.6,5.66,120800,0.0,0
2001-04-18,5.68,5.74,5.53,5.59,223200,0.0,0
2001-04-19,5.55,5.63,5.51,5.59,74300,0.0,0
2001-04-20,5.6,5.63,5.43,5.52,57300,0.0,0
2001-04-23,5.54,5.68,5.48,5.49,73600,0.0,0
2001-04-24,5.51,5.6,5.47,5.57,82700,0.0,0
2001-04-25,5.61,5.65,5.54,5.65,72900,0.0,0
2001-04-26,5.65,5.81,5.65,5.75,96800,0.0,0
2001-04-27,5.77,5.78,5.63,5.71,48900,0.0,0
2001-04-30,5.71,5.75,5.69,5.73,62100,0.0,0
2001-05-01,5.74,5.8,5.71,5.72,98600,0.0,0
2001-05-02,5.74,5.75,5.65,5.73,49100,0.0,0
2001-05-03,5.71,5.71,5.6,5.65,30200,0.0,0
2001-05-04,5.66,5.69,5.56,5.58,59000,0.0,0
2001-05-07,5.67,5.92,5.67,5.89,229300,0.0,0
2001-05-08,5.9,6.18,5.85,6.12,172300,0.0,0
2001-05-09,6.1,6.43,6.03,6.34,210600,0.0,0
2001-05-10,6.21,6.31,6.13,6.16,91100,0.0,0
2001-05-11,6.15,6.19,6.09,6.11,56000,0.0,0
2001-05-14,6.15,6.15,6.0,6.01,62200,0.0,0
2001-05-15,6.06,6.06,5.9,5.94,90800,0.0,0
2001-05-16,5.94,6.01,5.91,6.01,63400,0.0,0
2001-05-17,6.03,6.07,5.95,6.02,69000,0.0,0
2001-05-18,6.06,6.29,6.03,6.15,53300,0.0,0
2001-05-21,6.17,6.28,6.15,6.19,85100,0.0,0
2001-05-22,6.1,6.28,6.0,6.21,93200,0.0,0
2001-05-23,6.18,6.22,6.15,6.19,33300,0.0,0
2001-05-24,6.31,6.33,6.16,6.18,69300,0.0,0
2001-05-25,6.2,6.21,6.04,6.09,40300,0.0,0
2001-05-29,6.09,6.09,5.96,6.04,34200,0.0,0
2001-05-30,6.05,6.05,5.77,5.85,155000,0.0,0
2001-05-31,5.9,5.94,5.86,5.89,54200,0.0,0
2001-06-01,5.89,5.9,5.79,5.87,60800,0.0,0
2001-06-04,5.95,5.99,5.87,5.95,53100,0.0,0
2001-06-05,5.96,5.98,5.89,5.93,50200,0.0,0
2001-06-06,5.97,5.98,5.88,5.93,68300,0.0,0
2001-06-07,5.95,5.95,5.84,5.9,26500,0.0,0
2001-06-08,5.93,5.95,5.89,5.91,59000,0.0,0
2001-06-11,5.94,5.95,5.89,5.94,51800,0.0,0
2001-06-12,5.95,5.96,5.85,5.85,16900,0.0,0
2001-06-13,5.89,5.95,5.84,5.91,54000,0.0,0
2001-06-14,5.91,5.95,5.83,5.92,27900,0.0,0
2001-06-15,5.9,5.95,5.88,5.91,40200,0.0,0
2001-06-18,5.89,5.89,5.83,5.87,56400,0.0,0
2001-06-19,5.89,5.9,5.83,5.85,37300,0.0,0
2001-06-20,5.85,5.87,5.8,5.85,45700,0.0,0
2001-06-21,5.84,5.89,5.83,5.86,53300,0.0,0
2001-06-22,5.87,5.88,5.83,5.85,42700,0.0,0
2001-06-25,5.88,5.91,5.84,5.89,26700,0.0,0
2001-06-26,5.9,5.95,5.88,5.93,21600,0.0,0
2001-06-27,5.96,5.97,5.92,5.94,23600,0.0,0
2001-06-28,5.92,5.96,5.92,5.93,33700,0.0,0
2001-06-29,5.93,5.95,5.92,5.93,19000,0.0,0
2001-07-02,5.94,5.95,5.92,5.95,28800,0.0,0
2001-07-03,5.97,6.02,5.96,6.01,6500,0.0,0
2001-07-05,6.03,6.17,5.99,5.99,34600,0.0,0
2001-07-06,5.97,5.99,5.94,5.99,36400,0.0,0
2001-07-09,6.01,6.35,5.97,6.25,52300,0.0,0
2001-07-10,6.25,6.25,6.18,6.2,24900,0.0,0
2001-07-11,6.22,6.22,6.09,6.1,21100,0.0,0
2001-07-12,6.12,6.12,6.01,6.05,15000,0.0,0
2001-07-13,6.03,6.07,6.0,6.0,24100,0.0,0
2001-07-16,6.02,6.05,6.0,6.02,31400,0.0,0
2001-07-17,6.02,6.17,6.01,6.17,28700,0.0,0
2001-07-18,6.15,6.15,6.11,6.14,15700,0.0,0
2001-07-19,6.14,6.21,6.11,6.15,23100,0.0,0
2001-07-20,6.17,6.24,6.17,6.24,5500,0.0,0
2001-07-23,6.25,6.35,6.25,6.35,11100,0.0,0
2001-07-24,6.35,6.38,6.34,6.37,24900,0.0,0
2001-07-25,6.35,6.66,6.34,6.47,24100,0.0,0
2001-07-26,6.46,6.52,6.42,6.43,7900,0.0,0
2001-07-27,6.45,6.48,6.42,6.44,11700,0.0,0
2001-07-30,6.41,6.48,6.39,6.48,10700,0.501,0
2001-07-31,6.53,6.65,6.53,6.61,25800,0.0,0
2001-08-01,6.63,6.85,6.63,6.68,21400,0.0,0
2001-08-02,6.69,6.71,6.57,6.63,30900,0.0,0
2001-08-03,6.63,6.63,6.58,6.59,6200,0.0,0
2001-08-06,6.58,6.59,6.41,6.45,23500,0.0,0
2001-08-07,6.43,6.45,6.27,6.35,17200,0.0,0
2001-08-08,6.36,6.47,6.36,6.45,30900,0.0,0
2001-08-09,6.44,6.58,6.44,6.58,17000,0.0,0
2001-08-10,6.6,6.69,6.55,6.68,12800,0.0,0
2001-08-13,6.71,6.71,6.6,6.6,14800,0.0,0
2001-08-14,6.62,6.72,6.61,6.71,8000,0.0,0
2001-08-15,6.69,7.04,6.69,7.01,25600,0.0,0
2001-08-16,6.95,6.95,6.86,6.89,25300,0.0,0
2001-08-17,6.91,7.02,6.91,6.97,25700,0.0,0
2001-08-20,6.95,7.05,6.95,6.98,25000,0.0,0
