Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-06-02,1.57,1.59,1.54,1.55,1081800,0.0,0.0
1982-06-03,1.54,1.55,1.53,1.53,672300,0.0,0.0
1982-06-04,1.51,1.53,1.49,1.5,828900,0.0,0.0
1982-06-07,1.51,1.53,1.49,1.52,287100,0.0,0.0
1982-06-08,1.51,1.53,1.5,1.5,330300,0.0,0.0
1982-06-09,1.5,1.51,1.49,1.5,841500,0.0,0.0
1982-06-10,1.5,1.5,1.49,1.5,591300,0.0,0.0
1982-06-11,1.51,1.53,1.49,1.51,1161000,0.0,0.0
1982-06-14,1.5,1.51,1.49,1.49,498600,0.0,0.0
1982-06-15,1.5,1.51,1.49,1.5,666900,0.0,0.0
1982-06-16,1.5,1.51,1.49,1.5,239400,0.0,0.0
1982-06-17,1.48,1.5,1.46,1.47,937800,0.0,0.0
1982-06-18,1.47,1.48,1.46,1.47,1577700,0.0,0.0
1982-06-21,1.48,1.49,1.47,1.49,1314000,0.0,0.0
1982-06-22,1.51,1.54,1.48,1.54,702000,0.0,0.0
1982-06-23,1.59,1.63,1.54,1.63,765000,0.0,0.0
1982-06-24,1.6,1.62,1.58,1.6,720900,0.0,0.0
1982-06-25,1.61,1.61,1.6,1.61,189000,0.0,0.0
1982-06-28,1.62,1.63,1.6,1.61,223200,0.0,0.0
1982-06-29,1.63,1.65,1.62,1.64,670500,0.0,0.0
1982-06-30,1.65,1.65,1.64,1.65,1296000,0.0,0.0
1982-07-01,1.65,1.66,1.63,1.65,903600,0.0,0.0
1982-07-02,1.67,1.69,1.64,1.68,378900,0.0,0.0
1982-07-06,1.68,1.7,1.67,1.68,527400,0.0,0.0
1982-07-07,1.67,1.68,1.65,1.67,566100,0.0,0.0
1982-07-08,1.64,1.68,1.61,1.64,641700,0.0,0.0
1982-07-09,1.63,1.65,1.62,1.63,361800,0.0,0.0
1982-07-12,1.62,1.63,1.61,1.63,921600,0.0,0.0
1982-07-13,1.63,1.64,1.61,1.63,1000800,0.0,0.0
1982-07-14,1.62,1.63,1.61,1.63,921600,0.0,0.0
1982-07-15,1.61,1.64,1.57,1.57,684000,0.0,0.0
1982-07-16,1.57,1.59,1.55,1.57,2254500,0.0,0.0
1982-07-19,1.56,1.58,1.54,1.55,1497600,0.0,0.0
1982-07-20,1.57,1.59,1.55,1.59,427500,0.0,0.0
1982-07-21,1.61,1.63,1.59,1.61,549000,0.0,0.0
1982-07-22,1.62,1.63,1.6,1.62,973800,0.0,0.0
1982-07-23,1.66,1.68,1.64,1.67,341100,0.0,0.0
1982-07-26,1.65,1.65,1.64,1.64,411300,0.0,0.0
1982-07-27,1.65,1.65,1.64,1.64,1046700,0.0,0.0
1982-07-28,1.64,1.65,1.63,1.64,781200,0.0,0.0
1982-07-29,1.64,1.65,1.63,1.64,727200,0.0,0.0
1982-07-30,1.63,1.65,1.62,1.64,1313100,0.0,0.0
1982-08-02,1.66,1.69,1.64,1.68,1115100,0.07778,0.0
1982-08-03,1.68,1.69,1.67,1.67,1321200,0.0,0.0
1982-08-04,1.66,1.66,1.64,1.65,638100,0.0,0.0
1982-08-05,1.61,1.65,1.58,1.6,819900,0.0,0.0
1982-08-06,1.6,1.61,1.6,1.6,691200,0.0,0.0
1982-08-09,1.6,1.61,1.59,1.61,567000,0.0,0.0
1982-08-10,1.61,1.62,1.6,1.61,463500,0.0,0.0
1982-08-11,1.62,1.63,1.61,1.62,248400,0.0,0.0
1982-08-12,1.62,1.63,1.61,1.62,338400,0.0,0.0
1982-08-13,1.64,1.66,1.61,1.66,688500,0.0,0.0
1982-08-16,1.67,1.68,1.66,1.67,940500,0.0,0.0
1982-08-17,1.71,1.74,1.68,1.74,1505700,0.0,0.0
1982-08-18,1.77,1.79,1.74,1.74,2105100,0.0,0.0
1982-08-19,1.76,1.77,1.75,1.76,1035000,0.0,0.0
1982-08-20,1.76,1.77,1.75,1.77,1650600,0.0,0.0
1982-08-23,1.82,1.88,1.77,1.85,1472400,0.0,0.0
1982-08-24,1.87,1.89,1.85,1.86,1353600,0.0,0.0
1982-08-25,1.9,1.94,1.86,1.94,688500,0.0,0.0
1982-08-26,1.97,1.99,1.95,1.96,2550600,0.0,0.0
1982-08-27,1.95,1.96,1.93,1.94,792000,0.0,0.0
1982-08-30,1.93,1.95,1.9,1.94,1009800,0.0,0.0
1982-08-31,1.97,2.0,1.94,2.0,932400,0.0,0.0
1982-09-01,2.0,2.02,1.98,2.01,919800,0.0,0.0
1982-09-02,2.03,2.06,2.0,2.04,1198800,0.0,0.0
1982-09-03,2.04,2.06,2.0,2.02,1855800,0.0,0.0
1982-09-07,1.96,1.99,1.94,1.96,1188000,0.0,0.0
1982-09-08,1.94,1.95,1.92,1.95,1027800,0.0,0.0
1982-09-09,1.95,1.97,1.93,1.94,1611900,0.0,0.0
1982-09-10,1.94,1.95,1.92,1.94,1086300,0.0,0.0
1982-09-13,1.95,1.98,1.92,1.98,1084500,0.0,0.0
1982-09-14,2.02,2.03,2.0,2.03,1207800,0.0,0.0
1982-09-15,2.01,2.02,1.99,2.02,1224900,0.0,0.0
1982-09-16,2.0,2.02,1.97,1.97,1817100,0.0,0.0
1982-09-17,1.96,1.98,1.95,1.95,1534500,0.0,0.0
1982-09-20,1.95,1.97,1.93,1.97,963900,0.0,0.0
1982-09-21,2.0,2.02,1.98,2.02,1336500,0.0,0.0
1982-09-22,2.04,2.06,2.01,2.01,2179800,0.0,0.0
1982-09-23,1.99,2.0,1.97,2.0,893700,0.0,0.0
1982-09-24,2.0,2.0,1.99,1.99,669600,0.0,0.0
1982-09-27,2.0,2.01,1.98,2.0,340200,0.0,0.0
1982-09-28,2.05,2.06,2.02,2.04,1337400,0.0,0.0
1982-09-29,2.08,2.12,2.04,2.07,1468800,0.0,0.0
1982-09-30,2.05,2.06,2.04,2.04,897300,0.0,0.0
1982-10-01,2.05,2.06,2.03,2.06,738000,0.0,0.0
1982-10-04,2.05,2.06,2.04,2.05,866700,0.0,0.0
1982-10-05,2.06,2.06,2.05,2.05,413100,0.0,0.0
1982-10-06,2.06,2.07,2.05,2.06,906300,0.0,0.0
1982-10-07,2.11,2.13,2.09,2.11,1595700,0.0,0.0
1982-10-08,2.11,2.12,2.1,2.11,933300,0.0,0.0
1982-10-11,2.07,2.08,2.06,2.07,1193400,0.0,0.0
1982-10-12,2.03,2.06,2.0,2.05,3811500,0.0,0.0
1982-10-13,2.08,2.11,2.05,2.1,1512000,0.0,0.0
1982-10-14,2.12,2.13,2.1,2.1,1131300,0.0,0.0
1982-10-15,2.14,2.17,2.1,2.16,877500,0.0,0.0
1982-10-18,2.17,2.25,2.15,2.25,944100,0.0,0.0
1982-10-19,2.26,2.27,2.25,2.25,534600,0.0,0.0
1982-10-20,2.24,2.27,2.22,2.23,730800,0.0,0.0
1982-10-21,2.29,2.34,2.24,2.33,985500,0.0,0.0
1982-10-22,2.36,2.39,2.33,2.37,1147500,0.0,0.0
1982-10-25,2.32,2.35,2.29,2.3,1245600,0.0,0.0
1982-10-26,2.21,2.25,2.16,2.21,2535300,0.0,0.0
1982-10-27,2.1,2.13,2.06,2.12,4216500,0.0,0.0
1982-10-28,2.12,2.16,2.07,2.08,1994400,0.0,0.0
1982-10-29,2.1,2.12,2.08,2.09,2260800,0.07778,0.0
1982-11-01,2.07,2.09,2.05,2.09,1285200,0.0,0.0
1982-11-02,2.14,2.17,2.1,2.15,1403100,0.0,0.0
1982-11-03,2.22,2.25,2.18,2.25,2160900,0.0,0.0
1982-11-04,2.27,2.31,2.22,2.23,1599300,0.0,0.0
1982-11-05,2.19,2.21,2.18,2.2,2504700,0.0,0.0
1982-11-08,2.19,2.21,2.18,2.18,641700,0.0,0.0
1982-11-09,2.21,2.23,2.19,2.22,1701900,0.0,0.0
1982-11-10,2.23,2.25,2.22,2.23,1550700,0.0,0.0
1982-11-11,2.22,2.23,2.2,2.21,1210500,0.0,0.0
1982-11-12,2.21,2.23,2.18,2.19,1927800,0.0,0.0
1982-11-15,2.16,2.17,2.13,2.14,561600,0.0,0.0
1982-11-16,2.06,2.08,2.05,2.07,1605600,0.0,0.0
1982-11-17,2.09,2.1,2.07,2.08,2406600,0.0,0.0
1982-11-18,2.08,2.09,2.07,2.08,1740600,0.0,0.0
1982-11-19,2.08,2.09,2.07,2.08,1028700,0.0,0.0
1982-11-22,2.08,2.09,2.07,2.07,839700,0.0,0.0
1982-11-23,2.09,2.11,2.07,2.1,887400,0.0,0.0
1982-11-24,2.14,2.18,2.1,2.16,616500,0.0,0.0
1982-11-26,2.2,2.23,2.18,2.22,929700,0.0,0.0
1982-11-29,2.18,2.21,2.15,2.17,371700,0.0,0.0
1982-11-30,2.19,2.21,2.17,2.21,540000,0.0,0.0
1982-12-01,2.2,2.22,2.18,2.19,1342800,0.0,0.0
1982-12-02,2.16,2.2,2.13,2.15,1006200,0.0,0.0
1982-12-03,2.16,2.17,2.14,2.16,241200,0.0,0.0
1982-12-06,2.18,2.21,2.16,2.2,751500,0.0,0.0
1982-12-07,2.2,2.21,2.18,2.19,975600,0.0,0.0
1982-12-08,2.16,2.19,2.14,2.16,717300,0.0,0.0
1982-12-09,2.12,2.15,2.1,2.1,709200,0.0,0.0
1982-12-10,2.1,2.11,2.09,2.09,414000,0.0,0.0
1982-12-13,2.09,2.1,2.08,2.1,468000,0.0,0.0
1982-12-14,2.09,2.14,2.03,2.03,1067400,0.0,0.0
1982-12-15,2.03,2.06,2.0,2.04,429300,0.0,0.0
1982-12-16,2.04,2.07,2.01,2.02,654300,0.0,0.0
1982-12-17,1.98,2.03,1.94,2.0,2029500,0.0,0.0
1982-12-20,1.97,2.01,1.94,1.95,1850400,0.0,0.0
1982-12-21,1.95,1.96,1.94,1.96,572400,0.0,0.0
1982-12-22,1.97,1.99,1.95,1.97,1456200,0.0,0.0
1982-12-23,2.0,2.03,1.96,2.0,938700,0.0,0.0
1982-12-27,2.04,2.08,2.0,2.07,1015200,0.0,0.0
1982-12-28,2.06,2.08,2.03,2.04,1119600,0.0,0.0
1982-12-29,2.05,2.06,2.03,2.06,901800,0.0,0.0
1982-12-30,2.04,2.05,2.03,2.04,819900,0.0,0.0
1982-12-31,2.04,2.04,2.03,2.04,377100,0.0,0.0
1983-01-03,2.01,2.04,1.97,1.98,732600,0.0,0.0
1983-01-04,1.97,1.99,1.96,1.97,2196900,0.0,0.0
1983-01-05,1.95,1.98,1.92,1.94,2292300,0.0,0.0
1983-01-06,2.0,2.06,1.95,2.02,1858500,0.0,0.0
1983-01-07,2.07,2.1,2.04,2.05,3470400,0.0,0.0
1983-01-10,2.07,2.1,2.03,2.09,1932300,0.0,0.0
1983-01-11,2.08,2.09,2.06,2.08,2097900,0.0,0.0
1983-01-12,2.13,2.17,2.1,2.11,2128500,0.0,0.0
1983-01-13,2.1,2.11,2.08,2.09,1555200,0.0,0.0
1983-01-14,2.08,2.1,2.07,2.08,1572300,0.0,0.0
1983-01-17,2.06,2.09,2.03,2.05,2127600,0.0,0.0
1983-01-18,2.04,2.06,2.02,2.04,909000,0.0,0.0
1983-01-19,2.01,2.03,1.99,2.02,902700,0.0,0.0
1983-01-20,2.02,2.03,1.99,2.02,1071900,0.0,0.0
1983-01-21,2.0,2.03,1.97,1.98,600300,0.0,0.0
1983-01-24,1.94,1.97,1.91,1.92,1155600,0.0,0.0
1983-01-25,1.95,1.97,1.92,1.96,1880100,0.0,0.0
1983-01-26,1.95,1.96,1.94,1.96,5558400,0.0,0.0
1983-01-27,1.97,1.98,1.95,1.98,2804400,0.0,0.0
1983-01-28,1.98,1.99,1.96,1.97,718200,0.0,0.0
1983-01-31,1.98,1.99,1.96,1.98,2264400,0.07778,0.0
1983-02-01,2.0,2.03,1.96,2.02,1797300,0.0,0.0
1983-02-02,2.03,2.06,2.01,2.05,514800,0.0,0.0
1983-02-03,2.1,2.15,2.05,2.13,638100,0.0,0.0
1983-02-04,2.11,2.13,2.09,2.11,769500,0.0,0.0
1983-02-07,2.14,2.17,2.11,2.17,647100,0.0,0.0
1983-02-08,2.18,2.2,2.15,2.17,345600,0.0,0.0
1983-02-09,2.12,2.17,2.07,2.08,1161000,0.0,0.0
1983-02-10,2.11,2.14,2.08,2.13,1161900,0.0,0.0
1983-02-11,2.11,2.14,2.09,2.1,920700,0.0,0.0
1983-02-14,2.09,2.11,2.06,2.1,549000,0.0,0.0
1983-02-15,2.09,2.11,2.07,2.07,1777500,0.0,0.0
1983-02-16,2.09,2.09,2.07,2.09,466200,0.0,0.0
1983-02-17,2.07,2.1,2.04,2.07,2132100,0.0,0.0
1983-02-18,2.05,2.09,2.01,2.07,1394100,0.0,0.0
1983-02-22,2.06,2.07,2.04,2.04,909900,0.0,0.0
1983-02-23,2.04,2.05,2.02,2.05,692100,0.0,0.0
1983-02-24,2.05,2.06,2.03,2.05,1236600,0.0,0.0
1983-02-25,2.05,2.07,2.03,2.04,979200,0.0,0.0
1983-02-28,2.04,2.05,2.02,2.04,762300,0.0,0.0
1983-03-01,2.04,2.05,2.02,2.05,1286100,0.0,0.0
1983-03-02,2.03,2.06,2.01,2.03,1717200,0.0,0.0
1983-03-03,2.05,2.07,2.02,2.07,4781700,0.0,0.0
1983-03-04,2.09,2.11,2.06,2.11,1391400,0.0,0.0
1983-03-07,2.09,2.11,2.08,2.09,816300,0.0,0.0
1983-03-08,2.1,2.1,2.09,2.09,635400,0.0,0.0
1983-03-09,2.08,2.09,2.07,2.09,1278000,0.0,0.0
1983-03-10,2.09,2.11,2.08,2.09,1192500,0.0,0.0
1983-03-11,2.09,2.1,2.08,2.09,509400,0.0,0.0
1983-03-14,2.09,2.09,2.08,2.09,462600,0.0,0.0
1983-03-15,2.08,2.09,2.06,2.06,704700,0.0,0.0
1983-03-16,2.06,2.09,2.04,2.08,1224000,0.0,0.0
1983-03-17,2.06,2.09,2.04,2.07,840600,0.0,0.0
1983-03-18,2.06,2.07,2.05,2.06,384300,0.0,0.0
1983-03-21,2.06,2.07,2.04,2.06,801900,0.0,0.0
1983-03-22,2.06,2.09,2.05,2.06,1656000,0.0,0.0
1983-03-23,2.07,2.09,2.06,2.06,1139400,0.0,0.0
1983-03-24,2.08,2.11,2.08,2.11,1313100,0.0,0.0
1983-03-25,2.11,2.14,2.1,2.11,1170000,0.0,0.0
1983-03-28,2.11,2.13,2.1,2.11,657000,0.0,0.0
1983-03-29,2.11,2.14,2.11,2.12,528300,0.0,0.0
1983-03-30,2.12,2.15,2.12,2.15,1038600,0.0,0.0
1983-03-31,2.18,2.18,2.14,2.14,906300,0.0,0.0
1983-04-04,2.14,2.15,2.13,2.15,413100,0.0,0.0
