Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-11,11.0,11.49,10.4,10.58,73600,0,0
2021-02-12,11.42,11.58,10.65,10.83,1241200,0,0
2021-02-16,11.32,11.62,10.58,10.9,726500,0,0
2021-02-17,10.9,10.99,10.7,10.9,477400,0,0
2021-02-18,10.77,10.86,10.55,10.65,297700,0,0
2021-02-19,10.66,10.95,10.66,10.95,440100,0,0
2021-02-22,11.5,11.53,10.6,10.72,8718300,0,0
2021-02-23,10.58,10.64,10.1,10.45,3810100,0,0
2021-02-24,10.55,10.67,10.36,10.37,2210900,0,0
2021-02-25,10.4,10.58,10.16,10.25,2033200,0,0
2021-02-26,10.29,10.44,10.13,10.3,1680200,0,0
2021-03-01,10.32,10.41,10.15,10.16,1719300,0,0
2021-03-02,10.27,10.3,9.92,10.04,3513600,0,0
2021-03-03,10.06,10.22,9.99,10.05,1491400,0,0
2021-03-04,10.0,10.11,9.91,9.96,1530600,0,0
2021-03-05,9.96,10.13,9.88,10.1,1817300,0,0
2021-03-08,10.1,10.21,10.02,10.04,2218300,0,0
2021-03-09,10.1,10.17,10.07,10.15,1796100,0,0
2021-03-10,10.12,10.21,10.07,10.15,2847200,0,0
2021-03-11,10.21,10.46,10.13,10.39,2042000,0,0
2021-03-12,10.37,10.39,10.16,10.2,320900,0,0
2021-03-15,10.2,10.28,10.14,10.27,308400,0,0
2021-03-16,10.21,10.28,10.12,10.25,354900,0,0
2021-03-17,10.14,10.25,10.08,10.2,389100,0,0
2021-03-18,10.15,10.22,10.12,10.2,250400,0,0
2021-03-19,10.16,10.23,10.13,10.21,235600,0,0
2021-03-22,10.13,10.2,10.05,10.08,306500,0,0
2021-03-23,10.12,10.15,9.98,10.0,571100,0,0
2021-03-24,9.99,10.04,9.9,9.93,645800,0,0
2021-03-25,9.85,9.96,9.78,9.9,689500,0,0
2021-03-26,9.95,9.97,9.89,9.94,117300,0,0
2021-03-29,9.94,9.94,9.85,9.92,178400,0,0
2021-03-30,9.9,9.95,9.9,9.95,275500,0,0
2021-03-31,9.94,10.13,9.91,10.0,231300,0,0
2021-04-01,9.95,10.03,9.94,10.0,354600,0,0
2021-04-05,9.99,10.04,9.96,9.97,550900,0,0
2021-04-06,9.96,9.98,9.89,9.91,237400,0,0
2021-04-07,9.91,9.98,9.91,9.97,76700,0,0
2021-04-08,9.98,10.06,9.9,10.02,1219700,0,0
2021-04-09,10.0,10.09,10.0,10.08,403600,0,0
2021-04-12,10.05,10.08,10.0,10.05,344800,0,0
2021-04-13,10.02,10.07,9.98,10.01,232200,0,0
2021-04-14,10.01,10.06,9.98,9.98,180300,0,0
2021-04-15,9.98,10.05,9.93,10.04,270700,0,0
2021-04-16,10.07,10.07,9.87,9.91,413900,0,0
2021-04-19,9.95,9.98,9.85,9.9,260800,0,0
2021-04-20,9.92,9.93,9.85,9.92,241500,0,0
2021-04-21,9.87,9.96,9.87,9.94,315700,0,0
2021-04-22,9.92,9.95,9.88,9.93,86600,0,0
2021-04-23,9.99,10.07,9.95,10.03,395900,0,0
2021-04-26,10.05,10.1,9.99,10.0,462200,0,0
2021-04-27,10.0,10.02,9.96,9.98,66200,0,0
2021-04-28,9.96,9.98,9.94,9.94,127000,0,0
2021-04-29,10.17,10.18,10.0,10.15,1870600,0,0
2021-04-30,10.13,10.15,10.04,10.14,118300,0,0
2021-05-03,10.1,10.13,10.05,10.06,100200,0,0
2021-05-04,10.09,10.12,10.02,10.1,191700,0,0
