Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-03,4.59,4.6,4.58,4.58,27700,0.0,0
2001-10-04,4.58,4.58,4.55,4.56,28300,0.0,0
2001-10-05,4.58,4.58,4.55,4.55,35300,0.0,0
2001-10-08,4.57,4.57,4.55,4.56,21900,0.0,0
2001-10-09,4.57,4.57,4.55,4.56,17900,0.0,0
2001-10-10,4.55,4.57,4.55,4.55,23800,0.0,0
2001-10-11,4.55,4.57,4.55,4.56,31000,0.0,0
2001-10-12,4.55,4.57,4.55,4.56,57400,0.0,0
2001-10-15,4.55,4.57,4.55,4.55,56000,0.0,0
2001-10-16,4.57,4.57,4.55,4.55,87100,0.0,0
2001-10-17,4.55,4.57,4.55,4.57,21000,0.0,0
2001-10-18,4.55,4.56,4.55,4.56,15900,0.0,0
2001-10-19,4.55,4.57,4.55,4.57,30600,0.0,0
2001-10-22,4.56,4.57,4.55,4.55,16800,0.0,0
2001-10-23,4.58,4.58,4.55,4.55,82200,0.0,0
2001-10-24,4.55,4.56,4.55,4.56,48800,0.0,0
2001-10-25,4.57,4.57,4.55,4.55,26300,0.0,0
2001-10-26,4.55,4.57,4.55,4.55,21100,0.0,0
2001-10-29,4.55,4.57,4.55,4.55,65800,0.0,0
2001-10-30,4.56,4.57,4.55,4.57,38500,0.0,0
2001-10-31,4.57,4.58,4.55,4.57,61900,0.0,0
2001-11-01,4.58,4.58,4.55,4.55,42000,0.0,0
2001-11-02,4.57,4.57,4.55,4.55,13300,0.0,0
2001-11-05,4.57,4.57,4.54,4.55,48400,0.0,0
2001-11-06,4.55,4.56,4.52,4.52,51400,0.0,0
2001-11-07,4.52,4.53,4.49,4.51,31100,0.0,0
2001-11-08,4.52,4.54,4.5,4.5,25700,0.0,0
2001-11-09,4.51,4.52,4.49,4.51,15100,0.0,0
2001-11-12,4.52,4.53,4.5,4.5,17500,0.0,0
2001-11-13,4.52,4.55,4.52,4.54,34500,0.0,0
2001-11-14,4.55,4.56,4.54,4.54,21700,0.0,0
2001-11-15,4.57,4.57,4.51,4.54,23700,0.076,0
2001-11-16,4.51,4.53,4.49,4.53,22900,0.0,0
2001-11-19,4.53,4.54,4.46,4.48,29300,0.0,0
2001-11-20,4.48,4.48,4.45,4.47,21700,0.0,0
2001-11-21,4.42,4.44,4.38,4.43,36700,0.0,0
2001-11-23,4.42,4.44,4.4,4.42,18200,0.0,0
2001-11-26,4.41,4.48,4.39,4.39,36600,0.0,0
