Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-15,6.25,8.37,5.8,6.0,1321400,0,0
2020-12-16,6.25,6.56,5.27,6.1,1382900,0,0
2020-12-17,17.24,25.85,6.28,7.33,29098200,0,0
2020-12-18,7.06,7.1,6.0,6.0,5937000,0,0
2020-12-21,5.68,6.55,5.4,6.3,4886700,0,0
2020-12-22,6.22,6.28,5.72,5.87,1636900,0,0
2020-12-23,5.78,6.0,5.5,5.66,1801000,0,0
2020-12-24,5.61,5.65,5.35,5.42,1031800,0,0
2020-12-28,5.42,5.6,4.89,5.2,1495700,0,0
2020-12-29,5.12,5.15,4.64,5.09,1364900,0,0
2020-12-30,5.16,5.48,4.95,5.11,1054200,0,0
2020-12-31,5.13,5.17,4.83,4.9,600700,0,0
2021-01-04,4.82,4.95,4.52,4.65,648900,0,0
2021-01-05,4.61,5.46,4.53,5.04,2704400,0,0
2021-01-06,4.97,5.2,4.77,4.82,586000,0,0
2021-01-07,4.85,5.0,4.8,4.94,626900,0,0
2021-01-08,5.1,5.32,4.82,5.16,1572200,0,0
2021-01-11,5.06,6.26,5.0,5.38,5071600,0,0
2021-01-12,5.44,5.44,4.88,5.18,963400,0,0
2021-01-13,5.08,5.3,4.95,5.16,506500,0,0
2021-01-14,5.12,5.18,4.96,5.0,443900,0,0
2021-01-15,5.04,5.11,4.88,5.0,465200,0,0
2021-01-19,4.95,5.07,4.85,5.0,495100,0,0
2021-01-20,4.98,5.0,4.84,4.89,483600,0,0
2021-01-21,4.9,5.09,4.86,5.04,588400,0,0
2021-01-22,4.98,5.05,4.89,5.02,302200,0,0
2021-01-25,4.91,5.01,4.65,4.85,522800,0,0
2021-01-26,4.83,4.95,4.7,4.82,351800,0,0
2021-01-27,4.6,4.72,4.28,4.53,755700,0,0
2021-01-28,4.71,4.89,4.53,4.71,596800,0,0
2021-01-29,4.62,4.72,4.43,4.5,346000,0,0
2021-02-01,4.57,4.7,4.41,4.5,366100,0,0
2021-02-02,4.53,4.6,4.41,4.48,677200,0,0
2021-02-03,4.7,4.83,4.52,4.65,605100,0,0
2021-02-04,4.63,5.03,4.57,4.78,1407800,0,0
2021-02-05,4.78,4.88,4.68,4.75,524400,0,0
2021-02-08,4.8,4.9,4.63,4.68,548200,0,0
2021-02-09,4.71,5.24,4.62,5.15,2333900,0,0
2021-02-10,5.05,5.28,4.64,4.92,1982700,0,0
2021-02-11,5.0,5.3,4.71,4.83,1209100,0,0
2021-02-12,5.39,6.58,5.18,5.45,13079200,0,0
2021-02-16,5.68,6.58,5.52,6.34,3052300,0,0
2021-02-17,6.01,6.29,5.5,5.55,1279700,0,0
2021-02-18,5.4,5.67,5.22,5.34,512300,0,0
2021-02-19,5.38,5.47,5.04,5.11,740800,0,0
2021-02-22,5.03,5.11,4.82,4.94,594600,0,0
2021-02-23,4.71,4.72,4.0,4.23,1184600,0,0
2021-02-24,4.21,4.55,4.2,4.31,378400,0,0
2021-02-25,4.42,4.47,4.08,4.09,395300,0,0
2021-02-26,4.12,4.2,3.76,3.91,659100,0,0
2021-03-01,3.92,4.34,3.9,4.07,1297300,0,0
2021-03-02,4.03,4.42,3.96,4.21,650200,0,0
2021-03-03,4.15,4.34,3.87,3.87,516000,0,0
2021-03-04,3.88,3.89,3.1,3.19,690100,0,0
2021-03-05,3.27,3.27,2.82,3.02,516200,0,0
2021-03-08,3.06,3.18,3.01,3.04,264400,0,0
2021-03-09,3.13,3.55,3.04,3.45,1433600,0,0
2021-03-10,3.5,3.62,3.29,3.44,447100,0,0
2021-03-11,3.51,4.06,3.42,3.74,1496800,0,0
2021-03-12,3.69,4.48,3.55,4.22,2267600,0,0
2021-03-15,4.61,9.65,4.36,9.3,45633200,0,0
2021-03-16,6.77,7.25,5.81,5.99,12692400,0,0
2021-03-17,5.75,11.28,5.29,10.6,100566600,0,0
2021-03-18,13.71,17.0,9.46,10.16,91020900,0,0
2021-03-19,10.24,12.35,9.7,11.43,23658000,0,0
2021-03-22,10.46,14.3,10.31,14.19,38854300,0,0
2021-03-23,13.31,15.15,10.64,11.12,20522800,0,0
2021-03-24,11.71,12.29,9.25,9.4,4880400,0,0
2021-03-25,8.18,11.35,7.92,10.0,6272000,0,0
2021-03-26,9.77,10.18,8.72,9.26,2072200,0,0
2021-03-29,9.12,9.87,7.86,8.08,1190100,0,0
2021-03-30,7.85,8.85,7.12,7.73,3273000,0,0
2021-03-31,8.16,8.58,7.8,7.9,1194900,0,0
2021-04-01,8.0,8.44,7.56,7.89,1361500,0,0
2021-04-05,7.9,9.64,7.7,8.55,4863500,0,0
2021-04-06,8.58,9.28,8.21,8.28,1400400,0,0
2021-04-07,8.44,8.77,7.98,8.06,858700,0,0
2021-04-08,8.18,8.18,7.51,7.73,756000,0,0
2021-04-09,7.69,8.16,7.33,7.58,639000,0,0
2021-04-12,7.57,7.58,6.51,6.52,820500,0,0
2021-04-13,6.49,6.64,6.1,6.34,526100,0,0
2021-04-14,6.28,7.29,6.2,6.4,4272600,0,0
2021-04-15,6.43,6.69,5.75,5.96,926700,0,0
2021-04-16,5.88,5.96,5.58,5.87,588300,0,0
2021-04-19,5.71,5.82,4.77,4.85,981300,0,0
2021-04-20,4.87,5.98,4.86,5.05,8264200,0,0
2021-04-21,4.93,5.53,4.93,5.45,1664100,0,0
2021-04-22,5.51,6.52,5.26,5.58,8974300,0,0
2021-04-23,5.67,6.4,5.56,6.16,7121000,0,0
2021-04-26,6.5,7.18,6.31,6.66,3961100,0,0
2021-04-27,6.93,6.95,5.96,6.35,2163200,0,0
2021-04-28,6.31,6.85,6.04,6.29,1264500,0,0
2021-04-29,6.3,6.72,5.75,6.6,3322100,0,0
2021-04-30,6.15,6.48,5.9,6.14,1214100,0,0
2021-05-03,6.2,6.2,5.77,5.9,507400,0,0
2021-05-04,5.73,5.94,5.41,5.79,975800,0,0
