Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-16,27.58,28.41,27.36,27.66,786100,0.0,0
2014-01-17,28.34,28.41,27.66,27.82,506800,0.0,0
2014-01-21,27.97,28.3,27.77,27.88,596500,0.0,0
2014-01-22,28.07,28.4,27.79,28.07,388900,0.0,0
2014-01-23,27.87,28.07,27.78,28.04,225800,0.0,0
2014-01-24,27.81,28.14,27.78,27.86,207300,0.0,0
2014-01-27,27.33,28.27,27.33,27.86,35300,0.0,0
2014-01-28,28.02,28.52,27.82,28.09,365300,0.0,0
2014-01-29,27.92,28.41,27.88,28.17,206800,0.0,0
2014-01-30,28.65,28.84,28.25,28.35,410600,0.0,0
2014-01-31,28.91,28.91,28.07,28.51,9630700,0.0,0
2014-02-03,27.82,28.41,27.78,28.1,1975000,0.0,0
2014-02-04,27.85,27.99,27.19,27.76,4408600,0.0,0
2014-02-05,27.78,28.08,27.57,27.77,1909500,0.0,0
2014-02-06,27.72,27.93,27.67,27.91,1160400,0.0,0
2014-02-07,27.63,27.8,27.47,27.56,2551200,0.0,0
2014-02-10,27.16,27.34,26.78,27.16,3137200,0.0,0
2014-02-11,27.14,27.66,27.06,27.44,1926100,0.0,0
2014-02-12,27.16,27.38,26.81,26.95,2506000,0.0,0
2014-02-13,26.69,27.59,26.69,27.16,1387700,0.0,0
2014-02-14,27.02,27.82,27.02,27.67,902900,0.0,0
2014-02-18,27.67,27.91,27.5,27.73,901000,0.0,0
2014-02-19,27.78,27.82,27.49,27.66,891000,0.0,0
2014-02-20,27.63,27.96,27.51,27.69,249600,0.0,0
2014-02-21,27.79,27.95,27.58,27.77,551200,0.0,0
2014-02-24,27.82,28.16,27.69,27.71,505200,0.0,0
2014-02-25,27.6,27.9,27.48,27.52,462100,0.0,0
2014-02-26,27.57,27.75,27.44,27.72,410600,0.0,0
2014-02-27,27.57,27.79,27.57,27.76,273100,0.0,0
2014-02-28,27.89,28.52,27.77,28.39,1129200,0.0,0
2014-03-03,28.26,29.8,28.26,29.14,1663700,0.0,0
2014-03-04,29.18,29.58,29.09,29.39,560300,0.0,0
2014-03-05,29.29,29.86,29.19,29.57,441000,0.0,0
2014-03-06,29.55,30.66,29.54,29.88,640200,0.0,0
2014-03-07,29.88,30.0,29.14,29.78,532700,0.0,0
2014-03-10,29.62,29.8,29.35,29.38,438500,0.0,0
2014-03-11,29.39,29.39,28.71,29.07,275800,0.0,0
2014-03-12,29.04,29.85,29.0,29.82,369900,0.0,0
2014-03-13,29.78,29.78,29.43,29.68,514300,0.0,0
2014-03-14,29.51,30.55,29.51,30.16,287800,0.0,0
2014-03-17,30.31,30.56,30.24,30.4,179500,0.0,0
2014-03-18,30.35,30.72,30.33,30.6,234200,0.0,0
2014-03-19,30.41,30.57,29.85,30.02,317800,0.0,0
2014-03-20,29.87,30.26,29.51,30.23,216800,0.0,0
2014-03-21,30.31,30.92,30.07,30.27,877600,0.0,0
2014-03-24,30.27,30.66,29.62,29.88,199000,0.0,0
2014-03-25,29.92,30.24,29.33,29.75,242500,0.0,0
2014-03-26,29.67,29.86,28.99,29.08,223000,0.0,0
2014-03-27,28.93,29.42,28.93,29.33,270500,0.0,0
2014-03-28,29.33,29.74,29.19,29.33,300400,0.0,0
2014-03-31,29.43,30.1,29.27,30.02,389800,0.0,0
2014-04-01,30.08,30.3,29.46,30.18,261700,0.0,0
2014-04-02,30.07,30.54,29.96,30.49,346900,0.0,0
2014-04-03,30.42,30.49,29.91,30.27,347100,0.0,0
2014-04-04,30.26,30.66,30.07,30.57,370700,0.0,0
2014-04-07,30.54,30.71,30.17,30.35,413700,0.0,0
2014-04-08,30.23,30.69,29.79,30.33,250200,0.0,0
2014-04-09,30.5,30.72,29.83,29.9,498500,0.0,0
2014-04-10,30.05,30.06,29.2,29.48,501800,0.0,0
2014-04-11,29.51,29.92,29.16,29.27,326300,0.0,0
2014-04-14,29.42,29.81,29.27,29.58,214800,0.0,0
2014-04-15,29.54,30.15,29.36,29.71,301700,0.0,0
2014-04-16,29.87,30.16,29.68,30.0,468600,0.0,0
2014-04-17,29.9,30.62,29.73,29.98,254600,0.0,0
2014-04-21,29.98,30.36,29.98,30.05,350400,0.0,0
2014-04-22,30.21,30.28,29.88,29.95,185900,0.0,0
2014-04-23,29.92,30.33,29.92,30.03,297800,0.0,0
2014-04-24,30.25,30.63,30.19,30.51,434300,0.0,0
2014-04-25,30.62,31.02,30.11,30.53,286700,0.0,0
2014-04-28,30.75,30.94,29.99,30.53,296900,0.28,0
2014-04-29,30.61,30.84,30.34,30.45,145300,0.0,0
2014-04-30,30.4,31.08,30.31,30.8,262200,0.0,0
2014-05-01,30.92,31.07,30.31,31.04,206500,0.0,0
2014-05-02,30.93,31.25,30.39,30.64,162300,0.0,0
2014-05-05,30.62,30.95,30.35,30.56,206900,0.0,0
2014-05-06,31.1,31.35,30.55,30.64,244900,0.0,0
2014-05-07,31.02,31.25,30.42,30.78,289200,0.0,0
2014-05-08,30.66,30.9,29.93,30.03,294300,0.0,0
2014-05-09,30.12,30.61,29.96,30.26,173100,0.0,0
2014-05-12,30.45,30.83,30.31,30.43,189300,0.0,0
2014-05-13,30.48,30.6,30.04,30.3,143000,0.0,0
2014-05-14,30.35,30.5,30.03,30.45,227800,0.0,0
2014-05-15,30.45,30.56,30.14,30.37,153800,0.0,0
2014-05-16,30.51,30.68,30.31,30.6,128100,0.0,0
2014-05-19,30.57,30.77,30.19,30.19,167900,0.0,0
2014-05-20,30.22,30.41,29.59,30.13,139900,0.0,0
2014-05-21,30.14,30.43,29.75,29.99,269900,0.0,0
2014-05-22,30.03,30.37,29.98,30.37,131700,0.0,0
2014-05-23,30.38,30.59,30.28,30.49,101200,0.0,0
2014-05-27,30.62,30.94,30.49,30.88,158600,0.0,0
2014-05-28,30.9,31.45,30.73,31.28,154600,0.0,0
2014-05-29,31.44,31.45,30.75,30.83,121200,0.0,0
2014-05-30,30.79,30.94,30.62,30.84,150000,0.0,0
2014-06-02,30.78,31.3,30.5,30.86,196400,0.0,0
2014-06-03,30.5,30.76,30.3,30.32,437300,0.0,0
2014-06-04,30.19,30.97,30.07,30.95,204000,0.0,0
2014-06-05,30.93,31.14,30.65,31.1,135500,0.0,0
2014-06-06,31.13,31.21,30.98,30.98,265400,0.0,0
2014-06-09,31.04,31.49,30.98,31.42,206400,0.0,0
2014-06-10,31.46,31.57,31.17,31.37,216500,0.0,0
2014-06-11,31.2,31.44,31.03,31.22,225400,0.0,0
2014-06-12,31.31,31.44,31.04,31.29,202800,0.0,0
2014-06-13,31.28,31.87,31.04,31.86,338900,0.0,0
2014-06-16,31.87,31.87,31.42,31.63,234900,0.0,0
2014-06-17,31.75,32.0,31.51,31.65,301600,0.0,0
2014-06-18,31.53,32.01,31.5,31.74,273400,0.0,0
2014-06-19,31.77,31.93,31.43,31.49,269700,0.0,0
2014-06-20,31.41,32.07,31.38,32.02,390400,0.0,0
2014-06-23,32.14,32.18,31.77,31.98,263400,0.0,0
2014-06-24,31.91,32.68,31.83,32.26,318200,0.0,0
2014-06-25,32.11,32.67,32.03,32.46,344900,0.0,0
2014-06-26,32.34,32.37,31.86,32.03,297300,0.0,0
2014-06-27,31.95,32.76,31.79,31.79,4438400,0.0,0
2014-06-30,31.86,31.93,30.92,31.79,701500,0.0,0
2014-07-01,31.89,32.52,31.46,31.47,506200,0.0,0
2014-07-02,31.51,31.81,31.16,31.36,227600,0.0,0
2014-07-03,31.42,31.68,30.99,31.22,161400,0.0,0
2014-07-07,31.0,31.31,30.49,30.78,432600,0.0,0
2014-07-08,30.66,30.91,30.6,30.9,940200,0.0,0
2014-07-09,30.92,31.13,30.62,31.03,295100,0.0,0
2014-07-10,30.57,31.21,30.55,31.15,363700,0.0,0
2014-07-11,31.02,31.18,30.78,31.1,475600,0.0,0
2014-07-14,31.25,31.26,31.06,31.18,196700,0.0,0
2014-07-15,31.07,31.33,31.03,31.2,201300,0.0,0
2014-07-16,31.22,31.31,30.72,31.12,293400,0.0,0
2014-07-17,31.0,31.49,30.91,31.3,434200,0.0,0
2014-07-18,31.2,31.79,31.14,31.76,301000,0.0,0
2014-07-21,31.55,31.67,31.35,31.52,144700,0.0,0
2014-07-22,31.61,31.81,31.44,31.8,405100,0.0,0
2014-07-23,31.74,32.22,31.74,31.89,341600,0.0,0
2014-07-24,31.87,32.3,31.85,32.27,355800,0.0,0
2014-07-25,32.04,32.47,31.64,31.67,318400,0.0,0
2014-07-28,31.67,32.04,31.47,31.91,206300,0.0,0
2014-07-29,31.84,32.11,31.72,31.79,223700,0.0,0
2014-07-30,31.89,31.94,31.13,31.27,223300,0.28,0
2014-07-31,31.01,31.01,30.54,30.54,347800,0.0,0
2014-08-01,30.56,30.63,30.03,30.34,530500,0.0,0
2014-08-04,30.5,30.74,29.41,30.69,606900,0.0,0
2014-08-05,29.61,30.63,29.56,30.29,466900,0.0,0
2014-08-06,30.26,30.62,29.7,29.72,368900,0.0,0
2014-08-07,29.83,29.86,29.33,29.72,209300,0.0,0
2014-08-08,29.65,30.29,29.62,30.17,167400,0.0,0
2014-08-11,30.28,30.54,29.79,29.88,195400,0.0,0
2014-08-12,29.96,30.25,29.77,29.99,231900,0.0,0
2014-08-13,30.01,30.26,29.9,30.11,133600,0.0,0
