Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-01,0.0,0.68,0.65,0.67,203768,0.0,0.0
1980-10-02,0.0,0.75,0.68,0.72,356366,0.0,0.0
1980-10-03,0.0,0.74,0.73,0.73,257680,0.0,0.0
1980-10-06,0.0,0.74,0.71,0.71,137978,0.0,0.0
1980-10-07,0.0,0.72,0.69,0.7,262249,0.0,0.0
1980-10-08,0.0,0.73,0.7,0.72,85893,0.0,0.0
1980-10-09,0.0,0.73,0.7,0.73,185493,0.0,0.0
1980-10-10,0.0,0.75,0.72,0.74,147115,0.0,0.0
1980-10-13,0.0,0.76,0.74,0.75,63049,0.0,0.0
1980-10-14,0.0,0.78,0.75,0.78,111479,0.0,0.0
1980-10-15,0.0,0.78,0.76,0.76,62136,0.0,0.0
1980-10-16,0.0,0.76,0.73,0.75,98686,0.0,0.0
1980-10-17,0.0,0.79,0.74,0.79,148943,0.0,0.0
1980-10-20,0.0,0.82,0.79,0.81,174528,0.0,0.0
1980-10-21,0.0,0.82,0.77,0.78,338091,0.0,0.0
1980-10-22,0.0,0.79,0.75,0.78,305196,0.0,0.0
1980-10-23,0.0,0.8,0.77,0.8,148029,0.0,0.0
1980-10-24,0.0,0.79,0.78,0.78,129754,0.0,0.0
1980-10-27,0.0,0.78,0.76,0.76,182752,0.0,0.0
1980-10-28,0.0,0.78,0.73,0.77,195545,0.0,0.0
1980-10-29,0.0,0.78,0.76,0.76,55739,0.0,0.0
1980-10-30,0.0,0.75,0.73,0.73,49343,0.0,0.0
1980-10-31,0.0,0.75,0.73,0.75,52998,0.0,0.0
1980-11-03,0.0,0.75,0.72,0.73,58481,0.0,0.0
1980-11-05,0.0,0.76,0.74,0.74,180924,0.0,0.0
1980-11-06,0.0,0.73,0.72,0.72,103255,0.0,0.0
1980-11-07,0.0,0.71,0.69,0.7,66704,0.0,0.0
1980-11-10,0.0,0.71,0.7,0.71,47516,0.0,0.0
