Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-10-02,0.0,1.49,1.47,1.47,4849200,0.0,0.0
1985-10-03,0.0,1.51,1.49,1.49,1974000,0.0,0.0
1985-10-04,0.0,1.51,1.49,1.49,694800,0.0,0.0
1985-10-07,0.0,1.49,1.47,1.47,337200,0.0,0.0
1985-10-08,0.0,1.49,1.47,1.47,436200,0.0,0.0
1985-10-09,0.0,1.47,1.45,1.45,460200,0.0,0.0
1985-10-10,0.0,1.45,1.43,1.43,655800,0.0,0.0
1985-10-11,0.0,1.45,1.43,1.43,108000,0.0,0.0
1985-10-14,0.0,1.49,1.45,1.45,61200,0.0,0.0
1985-10-15,0.0,1.51,1.45,1.47,245400,0.0,0.0
1985-10-16,0.0,1.51,1.47,1.49,135600,0.0,0.0
1985-10-17,0.0,1.51,1.47,1.5,246000,0.0,0.0
1985-10-18,0.0,1.5,1.47,1.49,657000,0.0,0.0
1985-10-21,0.0,1.49,1.45,1.49,25200,0.0,0.0
1985-10-22,0.0,1.51,1.45,1.47,63000,0.0,0.0
1985-10-23,0.0,1.51,1.48,1.51,1095600,0.0,0.0
1985-10-24,0.0,1.49,1.47,1.47,203400,0.0,0.0
1985-10-25,0.0,1.49,1.47,1.47,300000,0.0,0.0
1985-10-28,0.0,1.51,1.47,1.48,60000,0.0,0.0
1985-10-29,0.0,1.51,1.47,1.51,38400,0.0,0.0
1985-10-30,0.0,1.51,1.47,1.49,129000,0.0,0.0
1985-10-31,0.0,1.51,1.47,1.49,135000,0.0,0.0
1985-11-01,0.0,1.51,1.47,1.47,82200,0.0,0.0
1985-11-04,0.0,1.49,1.47,1.48,177000,0.0,0.0
1985-11-05,0.0,1.49,1.47,1.49,239400,0.0,0.0
1985-11-06,0.0,1.49,1.47,1.47,184800,0.0,0.0
1985-11-07,0.0,1.49,1.47,1.47,94800,0.0,0.0
1985-11-08,0.0,1.49,1.47,1.49,12000,0.0,0.0
1985-11-11,0.0,1.53,1.48,1.53,112200,0.0,0.0
1985-11-12,0.0,1.56,1.49,1.51,671400,0.0,0.0
1985-11-13,0.0,1.56,1.51,1.56,241200,0.0,0.0
1985-11-14,0.0,1.58,1.53,1.58,297000,0.0,0.0
1985-11-15,0.0,1.58,1.53,1.58,27600,0.0,0.0
1985-11-18,0.0,1.6,1.56,1.58,216600,0.0,0.0
1985-11-19,0.0,1.69,1.58,1.64,719400,0.0,0.0
1985-11-20,0.0,1.69,1.64,1.67,510000,0.0,0.0
1985-11-21,0.0,1.78,1.67,1.75,799800,0.0,0.0
1985-11-22,0.0,1.75,1.71,1.73,156000,0.0,0.0
1985-11-25,0.0,1.73,1.67,1.71,412800,0.0,0.0
1985-11-26,0.0,1.71,1.67,1.67,36600,0.0,0.0
1985-11-27,0.0,1.71,1.67,1.67,146400,0.0,0.0
1985-11-29,0.0,1.71,1.67,1.71,205800,0.0,0.0
1985-12-02,0.0,1.71,1.67,1.71,177600,0.0,0.0
1985-12-03,0.0,1.71,1.67,1.71,54600,0.0,0.0
