Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-10-15,5.41,5.57,5.3,5.57,4950,0.0,0.0
2003-10-16,5.57,5.72,5.57,5.72,15750,0.0,0.0
2003-10-17,5.72,5.72,5.72,5.72,4050,0.0,0.0
2003-10-20,5.77,5.9,5.72,5.81,29025,0.0,0.0
2003-10-21,5.75,5.79,5.75,5.75,28575,0.0,0.0
2003-10-22,5.79,5.79,5.79,5.79,2700,0.0,0.0
2003-10-23,5.79,5.79,5.75,5.79,8550,0.0,0.0
2003-10-24,5.77,5.83,5.77,5.83,4725,0.0,0.0
2003-10-27,5.7,5.83,5.7,5.81,20025,0.0,0.0
2003-10-28,5.83,5.83,5.72,5.72,900,0.0,0.0
2003-10-29,5.79,5.79,5.79,5.79,1350,0.0,0.0
2003-10-30,5.79,5.79,5.72,5.72,3825,0.0,0.0
2003-10-31,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-11-03,5.73,5.73,5.72,5.72,450,0.0,0.0
2003-11-04,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-11-05,5.73,5.73,5.72,5.72,4950,0.0,0.0
2003-11-06,5.55,5.72,5.55,5.72,1350,0.0,0.0
2003-11-07,5.53,5.72,5.53,5.72,900,0.0,0.0
2003-11-10,5.55,5.55,5.55,5.55,1800,0.0,0.0
2003-11-11,5.55,5.55,5.55,5.55,0,0.0,0.0
2003-11-12,5.55,5.55,5.55,5.55,0,0.0,0.0
2003-11-13,5.55,5.55,5.55,5.55,0,0.0,0.0
2003-11-14,5.55,5.55,5.55,5.55,0,0.0,0.0
2003-11-17,5.55,5.55,5.55,5.55,0,0.0,0.0
2003-11-18,5.72,5.72,5.72,5.72,9450,0.0,0.0
2003-11-19,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-11-20,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-11-21,5.57,5.72,5.57,5.72,16875,0.0,0.0
2003-11-24,5.73,5.73,5.73,5.73,2925,0.0,0.0
2003-11-25,5.72,5.72,5.72,5.72,4950,0.0,0.0
2003-11-26,5.72,5.72,5.72,5.72,1575,0.0,0.0
2003-11-28,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-12-01,5.72,5.72,5.72,5.72,675,0.0,0.0
2003-12-02,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-12-03,5.72,5.72,5.72,5.72,2250,0.0,0.0
2003-12-04,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-12-05,5.66,5.66,5.66,5.66,900,0.0,0.0
2003-12-08,5.66,5.66,5.66,5.66,0,0.0,0.0
2003-12-09,5.66,5.66,5.66,5.66,0,0.0,0.0
2003-12-10,5.68,5.72,5.63,5.63,58275,0.0,0.0
2003-12-11,5.63,5.63,5.63,5.63,0,0.0,0.0
2003-12-12,5.63,5.63,5.63,5.63,0,0.0,0.0
2003-12-15,5.63,5.63,5.63,5.63,0,0.0,0.0
2003-12-16,5.72,5.72,5.72,5.72,450,0.0,0.0
2003-12-17,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-12-18,5.71,5.72,5.7,5.72,6300,0.0,0.0
2003-12-19,5.72,5.72,5.72,5.72,0,0.0,0.0
2003-12-22,5.72,5.72,5.7,5.7,5400,0.0,0.0
2003-12-23,5.7,5.7,5.7,5.7,0,0.0,0.0
2003-12-24,5.7,5.7,5.7,5.7,0,0.0,0.0
2003-12-26,5.7,5.7,5.7,5.7,0,0.0,0.0
2003-12-29,5.7,5.7,5.7,5.7,0,0.0,0.0
2003-12-30,5.72,5.72,5.72,5.72,6750,0.0,0.0
2003-12-31,5.72,5.72,5.72,5.72,0,0.0,0.0
2004-01-02,5.72,5.72,5.72,5.72,3375,0.0,0.0
2004-01-05,5.72,5.72,5.72,5.72,0,0.0,0.0
2004-01-06,5.72,5.72,5.72,5.72,0,0.0,0.0
2004-01-07,5.64,5.73,5.64,5.73,675,0.0,0.0
2004-01-08,5.73,5.73,5.73,5.73,2475,0.0,0.0
2004-01-09,5.73,5.73,5.73,5.73,0,0.0,0.0
2004-01-12,5.73,5.73,5.72,5.72,1350,0.0,0.0
2004-01-13,5.66,5.66,5.66,5.66,675,0.0,0.0
2004-01-14,5.73,5.73,5.72,5.72,6750,0.0,0.0
2004-01-15,5.73,5.73,5.73,5.73,1350,0.0,0.0
2004-01-16,5.73,5.73,5.73,5.73,0,0.0,0.0
2004-01-20,5.73,5.73,5.73,5.73,6525,0.0,0.0
2004-01-21,5.81,5.81,5.79,5.79,900,0.0,0.0
2004-01-22,5.79,5.79,5.79,5.79,0,0.0,0.0
2004-01-23,5.79,5.79,5.79,5.79,0,0.0,0.0
2004-01-26,5.72,5.79,5.7,5.7,11025,0.0,0.0
2004-01-27,5.72,5.72,5.72,5.72,1800,0.0,0.0
2004-01-28,5.72,5.72,5.72,5.72,0,0.0,0.0
2004-01-29,5.72,5.72,5.72,5.72,0,0.0,0.0
2004-01-30,5.73,5.73,5.73,5.73,1125,0.0,0.0
2004-02-02,5.73,5.81,5.73,5.81,675,0.0,0.0
2004-02-03,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-04,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-05,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-06,5.88,5.88,5.88,5.88,225,0.0,0.0
2004-02-09,5.88,5.88,5.88,5.88,450,0.0,0.0
2004-02-10,5.81,5.88,5.81,5.88,13725,0.0,0.0
2004-02-11,5.89,5.9,5.89,5.9,9675,0.0,0.0
2004-02-12,5.89,5.9,5.88,5.88,13725,0.0,0.0
2004-02-13,5.88,5.88,5.88,5.88,0,0.0,0.0
2004-02-17,5.88,5.88,5.88,5.88,0,0.0,0.0
2004-02-18,5.88,5.88,5.88,5.88,675,0.0,0.0
2004-02-19,5.81,5.81,5.81,5.81,410400,0.0,0.0
2004-02-20,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-23,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-24,5.81,5.81,5.81,5.81,450,0.0,0.0
2004-02-25,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-02-26,5.81,5.81,5.81,5.81,900,0.0,0.0
2004-02-27,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-03-01,5.81,5.81,5.81,5.81,0,0.0,0.0
2004-03-02,5.81,5.81,5.81,5.81,2700,0.0,0.0
2004-03-03,5.81,5.9,5.81,5.9,3375,0.0,0.0
2004-03-04,5.93,5.93,5.9,5.93,2250,0.0,0.0
2004-03-05,6.13,6.53,6.13,6.53,1350,0.0,0.0
2004-03-08,6.5,6.5,6.5,6.5,225,0.0,0.0
2004-03-09,6.5,6.5,6.5,6.5,0,0.0,0.0
2004-03-10,6.5,6.5,6.5,6.5,0,0.0,0.0
2004-03-11,6.35,6.35,6.24,6.24,1350,0.0,0.0
2004-03-12,6.24,6.24,6.24,6.24,0,0.0,0.0
2004-03-15,6.24,6.24,6.24,6.24,0,0.0,0.0
2004-03-16,6.26,6.26,6.17,6.17,7650,0.0,0.0
2004-03-17,6.17,6.17,6.17,6.17,0,0.0,0.0
2004-03-18,6.17,6.17,6.17,6.17,0,0.0,0.0
2004-03-19,6.26,6.26,6.26,6.26,1800,0.0,0.0
2004-03-22,6.26,6.26,6.26,6.26,1350,0.0,0.0
2004-03-23,6.26,6.26,6.21,6.21,9450,0.0,0.0
2004-03-24,6.35,6.35,6.26,6.26,3600,0.0,0.0
2004-03-25,6.26,6.26,6.26,6.26,0,0.0,0.0
2004-03-26,6.44,6.44,6.44,6.44,225,0.0,0.0
2004-03-29,6.17,6.35,6.17,6.35,4275,0.0,0.0
2004-03-30,6.17,6.17,6.17,6.17,900,0.0,0.0
2004-03-31,6.89,6.89,6.71,6.71,1350,0.0,0.0
2004-04-01,6.19,6.19,6.19,6.19,450,0.0,0.0
2004-04-02,6.19,6.19,6.19,6.19,0,0.0,0.0
2004-04-05,6.19,6.19,6.19,6.19,0,0.0,0.0
2004-04-06,6.19,6.19,6.19,6.19,0,0.0,0.0
2004-04-07,6.19,6.19,6.19,6.19,0,0.0,0.0
2004-04-08,6.81,6.81,6.81,6.81,450,0.0,0.0
2004-04-12,6.81,6.81,6.81,6.81,0,0.0,0.0
2004-04-13,6.81,6.81,6.81,6.81,0,0.0,0.0
2004-04-14,6.81,6.81,6.81,6.81,0,0.0,0.0
2004-04-15,6.53,6.53,6.53,6.53,900,0.0,0.0
2004-04-16,6.53,6.53,6.53,6.53,0,0.0,0.0
2004-04-19,6.53,6.53,6.53,6.53,0,0.0,0.0
