Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-11-24,1.6926,1.7891,1.6926,1.7565,146300,0.0,0
2003-11-25,1.733,1.7521,1.7117,1.7218,87100,0.0,0
2003-11-26,1.7442,1.7442,1.7061,1.7061,163300,0.0,0
2003-11-28,1.7218,1.7218,1.6993,1.7049,122800,0.0,0
2003-12-01,1.7218,1.7666,1.7173,1.733,157600,0.0,0
2003-12-02,1.7386,1.7386,1.7106,1.7296,64400,0.0,0
2003-12-03,1.7363,1.7363,1.6993,1.724,78100,0.0,0
2003-12-04,1.7274,1.7307,1.7106,1.7274,79500,0.0,0
2003-12-05,1.7274,1.7274,1.7117,1.7195,61000,0.0,0
2003-12-08,1.7128,1.715,1.6993,1.6993,42300,0.0,0
2003-12-09,1.7106,1.7106,1.687,1.687,28300,0.0,0
2003-12-10,1.6904,1.6993,1.6634,1.6724,61500,0.0,0
2003-12-11,1.6735,1.6825,1.6657,1.6724,88200,0.0,0
2003-12-12,1.6993,1.6993,1.6545,1.6791,65000,0.0,0
2003-12-15,1.6926,1.6926,1.6623,1.6803,46200,0.0,0
2003-12-16,1.6803,1.6926,1.6713,1.6791,166400,0.0,0
2003-12-17,1.6825,1.6848,1.6601,1.6814,34300,0.0,0
2003-12-18,1.6825,1.6825,1.6242,1.6713,103100,0.0,0
2003-12-19,1.6601,1.6814,1.6601,1.669,25100,0.0,0
2003-12-22,1.6803,1.6848,1.6489,1.6848,18900,0.0,0
2003-12-23,1.6769,1.6836,1.6769,1.6836,19200,0.0,0
2003-12-24,1.6601,1.6937,1.632,1.6937,10100,0.0,0
2003-12-26,1.6881,1.6982,1.6769,1.6881,19500,0.0,0
2003-12-29,1.6881,1.7263,1.6668,1.7263,38300,0.0,0
2003-12-30,1.7263,1.7263,1.6814,1.6825,53400,0.0,0
2003-12-31,1.7049,1.7442,1.6937,1.7442,68200,0.0,0
2004-01-02,1.7442,1.7498,1.6803,1.6814,47000,0.0,0
2004-01-05,1.7364,1.7364,1.6668,1.6702,68200,0.0,0
2004-01-06,1.6769,1.7274,1.6713,1.7072,57100,0.0,0
2004-01-07,1.7274,1.7319,1.6993,1.7218,24400,0.0,0
2004-01-08,1.7218,1.7442,1.7106,1.7218,72200,0.0,0
2004-01-09,1.7442,1.8306,1.7162,1.7218,149500,0.0,0
2004-01-12,1.7666,1.8059,1.7173,1.7891,80500,0.0,0
2004-01-13,1.7835,1.7891,1.7599,1.7835,31900,0.0,0
2004-01-14,1.7891,1.816,1.7453,1.8003,57100,0.0,0
2004-01-15,1.7857,1.8317,1.7835,1.8171,90900,0.0,0
2004-01-16,1.8261,1.89,1.807,1.8788,98700,0.0,0
2004-01-20,1.89,1.8911,1.8283,1.8508,39600,0.0,0
2004-01-21,1.8238,1.8788,1.8227,1.8452,85100,0.0,0
2004-01-22,1.8496,1.8508,1.7947,1.8227,52900,0.0,0
2004-01-23,1.8227,1.8227,1.733,1.7947,58600,0.0,0
2004-01-26,1.7947,1.8227,1.7442,1.7599,73500,0.0,0
2004-01-27,1.7992,1.8048,1.7666,1.798,105900,0.0,0
2004-01-28,1.798,1.8171,1.7195,1.7633,119300,0.0,0
2004-01-29,1.7263,1.8216,1.6993,1.8037,65300,0.0,0
2004-01-30,1.8081,1.8227,1.7722,1.8137,22300,0.0,0
2004-02-02,1.8126,1.8126,1.7386,1.7666,60900,0.0,0
2004-02-03,1.7835,1.8609,1.7218,1.7453,80900,0.0,0
2004-02-04,1.7397,1.7543,1.6993,1.7274,38000,0.0,0
2004-02-05,1.7285,1.7307,1.6948,1.7206,41400,0.0,0
2004-02-06,1.6948,1.7218,1.6892,1.7162,41700,0.0,0
2004-02-09,1.7162,1.7162,1.6825,1.696,41500,0.0,0
2004-02-10,1.6881,1.7049,1.6724,1.7005,40300,0.0,0
2004-02-11,1.7049,1.7162,1.6747,1.6747,34700,0.0,0
2004-02-12,1.6825,1.7106,1.6735,1.6769,61900,0.0,0
2004-02-13,1.6791,1.6848,1.6735,1.6825,98000,0.0,0
2004-02-17,1.6825,1.6825,1.6601,1.6623,41500,0.0,0
2004-02-18,1.6657,1.7027,1.6578,1.6859,293500,0.0,0
2004-02-19,1.6859,1.7038,1.6769,1.6859,31800,0.0,0
2004-02-20,1.6881,1.7162,1.6825,1.7049,73900,0.0,0
2004-02-23,1.7049,1.7162,1.6791,1.7061,46900,0.0,0
2004-02-24,1.7162,1.7162,1.6825,1.6836,43500,0.0,0
2004-02-25,1.6892,1.7162,1.6892,1.7049,44800,0.0,0
2004-02-26,1.7162,1.7162,1.6915,1.715,43000,0.0,0
2004-02-27,1.6937,1.7162,1.6836,1.6881,50200,0.0,0
2004-03-01,1.7094,1.7162,1.6825,1.6825,13500,0.0,0
2004-03-02,1.6825,1.7106,1.6791,1.6948,48500,0.0,0
2004-03-03,1.7016,1.7016,1.6601,1.6803,55700,0.0,0
2004-03-04,1.6825,1.6937,1.6803,1.6803,59600,0.0,0
2004-03-05,1.6825,1.6993,1.6724,1.6724,160100,0.0,0
2004-03-08,1.6982,1.6982,1.6825,1.6825,11300,0.0,0
2004-03-09,1.6881,1.6937,1.6724,1.6724,19800,0.0,0
2004-03-10,1.6881,1.6881,1.6051,1.6388,184500,0.0,0
2004-03-11,1.6489,1.6715,1.6433,1.6433,19300,0.1,0
2004-03-12,1.6433,1.7054,1.6365,1.6896,41300,0.0,0
2004-03-15,1.6602,1.6851,1.6602,1.6738,17200,0.0,0
2004-03-16,1.6851,1.6998,1.6523,1.6546,54500,0.0,0
2004-03-17,1.6546,1.6636,1.6433,1.6433,22300,0.0,0
2004-03-18,1.6433,1.658,1.5823,1.5879,86300,0.0,0
2004-03-19,1.6117,1.615,1.5868,1.5958,103900,0.0,0
2004-03-22,1.5857,1.6071,1.5473,1.5925,87400,0.0,0
2004-03-23,1.5925,1.597,1.5586,1.5654,80800,0.0,0
2004-03-24,1.5812,1.5812,1.5721,1.5812,42100,0.0,0
2004-03-25,1.5812,1.5879,1.5699,1.5868,67000,0.0,0
2004-03-26,1.5891,1.6342,1.5834,1.6026,16200,0.0,0
2004-03-29,1.6038,1.6309,1.6038,1.6241,22100,0.0,0
2004-03-30,1.6241,1.6715,1.6184,1.6433,31400,0.0,0
2004-03-31,1.6433,1.6489,1.5902,1.6478,64600,0.0,0
2004-04-01,1.6489,1.711,1.6433,1.6964,54100,0.0,0
2004-04-02,1.7223,1.7291,1.658,1.6952,28900,0.0,0
2004-04-05,1.6806,1.711,1.6693,1.6783,33200,0.0,0
2004-04-06,1.7167,1.7167,1.5958,1.6715,33800,0.0,0
2004-04-07,1.7348,1.7348,1.6241,1.6907,39400,0.0,0
2004-04-08,1.6647,1.6941,1.6546,1.693,29700,0.0,0
2004-04-12,1.6715,1.6941,1.6715,1.6941,27700,0.0,0
2004-04-13,1.6998,1.6998,1.5721,1.6354,71700,0.0,0
2004-04-14,1.5992,1.6241,1.5631,1.6241,38200,0.0,0
2004-04-15,1.6342,1.6489,1.6263,1.6275,17900,0.0,0
2004-04-16,1.5812,1.6376,1.5597,1.632,9500,0.0,0
2004-04-19,1.6376,1.6376,1.5857,1.6376,14100,0.0,0
2004-04-20,1.632,1.6512,1.5925,1.6105,16800,0.0,0
2004-04-21,1.6376,1.6659,1.6071,1.6128,19500,0.0,0
2004-04-22,1.5416,1.6365,1.5416,1.6354,22700,0.0,0
2004-04-23,1.6128,1.676,1.5868,1.6207,24700,0.0,0
2004-04-26,1.6105,1.6173,1.6094,1.6094,12600,0.0,0
2004-04-27,1.6038,1.6263,1.5699,1.5981,60100,0.0,0
2004-04-28,1.5846,1.597,1.5733,1.5868,39600,0.0,0
2004-04-29,1.5733,1.6049,1.5473,1.5529,17400,0.0,0
2004-04-30,1.5529,1.6094,1.5529,1.5981,22600,0.0,0
2004-05-03,1.536,1.6184,1.4253,1.5812,125200,0.0,0
2004-05-04,1.5834,1.6094,1.5721,1.5879,22700,0.0,0
2004-05-05,1.6026,1.6026,1.5812,1.597,8900,0.0,0
2004-05-06,1.5925,1.6083,1.58,1.6083,13100,0.0,0
2004-05-07,1.5778,1.5868,1.571,1.5812,13300,0.0,0
2004-05-10,1.571,1.5891,1.5541,1.5868,14300,0.0,0
2004-05-11,1.571,1.6207,1.5699,1.5925,13700,0.0,0
2004-05-12,1.5484,1.5936,1.5371,1.5936,12700,0.0,0
2004-05-13,1.6094,1.6094,1.5755,1.5857,5700,0.0,0
2004-05-14,1.5857,1.6489,1.5586,1.615,13600,0.0,0
2004-05-17,1.5879,1.5879,1.5382,1.5563,5500,0.0,0
2004-05-18,1.5699,1.5947,1.5473,1.5586,8600,0.0,0
2004-05-19,1.5812,1.5947,1.5416,1.5812,11000,0.0,0
2004-05-20,1.5812,1.6049,1.5766,1.5766,8000,0.0,0
2004-05-21,1.5755,1.5789,1.5755,1.5789,2000,0.0,0
2004-05-24,1.5597,1.6004,1.5586,1.5812,21200,0.0,0
2004-05-25,1.5812,1.6071,1.5416,1.58,36100,0.0,0
2004-05-26,1.5371,1.6094,1.5371,1.5981,7800,0.0,0
2004-05-27,1.5947,1.6071,1.5755,1.5755,5200,0.0,0
2004-05-28,1.5699,1.5913,1.5699,1.5913,2500,0.0,0
2004-06-01,1.5812,1.6263,1.5812,1.6263,18400,0.0,0
2004-06-02,1.6263,1.6263,1.5868,1.5947,26400,0.0,0
2004-06-03,1.597,1.6309,1.5789,1.5913,15700,0.0,0
2004-06-04,1.5812,1.6173,1.5552,1.5879,24400,0.0,0
2004-06-07,1.5744,1.5755,1.5157,1.5654,6000,0.0,0
2004-06-08,1.5938,1.6029,1.5449,1.5904,14200,0.11,0
2004-06-09,1.5995,1.6382,1.5813,1.6314,42800,0.0,0
2004-06-10,1.6382,1.6382,1.6132,1.6246,9400,0.0,0
2004-06-14,1.6359,1.6598,1.6154,1.6257,37100,0.0,0
2004-06-15,1.6496,1.6496,1.5813,1.6143,20500,0.0,0
2004-06-16,1.6291,1.6496,1.6234,1.6291,5300,0.0,0
2004-06-17,1.6234,1.6234,1.5802,1.5813,55000,0.0,0
2004-06-18,1.5927,1.5927,1.5255,1.554,17200,0.0,0
2004-06-21,1.5403,1.5414,1.5027,1.5198,51400,0.0,0
2004-06-22,1.5369,1.5858,1.5198,1.571,23700,0.0,0
2004-06-23,1.5813,1.5938,1.5312,1.5756,42000,0.0,0
2004-06-24,1.5517,1.5517,1.4447,1.5027,90700,0.0,0
2004-06-25,1.4993,1.5312,1.4857,1.5005,9700,0.0,0
2004-06-28,1.5232,1.5232,1.497,1.5016,55900,0.0,0
2004-06-29,1.497,1.5084,1.4766,1.4766,23500,0.0,0
2004-06-30,1.4857,1.546,1.4857,1.538,39600,0.0,0
2004-07-01,1.538,1.546,1.4936,1.5255,22000,0.0,0
2004-07-02,1.5107,1.5107,1.4925,1.4993,22300,0.0,0
2004-07-06,1.5073,1.5073,1.4686,1.4766,29500,0.0,0
2004-07-07,1.472,1.5403,1.4549,1.48,40100,0.0,0
2004-07-08,1.4925,1.5027,1.4629,1.4686,45100,0.0,0
2004-07-09,1.4663,1.5005,1.4663,1.4891,19800,0.0,0
2004-07-12,1.4686,1.4902,1.4652,1.4743,17500,0.0,0
2004-07-13,1.4743,1.48,1.4686,1.4686,11200,0.0,0
2004-07-14,1.4709,1.4948,1.4686,1.4686,27100,0.0,0
2004-07-15,1.5027,1.5027,1.4629,1.4652,15600,0.0,0
2004-07-16,1.4356,1.4743,1.4356,1.4663,15500,0.0,0
2004-07-19,1.464,1.4697,1.4435,1.4595,4000,0.0,0
2004-07-20,1.4572,1.48,1.4458,1.4663,20000,0.0,0
2004-07-21,1.4686,1.4743,1.4538,1.4538,8800,0.0,0
2004-07-22,1.4731,1.4743,1.3707,1.4526,32200,0.0,0
2004-07-23,1.4356,1.4686,1.4048,1.4276,38300,0.0,0
2004-07-26,1.4731,1.4731,1.3718,1.3969,52200,0.0,0
2004-07-27,1.3775,1.3889,1.3684,1.3798,29900,0.0,0
2004-07-28,1.3684,1.3889,1.3547,1.3627,33100,0.0,0
2004-07-29,1.3593,1.3798,1.357,1.3638,42500,0.0,0
2004-07-30,1.3638,1.3889,1.3582,1.3638,36300,0.0,0
2004-08-02,1.357,1.3843,1.357,1.3661,31500,0.0,0
2004-08-03,1.3616,1.3821,1.3582,1.3661,22800,0.0,0
2004-08-04,1.3775,1.3775,1.3616,1.3684,24100,0.0,0
2004-08-05,1.365,1.406,1.365,1.3843,66600,0.0,0
2004-08-06,1.3718,1.373,1.3525,1.357,21500,0.0,0
2004-08-09,1.3684,1.3832,1.3547,1.3547,22600,0.0,0
2004-08-10,1.3547,1.3843,1.3456,1.3843,22900,0.0,0
2004-08-11,1.3661,1.3832,1.3604,1.3604,22000,0.0,0
2004-08-12,1.3604,1.3684,1.3604,1.3616,17000,0.0,0
2004-08-13,1.3604,1.3695,1.3547,1.3638,19300,0.0,0
2004-08-16,1.3741,1.3741,1.3547,1.365,17700,0.0,0
2004-08-17,1.3661,1.3934,1.3547,1.3718,39700,0.0,0
2004-08-18,1.373,1.431,1.3638,1.4287,12900,0.0,0
2004-08-19,1.4401,1.4515,1.3912,1.4401,16000,0.0,0
2004-08-20,1.4185,1.4606,1.4094,1.4561,43600,0.0,0
2004-08-23,1.4652,1.4663,1.3946,1.423,10200,0.0,0
2004-08-24,1.447,1.4618,1.4344,1.4515,48000,0.0,0
2004-08-25,1.4572,1.48,1.4572,1.4788,23300,0.0,0
2004-08-26,1.4606,1.464,1.4356,1.4549,13800,0.0,0
2004-08-27,1.4561,1.4561,1.4401,1.4492,16200,0.0,0
2004-08-30,1.4492,1.4618,1.4481,1.4572,38800,0.0,0
2004-08-31,1.4481,1.5073,1.4481,1.5062,34000,0.0,0
2004-09-01,1.5073,1.5654,1.5027,1.5403,29200,0.0,0
2004-09-02,1.5244,1.5938,1.5244,1.5836,30300,0.0,0
2004-09-03,1.5779,1.5893,1.554,1.5597,95900,0.0,0
2004-09-07,1.5642,1.5813,1.5358,1.5654,11800,0.0,0
2004-09-08,1.5722,1.5722,1.5275,1.5378,16100,0.11,0
2004-09-09,1.5516,1.5711,1.5022,1.5126,23400,0.0,0
2004-09-10,1.524,1.5676,1.4976,1.555,33300,0.0,0
2004-09-13,1.5562,1.5837,1.555,1.5826,41000,0.0,0
2004-09-14,1.5837,1.617,1.5539,1.617,145800,0.0,0
2004-09-15,1.6021,1.6193,1.5493,1.6193,16200,0.0,0
2004-09-16,1.6067,1.6067,1.6009,1.6009,3000,0.0,0
2004-09-17,1.6136,1.6136,1.6009,1.6009,8600,0.0,0
2004-09-20,1.5837,1.6067,1.5791,1.6009,26600,0.0,0
2004-09-21,1.5791,1.6572,1.5527,1.6239,54400,0.0,0
2004-09-22,1.6354,1.6354,1.5791,1.617,23800,0.0,0
2004-09-23,1.5837,1.6078,1.578,1.5998,145500,0.0,0
2004-09-24,1.5676,1.6055,1.5504,1.5906,43600,0.0,0
2004-09-27,1.6067,1.6067,1.555,1.5608,11200,0.0,0
2004-09-28,1.586,1.6067,1.5493,1.6009,65000,0.0,0
2004-09-29,1.5906,1.6067,1.5895,1.5895,15800,0.0,0
2004-09-30,1.5952,1.6067,1.5895,1.6055,14800,0.0,0
2004-10-01,1.6067,1.625,1.594,1.6044,93200,0.0,0
2004-10-04,1.6009,1.6067,1.5768,1.5895,8900,0.0,0
2004-10-05,1.5906,1.6262,1.5895,1.6055,52600,0.0,0
2004-10-06,1.6067,1.6227,1.5895,1.6216,30200,0.0,0
2004-10-07,1.6227,1.6549,1.6227,1.6342,104700,0.0,0
2004-10-08,1.6457,1.6457,1.617,1.617,29100,0.0,0
2004-10-11,1.6296,1.6354,1.5963,1.6078,6500,0.0,0
2004-10-12,1.5952,1.6721,1.5952,1.6411,74900,0.0,0
2004-10-13,1.6491,1.6744,1.6491,1.664,34600,0.0,0
2004-10-14,1.6583,1.6744,1.6583,1.664,17300,0.0,0
2004-10-15,1.6698,1.6709,1.664,1.664,6900,0.0,0
2004-10-18,1.664,1.6663,1.6354,1.6583,13900,0.0,0
2004-10-19,1.6354,1.687,1.6227,1.687,9400,0.0,0
2004-10-20,1.6468,1.7122,1.6457,1.6847,27800,0.0,0
2004-10-21,1.6859,1.7203,1.6652,1.7145,11800,0.0,0
2004-10-22,1.6904,1.7088,1.6847,1.7077,9100,0.0,0
2004-10-25,1.7077,1.7077,1.6468,1.6767,5600,0.0,0
2004-10-26,1.656,1.656,1.625,1.6457,13200,0.0,0
2004-10-27,1.6354,1.6767,1.6354,1.6767,6600,0.0,0
2004-10-28,1.6778,1.6778,1.6411,1.6629,7500,0.0,0
2004-10-29,1.6778,1.6927,1.6342,1.6342,7800,0.0,0
2004-11-01,1.6411,1.664,1.6239,1.664,10500,0.0,0
2004-11-02,1.648,1.6939,1.6239,1.664,7100,0.0,0
2004-11-03,1.6859,1.687,1.6698,1.6767,5400,0.0,0
2004-11-04,1.6698,1.6721,1.6698,1.6698,4600,0.0,0
2004-11-05,1.6411,1.6595,1.6216,1.6308,18400,0.0,0
2004-11-08,1.6239,1.6457,1.6124,1.6181,10100,0.0,0
2004-11-09,1.6216,1.6606,1.6181,1.6606,8400,0.0,0
2004-11-10,1.6526,1.6813,1.6296,1.6813,23200,0.0,0
2004-11-11,1.6824,1.718,1.6744,1.687,20200,0.0,0
2004-11-12,1.7077,1.7214,1.6388,1.6927,12700,0.0,0
2004-11-15,1.6859,1.6927,1.6296,1.6916,19700,0.0,0
2004-11-16,1.7042,1.7145,1.6698,1.6927,53400,0.0,0
2004-11-17,1.6927,1.7214,1.6698,1.6847,61600,0.0,0
2004-11-18,1.7019,1.7145,1.6996,1.7054,37900,0.0,0
2004-11-19,1.7145,1.7145,1.6744,1.6744,33900,0.0,0
2004-11-22,1.6698,1.7191,1.6698,1.6985,32400,0.0,0
2004-11-23,1.6859,1.7042,1.6859,1.6927,23900,0.0,0
2004-11-24,1.7042,1.718,1.6962,1.7157,39100,0.0,0
2004-11-26,1.71,1.7191,1.7008,1.7191,45900,0.0,0
2004-11-29,1.7157,1.7214,1.71,1.7157,41400,0.0,0
2004-11-30,1.7203,1.7329,1.7157,1.7318,176700,0.0,0
2004-12-01,1.7318,1.8018,1.7134,1.8018,108800,0.0,0
2004-12-02,1.8086,1.8132,1.7559,1.7788,81800,0.0,0
2004-12-03,1.788,1.8109,1.7582,1.7972,54000,0.0,0
2004-12-06,1.7845,1.8155,1.7524,1.7972,17500,0.0,0
2004-12-07,1.78,1.7845,1.7272,1.7318,33400,0.0,0
2004-12-08,1.7329,1.8018,1.7272,1.7673,22400,0.0,0
2004-12-09,1.8018,1.8018,1.7214,1.7593,51600,0.0,0
2004-12-10,1.7421,1.7604,1.7386,1.7386,1700,0.0,0
2004-12-13,1.7593,1.7788,1.7042,1.7547,15300,0.0,0
2004-12-14,1.6927,1.7673,1.6927,1.7524,17800,0.0,0
2004-12-15,1.7306,1.765,1.7226,1.765,14400,0.0,0
2004-12-16,1.7214,1.7559,1.7214,1.7559,11500,0.0,0
2004-12-17,1.7547,1.7673,1.7398,1.7409,7900,0.0,0
2004-12-20,1.7409,1.7513,1.7272,1.7272,6300,0.0,0
2004-12-21,1.7249,1.749,1.7042,1.7226,31700,0.0,0
2004-12-22,1.7249,1.7306,1.7042,1.7157,26100,0.0,0
2004-12-23,1.7214,1.7295,1.695,1.726,37900,0.0,0
2004-12-27,1.6879,1.733,1.6509,1.7295,82000,0.11,0
2004-12-28,1.733,1.7341,1.7075,1.711,10400,0.0,0
2004-12-29,1.725,1.7308,1.6423,1.7052,49700,0.11,0
2004-12-30,1.7087,1.7238,1.6958,1.7238,19200,0.0,0
2004-12-31,1.7296,1.7692,1.7238,1.7483,24700,0.0,0
2005-01-03,1.7646,1.8706,1.7564,1.803,44900,0.0,0
2005-01-04,1.7983,1.8286,1.7646,1.7983,44800,0.0,0
2005-01-05,1.7983,1.8135,1.7191,1.7355,61800,0.0,0
2005-01-06,1.7308,1.7599,1.718,1.7355,17600,0.0,0
2005-01-07,1.7704,1.7937,1.7296,1.7308,28900,0.0,0
2005-01-10,1.7355,1.7471,1.7145,1.7285,20000,0.0,0
2005-01-11,1.7145,1.7168,1.6551,1.6889,64400,0.0,0
2005-01-12,1.6726,1.6947,1.6656,1.6656,31500,0.0,0
2005-01-13,1.676,1.7203,1.6656,1.718,47000,0.0,0
2005-01-14,1.7191,1.7459,1.6854,1.69,23300,0.0,0
2005-01-18,1.6539,1.69,1.6539,1.6889,39500,0.0,0
2005-01-19,1.69,1.7052,1.69,1.6959,11300,0.0,0
2005-01-20,1.7017,1.718,1.6854,1.718,31400,0.0,0
2005-01-21,1.6889,1.7529,1.6889,1.7355,54200,0.0,0
2005-01-24,1.7529,1.7529,1.7052,1.7122,47400,0.0,0
2005-01-25,1.7098,1.7122,1.6632,1.6714,279500,0.0,0
2005-01-26,1.6609,1.6772,1.6597,1.6656,217200,0.0,0
2005-01-27,1.6691,1.683,1.6632,1.683,110900,0.0,0
2005-01-28,1.683,1.6889,1.6458,1.6889,87500,0.0,0
2005-01-31,1.6656,1.7599,1.6656,1.7122,79900,0.0,0
2005-02-01,1.7122,1.7238,1.7075,1.7215,54100,0.0,0
2005-02-02,1.8135,1.8135,1.7413,1.7471,208300,0.0,0
2005-02-03,1.7587,1.7587,1.718,1.7238,66500,0.0,0
2005-02-04,1.7238,1.7692,1.7157,1.7657,21900,0.0,0
2005-02-07,1.7646,1.7704,1.7273,1.7436,20400,0.0,0
2005-02-08,1.7471,1.7704,1.7273,1.7273,21900,0.0,0
2005-02-09,1.7133,1.7576,1.7133,1.7448,81700,0.0,0
2005-02-10,1.725,1.7529,1.725,1.7413,30400,0.0,0
2005-02-11,1.7471,1.7529,1.7448,1.7471,24600,0.0,0
2005-02-14,1.7506,1.7599,1.7471,1.7541,26800,0.0,0
2005-02-15,1.7564,1.7704,1.7529,1.7646,48500,0.0,0
2005-02-16,1.7716,1.7879,1.7646,1.7855,75600,0.0,0
2005-02-17,1.7844,1.7925,1.7506,1.7506,18200,0.0,0
2005-02-18,1.7541,1.7844,1.7506,1.7622,14600,0.0,0
2005-02-22,1.7471,1.7576,1.7471,1.7529,26800,0.0,0
2005-02-23,1.7541,1.7611,1.7471,1.7529,23700,0.0,0
2005-02-24,1.7471,1.7646,1.7471,1.7646,30700,0.0,0
2005-02-25,1.7704,1.7762,1.7646,1.7762,73900,0.0,0
2005-02-28,1.7762,1.7762,1.7611,1.7751,9200,0.0,0
2005-03-01,1.7599,1.7762,1.7587,1.7762,32800,0.0,0
2005-03-02,1.7704,1.7762,1.7506,1.7739,51200,0.0,0
2005-03-03,1.7681,1.7716,1.7587,1.7599,123200,0.0,0
2005-03-04,1.7587,1.7844,1.7587,1.7681,21400,0.0,0
2005-03-07,1.7587,1.7937,1.7587,1.7879,41000,0.0,0
2005-03-08,1.7867,1.8455,1.7867,1.8243,31500,0.14,0
2005-03-09,1.8455,1.8455,1.7984,1.8149,37600,0.0,0
2005-03-10,1.8302,1.8302,1.7808,1.789,15900,0.0,0
