Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-10,8.33,8.89,8.12,8.81,4343100,0.0,0
2010-02-11,8.8,8.99,8.63,8.9,889900,0.0,0
2010-02-12,8.94,11.87,8.8,9.04,805500,0.0,0
2010-02-16,9.46,9.59,8.91,9.27,392500,0.0,0
2010-02-17,9.33,9.34,9.03,9.34,644100,0.0,0
2010-02-18,9.21,9.75,9.21,9.75,819200,0.0,0
2010-02-19,9.75,10.17,9.49,10.1,2028600,0.0,0
2010-02-22,10.07,10.16,9.5,9.6,1016600,0.0,0
2010-02-23,9.48,9.79,9.46,9.59,258100,0.0,0
2010-02-24,9.55,9.59,9.02,9.54,614400,0.0,0
2010-02-25,9.43,9.76,9.27,9.57,282900,0.0,0
2010-02-26,9.6,9.6,9.38,9.46,260100,0.0,0
2010-03-01,9.49,9.71,9.45,9.6,225500,0.0,0
2010-03-02,9.58,10.28,9.38,10.07,465800,0.0,0
2010-03-03,9.89,9.97,9.62,9.63,305800,0.0,0
2010-03-04,9.62,9.75,9.55,9.72,217500,0.0,0
2010-03-05,9.71,9.89,9.67,9.83,278200,0.0,0
2010-03-08,9.75,9.89,9.72,9.8,214700,0.0,0
2010-03-09,9.66,9.97,9.66,9.94,455900,0.0,0
2010-03-10,9.79,10.19,9.79,9.99,222100,0.0,0
2010-03-11,10.01,10.22,9.94,10.09,377100,0.315,0
2010-03-12,9.98,10.31,9.98,10.15,314500,0.0,0
2010-03-15,10.18,10.32,10.09,10.27,349100,0.0,0
2010-03-16,10.26,10.83,10.25,10.69,758000,0.0,0
2010-03-17,10.65,10.96,10.64,10.96,340400,0.0,0
2010-03-18,10.91,11.07,10.88,11.03,306500,0.0,0
2010-03-19,11.15,11.19,10.68,11.15,1700000,0.0,0
2010-03-22,11.2,11.31,10.93,11.25,251600,0.0,0
2010-03-23,11.16,11.25,10.93,11.13,204700,0.0,0
2010-03-24,11.07,11.32,11.07,11.12,405800,0.0,0
2010-03-25,11.1,11.26,11.07,11.12,450200,0.0,0
2010-03-26,11.13,11.44,11.09,11.42,429600,0.0,0
2010-03-29,11.35,11.78,11.32,11.62,733000,0.0,0
2010-03-30,11.55,11.65,11.11,11.23,311900,0.0,0
2010-03-31,11.17,11.5,11.06,11.42,2044300,0.0,0
2010-04-01,11.36,11.49,11.21,11.3,290400,0.0,0
2010-04-05,11.37,11.45,11.27,11.36,685300,0.0,0
2010-04-06,11.3,11.5,11.3,11.39,668900,0.0,0
2010-04-07,11.43,11.56,11.15,11.27,218000,0.0,0
2010-04-08,11.22,11.56,11.2,11.38,157900,0.0,0
2010-04-09,11.44,11.62,11.27,11.58,154700,0.0,0
2010-04-12,11.5,11.64,11.35,11.58,126000,0.0,0
2010-04-13,11.51,11.67,11.36,11.52,275200,0.0,0
2010-04-14,11.51,11.57,11.37,11.56,282900,0.0,0
2010-04-15,11.47,11.56,11.03,11.39,285100,0.0,0
2010-04-16,11.31,11.49,11.18,11.21,146400,0.0,0
2010-04-19,11.14,11.49,11.14,11.2,163800,0.0,0
2010-04-20,11.34,11.4,11.06,11.2,167400,0.0,0
2010-04-21,11.16,11.28,11.11,11.19,107400,0.0,0
2010-04-22,11.08,11.28,11.08,11.25,125200,0.0,0
2010-04-23,11.22,11.53,11.22,11.5,187400,0.0,0
2010-04-26,11.53,11.56,11.31,11.53,271600,0.0,0
2010-04-27,11.42,11.54,11.27,11.27,172200,0.0,0
2010-04-28,11.27,11.56,11.15,11.37,150300,0.0,0
2010-04-29,11.4,11.62,11.32,11.57,269900,0.0,0
2010-04-30,11.54,11.61,11.45,11.53,277500,0.0,0
2010-05-03,11.53,11.65,11.42,11.65,180100,0.0,0
2010-05-04,11.49,11.95,11.45,11.71,528600,0.0,0
2010-05-05,11.59,11.59,11.42,11.5,154200,0.0,0
2010-05-06,11.5,11.61,11.19,11.24,267700,0.0,0
2010-05-07,11.27,11.48,11.12,11.18,512500,0.0,0
2010-05-10,11.41,11.46,11.12,11.39,495200,0.0,0
