Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.44,0.43,0.44,318600,0.0,0.0
1972-06-02,0.44,0.44,0.44,0.44,140400,0.0,0.0
1972-06-05,0.44,0.44,0.42,0.43,469800,0.00463,0.0
1972-06-06,0.43,0.43,0.43,0.43,140400,0.0,0.0
1972-06-07,0.43,0.43,0.42,0.42,178200,0.0,0.0
1972-06-08,0.42,0.43,0.42,0.42,432000,0.0,0.0
1972-06-09,0.42,0.43,0.42,0.43,199800,0.0,0.0
1972-06-12,0.43,0.43,0.42,0.42,183600,0.0,0.0
1972-06-13,0.42,0.43,0.42,0.43,415800,0.0,0.0
1972-06-14,0.43,0.43,0.43,0.43,216000,0.0,0.0
1972-06-15,0.43,0.43,0.43,0.43,178200,0.0,0.0
1972-06-16,0.43,0.43,0.43,0.43,183600,0.0,0.0
1972-06-19,0.43,0.43,0.43,0.43,324000,0.0,0.0
1972-06-20,0.43,0.43,0.43,0.43,129600,0.0,0.0
1972-06-21,0.43,0.43,0.43,0.43,356400,0.0,0.0
1972-06-22,0.43,0.43,0.43,0.43,324000,0.0,0.0
1972-06-23,0.43,0.44,0.43,0.44,275400,0.0,0.0
1972-06-26,0.44,0.44,0.43,0.43,194400,0.0,0.0
1972-06-27,0.43,0.43,0.43,0.43,669600,0.0,0.0
1972-06-28,0.43,0.43,0.43,0.43,75600,0.0,0.0
1972-06-29,0.43,0.43,0.42,0.43,280800,0.0,0.0
1972-06-30,0.43,0.43,0.42,0.43,135000,0.0,0.0
1972-07-03,0.43,0.43,0.42,0.42,216000,0.0,0.0
1972-07-05,0.42,0.43,0.42,0.43,372600,0.0,0.0
1972-07-06,0.43,0.43,0.43,0.43,793800,0.0,0.0
1972-07-07,0.43,0.43,0.42,0.42,259200,0.0,0.0
1972-07-10,0.42,0.43,0.42,0.42,372600,0.0,0.0
1972-07-11,0.42,0.43,0.42,0.43,1080000,0.0,0.0
1972-07-12,0.43,0.43,0.43,0.43,367200,0.0,0.0
1972-07-13,0.43,0.43,0.42,0.43,302400,0.0,0.0
1972-07-14,0.43,0.45,0.43,0.45,993600,0.0,0.0
1972-07-17,0.45,0.45,0.44,0.44,561600,0.0,0.0
1972-07-18,0.44,0.44,0.44,0.44,302400,0.0,0.0
1972-07-19,0.44,0.44,0.43,0.43,356400,0.0,0.0
1972-07-20,0.43,0.43,0.43,0.43,243000,0.0,0.0
1972-07-21,0.43,0.43,0.43,0.43,275400,0.0,0.0
1972-07-24,0.43,0.43,0.43,0.43,410400,0.0,0.0
1972-07-25,0.43,0.43,0.43,0.43,469800,0.0,0.0
1972-07-26,0.43,0.43,0.43,0.43,145800,0.0,0.0
1972-07-27,0.43,0.45,0.43,0.45,739800,0.0,0.0
1972-07-28,0.45,0.45,0.44,0.44,318600,0.0,0.0
1972-07-31,0.44,0.45,0.44,0.44,167400,0.0,0.0
1972-08-01,0.44,0.45,0.44,0.45,783000,0.0,0.0
1972-08-02,0.45,0.45,0.45,0.45,523800,0.0,0.0
1972-08-03,0.45,0.45,0.45,0.45,410400,0.0,0.0
1972-08-04,0.45,0.45,0.44,0.45,432000,0.0,0.0
1972-08-07,0.45,0.45,0.44,0.45,151200,0.0,0.0
1972-08-08,0.45,0.45,0.44,0.44,329400,0.0,0.0
1972-08-09,0.44,0.44,0.44,0.44,669600,0.0,0.0
1972-08-10,0.44,0.44,0.44,0.44,372600,0.0,0.0
1972-08-11,0.44,0.45,0.44,0.44,480600,0.0,0.0
1972-08-14,0.45,0.45,0.45,0.45,756000,0.0,0.0
1972-08-15,0.45,0.45,0.45,0.45,291600,0.0,0.0
1972-08-16,0.45,0.45,0.44,0.44,194400,0.0,0.0
1972-08-17,0.44,0.45,0.44,0.45,280800,0.0,0.0
1972-08-18,0.45,0.45,0.44,0.45,923400,0.0,0.0
1972-08-21,0.45,0.45,0.45,0.45,378000,0.0,0.0
1972-08-22,0.45,0.45,0.45,0.45,248400,0.0,0.0
1972-08-23,0.45,0.45,0.45,0.45,172800,0.0,0.0
1972-08-24,0.45,0.45,0.44,0.44,691200,0.0,0.0
1972-08-25,0.44,0.44,0.44,0.44,491400,0.0,0.0
1972-08-28,0.44,0.44,0.44,0.44,210600,0.0,0.0
1972-08-29,0.44,0.45,0.44,0.44,286200,0.0,0.0
1972-08-30,0.44,0.45,0.44,0.44,329400,0.0,0.0
1972-08-31,0.44,0.44,0.44,0.44,270000,0.0,0.0
1972-09-01,0.44,0.44,0.44,0.44,507600,0.00463,0.0
1972-09-05,0.44,0.44,0.44,0.44,113400,0.0,0.0
1972-09-06,0.44,0.44,0.44,0.44,799200,0.0,0.0
1972-09-07,0.44,0.44,0.43,0.43,156600,0.0,0.0
1972-09-08,0.43,0.43,0.43,0.43,178200,0.0,0.0
1972-09-11,0.43,0.43,0.43,0.43,216000,0.0,0.0
1972-09-12,0.43,0.43,0.43,0.43,426600,0.0,0.0
1972-09-13,0.43,0.43,0.43,0.43,221400,0.0,0.0
1972-09-14,0.43,0.43,0.43,0.43,567000,0.0,0.0
1972-09-15,0.43,0.43,0.42,0.42,750600,0.0,0.0
1972-09-18,0.42,0.42,0.41,0.42,637200,0.0,0.0
1972-09-19,0.42,0.42,0.41,0.41,275400,0.0,0.0
1972-09-20,0.41,0.41,0.41,0.41,324000,0.0,0.0
1972-09-21,0.41,0.41,0.41,0.41,378000,0.0,0.0
1972-09-22,0.41,0.41,0.4,0.41,372600,0.0,0.0
1972-09-25,0.41,0.41,0.4,0.4,2748600,0.0,0.0
1972-09-26,0.4,0.4,0.39,0.4,712800,0.0,0.0
1972-09-27,0.4,0.42,0.4,0.42,696600,0.0,0.0
1972-09-28,0.42,0.42,0.42,0.42,1204200,0.0,0.0
1972-09-29,0.42,0.42,0.42,0.42,189000,0.0,0.0
1972-10-02,0.42,0.42,0.41,0.42,891000,0.0,0.0
1972-10-03,0.42,0.42,0.41,0.42,680400,0.0,0.0
1972-10-04,0.42,0.42,0.42,0.42,1096200,0.0,0.0
1972-10-05,0.42,0.42,0.42,0.42,545400,0.0,0.0
1972-10-06,0.42,0.42,0.42,0.42,993600,0.0,0.0
1972-10-09,0.42,0.42,0.42,0.42,459000,0.0,0.0
1972-10-10,0.42,0.42,0.42,0.42,982800,0.0,0.0
1972-10-11,0.42,0.42,0.42,0.42,1166400,0.0,0.0
1972-10-12,0.42,0.42,0.41,0.41,243000,0.0,0.0
1972-10-13,0.41,0.41,0.41,0.41,820800,0.0,0.0
1972-10-16,0.41,0.41,0.4,0.41,329400,0.0,0.0
1972-10-17,0.41,0.41,0.4,0.41,815400,0.0,0.0
1972-10-18,0.41,0.41,0.41,0.41,793800,0.0,0.0
1972-10-19,0.41,0.41,0.41,0.41,448200,0.0,0.0
1972-10-20,0.41,0.41,0.41,0.41,199800,0.0,0.0
1972-10-23,0.41,0.42,0.41,0.42,513000,0.0,0.0
1972-10-24,0.42,0.42,0.41,0.42,1382400,0.0,0.0
1972-10-25,0.42,0.43,0.42,0.43,648000,0.0,0.0
1972-10-26,0.43,0.44,0.43,0.43,1485000,0.0,0.0
1972-10-27,0.43,0.43,0.42,0.43,734400,0.0,0.0
1972-10-30,0.43,0.43,0.42,0.42,291600,0.0,0.0
1972-10-31,0.42,0.42,0.42,0.42,939600,0.0,0.0
1972-11-01,0.42,0.43,0.42,0.42,966600,0.0,0.0
1972-11-02,0.42,0.43,0.42,0.43,491400,0.0,0.0
1972-11-03,0.43,0.44,0.43,0.43,729000,0.0,0.0
1972-11-06,0.43,0.44,0.43,0.43,561600,0.0,0.0
1972-11-08,0.43,0.44,0.43,0.44,372600,0.0,0.0
1972-11-09,0.44,0.44,0.43,0.44,837000,0.0,0.0
1972-11-10,0.44,0.44,0.43,0.43,648000,0.0,0.0
1972-11-13,0.43,0.44,0.43,0.44,270000,0.0,0.0
1972-11-14,0.44,0.44,0.43,0.44,1171800,0.0,0.0
1972-11-15,0.44,0.44,0.44,0.44,783000,0.0,0.0
1972-11-16,0.44,0.45,0.44,0.44,491400,0.0,0.0
1972-11-17,0.45,0.46,0.45,0.46,2052000,0.0,0.0
1972-11-20,0.46,0.46,0.46,0.46,955800,0.0,0.0
1972-11-21,0.46,0.46,0.45,0.45,1042200,0.0,0.0
1972-11-22,0.45,0.45,0.45,0.45,405000,0.0,0.0
1972-11-24,0.45,0.45,0.45,0.45,145800,0.0,0.0
1972-11-27,0.45,0.45,0.45,0.45,399600,0.0,0.0
1972-11-28,0.45,0.45,0.45,0.45,361800,0.0,0.0
1972-11-29,0.45,0.45,0.45,0.45,772200,0.0,0.0
1972-11-30,0.45,0.45,0.44,0.44,388800,0.0,0.0
1972-12-01,0.44,0.45,0.44,0.44,864000,0.0,0.0
1972-12-04,0.44,0.45,0.44,0.45,421200,0.00463,0.0
1972-12-05,0.45,0.45,0.45,0.45,594000,0.0,0.0
1972-12-06,0.45,0.45,0.45,0.45,777600,0.0,0.0
1972-12-07,0.45,0.46,0.45,0.46,1215000,0.0,0.0
1972-12-08,0.46,0.46,0.46,0.46,718200,0.0,0.0
1972-12-11,0.46,0.46,0.45,0.45,1495800,0.0,0.0
1972-12-12,0.45,0.45,0.45,0.45,475200,0.0,0.0
1972-12-13,0.45,0.45,0.45,0.45,199800,0.0,0.0
1972-12-14,0.45,0.45,0.45,0.45,599400,0.0,0.0
1972-12-15,0.45,0.45,0.45,0.45,761400,0.0,0.0
1972-12-18,0.45,0.45,0.45,0.45,232200,0.0,0.0
1972-12-19,0.45,0.45,0.44,0.44,793800,0.0,0.0
1972-12-20,0.44,0.44,0.44,0.44,783000,0.0,0.0
1972-12-21,0.44,0.44,0.43,0.43,675000,0.0,0.0
1972-12-22,0.43,0.43,0.43,0.43,1366200,0.0,0.0
1972-12-26,0.43,0.44,0.43,0.43,421200,0.0,0.0
1972-12-27,0.43,0.44,0.43,0.44,810000,0.0,0.0
1972-12-29,0.44,0.44,0.44,0.44,858600,0.0,0.0
1973-01-02,0.45,0.45,0.45,0.45,1296000,0.0,0.0
1973-01-03,0.45,0.45,0.45,0.45,372600,0.0,0.0
1973-01-04,0.44,0.44,0.43,0.44,572400,0.0,0.0
1973-01-05,0.44,0.44,0.43,0.44,675000,0.0,0.0
1973-01-08,0.44,0.44,0.43,0.44,1026000,0.0,0.0
1973-01-09,0.44,0.44,0.43,0.43,280800,0.0,0.0
1973-01-10,0.43,0.43,0.43,0.43,394200,0.0,0.0
1973-01-11,0.43,0.44,0.43,0.43,1927800,0.0,0.0
1973-01-12,0.44,0.44,0.44,0.44,1150200,0.0,0.0
