Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-31,20.12,21.58,18.59,18.59,272567,0.0,0.0
2006-02-01,19.22,19.33,18.61,18.87,101633,0.0,0.0
2006-02-02,19.07,19.53,18.68,18.9,38467,0.0,0.0
2006-02-03,18.9,18.94,18.02,18.22,72633,0.0,0.0
2006-02-06,18.35,18.55,17.48,17.65,34367,0.0,0.0
2006-02-07,17.65,17.74,16.84,17.24,58133,0.0,0.0
2006-02-08,17.08,18.44,17.06,18.07,71867,0.0,0.0
2006-02-09,18.46,18.57,17.74,18.02,25467,0.0,0.0
2006-02-10,18.24,18.35,17.69,17.78,8367,0.0,0.0
2006-02-13,17.58,18.68,17.58,18.02,17600,0.0,0.0
2006-02-14,18.57,18.57,17.69,18.46,14133,0.0,0.0
2006-02-15,18.74,18.74,18.11,18.61,6500,0.0,0.0
2006-02-16,18.57,18.57,18.13,18.31,12833,0.0,0.0
2006-02-17,18.44,18.79,17.58,17.96,83833,0.0,0.0
2006-02-21,18.55,18.55,17.08,17.58,26867,0.0,0.0
2006-02-22,17.06,17.76,17.06,17.48,16967,0.0,0.0
2006-02-23,17.87,17.87,17.06,17.08,21000,0.0,0.0
2006-02-24,17.06,17.45,17.06,17.24,2833,0.0,0.0
2006-02-27,17.13,17.39,17.06,17.06,13400,0.0,0.0
2006-02-28,17.17,17.17,16.6,17.15,23767,0.0,0.0
2006-03-01,17.06,17.15,16.95,17.04,2933,0.0,0.0
2006-03-02,17.04,17.34,16.86,17.15,2233,0.0,0.0
2006-03-03,17.04,17.43,16.93,17.43,2133,0.0,0.0
2006-03-06,17.37,17.37,17.13,17.17,1467,0.0,0.0
2006-03-07,17.04,17.37,17.04,17.15,24867,0.0,0.0
2006-03-08,17.21,17.26,17.06,17.06,2800,0.0,0.0
2006-03-09,17.06,17.26,17.04,17.04,5400,0.0,0.0
2006-03-10,17.08,17.15,17.04,17.15,3400,0.0,0.0
2006-03-13,17.04,17.19,17.04,17.04,15433,0.0,0.0
2006-03-14,17.26,17.26,16.93,16.93,1167,0.0,0.0
2006-03-15,17.15,17.15,16.54,16.82,3500,0.0,0.0
2006-03-16,17.28,18.9,16.97,18.02,85333,0.0,0.0
2006-03-17,18.33,18.35,17.93,18.13,12967,0.0,0.0
2006-03-20,18.04,18.13,17.61,17.69,10967,0.0,0.0
2006-03-21,18.02,18.02,17.15,17.48,11933,0.0,0.0
2006-03-22,17.48,17.69,17.45,17.69,14533,0.0,0.0
2006-03-23,18.02,18.57,18.02,18.5,39833,0.0,0.0
2006-03-24,18.42,19.57,18.02,18.74,16533,0.0,0.0
2006-03-27,18.44,19.11,17.8,17.91,18500,0.0,0.0
2006-03-28,18.57,18.57,17.76,18.0,15400,0.0,0.0
2006-03-29,18.28,18.31,17.98,18.04,8400,0.0,0.0
2006-03-30,17.87,18.33,17.17,17.17,13233,0.0,0.0
2006-03-31,17.89,18.24,17.06,17.91,27000,0.0,0.0
2006-04-03,18.07,19.18,17.98,18.57,19167,0.0,0.0
