Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-04-26,1.95,1.96,1.95,1.95,319300,0.0,0
2002-04-29,1.95,1.96,1.95,1.95,73300,0.0,0
2002-04-30,1.95,1.96,1.95,1.96,64200,0.0,0
2002-05-01,1.96,1.96,1.95,1.96,49600,0.0,0
2002-05-02,1.96,1.96,1.96,1.96,62500,0.0,0
2002-05-03,1.96,1.97,1.95,1.96,63000,0.0,0
2002-05-06,1.96,1.97,1.95,1.96,32600,0.0,0
2002-05-07,1.96,1.96,1.95,1.96,45700,0.0,0
2002-05-08,1.96,1.98,1.95,1.98,83800,0.0,0
2002-05-09,1.98,1.98,1.95,1.96,35100,0.0,0
2002-05-10,1.97,1.97,1.96,1.96,33800,0.0,0
2002-05-13,1.96,1.97,1.96,1.97,57300,0.0,0
2002-05-14,1.97,1.98,1.97,1.97,48600,0.0,0
2002-05-15,1.96,1.98,1.95,1.98,49100,0.0,0
2002-05-16,1.98,1.99,1.96,1.97,72500,0.0,0
2002-05-17,1.98,1.98,1.96,1.97,27100,0.0,0
2002-05-20,1.97,1.97,1.95,1.95,70900,0.0,0
2002-05-21,1.96,1.96,1.95,1.96,40400,0.0,0
2002-05-22,1.96,1.97,1.95,1.96,43500,0.0,0
2002-05-23,1.97,1.97,1.95,1.96,34900,0.0,0
2002-05-24,1.96,1.97,1.96,1.96,28600,0.0,0
2002-05-28,1.95,1.96,1.95,1.95,83600,0.0,0
2002-05-29,1.95,1.96,1.95,1.95,96300,0.0,0
2002-05-30,1.95,1.96,1.95,1.95,32000,0.0,0
2002-05-31,1.95,1.97,1.95,1.95,89600,0.0,0
2002-06-03,1.96,1.96,1.95,1.95,35300,0.0,0
2002-06-04,1.95,1.96,1.95,1.95,42900,0.0,0
2002-06-05,1.95,1.96,1.95,1.95,29100,0.0,0
2002-06-06,1.95,1.96,1.95,1.95,47400,0.0,0
2002-06-07,1.95,1.96,1.92,1.93,68100,0.0,0
2002-06-10,1.91,1.93,1.9,1.92,35700,0.0,0
2002-06-11,1.93,1.94,1.9,1.93,53900,0.0,0
2002-06-12,1.94,1.94,1.91,1.93,39800,0.0,0
2002-06-13,1.93,1.94,1.9,1.91,54500,0.0,0
2002-06-14,1.91,1.92,1.9,1.9,24800,0.0,0
2002-06-17,1.88,1.92,1.86,1.92,60300,0.0,0
2002-06-18,1.92,1.94,1.87,1.89,84700,0.0,0
2002-06-19,1.89,1.92,1.88,1.89,63600,0.0,0
2002-06-20,1.89,1.9,1.87,1.89,30100,0.0,0
2002-06-21,1.89,1.89,1.86,1.87,56000,0.0,0
2002-06-24,1.86,1.86,1.78,1.79,138000,0.0,0
2002-06-25,1.8,1.83,1.78,1.82,102900,0.0,0
2002-06-26,1.79,1.79,1.75,1.75,45200,0.0,0
2002-06-27,1.76,1.76,1.7,1.72,160500,0.0,0
2002-06-28,1.72,1.8,1.72,1.79,65700,0.0,0
2002-07-01,1.8,1.8,1.76,1.78,62700,0.0,0
2002-07-02,1.76,1.79,1.73,1.79,76800,0.0,0
2002-07-03,1.79,1.79,1.76,1.76,41000,0.0,0
2002-07-05,1.76,1.8,1.76,1.77,13100,0.0,0
2002-07-08,1.77,1.79,1.73,1.75,81700,0.0,0
2002-07-09,1.74,1.76,1.7,1.74,49900,0.0,0
2002-07-10,1.74,1.75,1.67,1.73,113300,0.0,0
2002-07-11,1.72,1.72,1.65,1.69,101100,0.0,0
2002-07-12,1.66,1.68,1.65,1.67,153100,0.0,0
2002-07-15,1.65,1.67,1.6,1.63,122500,0.0,0
2002-07-16,1.64,1.7,1.63,1.68,104200,0.138,0
2002-07-17,1.69,1.72,1.66,1.7,90600,0.0,0
2002-07-18,1.7,1.72,1.69,1.72,38100,0.0,0
2002-07-19,1.7,1.71,1.63,1.66,88500,0.0,0
2002-07-22,1.67,1.68,1.63,1.68,80100,0.0,0
2002-07-23,1.68,1.69,1.63,1.66,91800,0.0,0
2002-07-24,1.55,1.69,1.48,1.69,181200,0.0,0
2002-07-25,1.68,1.69,1.58,1.67,85200,0.0,0
2002-07-26,1.66,1.69,1.65,1.69,52100,0.0,0
2002-07-29,1.72,1.75,1.72,1.74,96100,0.0,0
2002-07-30,1.74,1.74,1.66,1.71,55200,0.0,0
2002-07-31,1.72,1.72,1.66,1.72,67300,0.0,0
2002-08-01,1.7,1.72,1.67,1.71,45200,0.0,0
2002-08-02,1.72,1.72,1.69,1.71,40700,0.0,0
2002-08-05,1.71,1.73,1.69,1.72,51000,0.0,0
2002-08-06,1.72,1.78,1.71,1.73,56100,0.0,0
2002-08-07,1.73,1.74,1.71,1.74,54100,0.0,0
2002-08-08,1.73,1.75,1.71,1.75,35100,0.0,0
2002-08-09,1.75,1.78,1.75,1.77,28000,0.0,0
2002-08-12,1.76,1.76,1.71,1.71,57500,0.0,0
2002-08-13,1.7,1.74,1.65,1.7,82200,0.0,0
2002-08-14,1.72,1.74,1.68,1.7,87900,0.0,0
2002-08-15,1.7,1.76,1.7,1.74,37600,0.138,0
2002-08-16,1.73,1.77,1.73,1.76,77900,0.0,0
2002-08-19,1.77,1.77,1.72,1.75,51500,0.0,0
2002-08-20,1.74,1.77,1.73,1.74,49500,0.0,0
2002-08-21,1.75,1.76,1.73,1.74,73700,0.0,0
