Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-02-03,0.0,0.2725,0.2488,0.2488,4800,0.0,0.0
1992-02-04,0.0,0.3141,0.2658,0.2658,31200,0.008333,0.0
1992-02-05,0.0,0.302,0.2658,0.2658,2400,0.0,0.0
1992-02-06,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-07,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-10,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-11,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-12,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-13,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-14,0.2658,0.2658,0.2658,0.2658,0,0.0,0.0
1992-02-18,0.0,0.2899,0.2416,0.2416,12000,0.0,0.0
1992-02-19,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-20,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-21,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-24,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-25,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-26,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-27,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-02-28,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-02,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-03,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-04,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-05,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-06,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-09,0.0,0.2899,0.2416,0.2416,2400,0.0,0.0
1992-03-10,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-11,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-12,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-13,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-16,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-17,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-18,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-19,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-20,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-23,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-24,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-25,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-26,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-27,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-30,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-03-31,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-04-01,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-04-02,0.2416,0.2416,0.2416,0.2416,0,0.0,0.0
1992-04-03,0.0,0.2899,0.2416,0.2416,12000,0.0,0.0
