Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.51,0.51,0.51,0.51,59200,0.0,0.0
1973-02-22,0.51,0.51,0.51,0.51,49600,0.0,0.0
1973-02-23,0.49,0.49,0.49,0.49,92800,0.0,0.0
1973-02-26,0.51,0.51,0.51,0.51,73600,0.0,0.0
1973-02-27,0.48,0.48,0.48,0.48,131200,0.0,0.0
1973-02-28,0.5,0.5,0.5,0.5,57600,0.0,0.0
1973-03-01,0.48,0.48,0.48,0.48,68800,0.0,0.0
1973-03-02,0.49,0.49,0.49,0.49,182400,0.0,0.0
1973-03-05,0.48,0.48,0.48,0.48,44800,0.0,0.0
1973-03-06,0.49,0.49,0.49,0.49,41600,0.0,0.0
1973-03-07,0.54,0.54,0.54,0.54,148800,0.0,0.0
1973-03-08,0.54,0.54,0.54,0.54,35200,0.0,0.0
1973-03-09,0.53,0.53,0.53,0.53,59200,0.0,0.0
1973-03-12,0.52,0.52,0.52,0.52,38400,0.0,0.0
1973-03-13,0.53,0.53,0.53,0.53,134400,0.0,0.0
1973-03-14,0.53,0.53,0.53,0.53,51200,0.0,0.0
1973-03-15,0.51,0.51,0.51,0.51,41600,0.0,0.0
1973-03-16,0.52,0.52,0.52,0.52,54400,0.0,0.0
1973-03-19,0.51,0.51,0.51,0.51,46400,0.0,0.0
1973-03-20,0.51,0.51,0.51,0.51,14400,0.0,0.0
1973-03-21,0.5,0.5,0.5,0.5,62400,0.0,0.0
1973-03-22,0.49,0.49,0.49,0.49,112000,0.0,0.0
1973-03-23,0.52,0.52,0.52,0.52,97600,0.0,0.0
1973-03-26,0.53,0.53,0.53,0.53,139200,0.0,0.0
1973-03-27,0.53,0.53,0.53,0.53,67200,0.0,0.0
1973-03-28,0.53,0.53,0.53,0.53,91200,0.0,0.0
1973-03-29,0.53,0.53,0.53,0.53,51200,0.0,0.0
1973-03-30,0.53,0.53,0.53,0.53,48000,0.0,0.0
1973-04-02,0.52,0.52,0.52,0.52,40000,0.0,0.0
1973-04-03,0.51,0.51,0.51,0.51,67200,0.0,0.0
1973-04-04,0.5,0.5,0.5,0.5,46400,0.0,0.0
1973-04-05,0.49,0.49,0.49,0.49,20800,0.0,0.0
1973-04-06,0.49,0.49,0.49,0.49,134400,0.0,0.0
1973-04-09,0.5,0.5,0.5,0.5,96000,0.0,0.0
1973-04-10,0.52,0.52,0.52,0.52,145600,0.0,0.0
1973-04-11,0.5,0.5,0.5,0.5,137600,0.0,0.0
1973-04-12,0.52,0.52,0.52,0.52,145600,0.0,0.0
1973-04-13,0.54,0.54,0.54,0.54,92800,0.0,0.0
1973-04-16,0.55,0.55,0.55,0.55,112000,0.0,0.0
1973-04-17,0.53,0.53,0.53,0.53,120000,0.0,0.0
1973-04-18,0.52,0.52,0.52,0.52,116800,0.0,0.0
1973-04-19,0.52,0.52,0.52,0.52,73600,0.0,0.0
1973-04-23,0.52,0.52,0.52,0.52,99200,0.0,0.0
1973-04-24,0.47,0.47,0.47,0.47,171200,0.0,0.0
1973-04-25,0.43,0.43,0.43,0.43,136000,0.0,0.0
1973-04-26,0.44,0.44,0.44,0.44,96000,0.0,0.0
1973-04-27,0.43,0.43,0.43,0.43,84800,0.0,0.0
1973-04-30,0.43,0.43,0.43,0.43,161600,0.0,0.0
1973-05-01,0.44,0.44,0.44,0.44,86400,0.0,0.0
1973-05-02,0.49,0.49,0.49,0.49,184000,0.0,0.0
1973-05-03,0.0,0.5,0.46,0.5,142400,0.0,0.0
1973-05-04,0.0,0.5,0.48,0.48,153600,0.0,0.0
1973-05-07,0.0,0.49,0.48,0.49,38400,0.0,0.0
