Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,5.29,5.17,5.23,4300,0.0,0
1973-02-22,0.0,5.26,5.17,5.26,4000,0.0,0
1973-02-23,0.0,5.26,5.14,5.14,3500,0.0,0
1973-02-26,0.0,5.17,5.08,5.11,2200,0.0,0
1973-02-27,0.0,5.11,5.02,5.02,6400,0.0,0
1973-02-28,0.0,5.08,5.02,5.05,2200,0.0,0
1973-03-01,0.0,5.11,5.02,5.05,6200,0.0,0
1973-03-02,0.0,5.11,5.05,5.08,3100,0.0,0
1973-03-05,0.0,5.14,4.79,4.85,27800,0.0,0
1973-03-06,0.0,4.94,4.88,4.88,7900,0.0,0
1973-03-07,0.0,4.99,4.91,4.96,4400,0.0,0
1973-03-08,0.0,5.05,4.91,4.96,14200,0.0,0
1973-03-09,0.0,4.99,4.88,4.88,3600,0.0,0
1973-03-12,0.0,4.88,4.79,4.79,4800,0.0,0
1973-03-13,0.0,4.99,4.79,4.94,8400,0.0,0
1973-03-14,0.0,4.96,4.85,4.91,9500,0.0,0
1973-03-15,0.0,4.99,4.91,4.91,6600,0.0,0
1973-03-16,0.0,4.99,4.85,4.85,5900,0.0,0
1973-03-19,0.0,4.91,4.82,4.82,5900,0.0,0
1973-03-20,0.0,4.79,4.73,4.76,6300,0.0,0
1973-03-21,0.0,4.76,4.73,4.76,5700,0.0,0
1973-03-22,0.0,4.76,4.64,4.64,7000,0.0,0
1973-03-23,0.0,4.67,4.58,4.67,10400,0.0,0
1973-03-26,0.0,4.73,4.67,4.73,5700,0.0,0
1973-03-27,0.0,4.76,4.67,4.73,8300,0.0,0
1973-03-28,0.0,4.79,4.7,4.73,3500,0.0,0
1973-03-29,0.0,4.82,4.67,4.79,34400,0.0,0
1973-03-30,0.0,4.85,4.79,4.82,3400,0.0,0
1973-04-02,0.0,4.85,4.64,4.64,19000,0.0,0
1973-04-03,0.0,4.64,4.61,4.64,7700,0.0,0
1973-04-04,0.0,4.64,4.56,4.56,17200,0.0,0
1973-04-05,0.0,4.58,4.5,4.58,7400,0.0,0
1973-04-06,0.0,4.58,4.5,4.53,9300,0.0,0
1973-04-09,0.0,4.7,4.56,4.67,5500,0.0,0
1973-04-10,0.0,4.7,4.58,4.64,22500,0.0,0
1973-04-11,0.0,4.67,4.64,4.64,10800,0.0,0
1973-04-12,0.0,4.7,4.61,4.67,22900,0.0,0
1973-04-13,0.0,4.82,4.73,4.79,7600,0.0,0
1973-04-16,0.0,4.85,4.76,4.82,3000,0.0,0
1973-04-17,0.0,4.91,4.85,4.85,1900,0.0,0
1973-04-18,0.0,4.94,4.88,4.94,1800,0.0,0
1973-04-19,0.0,5.2,4.94,5.11,7000,0.0,0
1973-04-23,0.0,5.26,5.14,5.17,18900,0.0,0
1973-04-24,0.0,5.2,5.11,5.11,5400,0.0,0
1973-04-25,0.0,5.06,4.94,5.03,3800,0.29,0
1973-04-26,0.0,5.06,5.0,5.03,3100,0.0,0
1973-04-27,0.0,5.09,5.0,5.03,3800,0.0,0
1973-04-30,0.0,5.09,4.97,4.97,5700,0.0,0
1973-05-01,0.0,5.09,5.0,5.0,6900,0.0,0
1973-05-02,0.0,5.09,4.97,5.09,5000,0.0,0
1973-05-03,0.0,5.15,5.03,5.15,3800,0.0,0
1973-05-04,0.0,5.36,5.21,5.3,6800,0.0,0
1973-05-07,0.0,5.33,5.15,5.15,5100,0.0,0
1973-05-08,0.0,5.15,5.09,5.15,8300,0.0,0
1973-05-09,0.0,5.18,5.12,5.12,2500,0.0,0
1973-05-10,0.0,5.18,5.12,5.15,13700,0.0,0
1973-05-11,0.0,5.15,5.12,5.15,6700,0.0,0
1973-05-14,0.0,5.06,4.91,5.0,10900,0.0,0
1973-05-15,0.0,5.03,4.91,4.97,9800,0.0,0
1973-05-16,0.0,5.06,4.91,4.97,4400,0.0,0
1973-05-17,0.0,4.97,4.94,4.94,2000,0.0,0
1973-05-18,0.0,4.91,4.79,4.79,8700,0.0,0
1973-05-21,0.0,4.85,4.76,4.76,3900,0.0,0
1973-05-22,0.0,4.85,4.76,4.79,2100,0.0,0
1973-05-23,0.0,4.91,4.76,4.85,6500,0.0,0
1973-05-24,0.0,4.97,4.91,4.97,4600,0.0,0
1973-05-25,0.0,5.09,4.97,5.03,4400,0.0,0
1973-05-29,0.0,5.06,5.0,5.0,2500,0.0,0
1973-05-30,0.0,5.06,5.0,5.03,6800,0.0,0
1973-05-31,0.0,5.06,5.0,5.0,2700,0.0,0
1973-06-01,0.0,5.06,5.0,5.0,4500,0.0,0
1973-06-04,0.0,5.0,5.0,5.0,2600,0.0,0
1973-06-05,0.0,5.06,5.0,5.06,2700,0.0,0
1973-06-06,0.0,5.12,5.0,5.03,3200,0.0,0
1973-06-07,0.0,5.09,5.0,5.0,2700,0.0,0
1973-06-08,0.0,5.15,5.09,5.12,2900,0.0,0
1973-06-11,0.0,5.24,5.15,5.15,12500,0.0,0
1973-06-12,0.0,5.18,5.09,5.09,4000,0.0,0
1973-06-13,0.0,5.15,5.12,5.15,1500,0.0,0
1973-06-14,0.0,5.12,4.97,5.06,9400,0.0,0
1973-06-15,0.0,5.0,4.91,4.97,2000,0.0,0
1973-06-18,0.0,4.91,4.82,4.82,5500,0.0,0
1973-06-19,0.0,4.88,4.82,4.88,1800,0.0,0
1973-06-20,0.0,4.91,4.82,4.82,1500,0.0,0
1973-06-21,0.0,4.88,4.79,4.82,3300,0.0,0
1973-06-22,0.0,4.94,4.85,4.94,3500,0.0,0
1973-06-25,0.0,4.97,4.85,4.88,4900,0.0,0
1973-06-26,0.0,5.03,4.88,5.03,3600,0.0,0
1973-06-27,0.0,5.03,4.94,4.97,4400,0.0,0
1973-06-28,0.0,4.94,4.91,4.91,3000,0.0,0
1973-06-29,0.0,5.06,4.91,5.03,3600,0.0,0
1973-07-02,0.0,5.09,5.03,5.03,1000,0.0,0
1973-07-03,0.0,5.09,5.0,5.09,1300,0.0,0
1973-07-05,0.0,4.97,4.79,4.79,12500,0.0,0
1973-07-06,0.0,4.85,4.74,4.76,3200,0.0,0
1973-07-09,0.0,4.79,4.71,4.79,5200,0.0,0
1973-07-10,0.0,4.91,4.74,4.76,6900,0.0,0
1973-07-11,0.0,4.76,4.74,4.74,10400,0.0,0
1973-07-12,0.0,4.91,4.79,4.91,5900,0.0,0
1973-07-13,0.0,4.88,4.71,4.88,14300,0.0,0
1973-07-16,0.0,4.91,4.74,4.76,8200,0.0,0
1973-07-17,0.0,4.85,4.76,4.76,3600,0.0,0
1973-07-18,0.0,4.85,4.76,4.85,3800,0.0,0
1973-07-19,0.0,4.94,4.82,4.85,3300,0.0,0
1973-07-20,0.0,4.94,4.74,4.79,6400,0.0,0
1973-07-23,0.0,5.03,4.79,5.0,8200,0.0,0
1973-07-24,0.0,4.94,4.82,4.85,5600,0.0,0
1973-07-25,0.0,4.88,4.79,4.85,8200,0.0,0
1973-07-26,0.0,4.85,4.76,4.76,5200,0.0,0
1973-07-27,0.0,4.85,4.76,4.85,5200,0.0,0
1973-07-30,0.0,4.82,4.76,4.82,3400,0.0,0
1973-07-31,0.0,4.85,4.76,4.79,4700,0.0,0
1973-08-01,0.0,4.76,4.68,4.74,3200,0.0,0
1973-08-02,0.0,4.74,4.68,4.74,3400,0.0,0
1973-08-03,0.0,4.74,4.68,4.74,3100,0.0,0
1973-08-06,0.0,4.74,4.62,4.62,5500,0.0,0
1973-08-07,0.0,4.68,4.59,4.59,3100,0.0,0
1973-08-08,0.0,4.62,4.53,4.53,5500,0.0,0
1973-08-09,0.0,4.59,4.53,4.59,2500,0.0,0
1973-08-10,0.0,4.62,4.53,4.56,1100,0.0,0
1973-08-13,0.0,4.65,4.53,4.53,2500,0.0,0
1973-08-14,0.0,4.53,4.47,4.5,4100,0.0,0
1973-08-15,0.0,4.5,4.41,4.44,6400,0.0,0
1973-08-16,0.0,4.5,4.41,4.44,3600,0.0,0
1973-08-17,0.0,4.53,4.41,4.44,3900,0.0,0
1973-08-20,0.0,4.44,4.32,4.44,6600,0.0,0
1973-08-21,0.0,4.47,4.41,4.41,1000,0.0,0
1973-08-22,0.0,4.47,4.38,4.38,7400,0.0,0
1973-08-23,0.0,4.41,4.32,4.32,54900,0.0,0
1973-08-24,0.0,4.38,4.32,4.38,3000,0.0,0
1973-08-27,0.0,4.38,4.32,4.32,5700,0.0,0
1973-08-28,0.0,4.41,4.32,4.41,4500,0.0,0
1973-08-29,0.0,4.44,4.35,4.41,6200,0.0,0
1973-08-30,0.0,4.5,4.41,4.5,7400,0.0,0
1973-08-31,0.0,4.5,4.44,4.5,4100,0.0,0
1973-09-04,0.0,4.53,4.47,4.47,8400,0.0,0
1973-09-05,0.0,4.5,4.41,4.44,62900,0.0,0
1973-09-06,0.0,4.59,4.44,4.59,23300,0.0,0
1973-09-07,0.0,4.62,4.56,4.62,10700,0.0,0
1973-09-10,0.0,4.71,4.59,4.65,4900,0.0,0
1973-09-11,0.0,4.65,4.56,4.62,3200,0.0,0
1973-09-12,0.0,4.62,4.59,4.59,1200,0.0,0
1973-09-13,0.0,4.59,4.5,4.5,5700,0.0,0
1973-09-14,0.0,4.53,4.47,4.5,1900,0.0,0
1973-09-17,0.0,4.56,4.5,4.56,22900,0.0,0
1973-09-18,0.0,4.59,4.56,4.59,23300,0.0,0
1973-09-19,0.0,4.59,4.56,4.59,5300,0.0,0
1973-09-20,0.0,4.62,4.56,4.62,32100,0.0,0
1973-09-21,0.0,4.71,4.62,4.71,10100,0.0,0
1973-09-24,0.0,4.71,4.65,4.68,8800,0.0,0
1973-09-25,0.0,4.74,4.68,4.74,6800,0.0,0
1973-09-26,0.0,4.97,4.76,4.97,24100,0.0,0
1973-09-27,0.0,5.15,5.0,5.06,14200,0.0,0
1973-09-28,0.0,5.15,5.06,5.15,12300,0.0,0
1973-10-01,0.0,5.15,5.12,5.12,6200,0.0,0
1973-10-02,0.0,5.15,5.06,5.12,15300,0.0,0
1973-10-03,0.0,5.12,5.03,5.03,9600,0.0,0
1973-10-04,0.0,5.09,5.03,5.03,3100,0.0,0
1973-10-05,0.0,5.06,5.0,5.06,6200,0.0,0
1973-10-08,0.0,5.09,5.0,5.09,4500,0.0,0
1973-10-09,0.0,5.12,5.03,5.09,10600,0.0,0
1973-10-10,0.0,5.12,5.06,5.12,4400,0.0,0
1973-10-11,0.0,5.15,5.09,5.09,17300,0.0,0
1973-10-12,0.0,5.09,5.03,5.03,5500,0.0,0
1973-10-15,0.0,5.09,4.97,5.09,6900,0.0,0
1973-10-16,0.0,5.06,5.03,5.03,3300,0.0,0
1973-10-17,0.0,5.09,5.03,5.03,6500,0.0,0
1973-10-18,0.0,5.21,5.0,5.15,37400,0.0,0
1973-10-19,0.0,5.42,5.21,5.36,15600,0.0,0
1973-10-22,0.0,5.36,5.24,5.24,6000,0.0,0
1973-10-23,0.0,5.33,5.21,5.21,7000,0.0,0
1973-10-24,0.0,5.18,5.0,5.15,18500,0.0,0
1973-10-25,0.0,5.21,5.15,5.15,6900,0.0,0
1973-10-26,0.0,5.12,5.03,5.03,7600,0.0,0
1973-10-29,0.0,5.21,5.09,5.18,10600,0.0,0
1973-10-30,0.0,5.18,5.12,5.18,3000,0.0,0
1973-10-31,0.0,5.18,5.12,5.18,8100,0.0,0
1973-11-01,0.0,5.18,5.15,5.18,5100,0.0,0
1973-11-02,0.0,5.21,5.15,5.18,4000,0.0,0
1973-11-05,0.0,5.18,5.06,5.06,5800,0.0,0
1973-11-06,0.0,5.06,5.0,5.0,5200,0.0,0
1973-11-07,0.0,5.06,5.0,5.0,9000,0.0,0
1973-11-08,0.0,5.09,5.0,5.0,5400,0.0,0
1973-11-09,0.0,5.03,4.88,4.88,6400,0.0,0
1973-11-12,0.0,4.79,4.74,4.74,8700,0.0,0
1973-11-13,0.0,4.76,4.56,4.56,7300,0.0,0
1973-11-14,0.0,4.56,4.38,4.38,16400,0.0,0
1973-11-15,0.0,4.41,4.35,4.38,11300,0.0,0
1973-11-16,0.0,4.44,4.26,4.38,86300,0.0,0
1973-11-19,0.0,4.38,4.26,4.32,4100,0.0,0
1973-11-20,0.0,4.26,4.2,4.26,16200,0.0,0
1973-11-21,0.0,4.35,4.26,4.29,11900,0.0,0
1973-11-23,0.0,4.35,4.23,4.35,4300,0.0,0
1973-11-26,0.0,4.35,4.17,4.23,6900,0.0,0
1973-11-27,0.0,4.23,4.08,4.17,11200,0.0,0
1973-11-28,0.0,4.29,4.17,4.26,5200,0.0,0
1973-11-29,0.0,4.26,4.2,4.2,11000,0.0,0
1973-11-30,0.0,4.29,4.17,4.2,9500,0.0,0
1973-12-03,0.0,4.2,4.08,4.11,8300,0.0,0
1973-12-04,0.0,4.08,3.97,3.97,12500,0.0,0
1973-12-05,0.0,4.0,3.94,3.97,10100,0.0,0
1973-12-06,0.0,4.17,4.0,4.11,22000,0.0,0
1973-12-07,0.0,4.5,4.11,4.5,12900,0.0,0
1973-12-10,0.0,4.5,4.38,4.41,6300,0.0,0
1973-12-11,0.0,4.59,4.41,4.47,6900,0.0,0
1973-12-12,0.0,4.47,4.26,4.26,11400,0.0,0
1973-12-13,0.0,4.38,4.23,4.23,5400,0.0,0
1973-12-14,0.0,4.32,4.17,4.23,8300,0.0,0
1973-12-17,0.0,4.38,4.29,4.29,6000,0.0,0
1973-12-18,0.0,4.32,4.26,4.26,7700,0.0,0
1973-12-19,0.0,4.29,4.26,4.26,28100,0.0,0
