Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-16,3.51,3.71,3.51,3.71,108400,0.0,0.0
1992-06-17,3.85,4.05,3.74,3.91,171200,0.0,0.0
1992-06-18,3.88,3.88,3.73,3.85,135200,0.0,0.0
1992-06-19,3.76,3.88,3.74,3.88,135600,0.0,0.0
1992-06-22,3.88,3.88,3.73,3.76,163600,0.0,0.0
1992-06-23,3.74,3.88,3.74,3.88,714800,0.0,0.0
1992-06-24,3.71,3.88,3.71,3.88,2800,0.0,0.0
1992-06-25,3.88,3.88,3.76,3.86,14800,0.0,0.0
1992-06-26,3.88,3.88,3.74,3.86,82400,0.0,0.0
1992-06-29,3.88,3.88,3.85,3.88,87600,0.0,0.0
1992-06-30,3.88,3.91,3.85,3.91,228000,0.0,0.0
1992-07-01,3.91,3.91,3.91,3.91,8400,0.0,0.0
1992-07-02,3.95,4.05,3.88,3.88,187600,0.0,0.0
1992-07-06,3.95,4.12,3.91,4.12,72400,0.0,0.0
1992-07-07,4.12,4.29,4.05,4.15,150000,0.0,0.0
1992-07-08,4.15,4.15,4.08,4.12,210000,0.0,0.0
1992-07-09,4.15,4.15,4.12,4.15,106800,0.0,0.0
1992-07-10,4.12,4.29,4.12,4.29,130000,0.0,0.0
1992-07-13,4.29,4.29,4.15,4.16,37600,0.0,0.0
1992-07-14,4.29,4.55,4.25,4.49,309200,0.0,0.0
1992-07-15,4.52,4.52,4.32,4.35,530400,0.0,0.0
1992-07-16,4.46,4.46,4.32,4.35,452800,0.0,0.0
1992-07-17,4.46,4.46,4.32,4.33,303200,0.0,0.0
1992-07-20,4.37,4.37,4.27,4.35,44000,0.0,0.0
1992-07-21,4.35,4.35,4.32,4.35,109200,0.0,0.0
1992-07-22,4.35,4.35,4.29,4.32,46000,0.0,0.0
1992-07-23,4.46,4.59,4.18,4.46,347400,0.0,2.0
1992-07-24,4.46,4.46,4.18,4.28,185800,0.0,0.0
1992-07-27,4.28,4.52,4.25,4.52,92200,0.0,0.0
1992-07-28,4.52,4.93,4.46,4.65,690400,0.0,0.0
1992-07-29,4.93,4.93,4.65,4.89,187200,0.0,0.0
1992-07-30,4.86,4.93,4.68,4.93,209800,0.0,0.0
1992-07-31,4.93,4.99,4.86,4.96,158200,0.0,0.0
1992-08-03,4.96,4.96,4.68,4.89,227000,0.0,0.0
1992-08-04,4.96,4.96,4.86,4.89,226200,0.0,0.0
1992-08-05,4.89,4.89,4.59,4.65,157200,0.0,0.0
1992-08-06,4.65,4.65,4.12,4.25,292000,0.0,0.0
1992-08-07,4.28,4.28,4.21,4.21,137800,0.0,0.0
1992-08-10,4.28,4.28,4.12,4.22,100000,0.0085,0.0
1992-08-11,4.22,4.22,4.12,4.19,98800,0.0,0.0
1992-08-12,4.19,4.28,4.12,4.25,183800,0.0,0.0
1992-08-13,4.25,4.66,4.19,4.63,466600,0.0,0.0
1992-08-14,4.66,5.06,4.59,5.06,713400,0.0,0.0
1992-08-17,5.06,5.4,5.0,5.4,414400,0.0,0.0
1992-08-18,5.4,5.4,5.27,5.34,1663400,0.0,0.0
1992-08-19,5.4,5.4,5.03,5.03,748600,0.0,0.0
1992-08-20,5.27,5.27,5.0,5.03,128000,0.0,0.0
1992-08-21,5.06,5.27,4.93,5.03,263000,0.0,0.0
1992-08-24,4.97,5.03,4.87,4.87,97800,0.0,0.0
1992-08-25,4.97,4.97,4.87,4.93,214400,0.0,0.0
1992-08-26,4.97,5.37,4.93,5.37,164800,0.0,0.0
1992-08-27,5.37,5.4,5.31,5.34,99200,0.0,0.0
1992-08-28,5.37,5.37,5.1,5.31,111800,0.0,0.0
1992-08-31,5.34,5.4,5.27,5.4,147600,0.0,0.0
1992-09-01,5.37,5.5,5.27,5.5,298800,0.0,0.0
1992-09-02,5.5,5.78,5.44,5.5,441000,0.0,0.0
1992-09-03,5.5,5.68,5.4,5.5,474200,0.0,0.0
1992-09-04,5.47,5.47,5.37,5.47,276400,0.0,0.0
1992-09-08,5.47,5.47,5.27,5.27,300800,0.0,0.0
1992-09-09,5.27,5.37,5.0,5.1,223200,0.0,0.0
1992-09-10,5.06,5.06,5.0,5.06,159400,0.0,0.0
1992-09-11,5.06,5.34,5.03,5.34,644200,0.0,0.0
1992-09-14,5.34,5.4,5.31,5.37,373000,0.0,0.0
1992-09-15,5.37,5.37,5.03,5.34,334000,0.0,0.0
1992-09-16,5.34,5.47,5.06,5.44,1304000,0.0,0.0
1992-09-17,5.44,5.81,5.44,5.81,933800,0.0,0.0
1992-09-18,5.75,6.15,5.75,6.09,1295400,0.0,0.0
1992-09-21,5.84,6.22,5.84,6.22,504400,0.0,0.0
1992-09-22,6.31,6.31,5.88,5.91,583800,0.0,0.0
1992-09-23,6.09,6.09,5.81,5.91,258600,0.0,0.0
1992-09-24,5.91,6.09,5.75,5.81,328200,0.0,0.0
1992-09-25,5.81,5.81,5.75,5.81,240800,0.0,0.0
1992-09-28,5.81,6.15,5.78,6.15,245000,0.0,0.0
1992-09-29,6.15,6.31,6.09,6.25,401200,0.0,0.0
1992-09-30,6.25,6.93,6.25,6.59,862600,0.0,0.0
1992-10-01,6.59,6.59,6.22,6.49,188000,0.0,0.0
1992-10-02,6.28,6.49,6.22,6.49,726200,0.0,0.0
1992-10-05,6.49,6.49,5.81,6.28,453800,0.0,0.0
1992-10-06,6.28,6.49,6.22,6.28,233000,0.0,0.0
1992-10-07,6.28,6.56,6.28,6.52,398400,0.0,0.0
1992-10-08,6.52,6.52,6.25,6.31,334400,0.0,0.0
1992-10-09,6.49,6.49,6.25,6.49,61000,0.0,0.0
1992-10-12,6.52,6.56,6.28,6.56,60000,0.0,0.0
1992-10-13,6.56,6.59,6.28,6.52,121400,0.0,0.0
1992-10-14,6.52,6.52,6.28,6.28,60200,0.0,0.0
1992-10-15,6.49,6.49,6.15,6.25,243000,0.0,0.0
1992-10-16,6.31,6.49,6.22,6.49,113200,0.0,0.0
1992-10-19,6.49,6.52,6.31,6.52,222400,0.0,0.0
1992-10-20,6.52,6.96,6.31,6.96,973000,0.0,0.0
1992-10-21,7.06,7.3,6.96,7.09,590800,0.0,0.0
1992-10-22,7.09,7.13,6.96,7.06,234400,0.0,0.0
1992-10-23,7.13,7.3,7.0,7.03,241200,0.0,0.0
1992-10-26,7.06,7.09,7.0,7.09,143800,0.0,0.0
1992-10-27,7.13,7.47,7.06,7.47,954600,0.0,0.0
1992-10-28,7.47,7.47,7.3,7.37,81200,0.0,0.0
1992-10-29,7.3,7.4,7.3,7.4,84400,0.0,0.0
1992-10-30,7.4,7.43,7.06,7.3,337600,0.0,0.0
1992-11-02,7.13,7.3,7.03,7.3,599800,0.0,0.0
1992-11-03,7.31,7.34,6.73,6.97,1100800,0.008,0.0
1992-11-04,6.97,6.97,6.22,6.63,725400,0.0,0.0
1992-11-05,6.56,6.94,6.22,6.94,609200,0.0,0.0
