Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-30,130.5,135.0,130.5,135.0,0,0,0.0
2017-07-03,198.75,198.75,181.5,181.5,400,0,0.0
2017-07-05,212.25,422.4,212.25,301.5,5100,0,0.0
2017-07-06,300.0,300.0,231.0,237.0,1300,0,0.0
2017-07-07,225.0,225.0,151.5,166.455,2500,0,0.0
2017-07-10,152.25,190.5,151.485,168.6,1000,0,0.0
2017-07-11,180.0,180.0,164.79,179.7,900,0,0.0
2017-07-12,192.0,192.0,168.0,184.2,500,0,0.0
2017-07-13,185.1,187.5,171.0,171.0,300,0,0.0
2017-07-14,187.2,187.2,172.5,173.55,300,0,0.0
2017-07-17,172.5,175.365,167.985,169.395,200,0,0.0
2017-07-18,175.785,179.19,168.0,177.51,200,0,0.0
2017-07-19,168.555,180.0,168.555,176.25,200,0,0.0
2017-07-20,176.25,180.0,169.965,173.25,500,0,0.0
2017-07-21,169.11,173.25,169.11,170.25,200,0,0.0
2017-07-24,172.08,172.08,165.0,166.65,100,0,0.0
2017-07-25,168.87,170.55,168.6,168.6,0,0,0.0
2017-07-26,176.7,176.7,153.6,162.135,800,0,0.0
2017-07-27,161.07,163.845,146.19,149.85,700,0,0.0
2017-07-28,154.5,156.0,147.45,147.45,100,0,0.0
2017-07-31,147.45,148.845,123.0,123.0,1400,0,0.0
2017-08-01,112.5,120.0,82.5,88.65,5200,0,0.0
2017-08-02,93.0,93.0,83.4,84.0,1300,0,0.0
2017-08-03,82.65,82.65,67.5,71.4,3100,0,0.0
2017-08-04,67.65,71.4,67.65,71.07,300,0,0.0
2017-08-07,70.5,77.55,69.6,72.9,200,0,0.0
2017-08-08,72.3,72.6,65.25,65.7,400,0,0.0
2017-08-09,66.0,78.0,66.0,77.55,1100,0,0.0
2017-08-10,86.55,86.55,67.5,70.5,900,0,0.0
2017-08-11,73.35,73.35,62.1,65.4,1000,0,0.0
2017-08-14,62.1,65.25,62.1,63.3,800,0,0.0
2017-08-15,63.3,63.75,50.25,56.4,1200,0,0.0
2017-08-16,52.65,62.715,51.255,59.85,600,0,0.0
2017-08-17,60.0,86.4,60.0,75.3,2100,0,0.0
2017-08-18,79.95,81.93,66.15,72.45,500,0,0.0
2017-08-21,78.6,84.0,67.2,79.35,1300,0,0.0
2017-08-22,70.5,78.45,57.15,67.05,3200,0,0.0
2017-08-23,36.75,36.75,34.65,35.7,37600,0,0.0
2017-08-24,35.7,36.0,34.5,35.55,9900,0,0.0
2017-08-25,35.25,35.85,34.95,35.55,3700,0,0.0
2017-08-28,35.4,35.55,33.0,34.5,5600,0,0.0
2017-08-29,34.5,35.4,33.0,34.8,16500,0,0.0
2017-08-30,35.4,35.4,33.75,34.8,6100,0,0.0
2017-08-31,34.875,36.15,33.75,34.2,17600,0,0.0
2017-09-01,34.23,35.385,33.0,33.15,4300,0,0.0
2017-09-05,34.2,34.35,32.25,33.6,2200,0,0.0
2017-09-06,34.2,34.8,32.25,33.45,3200,0,0.0
2017-09-07,33.0,34.35,31.5,34.05,2200,0,0.0
2017-09-08,34.5,34.5,33.0,33.9,2300,0,0.0
2017-09-11,34.95,34.95,32.4,33.45,1700,0,0.0
2017-09-12,33.0,35.4,32.4,35.4,3900,0,0.0
2017-09-13,34.5,35.4,33.315,34.8,3200,0,0.0
2017-09-14,33.45,35.4,33.0,33.0,2100,0,0.0
2017-09-15,33.0,34.65,30.45,30.45,4700,0,0.0
2017-09-18,31.2,33.6,31.2,31.2,1600,0,0.0
2017-09-19,31.05,31.32,27.3,28.65,2900,0,0.0
2017-09-20,27.3,29.43,27.3,27.9,600,0,0.0
2017-09-21,29.79,29.79,27.15,27.6,1000,0,0.0
2017-09-22,28.05,28.65,27.015,28.65,1500,0,0.0
2017-09-25,29.7,30.6,27.9,28.35,1600,0,0.0
2017-09-26,26.85,28.575,26.85,28.05,1500,0,0.0
2017-09-27,27.45,28.29,26.7,27.0,1600,0,0.0
2017-09-28,28.65,34.95,27.3,34.515,33700,0,0.0
2017-09-29,34.95,34.95,31.5,32.4,6400,0,0.0
2017-10-02,31.845,33.15,30.0,30.3,2200,0,0.0
2017-10-03,30.0,30.15,22.65,26.55,5900,0,0.0
2017-10-04,27.0,29.655,26.25,26.7,3100,0,0.0
2017-10-05,27.0,28.05,25.5,27.0,3300,0,0.0
2017-10-06,28.5,31.17,27.45,29.1,2900,0,0.0
2017-10-09,29.43,30.6,27.75,29.4,1800,0,0.0
2017-10-10,27.81,29.01,27.0,28.2,2200,0,0.0
2017-10-11,27.57,39.72,27.0,33.45,29700,0,0.0
2017-10-12,36.75,38.25,30.15,31.5,24400,0,0.0
2017-10-13,32.19,34.35,29.4,30.45,5200,0,0.0
2017-10-16,30.0,30.15,28.8,29.1,4000,0,0.0
2017-10-17,30.75,31.5,27.3,28.5,3100,0,0.0
2017-10-18,30.0,30.0,28.05,28.35,1100,0,0.0
2017-10-19,29.55,29.55,27.0,27.3,1000,0,0.0
2017-10-20,27.87,28.65,27.3,27.6,900,0,0.0
2017-10-23,27.36,33.0,27.0,28.8,8300,0,0.0
2017-10-24,30.45,32.25,28.665,31.05,1900,0,0.0
2017-10-25,30.9,31.8,29.715,30.75,2800,0,0.0
2017-10-26,29.19,31.95,29.19,31.785,2800,0,0.0
2017-10-27,30.75,31.95,29.25,29.85,2200,0,0.0
2017-10-30,29.43,30.75,28.5,28.5,1800,0,0.0
2017-10-31,28.8,30.6,28.5,29.25,3100,0,0.0
2017-11-01,30.57,30.57,24.0,25.35,9200,0,0.0
2017-11-02,24.0,25.065,21.0,24.45,5600,0,0.0
2017-11-03,23.25,23.25,19.8,20.91,15700,0,0.0
2017-11-06,21.3,21.45,19.5,20.55,1600,0,0.0
2017-11-07,19.8,20.7,19.65,20.25,3100,0,0.0
2017-11-08,21.0,21.0,20.4,20.4,1400,0,0.0
2017-11-09,20.355,20.85,20.355,20.4,600,0,0.0
2017-11-10,20.25,22.005,19.65,19.8,27300,0,0.0
2017-11-13,19.65,20.4,18.3,20.25,6200,0,0.0
2017-11-14,20.55,20.55,18.9,20.55,2500,0,0.0
2017-11-15,18.0,20.835,17.7,18.9,1600,0,0.0
2017-11-16,19.5,21.0,18.9,20.4,1600,0,0.0
2017-11-17,20.4,21.0,19.95,20.55,2800,0,0.0
2017-11-20,20.55,20.76,18.9,19.485,1900,0,0.0
