Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-08,10.7,10.9,10.5,10.61,5255600,0,0
2021-01-11,10.7,10.7,10.55,10.55,291900,0,0
2021-01-12,10.64,10.7,10.51,10.51,275500,0,0
2021-01-13,10.65,10.71,10.6,10.63,1185900,0,0
2021-01-14,11.14,11.49,11.0,11.1,2429600,0,0
2021-01-15,11.47,11.47,11.0,11.09,1258500,0,0
2021-01-19,11.4,11.93,11.2,11.28,882300,0,0
2021-01-20,11.47,11.47,11.27,11.31,328200,0,0
2021-01-21,11.5,11.5,11.4,11.46,237800,0,0
2021-01-22,11.39,11.5,11.28,11.4,270300,0,0
2021-01-25,11.6,11.85,11.48,11.54,323400,0,0
2021-01-26,11.54,11.67,11.22,11.25,362200,0,0
2021-01-27,11.31,11.52,10.95,10.98,797000,0,0
2021-01-28,11.96,11.96,10.96,11.0,404700,0,0
2021-01-29,11.01,11.37,10.75,11.05,759400,0,0
2021-02-01,11.34,11.34,10.99,11.03,213200,0,0
2021-02-02,11.22,11.27,11.03,11.05,99800,0,0
2021-02-03,11.14,11.27,11.09,11.14,81600,0,0
2021-02-04,11.25,11.35,11.15,11.15,254400,0,0
2021-02-05,11.33,11.4,11.05,11.19,133300,0,0
2021-02-08,11.33,11.37,11.09,11.2,156700,0,0
2021-02-09,11.2,11.38,11.0,11.04,228700,0,0
2021-02-10,11.25,11.27,10.89,10.99,543000,0,0
2021-02-11,11.16,11.24,11.06,11.1,183500,0,0
2021-02-12,11.2,11.3,11.1,11.1,153900,0,0
2021-02-16,11.4,11.52,11.27,11.41,173700,0,0
2021-02-17,11.47,11.5,11.29,11.3,74100,0,0
2021-02-18,11.4,11.4,11.2,11.24,76300,0,0
2021-02-19,11.3,11.4,11.11,11.18,876800,0,0
2021-02-22,11.29,12.13,11.25,11.83,379700,0,0
2021-02-23,11.58,11.67,11.0,11.54,184800,0,0
2021-02-24,11.63,11.63,11.05,11.05,182900,0,0
2021-02-25,11.25,11.37,10.65,10.65,261700,0,0
2021-02-26,10.85,10.98,10.65,10.8,196200,0,0
2021-03-01,11.0,11.12,10.78,10.94,239300,0,0
2021-03-02,11.0,11.0,10.5,10.58,271000,0,0
2021-03-03,10.65,10.89,10.41,10.47,225100,0,0
2021-03-04,10.5,10.52,10.16,10.34,239800,0,0
2021-03-05,10.36,10.5,10.2,10.3,139500,0,0
2021-03-08,10.51,10.56,10.2,10.26,99200,0,0
2021-03-09,10.36,10.4,10.25,10.26,58400,0,0
2021-03-10,10.4,10.47,10.32,10.33,159400,0,0
2021-03-11,10.4,10.51,10.35,10.43,49800,0,0
2021-03-12,10.48,10.48,10.31,10.31,17300,0,0
2021-03-15,10.39,10.45,10.27,10.31,44800,0,0
2021-03-16,10.38,10.38,10.2,10.25,136800,0,0
2021-03-17,10.23,10.35,10.2,10.25,55700,0,0
2021-03-18,10.24,10.34,10.2,10.24,71800,0,0
2021-03-19,10.24,10.32,10.16,10.19,51700,0,0
2021-03-22,10.37,10.37,10.13,10.17,37000,0,0
2021-03-23,10.3,10.3,10.01,10.02,49700,0,0
2021-03-24,10.08,10.1,9.95,9.97,64500,0,0
2021-03-25,9.91,10.08,9.9,10.02,15800,0,0
2021-03-26,10.02,10.13,10.02,10.09,30900,0,0
2021-03-29,10.09,10.13,10.03,10.07,20100,0,0
2021-03-30,10.06,10.1,10.03,10.05,29500,0,0
2021-03-31,10.11,10.11,10.03,10.07,10900,0,0
2021-04-01,10.03,10.1,10.03,10.1,15300,0,0
2021-04-05,10.2,10.2,9.98,10.02,105200,0,0
2021-04-06,10.09,10.15,10.02,10.14,30000,0,0
2021-04-07,10.19,10.19,10.03,10.11,177200,0,0
2021-04-08,10.06,10.12,10.02,10.11,144200,0,0
2021-04-09,10.15,10.18,10.11,10.16,9000,0,0
2021-04-12,10.16,10.2,10.11,10.12,12700,0,0
2021-04-13,10.06,10.19,10.06,10.13,19200,0,0
2021-04-14,10.07,10.21,10.07,10.13,28400,0,0
2021-04-15,10.13,10.24,10.11,10.24,25600,0,0
2021-04-16,10.18,10.22,10.12,10.18,9400,0,0
2021-04-19,10.18,10.18,10.11,10.11,11100,0,0
2021-04-20,10.1,10.15,10.08,10.08,31400,0,0
2021-04-21,10.06,10.13,10.06,10.09,16700,0,0
2021-04-22,10.09,10.13,10.09,10.13,5400,0,0
2021-04-23,10.09,10.14,10.05,10.05,6700,0,0
2021-04-26,10.02,10.08,10.02,10.03,18400,0,0
2021-04-27,10.01,10.09,10.01,10.09,5800,0,0
2021-04-28,10.1,10.1,10.04,10.07,8700,0,0
2021-04-29,10.1,10.1,10.04,10.06,11200,0,0
2021-04-30,10.06,10.11,10.03,10.11,11900,0,0
2021-05-03,10.08,10.08,10.03,10.04,28900,0,0
2021-05-04,10.1,10.1,10.0,10.05,20200,0,0
2021-05-05,10.01,10.14,10.01,10.1,17800,0,0
2021-05-06,10.09,10.14,10.0,10.07,26600,0,0
2021-05-07,10.02,10.15,10.02,10.1,10500,0,0
2021-05-10,10.04,10.07,10.0,10.0,117600,0,0
2021-05-11,10.0,10.02,9.99,10.0,11600,0,0
2021-05-12,10.0,10.09,9.99,10.01,38700,0,0
2021-05-13,10.01,10.12,9.97,9.97,26300,0,0
2021-05-14,9.95,10.08,9.95,10.01,73400,0,0
2021-05-17,9.99,10.08,9.99,10.05,75600,0,0
2021-05-18,10.02,10.07,9.97,9.97,15200,0,0
2021-05-19,9.9,10.03,9.9,10.01,10200,0,0
2021-05-20,9.99,10.0,9.95,9.96,2700,0,0
2021-05-21,9.96,9.99,9.95,9.99,10400,0,0
