Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-06,6.61,6.64,6.61,6.61,18431400,0.0,0
2000-04-07,6.23,6.31,6.03,6.11,2353900,0.0,0
2000-04-10,6.08,6.34,6.06,6.11,425700,0.0,0
2000-04-11,6.44,6.59,6.28,6.49,597900,0.0,0
2000-04-12,6.44,6.56,6.21,6.28,235800,0.0,0
2000-04-13,6.26,6.26,6.03,6.03,243800,0.0,0
2000-04-14,6.13,6.23,6.01,6.03,612700,0.0,0
2000-04-17,6.08,6.21,5.91,5.93,262400,0.0,0
2000-04-18,6.08,6.08,5.93,6.03,1287300,0.0,0
2000-04-19,6.03,6.03,5.96,5.96,118900,0.0,0
2000-04-20,5.83,5.98,5.83,5.88,233100,0.0,0
2000-04-24,5.86,5.93,5.83,5.83,328600,0.0,0
2000-04-25,5.78,5.88,5.73,5.81,242200,0.0,0
2000-04-26,5.81,5.83,5.73,5.73,108400,0.0,0
2000-04-27,5.78,5.86,5.76,5.83,39000,0.0,0
2000-04-28,5.83,6.18,5.83,6.08,223400,0.0,0
2000-05-01,6.03,6.16,6.03,6.16,75600,0.0,0
2000-05-02,6.11,6.18,6.08,6.13,86700,0.0,0
2000-05-03,6.08,6.08,5.83,5.86,166200,0.0,0
2000-05-04,5.98,5.98,5.86,5.91,110400,0.0,0
2000-05-05,5.96,6.03,5.91,6.03,17000,0.0,0
2000-05-08,6.08,6.13,5.86,5.93,31600,0.0,0
2000-05-09,6.18,6.18,5.98,6.03,132400,0.0,0
2000-05-10,6.34,6.59,6.34,6.49,464400,0.0,0
2000-05-11,6.54,6.69,6.54,6.66,365900,0.0,0
2000-05-12,7.44,7.54,7.06,7.54,1583200,0.0,0
2000-05-15,7.34,7.64,7.29,7.64,915500,0.0,0
2000-05-16,7.87,7.94,7.72,7.79,868900,0.0,0
2000-05-17,7.59,7.74,7.54,7.59,333400,0.0,0
2000-05-18,8.25,8.6,8.04,8.32,2259500,0.0,0
2000-05-19,8.32,8.35,7.99,8.35,612000,0.0,0
