Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-16,5.98,6.34,5.98,6.28,2474310,0.0,0.0
2015-07-17,6.28,6.28,6.28,6.28,0,0.0,0.0
2015-07-20,6.27,6.38,6.26,6.3,143895,0.0,0.0
2015-07-21,6.3,6.3,6.25,6.28,97614,0.0,0.0
2015-07-22,6.28,6.29,6.26,6.26,56588,0.0,0.0
2015-07-23,6.28,6.28,6.23,6.23,133184,0.0,0.0
2015-07-24,6.25,6.28,6.25,6.27,137024,0.0,0.0
2015-07-27,6.27,6.3,6.25,6.28,104486,0.0,0.0
2015-07-28,6.25,6.29,6.25,6.28,59013,0.0,0.0
2015-07-29,6.25,6.25,6.23,6.25,71139,0.0,0.0
2015-07-30,6.25,6.28,6.23,6.28,19604,0.0,0.0
2015-07-31,6.28,6.28,6.24,6.24,14551,0.0,0.0
2015-08-03,6.24,6.29,6.23,6.23,70533,0.0,0.0
2015-08-04,6.28,6.28,6.23,6.23,5457,0.0,0.0
2015-08-05,6.27,6.27,6.23,6.23,30719,0.0,0.0
2015-08-06,6.27,6.27,6.23,6.27,8286,0.0,0.0
2015-08-07,6.27,6.27,6.23,6.26,11924,0.0,0.0
2015-08-10,6.27,6.27,6.23,6.23,51131,0.0,0.0
2015-08-11,6.22,6.27,6.22,6.25,20816,0.0,0.0
2015-08-12,6.22,6.27,6.22,6.25,39207,0.0,0.0
2015-08-13,6.25,6.25,6.23,6.25,14955,0.0,0.0
2015-08-14,6.25,6.25,6.23,6.25,35974,0.0,0.0
2015-08-17,6.25,6.25,6.23,6.25,21827,0.0,0.0
2015-08-18,6.24,6.24,6.11,6.18,6467,0.0,0.0
2015-08-19,6.1,6.2,6.1,6.18,31326,0.0,0.0
2015-08-20,6.2,6.23,6.16,6.23,16774,0.0,0.0
2015-08-21,6.23,6.25,6.19,6.19,46887,0.0,0.0
2015-08-24,6.14,6.15,5.98,6.02,86701,0.0,0.0
2015-08-25,6.08,6.08,6.03,6.08,35772,0.0,0.0
2015-08-26,6.06,6.07,6.03,6.07,17987,0.0,0.0
2015-08-27,6.06,6.08,6.06,6.08,6063,0.0,0.0
2015-08-28,6.01,6.1,6.01,6.07,30517,0.0,0.0
2015-08-31,6.06,6.16,6.06,6.12,13541,0.0,0.0
2015-09-01,6.07,6.16,6.06,6.07,1415,0.0,0.0
2015-09-02,6.06,6.06,5.94,6.0,7680,0.0,0.0
2015-09-03,6.04,6.15,5.95,6.08,13743,0.0,0.0
2015-09-04,6.08,6.08,5.99,6.08,10105,0.0,0.0
2015-09-08,6.15,6.15,6.06,6.1,32134,0.0,0.0
2015-09-09,6.11,6.16,5.97,6.16,64268,0.0,0.0
2015-09-10,6.19,6.19,6.11,6.18,160265,0.0,0.0
2015-09-11,6.17,6.25,5.99,6.25,54365,0.0,0.0
2015-09-14,6.24,6.25,6.22,6.24,69118,0.0,0.0
2015-09-15,6.25,6.34,6.18,6.32,46281,0.0,0.0
2015-09-16,6.25,6.31,6.23,6.3,27081,0.0,0.0
2015-09-17,6.28,6.3,6.15,6.3,32336,0.0,0.0
2015-09-18,6.32,6.35,5.5,5.5,483827,0.0,0.0
2015-09-21,5.94,6.09,5.94,6.02,109740,0.0,0.0
2015-09-22,6.01,6.13,6.0,6.05,70129,0.0,0.0
2015-09-23,6.08,6.13,6.03,6.12,5457,0.0,0.0
2015-09-24,6.07,6.11,6.04,6.11,8286,0.0,0.0
2015-09-25,6.11,6.11,5.89,5.92,70735,0.0,0.0
2015-09-28,5.9,6.04,5.89,5.93,41835,0.0,0.0
2015-09-29,5.94,6.11,5.89,6.02,151171,0.0,0.0
2015-09-30,6.08,6.1,5.95,6.05,61438,0.0,0.0
2015-10-01,6.05,6.09,5.94,6.09,47291,0.0,0.0
2015-10-02,6.03,6.08,5.92,6.04,49312,0.0,0.0
2015-10-05,5.97,6.08,5.94,6.05,39005,0.0,0.0
2015-10-06,6.03,6.13,6.02,6.07,3638,0.0,0.0
2015-10-07,6.07,6.09,6.01,6.05,50323,0.0,0.0
2015-10-08,6.07,6.22,6.05,6.14,9701,0.0,0.0
2015-10-09,6.14,6.14,6.14,6.14,0,0.0,0.0
2015-10-12,6.16,6.16,6.09,6.09,606,0.0,0.0
2015-10-13,6.1,6.16,6.09,6.09,1011,0.0,0.0
2015-10-14,6.18,6.18,6.11,6.11,1011,0.0,0.0
2015-10-15,6.17,6.2,6.15,6.2,6669,0.0,0.0
2015-10-16,6.14,6.23,6.09,6.1,1617,0.0,0.0
2015-10-19,6.14,6.17,6.14,6.16,2829,0.0,0.0
2015-10-20,6.09,6.1,6.09,6.1,1213,0.0,0.0
2015-10-21,6.11,6.12,6.11,6.11,808,0.0,0.0
2015-10-22,6.11,6.11,6.09,6.09,2021,0.0,0.0
2015-10-23,6.11,6.11,6.07,6.08,7478,0.0,0.0
2015-10-26,6.06,6.08,5.99,5.99,31932,0.0,0.0
2015-10-27,5.99,6.07,5.98,6.06,3436,0.0,0.0
2015-10-28,6.0,6.1,6.0,6.04,5457,0.0,0.0
2015-10-29,6.06,6.06,6.06,6.06,404,0.0,0.0
2015-10-30,6.06,6.08,6.06,6.06,3032,0.0,0.0
2015-11-02,6.06,6.11,6.04,6.07,6871,0.0,0.0
2015-11-03,6.1,6.1,5.92,6.06,38601,0.0,0.0
2015-11-04,6.06,6.07,6.02,6.03,7680,0.0,0.0
2015-11-05,6.11,6.11,6.04,6.04,3638,0.0,0.0
2015-11-06,6.02,6.03,6.02,6.03,7882,0.0,0.0
2015-11-09,6.03,6.03,6.02,6.02,17785,0.0,0.0
2015-11-10,6.02,6.02,6.02,6.02,0,0.0,0.0
2015-11-11,6.02,6.02,6.02,6.02,0,0.0,0.0
2015-11-12,6.03,6.09,6.03,6.03,3234,0.0,0.0
2015-11-13,6.09,6.09,6.09,6.09,404,0.0,0.0
2015-11-16,6.05,6.05,6.04,6.04,4446,0.0,0.0
2015-11-17,6.08,6.1,6.05,6.08,4244,0.0,0.0
2015-11-18,6.05,6.07,6.04,6.04,7882,0.0,0.0
2015-11-19,6.1,6.16,6.09,6.11,22433,0.0,0.0
2015-11-20,6.08,6.12,6.05,6.11,5659,0.0,0.0
2015-11-23,6.08,6.14,6.08,6.14,11116,0.0,0.0
2015-11-24,6.11,6.11,6.07,6.07,13541,0.0,0.0
2015-11-25,6.05,6.13,6.04,6.09,18795,0.0,0.0
2015-11-27,6.16,6.16,6.16,6.16,202,0.0,0.0
2015-11-30,6.17,6.17,6.13,6.15,3436,0.0,0.0
2015-12-01,6.14,6.17,6.11,6.17,12934,0.0,0.0
2015-12-02,6.21,6.22,6.18,6.19,4244,0.0,0.0
2015-12-03,6.16,6.25,6.16,6.23,10307,0.0,0.0
2015-12-04,6.16,6.22,6.16,6.16,2223,0.0,0.0
2015-12-07,6.28,6.34,6.25,6.28,21625,0.0,0.0
2015-12-08,6.47,6.57,6.23,6.28,11924,0.0,0.0
2015-12-09,6.33,6.43,6.24,6.28,9499,0.0,0.0
2015-12-10,6.28,6.44,6.23,6.28,3638,0.0,0.0
2015-12-11,6.23,6.26,6.23,6.26,1819,0.0,0.0
2015-12-14,6.35,6.35,6.23,6.23,1415,0.0,0.0
2015-12-15,6.29,6.29,6.28,6.28,6063,0.0,0.0
2015-12-16,6.3,6.59,6.28,6.29,2627,0.0,0.0
2015-12-17,6.33,6.56,6.28,6.28,47291,0.0,0.0
2015-12-18,6.32,6.48,6.29,6.48,6467,0.0,0.0
2015-12-21,6.48,6.48,6.48,6.48,0,0.0,0.0
2015-12-22,6.48,6.48,6.48,6.48,0,0.0,0.0
2015-12-23,6.5,6.5,6.5,6.5,404,0.0,0.0
2015-12-24,6.5,6.5,6.5,6.5,0,0.0,0.0
2015-12-28,6.38,6.38,6.33,6.33,3032,0.0,0.0
2015-12-29,6.36,6.49,6.36,6.46,10509,0.0,0.0
2015-12-30,6.51,6.59,6.43,6.43,6265,0.0,0.0
2015-12-31,6.54,6.58,6.33,6.35,6669,0.0,0.0
2016-01-04,6.35,6.4,6.33,6.35,33347,0.0,0.0
2016-01-05,6.35,6.4,6.33,6.33,10711,0.0,0.0
2016-01-06,6.36,6.39,6.35,6.39,5053,0.0,0.0
2016-01-07,6.39,6.44,6.39,6.44,9499,0.0,0.0
2016-01-08,6.41,6.41,6.38,6.4,4244,0.0,0.0
2016-01-11,6.39,6.45,6.39,6.43,7882,0.0,0.0
2016-01-12,6.42,6.44,6.41,6.44,6063,0.0,0.0
2016-01-13,6.38,6.43,6.38,6.43,2021,0.0,0.0
2016-01-14,6.37,6.39,6.37,6.38,7680,0.0,0.0
2016-01-15,6.37,6.37,6.23,6.25,12126,0.0,0.0
2016-01-19,6.3,6.41,6.3,6.38,14753,0.0,0.0
2016-01-20,6.34,6.34,6.34,6.34,202,0.0,0.0
2016-01-21,6.34,6.34,6.27,6.33,1819,0.0,0.0
2016-01-22,6.35,6.35,6.33,6.34,7074,0.0,0.0
2016-01-25,6.33,6.34,6.26,6.26,11924,0.0,0.0
2016-01-26,6.26,6.26,6.26,6.26,404,0.0,0.0
2016-01-27,6.25,6.32,6.25,6.32,606,0.0,0.0
2016-01-28,6.32,6.32,6.31,6.32,19200,0.0,0.0
2016-01-29,6.3,6.32,6.28,6.3,21221,0.0,0.0
2016-02-01,6.3,6.32,6.28,6.32,55982,0.0,0.0
2016-02-02,6.33,6.36,6.33,6.36,31730,0.0,0.0
2016-02-03,6.36,6.37,6.35,6.36,13339,0.0,0.0
2016-02-04,6.37,6.42,6.36,6.38,21221,0.0,0.0
2016-02-05,6.36,6.36,6.35,6.36,9095,0.0,0.0
2016-02-08,6.36,6.36,6.33,6.35,7680,0.0,0.0
2016-02-09,6.31,6.31,6.28,6.28,2223,0.0,0.0
2016-02-10,6.3,6.3,6.3,6.3,12732,0.0,0.0
2016-02-11,6.3,6.3,6.3,6.3,0,0.0,0.0
2016-02-12,6.3,6.3,6.3,6.3,3436,0.0,0.0
2016-02-16,6.31,6.33,6.3,6.3,21221,0.0,0.0
2016-02-17,6.35,6.35,6.33,6.35,10307,0.0,0.0
2016-02-18,6.31,6.35,6.31,6.35,3436,0.0,0.0
2016-02-19,6.35,6.35,6.31,6.31,4446,0.0,0.0
2016-02-22,6.33,6.4,6.33,6.39,6871,0.0,0.0
2016-02-23,6.31,6.37,6.31,6.37,20412,0.0,0.0
2016-02-24,6.31,6.35,6.31,6.35,10105,0.0,0.0
2016-02-25,6.35,6.35,6.35,6.35,2223,0.0,0.0
2016-02-26,6.35,6.35,6.34,6.34,808,0.0,0.0
2016-02-29,6.35,6.35,6.29,6.29,7882,0.0,0.0
2016-03-01,6.33,6.57,6.33,6.5,9903,0.0,0.0
2016-03-02,6.39,6.51,6.38,6.51,3436,0.0,0.0
2016-03-03,6.58,6.59,6.53,6.55,4850,0.0,0.0
2016-03-04,6.36,6.36,6.36,6.36,606,0.0,0.0
2016-03-07,6.36,6.47,6.36,6.41,7680,0.0,0.0
2016-03-08,6.37,6.41,6.37,6.41,1415,0.0,0.0
2016-03-09,6.37,6.37,6.37,6.37,202,0.0,0.0
2016-03-10,6.47,6.52,6.47,6.48,3638,0.0,0.0
2016-03-11,6.47,6.48,6.47,6.48,808,0.0,0.0
2016-03-14,6.48,6.48,6.48,6.48,404,0.0,0.0
2016-03-15,6.48,6.48,6.48,6.48,1011,0.0,0.0
2016-03-16,6.54,6.59,6.38,6.38,7882,0.0,0.0
2016-03-17,6.45,6.59,6.31,6.35,1213,0.0,0.0
2016-03-18,6.57,6.83,6.46,6.83,145714,0.0,0.0
2016-03-21,6.6,6.81,6.59,6.67,34761,0.0,0.0
2016-03-22,6.59,6.81,6.59,6.79,2425,0.0,0.0
2016-03-23,6.77,6.79,6.77,6.79,606,0.0,0.0
2016-03-24,6.79,6.79,6.58,6.59,1617,0.0,0.0
2016-03-28,6.59,6.59,6.59,6.59,0,0.0,0.0
2016-03-29,6.74,6.74,6.45,6.55,4244,0.0,0.0
2016-03-30,6.76,6.79,6.59,6.79,16168,0.0,0.0
2016-03-31,6.68,6.68,6.46,6.46,1213,0.0,0.0
2016-04-01,6.65,6.79,6.61,6.67,6063,0.0,0.0
2016-04-04,6.57,6.57,6.57,6.57,202,0.0,0.0
2016-04-05,6.57,6.76,6.55,6.67,3234,0.0,0.0
2016-04-06,6.59,6.72,6.57,6.61,7882,0.0,0.0
2016-04-07,6.59,6.59,6.59,6.59,404,0.0,0.0
2016-04-08,6.76,6.76,6.59,6.59,404,0.0,0.0
2016-04-11,6.66,6.67,6.66,6.67,1415,0.0,0.0
2016-04-12,6.69,6.74,6.65,6.74,6063,0.0,0.0
2016-04-13,6.6,6.6,6.6,6.6,202,0.0,0.0
2016-04-14,6.6,6.6,6.6,6.6,0,0.0,0.0
2016-04-15,6.78,6.79,6.61,6.61,2021,0.0,0.0
2016-04-18,6.61,6.61,6.61,6.61,808,0.0,0.0
2016-04-19,6.67,6.72,6.59,6.72,3436,0.0,0.0
2016-04-20,6.72,6.72,6.72,6.72,0,0.0,0.0
2016-04-21,6.72,6.72,6.72,6.72,0,0.0,0.0
2016-04-22,6.72,6.86,6.72,6.82,18795,0.0,0.0
2016-04-25,7.07,7.07,6.85,6.85,1213,0.0,0.0
2016-04-26,6.85,7.05,6.6,6.68,6669,0.0,0.0
2016-04-27,6.81,6.84,6.63,6.74,2829,0.0,0.0
2016-04-28,6.72,6.72,6.72,6.72,202,0.0,0.0
2016-04-29,6.96,6.96,6.65,6.65,404,0.0,0.0
2016-05-02,6.7,6.7,6.65,6.7,1213,0.0,0.0
2016-05-03,6.85,6.85,6.72,6.74,1213,0.0,0.0
2016-05-04,6.74,6.74,6.74,6.74,0,0.0,0.0
2016-05-05,6.77,6.77,6.74,6.74,606,0.0,0.0
2016-05-06,6.7,6.79,6.7,6.79,1011,0.0,0.0
2016-05-09,6.77,6.83,6.73,6.83,33549,0.0,0.0
2016-05-10,6.74,6.8,6.74,6.8,5053,0.0,0.0
2016-05-11,6.79,6.83,6.78,6.83,2425,0.0,0.0
2016-05-12,6.83,6.83,6.77,6.77,1415,0.0,0.0
2016-05-13,6.77,6.77,6.77,6.77,0,0.0,0.0
2016-05-16,6.87,6.87,6.79,6.79,1617,0.0,0.0
2016-05-17,6.75,6.75,6.75,6.75,1213,0.0,0.0
2016-05-18,6.88,6.94,6.75,6.83,10711,0.0,0.0
2016-05-19,6.94,6.94,6.83,6.83,1819,0.0,0.0
2016-05-20,6.77,6.88,6.77,6.8,5255,0.0,0.0
2016-05-23,6.87,6.94,6.86,6.94,22837,0.0,0.0
2016-05-24,6.84,7.0,6.84,7.0,40218,0.0,0.0
2016-05-25,7.0,7.0,6.79,7.0,7680,0.0,0.0
2016-05-26,7.0,7.0,7.0,7.0,0,0.0,0.0
2016-05-27,6.96,6.96,6.91,6.96,4648,0.0,0.0
2016-05-31,6.91,6.91,6.84,6.84,36782,0.0,0.0
2016-06-01,6.94,7.06,6.94,6.94,6063,0.0,0.0
2016-06-02,7.0,7.0,6.86,6.89,6467,0.0,0.0
2016-06-03,6.89,6.95,6.79,6.89,22433,0.0,0.0
2016-06-06,6.92,6.92,6.78,6.79,808,0.0,0.0
2016-06-07,6.95,7.06,6.82,6.83,6063,0.0,0.0
2016-06-08,6.93,7.03,6.93,6.98,3234,0.0,0.0
2016-06-09,6.85,6.85,6.85,6.85,202,0.0,0.0
2016-06-10,7.01,7.01,6.84,6.9,3032,0.0,0.0
2016-06-13,6.85,6.94,6.85,6.93,3840,0.0,0.0
2016-06-14,6.84,6.84,6.84,6.84,606,0.0,0.0
2016-06-15,6.86,6.98,6.86,6.98,12328,0.0,0.0
2016-06-16,6.91,6.98,6.91,6.98,7680,0.0,0.0
2016-06-17,6.91,7.13,6.91,7.08,66289,0.0,0.0
2016-06-20,7.05,7.21,6.98,7.16,26475,0.0,0.0
2016-06-21,7.16,7.32,7.01,7.32,22433,0.0,0.0
2016-06-22,7.32,7.64,7.07,7.64,38197,0.0,0.0
2016-06-23,7.64,7.76,7.57,7.68,65278,0.0,0.0
2016-06-24,7.72,7.72,7.12,7.64,737665,0.0,0.0
2016-06-27,7.43,7.56,7.31,7.41,31326,0.0,0.0
2016-06-28,7.51,7.55,7.3,7.55,34963,0.0,0.0
2016-06-29,7.62,7.62,7.3,7.58,19604,0.0,0.0
2016-06-30,7.55,7.64,7.49,7.53,24050,0.0,0.0
2016-07-01,7.57,7.65,7.44,7.54,41026,0.0,0.0
2016-07-05,7.51,7.58,7.41,7.53,20412,0.0,0.0
2016-07-06,7.64,7.64,7.51,7.52,6467,0.0,0.0
2016-07-07,7.64,7.64,7.2,7.51,7882,0.0,0.0
2016-07-08,7.47,7.67,7.47,7.66,14955,0.0,0.0
2016-07-11,7.64,7.64,7.64,7.64,2829,0.0,0.0
2016-07-12,7.64,7.64,7.36,7.64,5255,0.0,0.0
2016-07-13,7.56,7.61,7.45,7.61,2829,0.0,0.0
2016-07-14,7.61,7.64,7.59,7.64,13137,0.0,0.0
2016-07-15,7.72,7.99,7.69,7.99,20210,0.0,0.0
2016-07-18,7.92,7.92,7.67,7.67,2425,0.0,0.0
2016-07-19,7.8,7.8,7.52,7.69,19604,0.0,0.0
2016-07-20,7.69,7.82,7.69,7.82,15966,0.0,0.0
2016-07-21,7.89,7.89,7.69,7.8,9903,0.0,0.0
2016-07-22,7.73,7.82,7.73,7.82,10913,0.0,0.0
2016-07-25,7.72,7.72,7.72,7.72,1011,0.0,0.0
2016-07-26,7.73,7.83,7.73,7.82,27284,0.0,0.0
2016-07-27,7.74,7.8,7.74,7.79,7074,0.0,0.0
2016-07-28,7.81,7.81,7.79,7.81,12934,0.0,0.0
2016-07-29,7.81,7.81,7.76,7.78,5659,0.0,0.0
2016-08-01,7.78,7.78,7.74,7.76,4446,0.0,0.0
2016-08-02,7.81,7.81,7.74,7.75,8690,0.0,0.0
2016-08-03,7.75,7.81,7.75,7.79,7882,0.0,0.0
2016-08-04,7.81,7.81,7.7,7.73,24858,0.0,0.0
2016-08-05,7.74,7.77,7.74,7.76,8488,0.0,0.0
2016-08-08,7.77,7.77,7.52,7.7,2627,0.0,0.0
2016-08-09,7.68,7.75,7.53,7.75,6871,0.0,0.0
2016-08-10,7.58,7.74,7.58,7.69,3840,0.0,0.0
2016-08-11,7.7,7.76,7.7,7.75,5053,0.0,0.0
2016-08-12,7.77,7.8,7.73,7.73,18391,0.0,0.0
2016-08-15,7.77,7.77,7.74,7.76,22029,0.0,0.0
2016-08-16,7.75,7.81,7.52,7.73,22231,0.0,0.0
2016-08-17,7.75,7.77,7.72,7.77,8286,0.0,0.0
2016-08-18,7.57,7.82,7.57,7.8,9701,0.0,0.0
2016-08-19,7.82,7.82,7.74,7.74,9095,0.0,0.0
2016-08-22,7.77,7.81,7.68,7.74,11116,0.0,0.0
2016-08-23,7.73,7.79,7.73,7.77,2021,0.0,0.0
2016-08-24,7.78,7.81,7.76,7.76,6871,0.0,0.0
2016-08-25,7.74,7.74,7.74,7.74,2223,0.0,0.0
2016-08-26,7.77,7.79,7.77,7.79,2829,0.0,0.0
2016-08-29,7.64,7.79,7.64,7.79,2021,0.0,0.0
2016-08-30,7.69,7.7,7.64,7.69,14349,0.0,0.0
2016-08-31,7.41,7.71,7.41,7.71,6467,0.0,0.0
2016-09-01,7.7,7.81,7.7,7.81,9095,0.0,0.0
2016-09-02,7.82,7.82,7.71,7.81,20816,0.0,0.0
2016-09-06,7.69,7.82,7.69,7.81,5255,0.0,0.0
2016-09-07,7.76,7.92,7.36,7.81,49110,0.0,0.0
2016-09-08,7.62,7.88,7.62,7.87,10711,0.0,0.0
2016-09-09,7.77,7.88,7.72,7.79,14147,0.0,0.0
2016-09-12,7.76,7.89,7.75,7.89,11116,0.0,0.0
2016-09-13,7.68,7.89,7.68,7.85,13137,0.0,0.0
2016-09-14,7.74,7.85,7.74,7.83,9499,0.0,0.0
2016-09-15,7.75,7.89,7.75,7.83,5861,0.0,0.0
2016-09-16,7.88,7.88,7.7,7.82,24454,0.0,0.0
2016-09-19,7.69,7.87,7.69,7.82,8286,0.0,0.0
2016-09-20,7.77,7.87,7.77,7.84,3436,0.0,0.0
2016-09-21,7.71,7.87,7.71,7.85,8488,0.0,0.0
2016-09-22,7.87,7.87,7.87,7.87,7276,0.0,0.0
2016-09-23,7.87,7.87,7.82,7.85,4244,0.0,0.0
2016-09-26,7.74,7.81,7.72,7.81,5255,0.0,0.0
2016-09-27,7.82,7.82,7.73,7.78,7074,0.0,0.0
2016-09-28,7.82,7.82,7.73,7.73,7680,0.0,0.0
2016-09-29,7.59,7.77,7.31,7.64,8488,0.0,0.0
2016-09-30,7.69,7.76,7.62,7.62,16774,0.0,0.0
2016-10-03,7.66,7.67,7.56,7.56,5659,0.0,0.0
2016-10-04,7.56,7.65,7.56,7.61,25667,0.0,0.0
2016-10-05,7.73,7.73,7.68,7.68,5861,0.0,0.0
2016-10-06,7.62,7.63,7.62,7.62,5255,0.0,0.0
2016-10-07,7.8,7.8,7.64,7.64,16370,0.0,0.0
2016-10-10,7.69,7.86,7.69,7.84,36984,0.0,0.0
2016-10-11,7.82,7.82,7.79,7.79,6467,0.0,0.0
2016-10-12,7.79,7.79,7.79,7.79,0,0.0,0.0
2016-10-13,7.74,7.82,7.74,7.77,3032,0.0,0.0
2016-10-14,7.74,7.74,7.74,7.74,1819,0.0,0.0
2016-10-17,7.74,7.74,7.74,7.74,808,0.0,0.0
2016-10-18,7.82,7.86,7.77,7.86,11318,0.0,0.0
2016-10-19,7.86,7.86,7.77,7.77,1819,0.0,0.0
2016-10-20,7.74,7.77,7.72,7.72,3436,0.0,0.0
2016-10-21,7.67,7.67,7.67,7.67,808,0.0,0.0
2016-10-24,7.72,7.86,7.72,7.86,21827,0.0,0.0
2016-10-25,7.82,7.86,7.82,7.84,5659,0.0,0.0
2016-10-26,7.86,7.86,7.84,7.84,34963,0.0,0.0
2016-10-27,7.85,7.86,7.82,7.82,3436,0.0,0.0
2016-10-28,7.82,7.84,7.82,7.84,1415,0.0,0.0
2016-10-31,7.84,7.84,7.82,7.84,20412,0.0,0.0
2016-11-01,7.84,7.89,7.8,7.84,7882,0.0,0.0
2016-11-02,7.86,7.94,7.86,7.89,9903,0.0,0.0
2016-11-03,7.94,7.96,7.86,7.86,7680,0.0,0.0
2016-11-04,7.84,7.96,7.84,7.86,13945,0.0,0.0
2016-11-07,7.89,7.96,7.86,7.96,7276,0.0,0.0
2016-11-08,7.96,7.96,7.91,7.91,6265,0.0,0.0
2016-11-09,7.91,8.13,7.91,8.13,13339,0.0,0.0
2016-11-10,8.18,8.57,8.18,8.48,37389,0.0,0.0
2016-11-11,8.6,8.62,8.57,8.57,39005,0.0,0.0
2016-11-14,8.6,8.6,8.5,8.52,13339,0.0,0.0
2016-11-15,8.5,8.55,8.48,8.52,17583,0.0,0.0
2016-11-16,8.5,8.5,8.47,8.5,7276,0.0,0.0
2016-11-17,8.21,8.52,8.21,8.5,16976,0.0,0.0
2016-11-18,8.52,8.6,8.43,8.6,28698,0.0,0.0
2016-11-21,8.55,8.55,8.52,8.55,5255,0.0,0.0
2016-11-22,8.57,8.66,8.5,8.57,15360,0.0,0.0
2016-11-23,8.52,8.72,8.5,8.7,25869,0.0,0.0
2016-11-25,8.67,8.77,8.62,8.77,15764,0.0,0.0
2016-11-28,8.74,8.87,8.74,8.82,21018,0.0,0.0
2016-11-29,8.96,9.06,8.96,9.04,11924,0.0,0.0
2016-11-30,8.84,8.99,8.84,8.99,2425,0.0,0.0
2016-12-01,8.96,9.11,8.94,9.06,9903,0.0,0.0
2016-12-02,9.11,9.11,8.62,9.01,6063,0.0,0.0
2016-12-05,9.04,9.04,9.01,9.01,6467,0.0,0.0
2016-12-06,9.13,9.13,9.11,9.11,10711,0.0,0.0
2016-12-07,9.13,9.18,9.06,9.13,14955,0.0,0.0
2016-12-08,9.28,9.35,9.16,9.28,20816,0.0,0.0
2016-12-09,9.28,9.28,9.13,9.13,12934,0.0,0.0
2016-12-12,9.28,9.28,9.11,9.11,18391,0.0,0.0
2016-12-13,9.18,9.26,9.16,9.16,20412,0.0,0.0
2016-12-14,9.18,9.18,9.01,9.01,3840,0.0,0.0
2016-12-15,9.09,9.13,8.87,8.87,6871,0.0,0.0
2016-12-16,8.92,9.13,8.89,9.13,40824,0.0,0.0
2016-12-19,8.89,9.23,8.45,9.16,16168,0.0,0.0
2016-12-20,9.18,9.18,9.16,9.18,3032,0.0,0.0
2016-12-21,9.23,9.23,9.13,9.13,13541,0.0,0.0
2016-12-22,9.28,9.28,9.04,9.06,14955,0.0,0.0
2016-12-23,9.21,9.23,9.11,9.21,2829,0.0,0.0
2016-12-27,9.18,9.23,9.01,9.11,3032,0.0,0.0
2016-12-28,9.16,9.16,8.94,8.94,5053,0.0,0.0
2016-12-29,8.82,8.88,8.82,8.82,11318,0.0,0.0
2016-12-30,8.79,8.84,8.74,8.74,9297,0.0,0.0
2017-01-03,8.74,9.01,8.74,8.99,72756,0.0,0.0
2017-01-04,8.89,9.13,8.89,8.99,20412,0.0,0.0
2017-01-05,8.92,8.99,8.87,8.99,28698,0.0,0.0
2017-01-06,8.89,8.89,8.82,8.82,7680,0.0,0.0
2017-01-09,8.82,8.82,8.82,8.82,2021,0.0,0.0
2017-01-10,8.82,8.82,8.82,8.82,1415,0.0,0.0
2017-01-11,8.06,8.72,8.04,8.65,5053,0.0,0.0
2017-01-12,8.65,8.88,8.65,8.72,6265,0.0,0.0
2017-01-13,8.79,8.89,8.79,8.89,5255,0.0,0.0
2017-01-17,8.85,8.85,8.79,8.79,5659,0.0,0.0
2017-01-18,8.5,8.5,8.5,8.5,606,0.0,0.0
2017-01-19,8.88,8.88,8.4,8.4,3436,0.0,0.0
2017-01-20,8.4,8.7,8.4,8.7,12126,0.0,0.0
2017-01-23,8.67,8.87,8.65,8.74,3436,0.0,0.0
