Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-04-28,5.22,5.36,5.15,5.22,7821000.0,0.0,0.0
1993-04-29,5.22,5.33,5.22,5.33,2118800.0,0.0,0.0
1993-04-30,5.36,5.36,5.22,5.26,536800.0,0.0,0.0
1993-05-03,5.22,5.26,5.19,5.26,509600.0,0.0,0.0
1993-05-04,5.26,5.26,5.11,5.19,787400.0,0.0,0.0
1993-05-05,5.15,5.19,5.08,5.08,747200.0,0.0,0.0
1993-05-06,5.11,5.15,5.04,5.04,392800.0,0.0,0.0
1993-05-07,5.08,5.11,5.04,5.08,180000.0,0.0,0.0
1993-05-10,5.11,5.19,5.08,5.08,269600.0,0.0,0.0
1993-05-11,5.11,5.11,5.08,5.11,109400.0,0.0,0.0
1993-05-12,5.08,5.08,4.97,5.04,110800.0,0.0,0.0
1993-05-13,5.04,5.04,5.01,5.01,171000.0,0.0,0.0
1993-05-14,5.01,5.08,5.01,5.01,166800.0,0.0,0.0
1993-05-17,5.01,5.01,4.9,4.94,132000.0,0.0,0.0
1993-05-18,4.94,4.94,4.58,4.72,534400.0,0.0,0.0
1993-05-19,4.79,4.9,4.79,4.83,203600.0,0.0,0.0
1993-05-20,4.76,4.79,4.54,4.65,1189000.0,0.0,0.0
1993-05-21,4.69,4.72,4.58,4.69,475600.0,0.0,0.0
1993-05-24,4.72,4.72,4.58,4.65,719200.0,0.0,0.0
1993-05-25,4.58,4.61,4.47,4.54,326600.0,0.0,0.0
1993-05-26,4.58,4.76,4.58,4.72,209200.0,0.0,0.0
1993-05-27,4.79,4.9,4.72,4.86,307800.0,0.0,0.0
1993-05-28,4.94,5.04,4.83,4.97,986400.0,0.0,0.0
1993-06-01,5.01,5.01,4.83,4.86,116800.0,0.0,0.0
1993-06-02,4.86,4.97,4.83,4.97,205200.0,0.0,0.0
1993-06-03,4.97,4.97,4.86,4.86,92000.0,0.0,0.0
1993-06-04,4.9,4.94,4.86,4.9,118200.0,0.0,0.0
1993-06-07,4.86,4.97,4.86,4.94,60000.0,0.0,0.0
1993-06-08,4.94,4.94,4.86,4.9,298200.0,0.0,0.0
1993-06-09,4.9,4.9,4.83,4.83,27400.0,0.0,0.0
1993-06-10,4.83,4.94,4.83,4.9,153600.0,0.0,0.0
1993-06-11,4.97,5.04,4.9,5.04,84200.0,0.0,0.0
1993-06-14,5.11,5.15,5.01,5.11,434000.0,0.0,0.0
1993-06-15,5.08,5.22,5.04,5.08,169600.0,0.0,0.0
1993-06-16,5.08,5.19,5.08,5.11,288200.0,0.0,0.0
1993-06-17,5.15,5.15,5.04,5.11,165400.0,0.0,0.0
1993-06-18,5.11,5.15,5.04,5.08,89400.0,0.0,0.0
1993-06-21,5.04,5.11,5.04,5.08,34200.0,0.0,0.0
1993-06-22,5.11,5.19,5.04,5.08,143000.0,0.0,0.0
1993-06-23,5.08,5.15,5.01,5.01,23600.0,0.0,0.0
1993-06-24,5.01,5.15,5.01,5.04,58200.0,0.0,0.0
1993-06-25,5.04,5.29,5.04,5.26,370000.0,0.0,0.0
1993-06-28,5.26,5.51,5.19,5.47,135200.0,0.0,0.0
1993-06-29,5.58,5.58,5.4,5.44,575600.0,0.0,0.0
1993-06-30,5.44,5.44,5.36,5.44,132000.0,0.0,0.0
1993-07-01,5.44,5.51,5.4,5.51,120800.0,0.0,0.0
1993-07-02,5.51,5.58,5.44,5.44,239400.0,0.0,0.0
1993-07-06,5.44,5.51,5.33,5.33,87200.0,0.0,0.0
1993-07-07,5.36,5.36,5.26,5.29,74400.0,0.0,0.0
1993-07-08,5.33,5.47,5.29,5.44,104000.0,0.0,0.0
1993-07-09,5.44,5.47,5.4,5.44,302600.0,0.0,0.0
1993-07-12,5.47,5.47,5.4,5.44,98200.0,0.0,0.0
1993-07-13,5.44,5.47,5.4,5.44,212400.0,0.0,0.0
1993-07-14,5.44,5.58,5.44,5.58,153200.0,0.0,0.0
1993-07-15,5.58,5.58,5.54,5.58,133800.0,0.0,0.0
1993-07-16,5.58,5.58,5.51,5.58,126000.0,0.0,0.0
1993-07-19,5.54,5.62,5.54,5.58,244800.0,0.0,0.0
1993-07-20,5.58,5.58,5.54,5.58,111000.0,0.0,0.0
1993-07-21,5.62,5.69,5.58,5.69,117400.0,0.0,0.0
1993-07-22,5.69,5.79,5.69,5.76,240600.0,0.0,0.0
1993-07-23,5.76,5.79,5.65,5.65,138200.0,0.0,0.0
1993-07-26,5.65,5.76,5.58,5.76,236200.0,0.0,0.0
1993-07-27,5.79,5.9,5.79,5.87,259200.0,0.0,0.0
1993-07-28,6.15,6.4,6.12,6.33,583200.0,0.0,0.0
1993-07-29,6.4,6.69,6.37,6.55,344800.0,0.0,0.0
1993-07-30,6.58,6.69,6.55,6.69,217800.0,0.0,0.0
1993-08-02,6.69,6.8,6.65,6.65,511400.0,0.0,0.0
1993-08-03,6.65,6.65,6.37,6.58,161000.0,0.0,0.0
1993-08-04,6.51,6.8,6.51,6.76,129200.0,0.0,0.0
1993-08-05,6.8,7.05,6.8,6.97,270200.0,0.0,0.0
1993-08-06,6.9,6.94,6.8,6.83,397600.0,0.0,0.0
1993-08-09,6.83,6.9,6.8,6.87,148200.0,0.0,0.0
1993-08-10,6.87,6.87,6.65,6.69,104000.0,0.0,0.0
1993-08-11,6.69,6.8,6.69,6.72,77400.0,0.0,0.0
1993-08-12,6.72,6.72,6.55,6.72,64000.0,0.0,0.0
1993-08-13,6.72,6.72,6.62,6.69,17600.0,0.0,0.0
1993-08-16,6.69,6.72,6.58,6.72,119600.0,0.0,0.0
1993-08-17,6.65,6.83,6.65,6.83,82800.0,0.0,0.0
1993-08-18,6.87,7.01,6.87,6.87,98800.0,0.0,0.0
1993-08-19,6.87,6.94,6.76,6.94,96600.0,0.0,0.0
1993-08-20,6.87,6.9,6.76,6.87,43600.0,0.0,0.0
1993-08-23,6.83,6.87,6.8,6.87,280200.0,0.0,0.0
1993-08-24,6.87,6.97,6.87,6.9,279000.0,0.0,0.0
1993-08-25,6.9,7.05,6.9,7.05,97600.0,0.0,0.0
1993-08-26,7.08,7.08,6.93,6.97,258600.0,0.18,0.0
