Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-07-21,26.32,26.33,26.04,26.3,272000,0.0,0
2005-07-22,26.04,26.21,26.04,26.21,1483300,0.0,0
2005-07-25,26.31,26.38,26.08,26.18,1159700,0.0,0
2005-07-26,26.08,26.15,25.93,26.12,1077900,0.0,0
2005-07-27,25.97,26.02,25.77,25.99,1848900,0.0,0
2005-07-28,25.55,25.91,25.49,25.84,2005500,0.0,0
2005-07-29,26.49,26.54,26.24,26.25,873800,0.0,0
2005-08-01,26.9,27.22,26.82,27.0,1657400,0.0,0
2005-08-02,27.34,27.34,27.13,27.21,1003800,0.0,0
2005-08-03,27.68,27.72,27.42,27.65,1623100,0.5538,0
2005-08-04,27.44,27.59,27.26,27.33,957700,0.0,0
2005-08-05,27.46,27.52,27.32,27.36,885100,0.0,0
2005-08-08,27.65,27.81,27.57,27.59,757800,0.0,0
2005-08-09,28.27,28.32,28.14,28.21,1102800,0.0,0
2005-08-10,28.87,28.93,28.77,28.9,1513000,0.0,0
2005-08-11,29.19,29.42,29.0,29.14,1510000,0.0,0
2005-08-12,29.08,29.14,28.95,29.07,1172500,0.0,0
2005-08-15,28.92,29.03,28.85,28.87,858900,0.0,0
2005-08-16,28.58,28.62,28.42,28.45,911100,0.0,0
2005-08-17,28.25,28.35,27.81,27.87,1693100,0.0,0
2005-08-18,27.51,27.56,27.31,27.42,1748300,0.0,0
2005-08-19,27.74,27.86,27.67,27.86,972000,0.0,0
2005-08-22,27.87,27.94,27.62,27.71,1050500,0.0,0
2005-08-23,27.63,27.68,27.52,27.65,579800,0.0,0
2005-08-24,27.49,27.62,27.42,27.54,888800,0.0,0
2005-08-25,27.6,27.61,27.44,27.55,660500,0.0,0
2005-08-26,27.59,27.61,27.27,27.33,904900,0.0,0
2005-08-29,27.41,27.44,27.18,27.27,835900,0.0,0
2005-08-30,27.17,27.52,27.16,27.43,775200,0.0,0
2005-08-31,27.85,28.31,27.78,28.07,2274300,0.0,0
2005-09-01,28.56,28.92,28.54,28.84,1400800,0.0,0
2005-09-02,28.75,28.81,28.65,28.71,1070300,0.0,0
2005-09-06,28.77,28.87,28.61,28.75,1048100,0.0,0
2005-09-07,28.13,28.36,28.05,28.15,1366600,0.0,0
2005-09-08,27.93,28.08,27.7,27.76,1224700,0.0,0
2005-09-09,27.99,28.11,27.98,28.03,936900,0.0,0
2005-09-12,27.81,27.84,27.63,27.65,1277900,0.0,0
2005-09-13,27.5,27.53,27.42,27.43,1166700,0.0,0
2005-09-14,27.49,27.78,27.49,27.78,1793000,0.0,0
2005-09-15,28.22,28.28,27.89,28.06,1371700,0.0,0
2005-09-16,28.37,28.71,28.3,28.42,954300,0.0,0
2005-09-19,28.52,28.73,28.51,28.64,676900,0.0,0
2005-09-20,28.73,28.79,28.41,28.41,1207300,0.0,0
2005-09-21,28.89,28.95,28.6,28.71,1376000,0.0,0
2005-09-22,28.79,28.83,28.28,28.57,1000500,0.0,0
2005-09-23,28.12,28.17,27.99,28.0,719100,0.0,0
2005-09-26,27.83,28.28,27.73,28.28,919900,0.0,0
2005-09-27,28.24,28.24,28.01,28.12,939700,0.0,0
2005-09-28,28.26,28.52,28.15,28.49,1334300,0.0,0
2005-09-29,28.41,28.62,28.36,28.58,1083600,0.0,0
2005-09-30,28.47,28.73,28.36,28.36,1309000,0.0,0
2005-10-03,28.41,28.49,28.3,28.34,1190000,0.0,0
2005-10-04,28.16,28.22,27.49,27.59,1578700,0.0,0
2005-10-05,27.57,27.66,27.15,27.21,1826000,0.0,0
2005-10-06,27.28,27.43,26.81,27.09,1872100,0.0,0
2005-10-07,27.29,27.36,27.14,27.25,788800,0.0,0
2005-10-10,27.24,27.24,26.83,26.95,1009600,0.0,0
2005-10-11,26.88,27.14,26.76,27.09,1462300,0.0,0
2005-10-12,26.85,26.88,26.58,26.64,1287100,0.0,0
2005-10-13,26.1,26.47,26.02,26.46,1840200,0.0,0
2005-10-14,26.33,26.69,26.26,26.63,1119500,0.0,0
2005-10-17,26.63,26.72,26.34,26.69,1727600,0.0,0
2005-10-18,25.99,26.17,25.71,25.74,2255800,0.0,0
2005-10-19,25.62,26.12,25.54,26.09,1741300,0.0,0
2005-10-20,25.77,25.88,24.97,25.17,2476000,0.0,0
2005-10-21,25.18,25.4,25.01,25.14,1658700,0.0,0
2005-10-24,25.36,25.68,25.32,25.62,1132200,0.0,0
2005-10-25,25.61,25.93,25.57,25.87,893200,0.0,0
2005-10-26,25.92,26.13,25.65,25.71,1000800,0.0,0
2005-10-27,26.56,26.57,26.1,26.21,1522900,0.0,0
2005-10-28,26.43,26.63,26.21,26.63,1648700,0.0,0
2005-10-31,26.77,26.92,26.65,26.81,1431800,0.0,0
2005-11-01,26.5,26.65,26.35,26.5,1218900,0.0,0
2005-11-02,26.46,27.0,26.43,26.96,840200,0.5556,0
2005-11-03,27.05,27.38,26.99,27.22,827500,0.0,0
2005-11-04,27.27,27.29,26.72,26.84,765900,0.0,0
2005-11-07,26.69,26.75,26.51,26.61,516900,0.0,0
2005-11-08,26.4,26.77,26.39,26.67,557600,0.0,0
2005-11-09,26.72,26.99,26.53,26.66,985800,0.0,0
2005-11-10,26.51,26.52,26.18,26.31,955500,0.0,0
2005-11-11,26.02,26.14,25.98,26.05,1162400,0.0,0
2005-11-14,26.42,26.46,26.18,26.41,787900,0.0,0
2005-11-15,26.49,26.66,26.34,26.35,678800,0.0,0
2005-11-16,26.21,26.56,26.14,26.54,906400,0.0,0
2005-11-17,26.85,26.96,26.62,26.73,961400,0.0,0
2005-11-18,27.16,27.31,26.97,27.23,1394800,0.0,0
2005-11-21,27.56,27.59,27.22,27.36,895300,0.0,0
2005-11-22,27.44,27.89,27.44,27.87,573400,0.0,0
2005-11-23,27.68,27.87,27.61,27.73,657400,0.0,0
2005-11-25,27.54,27.56,27.4,27.44,355000,0.0,0
2005-11-28,27.19,27.24,27.0,27.02,1738300,0.0,0
2005-11-29,27.37,27.37,27.06,27.1,1187100,0.0,0
2005-11-30,27.02,27.06,26.76,26.87,1102800,0.0,0
2005-12-01,27.1,27.44,27.03,27.36,970300,0.0,0
2005-12-02,27.35,27.5,27.23,27.48,1072700,0.0,0
2005-12-05,27.63,27.81,27.54,27.61,961200,0.0,0
2005-12-06,27.59,27.8,27.48,27.68,935700,0.0,0
2005-12-07,27.59,27.59,27.14,27.25,1058500,0.0,0
2005-12-08,27.59,28.02,27.52,27.95,1084000,0.0,0
2005-12-09,27.6,27.67,27.46,27.47,1025000,0.0,0
2005-12-12,27.79,27.88,27.62,27.69,1123200,0.0,0
2005-12-13,27.88,27.9,27.66,27.72,1639000,0.0,0
2005-12-14,27.85,27.89,27.63,27.72,1913900,0.0,0
2005-12-15,27.42,27.45,27.07,27.2,1025200,0.0,0
2005-12-16,27.28,27.39,27.14,27.16,1346600,0.0,0
2005-12-19,27.03,27.15,26.79,26.84,973100,0.0,0
2005-12-20,26.84,26.9,26.62,26.66,1100400,0.0,0
2005-12-21,26.93,26.93,26.78,26.86,765800,0.0,0
2005-12-22,27.01,27.09,26.89,26.96,631200,0.0,0
2005-12-23,26.87,27.08,26.81,26.98,631200,0.0,0
2005-12-27,26.87,26.9,26.6,26.6,1167500,0.0,0
2005-12-28,26.74,26.81,26.61,26.64,1190900,0.0,0
2005-12-29,26.6,26.87,26.56,26.76,845600,0.0,0
2005-12-30,26.58,26.9,26.49,26.81,637300,0.0,0
2006-01-03,27.33,27.91,27.33,27.91,1669400,0.0,0
2006-01-04,28.09,28.23,28.02,28.19,1156100,0.0,0
2006-01-05,28.11,28.19,27.85,27.85,1203600,0.0,0
2006-01-06,28.33,28.54,28.31,28.39,942700,0.0,0
2006-01-09,28.53,28.57,28.26,28.35,720200,0.0,0
2006-01-10,28.24,28.39,28.15,28.27,575700,0.0,0
2006-01-11,28.17,28.54,28.1,28.39,1143700,0.0,0
2006-01-12,28.38,28.49,28.04,28.17,1278100,0.0,0
2006-01-13,28.15,28.53,28.15,28.43,699900,0.0,0
2006-01-17,28.43,28.6,28.36,28.58,1976700,0.0,0
2006-01-18,28.52,28.57,28.16,28.33,1459300,0.0,0
2006-01-19,28.16,28.32,28.03,28.29,1540400,0.0,0
2006-01-20,28.5,28.53,27.83,28.33,1353700,0.0,0
2006-01-23,28.47,28.76,28.42,28.68,915900,0.0,0
2006-01-24,28.61,28.61,28.39,28.43,1027500,0.0,0
2006-01-25,28.66,28.7,28.21,28.33,1562500,0.0,0
2006-01-26,28.59,28.62,28.41,28.56,1941200,0.0,0
2006-01-27,29.07,29.18,28.92,29.01,943200,0.0,0
2006-01-30,29.51,29.54,29.33,29.42,1125600,0.0,0
2006-01-31,29.78,29.85,29.58,29.7,1663300,0.0,0
2006-02-01,29.63,29.76,29.28,29.34,1316100,0.0,0
2006-02-02,29.13,29.14,28.77,28.86,1841300,0.0,0
2006-02-03,28.31,28.54,28.21,28.29,1163600,0.0,0
2006-02-06,28.28,28.43,28.18,28.32,939600,0.0,0
2006-02-07,27.87,27.91,27.46,27.56,2071400,0.0,0
2006-02-08,27.55,27.69,27.46,27.64,1524100,0.557,0
2006-02-09,27.8,27.86,27.5,27.59,1608700,0.0,0
2006-02-10,27.79,27.83,27.41,27.57,1838000,0.0,0
2006-02-13,27.39,27.7,27.39,27.55,929400,0.0,0
2006-02-14,27.23,27.54,27.2,27.41,1639000,0.0,0
2006-02-15,27.61,27.8,27.14,27.25,1213200,0.0,0
2006-02-16,27.25,27.46,27.2,27.43,2000200,0.0,0
2006-02-17,27.52,27.65,27.45,27.6,1490500,0.0,0
2006-02-21,27.66,27.71,27.37,27.39,2705200,0.0,0
2006-02-22,27.09,27.13,26.96,27.06,2503400,0.0,0
2006-02-23,27.06,27.06,26.76,26.81,2558800,0.0,0
2006-02-24,26.94,26.96,26.78,26.84,2600400,0.0,0
2006-02-27,26.81,26.91,26.79,26.8,768600,0.0,0
2006-02-28,26.56,26.65,26.48,26.61,909600,0.0,0
2006-03-01,26.95,27.3,26.9,27.24,1430700,0.0,0
2006-03-02,27.09,27.2,26.92,27.16,1304400,0.0,0
2006-03-03,27.21,27.36,27.19,27.27,999100,0.0,0
2006-03-06,27.41,27.42,26.86,26.88,1197300,0.0,0
2006-03-07,26.69,26.8,26.5,26.68,1254900,0.0,0
2006-03-08,26.88,26.96,26.62,26.83,2567300,0.0,0
2006-03-09,26.87,26.92,26.7,26.75,1179200,0.0,0
2006-03-10,26.73,27.04,26.69,27.02,1039200,0.0,0
2006-03-13,26.98,27.2,26.96,27.16,1265700,0.0,0
2006-03-14,27.17,27.53,27.12,27.44,875500,0.0,0
2006-03-15,27.36,27.43,27.21,27.43,979700,0.0,0
2006-03-16,27.44,27.75,27.36,27.72,1287600,0.0,0
2006-03-17,27.5,27.5,27.22,27.38,1475900,0.0,0
2006-03-20,27.12,27.15,26.95,26.96,1401500,0.0,0
2006-03-21,26.67,26.93,26.58,26.73,999800,0.0,0
2006-03-22,26.66,26.97,26.66,26.74,1178800,0.0,0
2006-03-23,26.65,26.72,26.47,26.65,1377200,0.0,0
2006-03-24,26.99,27.25,26.96,27.06,958200,0.0,0
2006-03-27,27.16,27.24,27.08,27.14,1004500,0.0,0
2006-03-28,27.28,27.34,26.97,27.06,655200,0.0,0
2006-03-29,27.32,27.57,27.32,27.48,1049600,0.0,0
2006-03-30,27.73,28.01,27.69,27.72,1281200,0.0,0
2006-03-31,27.63,27.67,27.33,27.39,962400,0.0,0
2006-04-03,27.56,27.93,27.52,27.65,874200,0.0,0
2006-04-04,27.89,28.16,27.84,28.12,1209000,0.0,0
2006-04-05,28.12,28.4,28.1,28.36,1037600,0.0,0
2006-04-06,28.29,28.39,28.12,28.37,800100,0.0,0
2006-04-07,28.6,28.64,28.12,28.19,1007500,0.0,0
2006-04-10,28.58,28.83,28.58,28.72,1314200,0.0,0
2006-04-11,29.3,29.31,28.81,28.89,2313900,0.0,0
2006-04-12,29.0,29.09,28.67,28.85,1542700,0.0,0
2006-04-13,28.81,29.0,28.78,28.91,781900,0.0,0
2006-04-17,29.17,29.28,29.11,29.28,752900,0.0,0
2006-04-18,29.91,30.1,29.73,30.09,1905500,0.0,0
2006-04-19,29.78,30.15,29.68,30.15,1462900,0.0,0
2006-04-20,29.84,29.97,29.62,29.73,1648600,0.0,0
2006-04-21,30.32,30.75,30.24,30.75,2357900,0.0,0
2006-04-24,30.75,30.79,30.57,30.68,1511700,0.0,0
2006-04-25,30.84,30.97,30.5,30.59,1912200,0.0,0
2006-04-26,30.74,30.91,30.32,30.43,1356400,0.0,0
2006-04-27,29.98,30.4,29.88,30.15,1374500,0.0,0
2006-04-28,29.99,30.28,29.92,29.97,1396000,0.0,0
2006-05-01,30.15,30.52,30.13,30.22,891300,0.0,0
2006-05-02,30.5,30.88,30.5,30.83,1097000,0.0,0
2006-05-03,30.43,30.44,30.02,30.21,1128300,0.0,0
2006-05-04,30.22,30.46,29.91,30.31,1337700,0.0,0
2006-05-05,30.46,30.68,30.42,30.68,1054300,0.0,0
2006-05-08,30.22,30.44,30.14,30.42,807600,0.0,0
2006-05-09,30.44,30.57,30.29,30.43,1507100,0.0,0
2006-05-10,30.54,30.7,30.31,30.69,796000,0.631,0
2006-05-11,30.87,30.91,30.55,30.66,1221600,0.0,0
2006-05-12,30.66,30.67,30.01,30.09,928300,0.0,0
2006-05-15,29.83,29.94,29.49,29.72,1318100,0.0,0
2006-05-16,30.01,30.13,29.7,29.97,1426700,0.0,0
2006-05-17,29.45,29.59,28.69,28.86,1985100,0.0,0
2006-05-18,29.05,29.27,28.84,28.88,1395100,0.0,0
2006-05-19,28.88,29.17,28.64,29.09,1266800,0.0,0
2006-05-22,28.52,29.08,28.35,28.91,1291300,0.0,0
2006-05-23,29.24,29.55,28.9,28.9,1271600,0.0,0
2006-05-24,28.87,28.98,28.44,28.71,1571900,0.0,0
2006-05-25,29.35,29.75,29.22,29.68,1281800,0.0,0
2006-05-26,29.25,29.63,29.16,29.54,1293900,0.0,0
2006-05-30,29.63,29.74,29.19,29.2,2013400,0.0,0
2006-05-31,29.32,29.46,29.14,29.44,861500,0.0,0
2006-06-01,28.69,29.33,28.65,29.33,1960100,0.0,0
2006-06-02,29.37,29.57,29.06,29.53,1211000,0.0,0
2006-06-05,29.74,29.76,29.08,29.12,772300,0.0,0
2006-06-06,28.95,28.96,28.55,28.85,1074200,0.0,0
2006-06-07,28.86,28.86,28.4,28.41,1289200,0.0,0
2006-06-08,27.85,28.39,27.4,28.29,2022800,0.0,0
2006-06-09,28.1,28.48,27.97,28.08,1437400,0.0,0
2006-06-12,28.04,28.17,27.7,27.74,971400,0.0,0
2006-06-13,27.59,27.8,27.22,27.3,1525000,0.0,0
2006-06-14,27.65,27.82,27.17,27.54,2094900,0.0,0
2006-06-15,27.95,28.33,27.83,28.26,963700,0.0,0
