Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-12-28,819.91,819.91,805.78,805.78,35,0.0,0.0
1998-12-29,791.64,798.71,777.51,777.51,110,0.0,0.0
1998-12-30,763.37,763.37,706.82,735.1,98,0.0,0.0
1998-12-31,692.69,706.82,607.87,657.35,100,0.0,0.0
1999-01-04,607.87,650.28,593.73,650.28,42,0.0,0.0
1999-01-05,593.73,593.73,579.59,579.59,13,0.0,0.0
1999-01-06,579.59,593.73,565.46,593.73,38,0.0,0.0
1999-01-07,593.73,593.73,558.39,565.46,51,0.0,0.0
1999-01-08,579.59,607.87,551.32,607.87,30,0.0,0.0
1999-01-11,607.87,607.87,551.32,565.46,29,0.0,0.0
1999-01-12,593.73,622.0,579.59,579.59,53,0.0,0.0
1999-01-13,593.73,593.73,579.59,593.73,23,0.0,0.0
1999-01-14,579.59,749.23,579.59,692.69,237,0.0,0.0
1999-01-15,735.1,763.37,706.82,763.37,150,0.0,0.0
1999-01-19,777.51,777.51,720.96,763.37,23,0.0,0.0
1999-01-20,763.37,763.37,735.1,735.1,220,0.0,0.0
1999-01-21,720.96,763.37,720.96,720.96,23,0.0,0.0
1999-01-22,692.69,692.69,692.69,692.69,22,0.0,0.0
1999-01-25,678.55,678.55,636.14,664.41,88,0.0,0.0
1999-01-26,607.87,664.41,607.87,622.0,43,0.0,0.0
1999-01-27,607.87,607.87,565.46,593.73,114,0.0,0.0
1999-01-28,607.87,607.87,565.46,579.59,40,0.0,0.0
1999-01-29,614.94,614.94,579.59,593.73,156,0.0,0.0
1999-02-01,579.59,579.59,579.59,579.59,13,0.0,0.0
1999-02-02,579.59,622.0,579.59,622.0,11,0.0,0.0
1999-02-03,579.59,622.0,572.53,607.87,38,0.0,0.0
1999-02-04,572.53,593.73,565.46,565.46,36,0.0,0.0
1999-02-05,593.73,593.73,593.73,593.73,3,0.0,0.0
1999-02-08,593.73,593.73,593.73,593.73,4,0.0,0.0
1999-02-09,565.46,579.59,565.46,565.46,45,0.0,0.0
1999-02-10,579.59,593.73,544.25,544.25,177,0.0,0.0
1999-02-11,565.46,565.46,544.25,547.79,8,0.0,0.0
1999-02-12,565.46,565.46,508.91,508.91,53,0.0,0.0
1999-02-16,551.32,579.59,523.05,551.32,78,0.0,0.0
1999-02-17,579.59,579.59,565.46,565.46,39,0.0,0.0
1999-02-18,579.59,579.59,565.46,565.46,26,0.0,0.0
1999-02-19,565.46,565.46,537.19,537.19,18,0.0,0.0
1999-02-22,537.19,565.46,523.05,523.05,104,0.0,0.0
1999-02-23,523.05,551.32,523.05,530.12,34,0.0,0.0
1999-02-24,530.12,530.12,530.12,530.12,9,0.0,0.0
1999-02-25,530.12,530.12,530.12,530.12,0,0.0,0.0
1999-02-26,530.12,530.12,523.05,523.05,20,0.0,0.0
1999-03-01,551.32,565.46,523.05,551.32,85,0.0,0.0
1999-03-02,579.59,579.59,558.39,565.46,31,0.0,0.0
