Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-01,1.27,1.3,1.27,1.28,1800,0.0,0.0
1994-02-02,1.33,1.33,1.27,1.33,1800,0.0,0.0
1994-02-03,1.29,1.33,1.27,1.33,7800,0.0,0.0
1994-02-04,1.33,1.37,1.33,1.37,11400,0.0,0.0
1994-02-07,1.37,1.37,1.37,1.37,600,0.0,0.0
1994-02-08,1.27,1.37,1.27,1.37,2400,0.0,0.0
1994-02-09,1.37,1.37,1.34,1.37,2400,0.0,0.0
1994-02-10,1.37,1.37,1.37,1.37,0,0.0,0.0
1994-02-11,1.39,1.39,1.29,1.29,1200,0.0,0.0
1994-02-14,1.29,1.29,1.29,1.29,0,0.0,0.0
1994-02-15,1.29,1.29,1.29,1.29,0,0.0,0.0
1994-02-16,1.29,1.29,1.29,1.29,3000,0.0,0.0
1994-02-17,1.29,1.29,1.29,1.29,0,0.0,0.0
1994-02-18,1.37,1.37,1.37,1.37,3000,0.0,0.0
1994-02-22,1.3,1.3,1.3,1.3,600,0.0,0.0
1994-02-23,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-02-24,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-02-25,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-02-28,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-01,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-02,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-03,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-04,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-07,1.39,1.39,1.3,1.3,3000,0.0,0.0
1994-03-08,1.3,1.3,1.3,1.3,0,0.0,0.0
1994-03-09,1.29,1.33,1.29,1.33,12000,0.0,0.0
1994-03-10,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-11,1.29,1.33,1.29,1.33,9000,0.0,0.0
1994-03-14,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-15,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-16,1.29,1.29,1.29,1.29,1200,0.0,0.0
1994-03-17,1.29,1.29,1.29,1.29,0,0.0,0.0
1994-03-18,1.39,1.39,1.39,1.39,600,0.0,0.0
1994-03-21,1.39,1.39,1.39,1.39,0,0.0,0.0
1994-03-22,1.39,1.39,1.39,1.39,0,0.0,0.0
1994-03-23,1.39,1.39,1.39,1.39,0,0.0,0.0
1994-03-24,1.39,1.39,1.39,1.39,0,0.0,0.0
1994-03-25,1.31,1.33,1.31,1.33,9000,0.0,0.0
1994-03-28,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-29,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-30,1.33,1.33,1.33,1.33,0,0.0,0.0
1994-03-31,1.29,1.29,1.29,1.29,600,0.0,0.0
1994-04-04,1.29,1.29,1.29,1.29,0,0.0,0.0
1994-04-05,1.33,1.33,1.33,1.33,3000,0.0,0.0
1994-04-06,1.37,1.37,1.32,1.32,8400,0.0,0.0
1994-04-07,1.32,1.32,1.32,1.32,0,0.0,0.0
1994-04-08,1.32,1.32,1.32,1.32,0,0.0,0.0
1994-04-11,1.31,1.31,1.31,1.31,1200,0.08333,0.0
1994-04-12,1.31,1.31,1.31,1.31,0,0.0,0.0
1994-04-13,1.31,1.31,1.31,1.31,0,0.0,0.0
1994-04-14,1.31,1.31,1.31,1.31,0,0.0,0.0
1994-04-15,1.31,1.31,1.31,1.31,0,0.0,0.0
1994-04-18,1.31,1.31,1.31,1.31,0,0.0,0.0
