Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-06-28,2.56,2.56,2.53,2.53,176400,0.0,0.0
1990-06-29,2.54,2.55,2.53,2.55,69200,0.0,0.0
1990-07-02,2.53,2.54,2.53,2.54,62000,0.0,0.0
1990-07-03,2.54,2.55,2.54,2.55,29600,0.0,0.0
1990-07-05,2.46,2.46,2.45,2.45,31200,0.0,0.0
1990-07-06,2.47,2.47,2.47,2.47,21200,0.0,0.0
1990-07-09,2.49,2.49,2.49,2.49,19600,0.0,0.0
1990-07-10,2.48,2.5,2.48,2.5,6400,0.0,0.0
1990-07-11,2.5,2.52,2.5,2.52,22400,0.0,0.0
1990-07-12,2.51,2.53,2.51,2.53,3200,0.0,0.0
1990-07-13,2.55,2.56,2.55,2.56,5200,0.0,0.0
1990-07-16,2.57,2.6,2.57,2.6,8000,0.0,0.0
1990-07-17,2.6,2.64,2.6,2.64,16800,0.0,0.0
1990-07-18,2.63,2.63,2.61,2.61,6000,0.0,0.0
1990-07-19,2.61,2.62,2.61,2.62,18000,0.0,0.0
1990-07-20,2.62,2.62,2.61,2.61,1600,0.0,0.0
1990-07-23,2.6,2.6,2.6,2.6,8000,0.0,0.0
1990-07-24,2.61,2.61,2.61,2.61,800,0.0,0.0
1990-07-25,2.62,2.63,2.62,2.63,4400,0.0,0.0
1990-07-26,2.61,2.61,2.61,2.61,800,0.0,0.0
1990-07-27,2.6,2.6,2.6,2.6,800,0.0,0.0
1990-07-30,2.6,2.6,2.6,2.6,400,0.0,0.0
1990-07-31,2.62,2.64,2.62,2.64,12400,0.0,0.0
1990-08-01,2.64,2.64,2.63,2.64,3600,0.0,0.0
1990-08-02,2.64,2.64,2.61,2.61,12800,0.0,0.0
1990-08-03,2.64,2.64,2.62,2.62,12800,0.0,0.0
1990-08-06,2.61,2.61,2.5,2.52,41200,0.0,0.0
1990-08-07,2.52,2.52,2.52,2.52,800,0.0,0.0
1990-08-08,2.47,2.47,2.45,2.45,75200,0.0,0.0
1990-08-09,2.49,2.49,2.49,2.49,12000,0.0,0.0
1990-08-10,2.51,2.53,2.51,2.51,17600,0.0,0.0
1990-08-13,2.53,2.57,2.53,2.57,22800,0.0,0.0
1990-08-14,2.61,2.63,2.59,2.61,82800,0.0,0.0
1990-08-15,2.62,2.62,2.6,2.6,5200,0.0,0.0
1990-08-16,2.58,2.6,2.58,2.6,20800,0.0,0.0
1990-08-17,2.6,2.6,2.5,2.53,55200,0.0,0.0
1990-08-20,2.45,2.45,2.44,2.45,9200,0.0,0.0
1990-08-21,2.39,2.39,2.37,2.37,8800,0.0,0.0
1990-08-22,2.36,2.36,2.36,2.36,800,0.0,0.0
1990-08-23,2.34,2.34,2.32,2.33,7200,0.0,0.0
1990-08-24,2.33,2.33,2.33,2.33,4800,0.0,0.0
1990-08-27,2.34,2.34,2.31,2.31,6400,0.0,0.0
1990-08-28,2.33,2.34,2.31,2.31,11600,0.0,0.0
1990-08-29,2.33,2.34,2.31,2.34,6800,0.0,0.0
1990-08-30,2.33,2.34,2.33,2.34,1200,0.0,0.0
1990-08-31,2.32,2.32,2.3,2.3,3600,0.0,0.0
1990-09-04,2.25,2.25,2.23,2.23,6400,0.0,0.0
1990-09-05,2.26,2.26,2.26,2.26,400,0.0,0.0
1990-09-06,2.22,2.24,2.22,2.24,800,0.0,0.0
1990-09-07,2.22,2.22,2.15,2.18,16400,0.0,0.0
1990-09-10,2.17,2.18,2.15,2.18,3600,0.0,0.0
1990-09-11,2.14,2.14,2.12,2.13,42000,0.0,0.0
1990-09-12,2.15,2.15,2.14,2.15,1200,0.0,0.0
1990-09-13,2.15,2.15,2.11,2.12,3600,0.0,0.0
1990-09-14,2.09,2.09,2.07,2.07,20800,0.0,0.0
1990-09-17,2.07,2.07,2.07,2.07,40000,0.0,0.0
