Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-05-14,5.94,7.62,5.62,7.56,20703600,0,0.0
1997-05-15,8.0,8.69,7.47,7.88,8079600,0,0.0
1997-05-16,8.03,8.12,7.38,7.94,3877200,0,0.0
1997-05-19,7.62,7.72,7.44,7.59,1365200,0,0.0
1997-05-20,7.62,8.06,7.44,8.06,900400,0,0.0
1997-05-21,8.06,8.06,7.62,7.69,663200,0,0.0
1997-05-22,7.66,7.81,7.59,7.81,837600,0,0.0
1997-05-23,7.72,7.81,7.62,7.69,439600,0,0.0
1997-05-27,7.75,8.0,7.75,7.88,534400,0,0.0
1997-05-28,7.94,7.94,7.56,7.69,698000,0,0.0
1997-05-29,7.66,7.69,7.5,7.5,399200,0,0.0
1997-05-30,7.41,7.94,6.94,7.88,1258000,0,0.0
1997-06-02,8.06,8.22,7.72,8.06,648000,0,0.0
1997-06-03,8.0,8.0,7.78,7.91,350400,0,0.0
1997-06-04,7.91,7.94,7.66,7.69,331600,0,0.0
1997-06-05,7.75,7.75,7.56,7.59,448400,0,0.0
1997-06-06,7.62,7.62,7.47,7.59,708400,0,0.0
1997-06-09,8.0,8.0,7.69,7.75,574800,0,0.0
1997-06-10,7.72,7.78,7.56,7.56,884400,0,0.0
1997-06-11,7.59,7.88,7.56,7.88,310800,0,0.0
1997-06-12,7.88,7.94,7.72,7.91,567600,0,0.0
1997-06-13,7.94,8.66,7.84,8.31,1183200,0,0.0
1997-06-16,8.47,9.38,8.44,9.06,1476400,0,0.0
1997-06-17,9.25,9.94,9.06,9.84,1694000,0,0.0
1997-06-18,9.88,11.31,9.81,10.94,3771600,0,0.0
1997-06-19,11.66,12.84,11.5,12.83,6112800,0,0.0
1997-06-20,13.12,13.25,11.75,11.91,4411200,0,0.0
1997-06-23,11.75,11.88,10.62,11.12,3384800,0,0.0
1997-06-24,11.12,12.22,11.12,12.03,2508000,0,0.0
1997-06-25,12.0,12.31,11.72,12.0,1180400,0,0.0
1997-06-26,11.97,12.19,11.56,11.78,708800,0,0.0
1997-06-27,11.75,11.75,11.38,11.44,809200,0,0.0
1997-06-30,11.38,11.94,10.88,11.62,1830400,0,0.0
1997-07-01,11.62,11.88,11.25,11.84,684000,0,0.0
1997-07-02,11.94,11.97,11.38,11.52,748800,0,0.0
1997-07-03,11.53,11.69,11.44,11.62,390000,0,0.0
