Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-12-15,0.83,0.85,0.83,0.83,469000,0.0,0
1993-12-16,0.83,0.84,0.83,0.83,53000,0.0,0
1993-12-17,0.84,0.84,0.83,0.83,47600,0.0,0
1993-12-20,0.83,0.84,0.83,0.84,228800,0.0,0
1993-12-21,0.83,0.84,0.83,0.83,205200,0.0,0
1993-12-22,0.84,0.84,0.83,0.83,66300,0.0,0
1993-12-23,0.84,0.84,0.83,0.84,46000,0.0,0
1993-12-27,0.84,0.84,0.83,0.84,11000,0.0,0
1993-12-28,0.84,0.84,0.83,0.84,45300,0.0,0
1993-12-29,0.84,0.84,0.83,0.83,30600,0.0,0
1993-12-30,0.84,0.84,0.83,0.84,24100,0.0,0
1993-12-31,0.84,0.84,0.83,0.83,34700,0.0,0
1994-01-03,0.84,0.85,0.83,0.84,32400,0.0,0
1994-01-04,0.85,0.85,0.83,0.83,53400,0.0,0
1994-01-05,0.83,0.85,0.83,0.83,34000,0.0,0
1994-01-06,0.85,0.85,0.83,0.85,156100,0.0,0
1994-01-07,0.85,0.85,0.83,0.85,54700,0.0,0
1994-01-10,0.83,0.85,0.83,0.83,26400,0.0,0
1994-01-11,0.85,0.85,0.83,0.85,72200,0.0,0
1994-01-12,0.85,0.85,0.83,0.83,65200,0.0,0
1994-01-13,0.85,0.85,0.83,0.84,155200,0.0,0
1994-01-14,0.84,0.84,0.83,0.83,52400,0.0,0
1994-01-17,0.84,0.84,0.83,0.83,40900,0.0,0
1994-01-18,0.84,0.85,0.83,0.85,93600,0.0,0
1994-01-19,0.85,0.85,0.83,0.85,43000,0.0,0
1994-01-20,0.85,0.85,0.83,0.83,64100,0.0,0
1994-01-21,0.85,0.85,0.83,0.85,59300,0.0,0
1994-01-24,0.85,0.85,0.83,0.85,58800,0.0,0
1994-01-25,0.83,0.85,0.83,0.85,83600,0.0,0
1994-01-26,0.85,0.85,0.83,0.85,21000,0.0,0
1994-01-27,0.85,0.85,0.83,0.83,60000,0.0,0
1994-01-28,0.83,0.85,0.83,0.85,95400,0.0,0
1994-01-31,0.83,0.85,0.83,0.85,151900,0.0,0
1994-02-01,0.84,0.84,0.83,0.83,100100,0.0,0
1994-02-02,0.83,0.84,0.83,0.84,44200,0.0,0
1994-02-03,0.83,0.84,0.83,0.83,87800,0.0,0
1994-02-04,0.84,0.84,0.83,0.83,195300,0.0,0
1994-02-07,0.83,0.84,0.83,0.84,49800,0.0,0
1994-02-08,0.83,0.84,0.81,0.81,85000,0.0,0
1994-02-09,0.83,0.84,0.81,0.81,22600,0.0,0
1994-02-10,0.81,0.84,0.81,0.83,25500,0.0,0
1994-02-11,0.84,0.84,0.81,0.82,8300,0.0,0
1994-02-14,0.84,0.84,0.81,0.84,28400,0.0,0
1994-02-15,0.84,0.84,0.81,0.83,61600,0.0,0
1994-02-16,0.83,0.84,0.83,0.83,51000,0.0,0
1994-02-17,0.84,0.84,0.83,0.84,124400,0.0,0
1994-02-18,0.84,0.84,0.81,0.84,64400,0.0,0
1994-02-22,0.81,0.84,0.81,0.83,6100,0.0,0
1994-02-23,0.84,0.84,0.81,0.81,20300,0.0,0
1994-02-24,0.81,0.84,0.8,0.81,23600,0.0,0
1994-02-25,0.8,0.84,0.8,0.84,8700,0.0,0
1994-02-28,0.84,0.84,0.8,0.83,12600,0.0,0
1994-03-01,0.84,0.84,0.8,0.83,8700,0.0,0
1994-03-02,0.8,0.84,0.8,0.84,12400,0.0,0
1994-03-03,0.8,0.84,0.8,0.84,20500,0.0,0
1994-03-04,0.8,0.83,0.8,0.8,9800,0.0,0
1994-03-07,0.84,0.84,0.81,0.81,64000,0.0,0
1994-03-08,0.81,0.84,0.81,0.81,15200,0.0,0
1994-03-09,0.83,0.84,0.81,0.84,21400,0.0,0
1994-03-10,0.84,0.84,0.81,0.81,13800,0.0,0
1994-03-11,0.8,0.84,0.8,0.8,11800,0.0,0
1994-03-14,0.8,0.84,0.8,0.84,2900,0.0,0
1994-03-15,0.84,0.84,0.79,0.79,53300,0.0,0
1994-03-16,0.81,0.81,0.77,0.77,31700,0.0,0
1994-03-17,0.81,0.81,0.79,0.79,44100,0.0,0
1994-03-18,0.77,0.81,0.77,0.77,34000,0.0,0
1994-03-21,0.81,0.81,0.77,0.79,16700,0.0,0
1994-03-22,0.79,0.81,0.76,0.8,72400,0.0,0
1994-03-23,0.79,0.8,0.79,0.79,73800,0.0,0
1994-03-24,0.79,0.8,0.76,0.79,25100,0.0,0
1994-03-25,0.76,0.79,0.76,0.79,9100,0.0,0
1994-03-28,0.76,0.79,0.76,0.79,7100,0.0,0
1994-03-29,0.79,0.79,0.73,0.74,61400,0.0,0
1994-03-30,0.74,0.74,0.72,0.73,56700,0.0,0
1994-03-31,0.73,0.74,0.72,0.72,51100,0.0,0
1994-04-04,0.73,0.73,0.68,0.7,78000,0.0,0
1994-04-05,0.72,0.76,0.68,0.76,48400,0.0,0
1994-04-06,0.76,0.77,0.74,0.77,7800,0.0,0
1994-04-07,0.77,0.79,0.74,0.79,19000,0.0,0
1994-04-08,0.79,0.79,0.76,0.76,19000,0.0,0
1994-04-11,0.76,0.79,0.76,0.79,2600,0.0,0
1994-04-12,0.79,0.79,0.76,0.79,14400,0.0,0
1994-04-13,0.79,0.79,0.76,0.76,33200,0.0,0
1994-04-14,0.79,0.79,0.76,0.77,14600,0.0,0
1994-04-15,0.76,0.77,0.74,0.76,28000,0.0,0
1994-04-18,0.74,0.76,0.74,0.76,54600,0.0,0
1994-04-19,0.74,0.77,0.73,0.77,28200,0.0,0
1994-04-20,0.73,0.76,0.73,0.73,15700,0.0,0
1994-04-21,0.76,0.77,0.73,0.74,27700,0.0,0
1994-04-22,0.74,0.77,0.74,0.74,18300,0.0,0
1994-04-25,0.77,0.77,0.73,0.73,12800,0.0,0
1994-04-26,0.74,0.77,0.73,0.73,17800,0.0,0
1994-04-28,0.76,0.76,0.73,0.74,14100,0.0,0
1994-04-29,0.73,0.76,0.72,0.73,29600,0.0,0
1994-05-02,0.73,0.73,0.7,0.73,26500,0.0,0
1994-05-03,0.73,0.73,0.72,0.72,17100,0.0,0
1994-05-04,0.73,0.76,0.72,0.74,37400,0.0,0
1994-05-05,0.73,0.77,0.73,0.77,21800,0.0,0
1994-05-06,0.76,0.77,0.73,0.77,50600,0.0,0
1994-05-09,0.79,0.79,0.74,0.76,24900,0.0,0
1994-05-10,0.76,0.76,0.73,0.76,29400,0.0,0
1994-05-11,0.76,0.76,0.73,0.73,21100,0.0,0
1994-05-12,0.72,0.76,0.72,0.75,69800,0.0,0
