Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-07-01,11.26,11.45,11.12,11.37,20818650,0.0,0.0
1998-07-02,11.4,11.48,11.37,11.45,3037200,0.0,0.0
1998-07-06,11.45,11.59,11.37,11.53,1737750,0.0,0.0
1998-07-07,11.59,11.59,11.37,11.37,1077000,0.0,0.0
1998-07-08,11.42,11.48,11.37,11.45,1180500,0.0,0.0
1998-07-09,11.42,11.56,11.37,11.53,1443900,0.0,0.0
1998-07-10,11.59,11.79,11.51,11.51,1117350,0.0,0.0
1998-07-13,11.48,11.51,11.37,11.48,790800,0.0,0.0
1998-07-14,11.48,11.53,11.4,11.4,1276350,0.0,0.0
1998-07-15,11.37,11.59,11.37,11.59,863400,0.0,0.0
1998-07-16,11.48,11.56,11.37,11.45,1084500,0.0,0.0
1998-07-17,11.37,11.65,11.31,11.59,1201650,0.0,0.0
1998-07-20,11.59,12.2,11.59,12.2,995550,0.0,0.0
1998-07-21,12.2,12.23,11.7,11.84,784650,0.0,0.0
1998-07-22,11.7,11.81,11.34,11.42,1497900,0.0,0.0
1998-07-23,11.48,11.51,11.03,11.37,1248300,0.0,0.0
1998-07-24,11.48,11.62,11.42,11.59,1009800,0.0,0.0
1998-07-27,11.59,11.73,11.48,11.53,843600,0.0,0.0
1998-07-28,11.56,11.62,11.14,11.14,2081850,0.0,0.0
1998-07-29,11.14,11.26,10.92,10.98,1331400,0.0,0.0
1998-07-30,11.06,11.14,10.92,11.14,1982400,0.0,0.0
1998-07-31,11.14,11.42,11.09,11.14,1093650,0.0,0.0
1998-08-03,11.14,11.14,10.84,10.87,1009050,0.0,0.0
1998-08-04,10.84,10.84,10.2,10.25,1245900,0.0,0.0
1998-08-05,10.14,10.31,9.78,9.78,654150,0.0,0.0
1998-08-06,9.84,9.89,9.75,9.75,589200,0.0,0.0
1998-08-07,9.81,10.09,9.75,9.86,1100250,0.0,0.0
1998-08-10,9.86,10.67,9.81,10.31,321750,0.0,0.0
1998-08-11,10.14,10.14,9.81,9.81,334050,0.0,0.0
1998-08-12,10.14,10.14,9.78,9.81,513600,0.0,0.0
1998-08-13,9.81,9.84,9.7,9.7,969000,0.0,0.0
1998-08-14,10.03,10.03,9.78,9.81,229350,0.0,0.0
1998-08-17,9.92,9.97,9.81,9.81,319950,0.0,0.0
1998-08-18,9.81,9.84,9.75,9.81,211950,0.0,0.0
1998-08-19,9.86,9.92,9.78,9.78,97800,0.0,0.0
1998-08-20,9.89,9.97,9.78,9.81,378750,0.0,0.0
1998-08-21,9.75,9.75,8.97,9.14,514050,0.0,0.0
