Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-02-11,4.86,4.93,4.78,4.91,92004,0.0,0.0
2013-02-12,5.07,5.22,5.07,5.22,17238,0.0,0.0
2013-02-13,5.23,5.36,5.23,5.32,75174,0.0,0.0
2013-02-14,5.7,6.53,5.7,5.87,41514,0.0,0.0
2013-02-15,5.84,5.84,5.63,5.74,18258,0.0,0.0
2013-02-19,5.56,5.56,4.76,4.83,232356,0.0,0.0
2013-02-20,4.67,4.81,4.51,4.51,223176,0.0,0.0
2013-02-21,4.45,5.0,4.45,4.51,1619352,0.0,0.0
2013-02-22,4.77,4.77,4.48,4.6,899538,0.0,0.0
2013-02-25,4.72,4.82,4.7,4.76,1653930,0.0,0.0
2013-02-26,4.78,4.9,4.68,4.82,555084,0.0,0.0
2013-02-27,4.71,4.75,4.57,4.63,1576104,0.0,0.0
2013-02-28,4.6,4.6,4.43,4.45,597108,0.0,0.0
2013-03-01,4.76,4.83,4.55,4.6,5949354,0.0,0.0
2013-03-04,4.49,4.55,4.38,4.42,1036218,0.0,0.0
2013-03-05,4.62,4.63,4.53,4.53,649434,0.0,0.0
2013-03-06,4.6,4.98,4.51,4.89,1794384,0.0,0.0
2013-03-07,5.0,5.0,4.82,4.83,776628,0.0,0.0
2013-03-08,4.86,4.97,4.82,4.97,1899852,0.0,0.0
2013-03-11,4.87,4.91,4.57,4.63,3214122,0.0,0.0
2013-03-12,4.76,4.87,4.72,4.79,1844976,0.0,0.0
2013-03-13,4.89,4.91,4.75,4.76,2410872,0.0,0.0
2013-03-14,4.84,4.91,4.78,4.82,3249516,0.0,0.0
2013-03-15,4.82,4.87,4.61,4.68,26537340,0.0,0.0
2013-03-18,4.68,4.7,4.6,4.62,1430142,0.0,0.0
2013-03-19,4.6,4.65,4.54,4.59,718386,0.0,0.0
2013-03-20,4.54,4.56,4.29,4.31,1235118,0.0,0.0
2013-03-21,4.39,4.42,4.29,4.31,1434528,0.0,0.0
2013-03-22,4.29,4.29,4.18,4.2,818346,0.0,0.0
2013-03-25,4.2,4.2,4.14,4.14,447882,0.0,0.0
2013-03-26,4.3,4.36,4.3,4.35,1435854,0.0,0.0
2013-03-27,4.41,4.5,4.39,4.49,546006,0.0,0.0
2013-03-28,4.49,4.56,4.42,4.44,593028,0.0,0.0
2013-04-01,4.46,4.46,4.39,4.42,515610,0.0,0.0
2013-04-02,4.44,4.49,4.35,4.36,714306,0.0,0.0
2013-04-03,4.38,4.42,4.17,4.2,750618,0.0,0.0
2013-04-04,4.24,4.36,4.13,4.35,490212,0.0,0.0
2013-04-05,4.32,4.42,4.32,4.38,379950,0.0,0.0
2013-04-08,4.45,4.47,4.42,4.44,225114,0.0,0.0
2013-04-09,4.52,4.59,4.52,4.59,154530,0.0,0.0
2013-04-10,4.57,4.57,4.49,4.52,368628,0.0,0.0
2013-04-11,4.47,4.51,4.35,4.35,242250,0.0,0.0
2013-04-12,4.31,4.35,4.1,4.1,506634,0.0,0.0
2013-04-15,3.76,3.8,3.62,3.65,562632,0.0,0.0
2013-04-16,3.69,3.76,3.51,3.51,435336,0.0,0.0
2013-04-17,3.39,3.45,3.13,3.14,623322,0.0,0.0
2013-04-18,3.15,3.17,3.1,3.17,231744,0.0,0.0
2013-04-19,3.12,3.16,3.03,3.05,336804,0.0,0.0
2013-04-22,3.1,3.15,3.04,3.04,296514,0.0,0.0
2013-04-23,3.1,3.15,3.05,3.08,247146,0.0,0.0
2013-04-24,3.17,3.32,3.16,3.32,380256,0.0,0.0
2013-04-25,3.32,3.32,3.19,3.25,368934,0.0,0.0
2013-04-26,3.24,3.27,3.18,3.18,110364,0.0,0.0
2013-04-29,3.18,3.23,3.14,3.17,259080,0.0,0.0
2013-04-30,3.06,3.1,2.97,3.03,478890,0.0,0.0
2013-05-01,2.99,2.99,2.92,2.97,448596,0.0,0.0
2013-05-02,2.95,2.99,2.84,2.92,437682,0.0,0.0
2013-05-03,2.77,2.82,2.75,2.79,455022,0.0,0.0
2013-05-06,2.83,2.84,2.8,2.81,184518,0.0,0.0
2013-05-07,2.77,2.84,2.75,2.79,393618,0.0,0.0
2013-05-08,2.95,3.1,2.88,3.1,675954,0.0,0.0
2013-05-09,3.04,3.22,2.99,3.01,977874,0.0,0.0
2013-05-10,2.94,2.95,2.86,2.88,330174,0.0,0.0
2013-05-13,2.87,2.91,2.81,2.81,525504,0.0,0.0
2013-05-14,2.79,2.84,2.76,2.77,277134,0.0,0.0
2013-05-15,2.72,2.77,2.64,2.64,246534,0.0,0.0
2013-05-16,2.58,2.59,2.44,2.45,1151478,0.0,0.0
2013-05-17,2.44,2.46,2.29,2.29,1326102,0.0,0.0
2013-05-20,2.23,2.28,2.18,2.25,1792956,0.0,0.0
2013-05-21,2.18,2.21,2.14,2.18,464100,0.0,0.0
2013-05-22,2.2,2.33,2.15,2.2,1021122,0.0,0.0
2013-05-23,2.26,2.31,2.26,2.26,296922,0.0,0.0
2013-05-24,2.36,2.43,2.36,2.37,470832,0.0,0.0
2013-05-28,2.43,2.44,2.33,2.38,400146,0.0,0.0
2013-05-29,2.37,2.4,2.34,2.38,471342,0.0,0.0
2013-05-30,2.46,2.58,2.42,2.57,1400154,0.0,0.0
2013-05-31,2.55,2.88,2.55,2.84,1172184,0.0,0.0
2013-06-03,2.77,2.81,2.67,2.78,337722,0.0,0.0
2013-06-04,2.77,2.81,2.63,2.66,253674,0.0,0.0
2013-06-05,2.66,2.66,2.59,2.64,196452,0.0,0.0
2013-06-06,2.72,3.13,2.44,2.96,702474,0.0,0.0
2013-06-07,2.9,2.94,2.82,2.84,244494,0.0,0.0
2013-06-10,2.97,3.11,2.93,3.05,330888,0.0,0.0
2013-06-11,3.0,3.09,2.98,3.0,184212,0.0,0.0
2013-06-12,3.07,3.12,3.04,3.08,272340,0.0,0.0
2013-06-13,3.08,3.16,3.06,3.1,177684,0.0,0.0
2013-06-14,3.03,3.03,2.89,2.93,191250,0.0,0.0
2013-06-17,2.86,2.96,2.86,2.95,83742,0.0,0.0
2013-06-18,2.77,2.84,2.76,2.82,195432,0.0,0.0
2013-06-19,2.77,2.86,2.73,2.76,257448,0.0,0.0
2013-06-20,2.46,2.48,2.32,2.32,844356,0.0,0.0
2013-06-21,2.41,2.44,2.33,2.34,1393422,0.0,0.0
2013-06-24,2.34,2.37,2.31,2.31,429828,0.0,0.0
2013-06-25,2.28,2.33,2.21,2.31,359448,0.0,0.0
2013-06-26,2.24,2.24,2.06,2.08,409836,0.0,0.0
2013-06-27,2.15,2.18,2.09,2.16,460530,0.0,0.0
2013-06-28,2.11,2.31,2.11,2.31,321402,0.0,0.0
