Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-05,11.1,11.28,11.0,11.22,7143500,0,0
2021-02-08,11.26,11.39,11.11,11.25,633400,0,0
2021-02-09,11.15,11.45,11.08,11.2,179900,0,0
2021-02-10,11.2,11.28,11.1,11.15,167200,0,0
2021-02-11,11.16,11.27,10.93,11.01,696400,0,0
2021-02-12,11.0,11.04,10.98,11.0,183500,0,0
2021-02-16,11.18,11.18,11.0,11.09,192700,0,0
2021-02-17,11.16,11.2,11.15,11.18,140500,0,0
2021-02-18,11.05,11.14,11.0,11.04,217500,0,0
2021-02-19,11.06,11.19,11.04,11.05,399500,0,0
2021-02-22,11.08,11.08,10.94,10.95,39700,0,0
2021-02-23,10.9,11.0,10.71,10.94,280400,0,0
2021-02-24,10.97,10.97,10.82,10.86,177800,0,0
2021-02-25,10.93,10.93,10.5,10.65,169400,0,0
2021-02-26,10.69,10.7,10.47,10.5,254200,0,0
2021-03-01,10.6,10.7,10.5,10.58,135400,0,0
2021-03-02,10.51,10.6,10.25,10.34,211900,0,0
2021-03-03,10.35,10.43,10.1,10.33,196500,0,0
2021-03-04,10.34,10.34,10.06,10.06,305000,0,0
2021-03-05,10.06,10.26,10.0,10.25,220300,0,0
2021-03-08,10.27,10.27,10.04,10.04,171700,0,0
2021-03-09,10.1,10.22,10.09,10.15,818800,0,0
2021-03-10,10.1,10.16,10.06,10.09,68800,0,0
2021-03-11,10.1,10.26,10.1,10.23,156700,0,0
2021-03-12,10.1,10.17,10.05,10.17,46500,0,0
2021-03-15,10.12,10.12,10.06,10.07,294600,0,0
2021-03-16,10.09,10.09,10.02,10.03,234800,0,0
2021-03-17,10.03,10.03,10.0,10.0,131700,0,0
2021-03-18,10.06,10.06,9.98,10.01,93900,0,0
2021-03-19,10.05,10.07,9.97,9.98,27200,0,0
2021-03-22,10.0,10.0,9.98,9.98,16000,0,0
2021-03-23,9.97,9.98,9.92,9.94,170500,0,0
2021-03-24,9.9,9.95,9.9,9.95,157300,0,0
2021-03-25,9.82,9.98,9.74,9.98,74300,0,0
2021-03-26,9.94,10.15,9.93,10.0,42300,0,0
2021-03-29,9.93,10.0,9.89,9.98,21400,0,0
2021-03-30,9.88,9.96,9.88,9.95,299900,0,0
2021-03-31,9.91,10.0,9.87,9.95,79600,0,0
2021-04-01,9.99,10.08,9.88,10.0,267900,0,0
2021-04-05,10.02,10.02,9.95,10.01,205900,0,0
2021-04-06,10.08,10.14,9.99,10.05,224800,0,0
2021-04-07,10.11,10.14,10.1,10.1,26400,0,0
2021-04-08,10.14,10.23,10.08,10.2,85200,0,0
2021-04-09,10.15,10.2,10.14,10.2,15000,0,0
2021-04-12,10.15,10.24,10.15,10.24,237600,0,0
2021-04-13,10.3,10.3,10.22,10.25,16700,0,0
2021-04-14,10.2,10.38,10.14,10.26,80300,0,0
2021-04-15,10.2,10.24,10.2,10.24,5900,0,0
2021-04-16,10.23,10.25,10.23,10.25,14800,0,0
2021-04-19,10.18,10.23,10.1,10.19,13200,0,0
2021-04-20,10.11,10.21,10.1,10.12,7500,0,0
2021-04-21,10.04,10.13,9.99,9.99,665500,0,0
2021-04-22,10.06,10.15,10.06,10.12,34900,0,0
2021-04-23,10.12,10.19,10.11,10.19,43600,0,0
2021-04-26,10.19,10.19,10.19,10.19,0,0,0
2021-04-27,10.2,10.29,10.2,10.25,3600,0,0
2021-04-28,10.2,10.26,10.18,10.22,21800,0,0
2021-04-29,10.27,10.3,10.19,10.29,15800,0,0
2021-04-30,10.22,10.22,10.22,10.22,200,0,0
2021-05-03,10.23,10.23,10.17,10.22,22000,0,0
2021-05-04,10.16,10.2,10.15,10.19,4900,0,0
