Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-16,12.7,13.0,12.65,12.65,37000,0,0
2018-08-17,13.0,13.0,12.5,12.61,69000,0,0
2018-08-20,12.5,12.61,12.5,12.5,10600,0,0
2018-08-21,12.4,12.4,12.4,12.4,4000,0,0
2018-08-22,12.4,12.4,12.2,12.2,30900,0,0
2018-08-23,12.4,12.4,12.01,12.01,4400,0,0
2018-08-24,12.0,12.4,12.0,12.4,2400,0,0
2018-08-27,12.4,12.4,12.22,12.4,3900,0,0
2018-08-28,12.4,12.4,12.22,12.4,10800,0,0
2018-08-29,12.4,12.4,12.2,12.35,9900,0,0
2018-08-30,12.3,12.32,12.2,12.25,115200,0,0
2018-08-31,12.25,12.25,12.25,12.25,11700,0,0
2018-09-04,12.25,12.4,12.2,12.25,75900,0,0
2018-09-05,12.24,12.25,12.24,12.25,13500,0,0
2018-09-06,12.25,12.25,12.25,12.25,5800,0,0
2018-09-07,12.25,12.25,12.18,12.25,20500,0,0
2018-09-10,12.25,12.25,12.0,12.0,25600,0,0
2018-09-11,12.0,12.04,11.53,11.53,28300,0,0
2018-09-12,11.73,11.75,11.6,11.6,3400,0,0
2018-09-13,11.75,11.75,11.5,11.6,2100,0,0
2018-09-14,11.7,11.7,11.3,11.3,25700,0,0
2018-09-17,11.5,11.5,11.2,11.2,106600,0,0
2018-09-18,11.26,11.45,10.9,10.9,54600,0,0
2018-09-19,10.9,11.2,10.8,10.8,107700,0,0
2018-09-20,10.8,11.18,10.8,10.81,3600,0,0
2018-09-21,10.75,10.75,10.1,10.1,792700,0,0
2018-09-24,10.0,10.01,9.65,9.79,82300,0,0
2018-09-25,9.72,11.35,9.72,10.65,780300,0,0
2018-09-26,10.73,11.0,10.73,10.95,784300,0,0
2018-09-27,10.98,11.03,10.75,10.75,22900,0,0
2018-09-28,11.13,11.13,10.65,10.65,32700,0,0
2018-10-01,10.72,10.83,10.5,10.5,27100,0,0
2018-10-02,10.56,10.92,10.39,10.4,30300,0,0
2018-10-03,10.45,10.5,10.35,10.35,10700,0,0
2018-10-04,10.35,10.52,10.35,10.36,6600,0,0
2018-10-05,10.43,10.54,10.3,10.3,20700,0,0
2018-10-08,10.3,10.35,10.3,10.35,900,0,0
2018-10-09,10.37,10.49,10.25,10.26,7500,0,0
2018-10-10,10.67,10.67,10.25,10.25,6100,0,0
2018-10-11,10.25,10.55,10.2,10.2,7900,0,0
2018-10-12,10.32,10.65,10.32,10.64,1500,0,0
2018-10-15,10.47,10.65,10.47,10.5,1000,0,0
2018-10-16,10.58,10.58,9.9,9.9,25900,0,0
2018-10-17,10.65,10.65,10.0,10.01,3800,0,0
2018-10-18,10.01,10.01,10.01,10.01,0,0,0
2018-10-19,10.01,10.01,10.01,10.01,0,0,0
2018-10-22,10.08,10.19,10.08,10.12,1300,0,0
2018-10-23,10.12,10.12,10.12,10.12,0,0,0
2018-10-24,10.12,10.12,10.12,10.12,100,0,0
2018-10-25,10.0,10.0,9.9,9.9,1400,0,0
2018-10-26,9.9,10.0,9.65,9.8,8800,0,0
2018-10-29,9.9,9.9,9.45,9.45,6400,0,0
2018-10-30,9.47,9.9,9.35,9.41,10700,0,0
2018-10-31,9.47,9.47,9.15,9.15,23000,0,0
2018-11-01,9.15,9.19,9.15,9.15,9000,0,0
2018-11-02,9.16,9.23,9.14,9.15,6300,0,0
2018-11-05,9.1,9.15,8.95,8.95,14600,0,0
2018-11-06,8.95,8.99,8.9,8.9,4000,0,0
2018-11-07,8.9,9.47,8.85,9.32,10500,0,0
2018-11-08,8.8,9.46,8.6,8.6,15400,0,0
2018-11-09,8.65,8.69,8.6,8.65,10100,0,0
2018-11-12,8.6,8.68,8.55,8.6,22000,0,0
2018-11-13,8.5,8.69,8.5,8.6,2900,0,0
2018-11-14,8.45,8.59,8.45,8.45,7800,0,0
2018-11-15,8.32,8.66,8.32,8.45,5900,0,0
2018-11-16,8.4,8.48,8.4,8.44,1800,0,0
2018-11-19,8.41,8.41,8.05,8.22,19100,0,0
2018-11-20,8.22,8.22,7.95,8.01,6900,0,0
2018-11-21,8.01,8.01,8.01,8.01,100,0,0
2018-11-23,8.67,8.69,8.66,8.69,1000,0,0
2018-11-26,8.69,8.69,8.69,8.69,100,0,0
2018-11-27,8.69,8.69,8.69,8.69,100,0,0
2018-11-28,7.99,9.0,7.95,8.85,15500,0,0
2018-11-29,8.26,8.9,8.23,8.78,24400,0,0
2018-11-30,8.04,9.0,8.04,9.0,6400,0,0
2018-12-03,9.0,9.0,7.95,7.95,22300,0,0
2018-12-04,7.95,8.1,7.95,7.96,3100,0,0
2018-12-06,7.95,8.28,7.84,7.84,7500,0,0
2018-12-07,7.89,7.89,7.8,7.8,400,0,0
2018-12-10,8.0,8.44,7.82,7.89,36600,0,0
2018-12-11,8.0,8.01,7.85,7.85,54500,0,0
2018-12-12,8.02,8.23,7.96,8.05,54100,0,0
2018-12-13,8.15,8.15,7.91,8.0,41800,0,0
2018-12-14,7.87,8.39,7.76,7.96,49800,0,0
2018-12-17,7.83,8.02,7.65,7.65,94200,0,0
2018-12-18,7.77,7.95,7.55,7.6,39100,0,0
2018-12-19,7.55,7.84,7.05,7.06,35700,0,0
2018-12-20,7.1,7.11,6.0,6.0,176400,0,0
2018-12-21,6.49,6.49,5.94,6.0,697800,0,0
2018-12-24,6.0,6.42,6.0,6.0,19300,0,0
2018-12-26,6.07,6.22,6.0,6.04,21200,0,0
2018-12-27,6.04,6.05,5.94,6.03,76300,0,0
2018-12-28,6.01,6.63,6.0,6.61,120400,0,0
2018-12-31,6.61,7.54,6.59,7.52,94000,0,0
2019-01-02,7.52,7.92,7.52,7.92,5200,0,0
2019-01-03,7.67,7.67,7.33,7.53,1300,0,0
2019-01-04,7.89,7.89,7.34,7.7,8200,0,0
2019-01-07,7.7,7.95,7.33,7.89,20900,0,0
2019-01-08,7.89,7.89,7.3,7.58,30600,0,0
2019-01-09,7.5,7.9,7.5,7.5,9200,0,0
2019-01-10,7.53,7.91,7.51,7.91,19300,0,0
2019-01-11,7.75,7.75,7.3,7.3,3200,0,0
2019-01-14,7.35,7.78,7.3,7.75,15500,0,0
2019-01-15,7.72,7.92,7.5,7.9,10500,0,0
2019-01-16,7.91,8.3,7.7,7.84,26600,0,0
2019-01-17,7.87,8.11,7.75,8.1,31000,0,0
2019-01-18,8.16,8.16,7.8,8.02,28300,0,0
2019-01-22,8.0,8.0,7.75,7.96,19600,0,0
2019-01-23,7.97,8.0,7.76,7.84,4500,0,0
2019-01-24,7.76,8.05,7.75,8.05,20400,0,0
2019-01-25,8.05,8.08,7.75,7.77,24100,0,0
2019-01-28,7.89,8.1,7.78,7.85,16100,0,0
2019-01-29,7.86,8.19,7.67,7.67,30800,0,0
2019-01-30,7.7,7.9,7.65,7.66,2200,0,0
2019-01-31,7.65,7.89,7.65,7.71,3000,0,0
2019-02-01,7.82,7.82,7.65,7.65,400,0,0
2019-02-04,7.66,7.88,7.58,7.81,39700,0,0
2019-02-05,7.72,7.79,7.45,7.46,25500,0,0
2019-02-06,7.46,7.52,7.25,7.42,5300,0,0
2019-02-07,7.4,7.45,7.33,7.4,9700,0,0
2019-02-08,7.3,7.3,7.3,7.3,400,0,0
2019-02-11,7.39,9.35,7.39,8.02,1748200,0,0
2019-02-12,8.03,10.2,8.03,9.72,757600,0,0
2019-02-13,9.63,10.15,9.32,9.96,454500,0,0
2019-02-14,10.0,11.1,9.98,11.0,758700,0,0
2019-02-15,11.0,11.5,10.85,10.99,405700,0,0
2019-02-19,11.0,11.3,10.45,11.3,947300,0,0
2019-02-20,11.25,12.24,11.03,11.81,486900,0,0
2019-02-21,11.8,12.6,11.8,12.2,115400,0,0
2019-02-22,12.0,13.1,11.8,12.14,273500,0,0
2019-02-25,12.25,13.76,11.93,12.97,293700,0,0
2019-02-26,12.98,13.73,12.97,13.21,432500,0,0
2019-02-27,13.2,13.6,12.93,13.0,195400,0,0
2019-02-28,13.01,13.14,12.81,13.0,171700,0,0
2019-03-01,13.0,13.36,12.97,13.1,262300,0,0
2019-03-04,13.09,13.2,12.99,13.02,90700,0,0
2019-03-05,13.08,13.2,12.99,13.02,61200,0,0
2019-03-06,13.02,13.1,13.0,13.01,57300,0,0
2019-03-07,13.01,13.07,12.83,13.03,153300,0,0
2019-03-08,12.5,13.32,12.37,13.16,411300,0,0
2019-03-11,13.15,14.73,13.14,13.26,366700,0,0
2019-03-12,13.27,13.92,13.26,13.73,393900,0,0
2019-03-13,13.61,14.05,13.4,13.82,371400,0,0
2019-03-14,13.7,13.98,12.79,13.42,188900,0,0
2019-03-15,13.64,13.93,12.89,13.44,202700,0,0
2019-03-18,13.42,13.5,13.04,13.36,211800,0,0
2019-03-19,13.4,13.5,13.0,13.25,160200,0,0
2019-03-20,13.27,13.38,12.88,12.97,67600,0,0
2019-03-21,12.95,12.95,11.47,11.85,163900,0,0
2019-03-22,11.85,12.87,11.85,12.1,116800,0,0
2019-03-25,12.1,12.1,11.65,11.71,188200,0,0
2019-03-26,11.99,12.6,11.98,12.53,136100,0,0
2019-03-27,12.53,12.53,11.8,12.0,74600,0,0
2019-03-28,12.05,12.63,12.01,12.55,34700,0,0
2019-03-29,12.56,12.56,12.22,12.45,20600,0,0
2019-04-01,12.57,12.69,11.82,12.02,45800,0,0
2019-04-02,12.02,12.61,12.02,12.58,64800,0,0
2019-04-03,12.63,12.63,11.9,12.33,234500,0,0
2019-04-04,12.35,12.88,11.99,12.2,236400,0,0
2019-04-05,12.22,12.45,11.89,12.03,378600,0,0
2019-04-08,12.1,12.8,12.1,12.77,71900,0,0
2019-04-09,12.82,12.9,12.58,12.78,79200,0,0
2019-04-10,12.79,12.8,12.26,12.51,189700,0,0
2019-04-11,12.5,12.65,11.96,12.13,60200,0,0
2019-04-12,12.15,12.53,11.9,12.12,41300,0,0
2019-04-15,12.11,12.5,11.64,12.02,142500,0,0
2019-04-16,12.02,12.42,11.92,12.08,61600,0,0
2019-04-17,12.1,12.45,12.0,12.39,34600,0,0
2019-04-18,12.39,12.57,11.91,12.0,31000,0,0
2019-04-22,11.95,12.0,11.75,11.89,16300,0,0
2019-04-23,11.87,12.03,11.76,11.9,28300,0,0
2019-04-24,11.91,12.35,11.83,12.14,16400,0,0
2019-04-25,12.08,12.15,11.91,11.95,58500,0,0
2019-04-26,11.95,12.18,11.87,11.88,46600,0,0
2019-04-29,12.14,12.39,11.7,12.15,150400,0,0
2019-04-30,12.47,12.86,11.72,12.39,90100,0,0
2019-05-01,12.41,12.82,12.07,12.45,179600,0,0
2019-05-02,12.46,13.15,12.46,12.87,337800,0,0
2019-05-03,13.0,13.99,13.0,13.1,117600,0,0
2019-05-06,13.0,13.35,12.81,13.07,79800,0,0
2019-05-07,13.05,13.7,12.76,12.87,66800,0,0
2019-05-08,12.95,13.39,12.76,13.0,51800,0,0
2019-05-09,12.84,13.0,12.39,12.6,39700,0,0
2019-05-10,12.44,13.68,12.44,13.02,300000,0,0
2019-05-13,13.0,13.87,12.75,13.6,202200,0,0
2019-05-14,13.64,13.84,13.45,13.6,97100,0,0
2019-05-15,13.53,13.8,13.41,13.58,119800,0,0
2019-05-16,13.65,14.0,13.59,13.8,397800,0,0
2019-05-17,13.79,13.96,12.57,12.92,166200,0,0
2019-05-20,12.9,13.52,12.78,12.98,55200,0,0
2019-05-21,12.0,13.0,11.5,12.34,192600,0,0
2019-05-22,12.22,12.48,11.91,12.16,67800,0,0
2019-05-23,12.16,12.17,11.68,11.97,98800,0,0
2019-05-24,12.0,12.0,11.71,11.78,33700,0,0
2019-05-28,11.77,11.95,11.35,11.49,172700,0,0
2019-05-29,11.24,11.3,10.87,11.01,86200,0,0
2019-05-30,11.02,11.95,10.9,11.2,124700,0,0
2019-05-31,11.08,11.84,10.55,10.78,125000,0,0
2019-06-03,10.68,10.84,10.0,10.4,145300,0,0
2019-06-04,10.5,11.15,10.5,10.71,80800,0,0
2019-06-05,10.75,11.35,9.97,10.1,204400,0,0
2019-06-06,10.15,10.15,9.96,10.04,357300,0,0
2019-06-07,10.49,11.63,10.25,11.03,286200,0,0
2019-06-10,10.99,11.59,10.46,10.79,172700,0,0
2019-06-11,10.86,10.92,10.5,10.76,125500,0,0
2019-06-12,10.7,10.75,10.4,10.5,207800,0,0
2019-06-13,10.53,10.64,10.43,10.49,214200,0,0
2019-06-14,10.55,10.95,10.35,10.87,181600,0,0
2019-06-17,11.01,11.04,10.71,10.9,129000,0,0
2019-06-18,10.97,11.5,10.82,11.16,128100,0,0
2019-06-19,11.04,11.52,10.72,11.18,130200,0,0
2019-06-20,11.28,11.49,10.9,11.1,76900,0,0
2019-06-21,11.1,11.14,10.62,10.75,95600,0,0
2019-06-24,10.73,11.02,10.55,10.55,122900,0,0
2019-06-25,10.61,10.63,10.31,10.41,304000,0,0
2019-06-26,9.95,10.82,9.95,10.56,86900,0,0
2019-06-27,10.59,11.45,10.52,10.98,143600,0,0
2019-06-28,11.01,11.85,11.01,11.65,2679600,0,0
2019-07-01,11.62,12.01,11.62,11.98,288900,0,0
2019-07-02,11.99,12.0,11.42,11.75,138400,0,0
2019-07-03,11.78,12.01,11.51,11.96,69900,0,0
2019-07-05,11.89,12.0,11.66,11.91,122000,0,0
2019-07-08,11.83,12.01,11.75,11.94,71600,0,0
