Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-21,26.2,28.25,26.2,27.0,20369100,0,0
2020-05-22,26.7,27.34,25.7,26.5,3335400,0,0
2020-05-26,26.7,27.3,26.27,26.92,1764700,0,0
2020-05-27,26.92,27.49,25.28,27.48,1356300,0,0
2020-05-28,27.16,28.75,26.73,28.45,3340200,0,0
2020-05-29,28.05,28.25,27.51,27.52,1172400,0,0
2020-06-01,27.59,28.49,27.55,28.3,822400,0,0
2020-06-02,28.55,29.0,28.3,28.69,883400,0,0
2020-06-03,28.67,28.82,27.76,28.0,959400,0,0
2020-06-04,27.94,28.0,26.24,26.5,586700,0,0
2020-06-05,26.68,27.97,26.23,27.82,1065800,0,0
2020-06-08,27.71,27.73,26.81,26.95,359300,0,0
2020-06-09,26.67,27.4,26.55,27.0,537800,0,0
2020-06-10,26.92,27.19,26.37,26.85,511800,0,0
2020-06-11,26.18,26.69,25.81,26.46,747100,0,0
2020-06-12,27.0,27.55,26.51,27.47,455600,0,0
2020-06-15,27.75,28.72,27.12,28.44,996400,0,0
2020-06-16,28.75,28.75,27.02,27.26,452200,0,0
2020-06-17,27.32,27.75,26.76,26.82,269000,0,0
2020-06-18,26.68,27.09,26.27,26.35,391800,0,0
2020-06-19,26.37,26.85,25.32,25.68,753100,0,0
2020-06-22,25.69,26.49,25.32,25.57,650200,0,0
2020-06-23,25.92,26.04,25.33,25.62,716900,0,0
2020-06-24,25.42,25.61,24.52,25.27,956500,0,0
2020-06-25,25.29,26.29,24.8,26.19,624800,0,0
2020-06-26,26.02,26.02,25.25,25.59,639700,0,0
2020-06-29,25.5,25.97,24.99,25.37,550500,0,0
2020-06-30,25.32,25.79,25.23,25.33,598200,0,0
2020-07-01,25.26,25.32,24.4,24.89,829900,0,0
2020-07-02,25.12,25.56,24.99,25.37,524000,0,0
2020-07-06,25.51,25.91,25.41,25.64,723100,0,0
2020-07-07,25.75,26.55,25.02,25.08,812100,0,0
2020-07-08,25.08,25.98,25.08,25.78,437800,0,0
2020-07-09,26.0,26.0,24.41,24.45,475500,0,0
2020-07-10,24.24,24.88,22.75,24.04,2110700,0,0
2020-07-13,24.11,25.09,23.74,24.71,934500,0,0
2020-07-14,24.63,24.89,23.17,24.59,1140600,0,0
2020-07-15,24.89,25.85,21.81,23.31,2039600,0,0
2020-07-16,23.19,23.58,21.7,21.99,1090400,0,0
2020-07-17,22.0,22.36,21.76,21.9,683800,0,0
2020-07-20,22.02,22.84,21.5,22.77,862600,0,0
2020-07-21,22.9,23.44,21.51,21.66,1011900,0,0
2020-07-22,21.65,21.99,21.12,21.51,708200,0,0
2020-07-23,21.51,21.73,20.44,20.6,930700,0,0
2020-07-24,19.2,20.38,15.76,20.0,7508800,0,0
2020-07-27,19.51,19.95,18.4,19.76,998300,0,0
2020-07-28,19.78,19.84,18.06,18.12,1482000,0,0
2020-07-29,18.16,18.45,17.6,17.7,1210000,0,0
2020-07-30,17.8,18.35,17.72,17.93,880700,0,0
2020-07-31,17.98,18.57,17.39,17.89,642600,0,0
2020-08-03,17.95,19.15,17.89,19.03,831900,0,0
2020-08-04,19.15,19.5,18.84,19.2,445900,0,0
2020-08-05,19.21,19.5,18.77,18.97,696600,0,0
2020-08-06,18.97,19.35,18.82,19.02,813300,0,0
2020-08-07,19.21,20.51,19.06,20.43,842700,0,0
2020-08-10,20.59,21.47,20.59,21.17,609600,0,0
2020-08-11,21.22,21.34,19.3,19.36,918600,0,0
2020-08-12,19.5,20.18,19.15,19.19,565700,0,0
2020-08-13,19.15,20.16,19.06,20.0,664700,0,0
2020-08-14,20.25,20.84,19.77,19.78,588200,0,0
2020-08-17,19.95,20.77,19.78,20.44,648700,0,0
2020-08-18,20.6,20.81,19.76,19.93,902900,0,0
2020-08-19,20.13,20.81,19.73,20.45,1269900,0,0
2020-08-20,20.48,20.68,19.76,20.1,1493000,0,0
2020-08-21,20.15,20.27,19.31,19.78,1204900,0,0
2020-08-24,20.21,20.59,19.5,19.65,1403800,0,0
2020-08-25,19.66,19.98,17.92,18.05,1683400,0,0
2020-08-26,18.4,18.65,17.05,17.27,1534000,0,0
2020-08-27,17.49,18.24,17.1,17.46,1431800,0,0
2020-08-28,17.54,18.04,17.32,17.91,824100,0,0
2020-08-31,18.07,18.63,17.91,18.25,849000,0,0
2020-09-01,18.37,19.5,18.26,19.49,1704500,0,0
2020-09-02,19.8,20.74,19.5,20.56,1060900,0,0
2020-09-03,20.35,20.51,19.55,20.32,1210100,0,0
2020-09-04,20.34,20.56,18.74,19.45,2013300,0,0
2020-09-08,19.33,19.66,18.67,19.57,864000,0,0
2020-09-09,19.77,20.59,19.77,20.05,1729800,0,0
2020-09-10,23.55,24.3,22.3,22.34,4338600,0,0
2020-09-11,22.92,22.92,21.52,22.24,1284700,0,0
2020-09-14,22.46,23.96,22.28,23.5,1618000,0,0
2020-09-15,23.64,23.83,22.15,22.45,1433900,0,0
2020-09-16,22.62,23.1,22.41,22.59,1104800,0,0
2020-09-17,22.21,22.76,21.9,22.27,1095200,0,0
2020-09-18,22.05,22.45,21.1,21.35,6358800,0,0
2020-09-21,21.0,21.1,19.92,20.85,985400,0,0
2020-09-22,20.92,21.28,20.63,21.19,615600,0,0
2020-09-23,21.1,21.92,20.46,20.5,978400,0,0
2020-09-24,20.45,20.45,19.31,19.43,1029800,0,0
2020-09-25,19.48,19.85,19.37,19.67,993300,0,0
2020-09-28,19.8,20.21,19.46,19.51,754700,0,0
2020-09-29,19.53,20.4,19.25,20.27,1019800,0,0
2020-09-30,20.38,20.79,19.88,20.25,903800,0,0
2020-10-01,20.19,20.69,19.79,20.55,1225500,0,0
2020-10-02,19.34,21.05,19.22,21.0,546600,0,0
2020-10-05,21.22,21.45,20.12,20.42,931400,0,0
2020-10-06,20.62,21.19,18.77,19.05,1926200,0,0
2020-10-07,19.21,19.85,19.21,19.83,1016500,0,0
2020-10-08,20.02,20.26,19.54,19.59,653200,0,0
2020-10-09,19.64,19.85,19.27,19.62,432900,0,0
2020-10-12,19.7,20.0,19.34,19.58,670600,0,0
2020-10-13,19.58,19.58,19.07,19.42,615500,0,0
2020-10-14,19.4,19.8,19.2,19.38,643300,0,0
2020-10-15,19.12,19.35,18.99,19.34,496200,0,0
2020-10-16,19.31,19.65,19.19,19.55,320700,0,0
2020-10-19,19.64,19.68,18.8,18.89,710700,0,0
2020-10-20,18.98,19.34,18.74,18.92,489600,0,0
2020-10-21,19.01,19.07,18.61,18.73,538300,0,0
2020-10-22,18.81,18.95,18.45,18.84,366100,0,0
2020-10-23,18.74,19.0,17.57,17.97,1323100,0,0
2020-10-26,17.73,18.17,17.73,17.93,794700,0,0
2020-10-27,17.85,18.1,17.74,17.98,852000,0,0
2020-10-28,17.64,17.92,17.2,17.75,583400,0,0
2020-10-29,17.83,18.0,17.36,17.66,495600,0,0
2020-10-30,17.64,17.72,16.75,17.22,906500,0,0
2020-11-02,17.44,17.51,16.79,16.85,741300,0,0
2020-11-03,16.92,18.07,16.69,18.02,916400,0,0
2020-11-04,18.19,18.96,17.75,18.77,788800,0,0
2020-11-05,19.07,19.42,18.53,19.19,1136200,0,0
2020-11-06,19.11,20.38,18.5,20.19,1767300,0,0
2020-11-09,20.5,20.9,19.67,19.7,1170600,0,0
2020-11-10,19.7,20.77,19.44,20.75,1351200,0,0
2020-11-11,20.89,21.28,19.93,20.66,1776000,0,0
2020-11-12,20.25,20.32,18.88,19.02,1255900,0,0
2020-11-13,19.16,19.78,18.55,19.7,1452500,0,0
