Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-16,245.0,319.0,231.11,253.93,36099700,0,0
2020-09-17,230.76,241.5,215.24,227.54,11907500,0,0
2020-09-18,235.0,249.0,218.59,240.0,7475400,0,0
2020-09-21,230.0,241.5,218.6,228.85,5524900,0,0
2020-09-22,238.5,239.0,225.15,235.16,3889100,0,0
2020-09-23,243.5,254.8,213.0,217.39,5851900,0,0
2020-09-24,213.51,230.95,208.55,226.74,4822000,0,0
2020-09-25,228.12,236.26,227.9,229.0,1985500,0,0
2020-09-28,235.93,253.0,235.93,250.41,4241900,0,0
2020-09-29,255.0,259.7,246.03,259.13,5290600,0,0
2020-09-30,261.5,278.26,243.05,251.0,5418900,0,0
2020-10-01,255.25,255.91,238.0,243.46,3977400,0,0
2020-10-02,232.44,243.12,227.0,227.1,2726200,0,0
2020-10-05,231.97,243.43,231.2,240.0,2362100,0,0
2020-10-06,244.18,247.99,239.0,245.1,1572800,0,0
2020-10-07,245.5,252.36,245.29,246.0,1682800,0,0
2020-10-08,250.0,250.0,239.99,240.19,1343800,0,0
2020-10-09,242.0,243.7,235.47,238.0,1728000,0,0
2020-10-12,250.32,251.5,243.0,243.97,3138900,0,0
2020-10-13,247.0,250.5,245.27,249.61,1462400,0,0
2020-10-14,251.99,252.0,239.0,243.18,1711800,0,0
2020-10-15,236.03,241.35,231.46,241.0,1843600,0,0
2020-10-16,242.0,245.99,241.59,242.52,1016000,0,0
2020-10-19,245.0,249.86,243.0,246.78,1535100,0,0
2020-10-20,247.0,252.5,243.3,251.77,1734300,0,0
2020-10-21,251.65,271.29,250.35,270.61,3359500,0,0
2020-10-22,269.01,301.0,263.0,297.09,5192800,0,0
2020-10-23,290.34,294.0,262.24,265.05,5619300,0,0
2020-10-26,266.07,271.0,244.63,251.39,4040100,0,0
2020-10-27,254.89,273.0,253.99,266.77,3492900,0,0
2020-10-28,258.5,272.53,254.01,272.44,2094300,0,0
2020-10-29,273.8,276.22,264.16,265.88,1146900,0,0
2020-10-30,261.03,262.63,241.5,250.02,2397600,0,0
2020-11-02,254.1,260.83,247.0,252.23,1301000,0,0
2020-11-03,256.0,264.54,254.05,262.13,1376400,0,0
2020-11-04,270.79,274.87,262.2,263.91,1394700,0,0
2020-11-05,271.48,271.69,258.9,263.21,1272500,0,0
2020-11-06,263.44,270.0,259.2,265.0,986800,0,0
2020-11-09,263.99,265.95,239.0,239.84,2965900,0,0
2020-11-10,249.65,249.94,229.98,235.68,2266800,0,0
2020-11-11,241.71,246.89,237.5,240.76,1442400,0,0
2020-11-12,243.8,244.2,232.16,235.38,1741200,0,0
2020-11-13,237.11,241.62,232.3,234.8,1487700,0,0
2020-11-16,234.0,244.18,230.25,241.85,1799500,0,0
2020-11-17,245.0,251.56,243.73,248.03,1629600,0,0
2020-11-18,253.0,262.27,250.74,260.54,2202300,0,0
2020-11-19,259.21,268.57,253.25,264.0,1592100,0,0
2020-11-20,269.0,273.17,264.0,266.0,1592000,0,0
2020-11-23,267.1,274.15,259.1,274.15,1347600,0,0
2020-11-24,275.1,283.39,267.49,282.1,1730600,0,0
2020-11-25,277.78,309.77,277.3,303.02,2912100,0,0
2020-11-27,310.0,334.62,309.73,328.79,3293800,0,0
2020-11-30,338.38,342.0,312.13,325.84,3550400,0,0
2020-12-01,321.63,326.0,302.28,305.64,2659300,0,0
2020-12-02,293.79,306.74,288.0,292.69,3575300,0,0
2020-12-03,290.54,343.0,289.0,339.89,11102600,0,0
2020-12-04,335.4,395.8,334.0,387.7,18611700,0,0
2020-12-07,393.5,404.43,371.0,388.96,8134900,0,0
2020-12-08,388.8,429.0,386.25,390.0,11511700,0,0
2020-12-09,393.4,406.99,361.01,371.26,8980200,0,0
2020-12-10,362.0,390.07,360.61,373.28,4906300,0,0
2020-12-11,360.4,369.1,347.26,353.96,6362600,0,0
2020-12-14,352.49,357.98,327.16,329.15,6977100,0,0
2020-12-15,308.98,329.0,303.54,328.61,20379200,0,0
2020-12-16,328.43,338.89,320.09,329.97,6427700,0,0
2020-12-17,333.82,337.1,323.49,325.54,3717100,0,0
2020-12-18,332.77,346.88,324.88,334.25,8116000,0,0
2020-12-21,329.0,350.0,329.0,349.85,5879500,0,0
2020-12-22,349.89,359.55,338.01,341.16,4685200,0,0
2020-12-23,341.16,343.4,328.26,331.65,2745800,0,0
2020-12-24,334.1,338.0,321.3,323.04,2191200,0,0
2020-12-28,324.87,327.79,302.67,302.81,4756600,0,0
2020-12-29,305.25,314.41,298.13,304.05,4827400,0,0
2020-12-30,304.0,307.35,297.75,300.92,2631200,0,0
2020-12-31,299.7,301.56,280.73,281.4,5296600,0,0
2021-01-04,285.41,290.8,274.44,278.24,3948500,0,0
2021-01-05,280.62,293.49,279.3,283.83,5202600,0,0
2021-01-06,279.99,283.64,266.41,268.02,5736800,0,0
2021-01-07,272.59,304.9,267.7,304.2,16546600,0,0
2021-01-08,315.0,325.72,298.0,300.1,9106800,0,0
2021-01-11,295.0,312.17,287.99,293.19,4524700,0,0
2021-01-12,298.0,299.66,286.21,293.35,3256700,0,0
2021-01-13,295.0,306.86,294.15,296.55,2867900,0,0
