Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-04-28,7.24,7.41,7.16,7.29,105500,0.0,0
2011-04-29,7.25,7.29,6.99,7.26,245000,0.0,0
2011-05-02,7.26,7.26,7.01,7.17,28000,0.0,0
2011-05-03,7.07,7.18,7.04,7.1,27000,0.0,0
2011-05-04,7.04,7.06,6.59,6.88,46800,0.0,0
2011-05-05,6.76,6.83,6.59,6.65,26000,0.0,0
2011-05-06,6.74,7.09,6.51,6.84,40000,0.0,0
2011-05-09,6.99,7.11,6.84,6.87,11400,0.0,0
2011-05-10,6.99,6.99,6.56,6.7,11000,0.0,0
2011-05-11,6.75,6.99,6.56,6.64,13000,0.0,0
2011-05-12,6.97,6.97,6.6,6.61,10300,0.0,0
2011-05-13,6.73,6.73,6.49,6.69,8300,0.0,0
2011-05-16,6.89,6.89,6.71,6.78,14000,0.0,0
2011-05-17,6.77,6.86,6.51,6.59,26700,0.0,0
2011-05-18,6.68,6.68,6.47,6.65,24600,0.0,0
2011-05-19,6.91,6.91,6.54,6.64,79800,0.0,0
2011-05-20,6.59,6.72,6.54,6.63,20800,0.0,0
2011-05-23,6.72,6.72,6.49,6.57,49300,0.0,0
2011-05-24,6.64,6.81,6.48,6.73,53000,0.0,0
2011-05-25,6.76,7.24,6.71,6.85,119100,0.0,0
2011-05-26,6.89,6.94,6.8,6.81,22900,0.0,0
2011-05-27,6.81,6.91,6.65,6.83,24400,0.0,0
2011-05-31,6.95,6.95,6.64,6.75,12200,0.0,0
2011-06-01,6.77,6.81,6.64,6.68,9700,0.0,0
2011-06-02,6.87,6.87,6.62,6.62,9100,0.0,0
2011-06-03,6.74,6.75,6.58,6.72,4500,0.0,0
2011-06-06,6.61,6.85,6.59,6.71,10700,0.0,0
2011-06-07,6.61,6.72,6.61,6.72,4000,0.0,0
2011-06-08,6.61,6.72,6.47,6.64,10600,0.0,0
2011-06-09,6.63,6.8,6.37,6.42,23400,0.0,0
2011-06-10,6.43,6.69,6.08,6.23,27200,0.0,0
2011-06-13,6.24,6.38,5.25,5.71,56600,0.0,0
2011-06-14,5.99,5.99,5.59,5.94,12200,0.0,0
2011-06-15,5.74,5.84,5.71,5.84,9200,0.0,0
2011-06-16,5.92,6.0,4.99,5.24,40400,0.0,0
2011-06-17,5.73,5.73,5.19,5.49,9000,0.0,0
2011-06-20,5.36,5.73,4.87,5.53,35000,0.0,0
2011-06-21,5.71,5.71,5.23,5.44,19600,0.0,0
2011-06-22,5.67,5.67,5.33,5.45,3000,0.0,0
2011-06-23,5.53,5.58,5.16,5.47,9500,0.0,0
2011-06-24,5.21,5.6,5.1,5.12,17100,0.0,0
2011-06-27,6.21,7.66,6.09,7.27,505900,0.0,0
2011-06-28,7.61,7.61,6.66,6.94,312000,0.0,0
2011-06-29,7.02,7.45,6.84,7.29,178800,0.0,0
2011-06-30,7.43,7.43,6.87,6.95,106000,0.0,0
2011-07-01,6.79,7.34,6.76,7.17,76800,0.0,0
2011-07-05,7.39,7.47,7.12,7.24,73400,0.0,0
2011-07-06,7.23,7.4,7.09,7.18,74900,0.0,0
2011-07-07,7.36,7.36,7.15,7.34,63600,0.0,0
2011-07-08,7.36,8.2,7.24,8.08,459000,0.0,0
2011-07-11,8.31,9.27,8.02,8.99,1057000,0.0,0
2011-07-12,9.23,9.33,8.7,8.91,675900,0.0,0
2011-07-13,9.03,9.4,8.54,8.63,536100,0.0,0
2011-07-14,8.92,9.12,8.62,8.97,351800,0.0,0
2011-07-15,9.15,9.43,8.81,9.43,330300,0.0,0
2011-07-18,9.33,9.9,9.23,9.74,436500,0.0,0
2011-07-19,9.9,9.96,8.07,8.68,1241800,0.0,0
2011-07-20,8.67,9.21,8.49,8.91,261300,0.0,0
2011-07-21,8.96,8.96,8.54,8.81,136400,0.0,0
2011-07-22,8.72,8.75,8.44,8.58,139800,0.0,0
2011-07-25,8.45,8.9,8.26,8.5,160800,0.0,0
2011-07-26,8.41,8.73,8.34,8.48,110600,0.0,0
2011-07-27,8.38,8.41,8.13,8.32,74500,0.0,0
2011-07-28,8.33,8.6,7.75,7.86,132700,0.0,0
2011-07-29,7.74,8.12,7.48,8.07,238800,0.0,0
2011-08-01,8.26,8.28,7.74,7.98,70500,0.0,0
2011-08-02,8.07,8.07,7.74,7.9,53600,0.0,0
2011-08-03,7.86,7.95,7.29,7.92,128100,0.0,0
2011-08-04,7.83,7.96,7.11,7.38,161500,0.0,0
2011-08-05,7.34,7.47,6.56,6.88,205600,0.0,0
2011-08-08,6.57,6.87,6.03,6.29,137100,0.0,0
2011-08-09,6.33,8.11,6.03,7.71,254400,0.0,0
2011-08-10,7.46,7.83,7.11,7.53,85900,0.0,0
2011-08-11,7.36,7.95,6.88,7.69,45100,0.0,0
2011-08-12,7.62,7.78,7.51,7.61,28400,0.0,0
2011-08-15,7.5,7.83,7.39,7.54,26600,0.0,0
2011-08-16,7.36,8.21,7.26,7.69,90800,0.0,0
2011-08-17,7.82,7.94,7.32,7.57,52000,0.0,0
2011-08-18,7.36,7.36,7.08,7.19,46300,0.0,0
2011-08-19,7.11,7.46,6.74,7.33,38500,0.0,0
2011-08-22,7.46,7.46,6.92,7.02,42300,0.0,0
2011-08-23,7.19,7.28,6.71,6.97,67600,0.0,0
2011-08-24,6.98,7.1,6.98,7.03,17500,0.0,0
2011-08-25,7.16,8.21,6.85,8.0,224000,0.0,0
2011-08-26,7.87,8.55,7.78,8.43,190300,0.0,0
2011-08-29,8.49,8.61,8.03,8.21,107700,0.0,0
2011-08-30,8.02,8.39,7.87,8.15,52900,0.0,0
