Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-16,24.69,25.83,23.17,24.94,9321800,0.0,0
2020-09-17,22.67,27.09,22.67,24.69,1288800,0.0,0
2020-09-18,24.94,25.92,24.44,24.94,879900,0.0,0
2020-09-21,24.44,25.34,23.67,24.36,509100,0.0,0
2020-09-22,24.6,28.21,23.52,26.72,2245300,0.0,0
2020-09-23,25.97,26.61,24.73,25.82,381900,0.0,0
2020-09-24,25.53,25.72,24.68,25.1,419000,0.0,0
2020-09-25,24.88,25.18,24.5,24.94,147000,0.0,0
2020-09-28,24.99,27.85,24.87,26.43,286500,0.0,0
2020-09-29,26.24,27.88,25.11,25.5,305800,0.0,0
2020-09-30,25.37,26.69,24.61,26.55,117500,0.0,0
2020-10-01,26.23,26.56,25.24,25.75,187400,0.0,0
2020-10-02,25.15,25.9,24.82,25.35,835800,0.0,0
2020-10-05,25.34,26.28,24.83,25.52,230100,0.0,0
2020-10-06,25.55,25.65,24.76,25.31,355600,0.0,0
2020-10-07,25.65,26.06,25.01,25.48,176400,0.0,0
2020-10-08,25.41,26.48,25.24,26.44,181600,0.0,0
2020-10-09,26.5,27.51,26.45,27.01,139400,0.0,0
2020-10-12,27.04,27.04,25.82,26.15,390900,0.0,0
2020-10-13,25.92,25.97,24.71,25.12,220500,0.0,0
2020-10-14,25.07,25.88,25.05,25.27,114200,0.0,0
2020-10-15,25.09,26.18,25.09,25.73,91200,0.0,0
2020-10-16,25.65,26.33,25.3,26.19,139600,0.0,0
2020-10-19,26.06,27.04,24.94,26.72,183000,0.0,0
2020-10-20,26.69,27.33,26.69,26.82,146100,0.0,0
2020-10-21,26.96,26.96,25.79,26.56,56300,0.0,0
2020-10-22,26.46,27.22,26.3,26.94,174900,0.0,0
2020-10-23,26.88,27.09,26.03,26.49,373200,0.0,0
2020-10-26,26.29,26.47,25.84,25.97,83300,0.0,0
2020-10-27,26.04,26.63,25.59,25.86,216800,0.0,0
2020-10-28,25.51,25.79,24.89,25.34,140800,0.0,0
2020-10-29,25.29,26.04,24.88,25.04,178100,0.0,0
2020-10-30,25.25,26.0,24.42,25.65,306100,0.0,0
2020-11-02,25.91,27.1,24.83,25.99,195300,0.0,0
2020-11-03,26.29,27.65,26.04,27.02,172000,0.0,0
2020-11-04,26.76,28.95,26.76,28.06,257500,0.0,0
2020-11-05,28.3,29.51,27.47,28.05,250600,0.0,0
2020-11-06,28.06,28.69,27.48,27.62,160600,0.0,0
2020-11-09,28.5,28.7,26.58,28.24,353200,0.0,0
2020-11-10,27.91,29.06,27.38,28.44,201000,0.0,0
2020-11-11,28.17,29.93,27.75,28.67,176100,0.0,0
2020-11-12,28.76,29.83,27.95,28.94,252100,0.0,0
2020-11-13,29.32,29.84,28.7,29.26,174400,0.0,0
2020-11-16,29.79,30.92,28.45,28.81,342000,0.0,0
2020-11-17,28.55,29.04,27.15,27.54,254400,0.0,0
2020-11-18,27.51,28.75,27.08,27.23,171900,0.0,0
2020-11-19,27.24,27.69,25.86,26.0,275500,0.0,0
2020-11-20,25.92,26.86,25.29,25.36,303600,0.0,0
2020-11-23,25.5,26.44,25.13,25.47,514800,0.0,0
2020-11-24,25.73,26.82,25.34,25.75,144300,0.0,0
2020-11-25,25.76,26.53,25.34,26.35,68300,0.0,0
2020-11-27,26.6,27.07,25.8,26.24,76000,0.0,0
2020-11-30,26.21,27.36,25.99,27.06,303900,0.0,0
2020-12-01,26.97,29.21,26.95,27.39,253500,0.0,0
2020-12-02,27.26,28.38,26.34,27.57,155700,0.0,0
2020-12-03,27.68,29.17,27.39,28.75,195400,0.0,0
2020-12-04,28.95,29.76,28.61,29.59,596500,0.0,0
2020-12-07,29.6,32.47,29.6,29.95,464300,0.0,0
2020-12-08,30.13,31.19,29.5,29.92,571100,0.0,0
2020-12-09,29.89,32.17,29.11,31.4,438400,0.0,0
2020-12-10,31.26,32.91,30.64,32.27,212100,0.0,0
2020-12-11,32.07,33.73,31.41,32.43,323200,0.0,0
2020-12-14,32.8,34.34,32.48,33.29,488300,0.0,0
2020-12-15,33.55,34.1,31.02,31.93,279000,0.0,0
2020-12-16,32.15,32.5,30.65,32.15,296700,0.0,0
2020-12-17,32.39,33.6,31.58,33.04,421300,0.0,0
2020-12-18,33.42,35.67,31.87,34.23,3511300,0.0,0
2020-12-21,33.97,35.01,32.68,34.72,600900,0.0,0
2020-12-22,35.02,36.58,34.33,36.16,374700,0.0,0
2020-12-23,36.72,37.79,36.25,36.71,189100,0.0,0
2020-12-24,36.35,37.24,36.35,36.8,41100,0.0,0
2020-12-28,36.88,38.3,35.75,38.01,238400,0.0,0
2020-12-29,38.33,38.41,37.42,38.22,194300,0.0,0
2020-12-30,38.2,39.98,38.06,39.63,183700,0.0,0
2020-12-31,39.43,40.89,39.24,39.71,262200,0.0,0
2021-01-04,40.15,40.15,36.24,38.15,379700,0.0,0
2021-01-05,38.1,38.47,36.94,37.03,157700,0.0,0
2021-01-06,36.84,37.51,35.74,36.55,137700,0.0,0
2021-01-07,36.72,36.89,34.53,35.92,289200,0.0,0
2021-01-08,36.0,36.8,35.22,36.52,190300,0.0,0
