Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-06-24,5.41,5.66,5.41,5.66,13900,0.0,0.0
2002-06-25,5.74,5.74,5.66,5.74,5700,0.0,0.0
2002-06-26,5.49,5.74,5.41,5.66,13500,0.0,0.0
2002-06-27,5.58,5.73,5.44,5.73,10800,0.0,0.0
2002-06-28,5.44,5.73,5.44,5.55,12900,0.0,0.0
2002-07-01,5.46,5.73,5.46,5.73,1400,0.0,0.0
2002-07-02,5.73,5.73,5.46,5.46,800,0.0,0.0
2002-07-03,5.46,5.46,5.46,5.46,0,0.0,0.0
2002-07-05,5.46,5.46,5.46,5.46,0,0.0,0.0
2002-07-08,5.73,5.73,5.46,5.71,6200,0.0,0.0
2002-07-09,5.71,5.71,5.71,5.71,0,0.0,0.0
2002-07-10,5.66,5.73,5.46,5.73,6900,0.0,0.0
2002-07-11,5.47,5.66,5.47,5.49,11500,0.0,0.0
2002-07-12,5.49,5.49,5.49,5.49,0,0.0,0.0
2002-07-15,5.61,5.61,5.49,5.49,3800,0.0,0.0
2002-07-16,5.49,5.49,5.49,5.49,0,0.0,0.0
2002-07-17,5.49,5.49,5.49,5.49,0,0.0,0.0
2002-07-18,5.61,5.61,5.61,5.61,800,0.0,0.0
2002-07-19,5.49,5.58,5.49,5.58,1400,0.0,0.0
2002-07-22,5.49,5.49,5.49,5.49,4800,0.0,0.0
2002-07-23,5.49,5.61,5.49,5.61,2600,0.0,0.0
2002-07-24,5.56,5.56,5.51,5.51,3000,0.0,0.0
2002-07-25,5.52,5.52,5.52,5.52,200,0.0,0.0
2002-07-26,5.52,5.52,5.52,5.52,1200,0.0,0.0
2002-07-29,5.52,5.54,5.52,5.54,6700,0.0,0.0
2002-07-30,5.52,5.53,5.52,5.53,800,0.0,0.0
2002-07-31,5.53,5.53,5.53,5.53,0,0.0,0.0
2002-08-01,5.49,5.49,5.39,5.41,14500,0.0,0.0
2002-08-02,5.49,5.49,5.37,5.37,22000,0.0,0.0
2002-08-05,5.37,5.42,5.37,5.42,3800,0.0,0.0
2002-08-06,5.42,5.42,5.42,5.42,0,0.0,0.0
2002-08-07,5.42,5.42,5.42,5.42,1200,0.0,0.0
2002-08-08,5.37,5.37,5.33,5.37,1400,0.0,0.0
2002-08-09,5.47,5.47,5.47,5.47,2400,0.0,0.0
2002-08-12,5.47,5.47,5.47,5.47,7200,0.0,0.0
2002-08-13,5.47,5.47,5.47,5.47,0,0.0,0.0
2002-08-14,5.47,5.47,5.34,5.34,2400,0.0,0.0
2002-08-15,5.37,5.37,5.33,5.33,2600,0.0,0.0
2002-08-16,5.33,5.33,5.33,5.33,0,0.0,0.0
2002-08-19,5.33,5.33,5.33,5.33,0,0.0,0.0
2002-08-20,5.44,5.44,5.44,5.44,400,0.0,0.0
2002-08-21,5.44,5.44,5.44,5.44,1200,0.0,0.0
2002-08-22,5.34,5.44,5.1,5.37,39100,0.0,0.0
2002-08-23,5.08,5.32,5.0,5.0,63500,0.0,0.0
2002-08-26,5.32,5.32,5.32,5.32,16100,0.0,0.0
2002-08-27,5.32,5.32,5.32,5.32,4800,0.0,0.0
2002-08-28,5.1,5.32,5.0,5.32,10300,0.0,0.0
2002-08-29,5.32,5.32,5.24,5.24,3000,0.0,0.0
2002-08-30,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-03,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-04,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-05,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-06,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-09,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-10,5.24,5.24,5.24,5.24,0,0.0,0.0
2002-09-11,5.24,5.24,5.24,5.24,400,0.0,0.0
2002-09-12,5.24,5.24,5.15,5.15,6000,0.0,0.0
2002-09-13,5.24,5.24,5.24,5.24,200,0.0,0.0
2002-09-16,5.24,5.24,5.12,5.12,800,0.0,0.0
2002-09-17,5.15,5.15,4.95,5.13,6900,0.0,0.0
2002-09-18,5.15,5.15,4.98,5.15,25800,0.0,0.0
2002-09-19,5.15,5.15,5.15,5.15,0,0.0,0.0
2002-09-20,4.98,4.98,4.98,4.98,600,0.0,0.0
2002-09-23,4.98,4.98,4.98,4.98,400,0.0,0.0
2002-09-24,4.98,5.02,4.98,5.02,5500,0.0,0.0
2002-09-25,5.07,5.07,5.07,5.07,200,0.0,0.0
2002-09-26,5.07,5.07,5.07,5.07,600,0.0,0.0
2002-09-27,5.07,5.07,5.07,5.07,0,0.0,0.0
2002-09-30,5.07,5.07,5.07,5.07,0,0.0,0.0
2002-10-01,4.98,4.98,4.98,4.98,1800,0.0,0.0
2002-10-02,4.98,5.07,4.98,5.07,4500,0.0,0.0
2002-10-03,5.07,5.07,5.07,5.07,0,0.0,0.0
2002-10-04,5.04,5.04,5.04,5.04,2400,0.0,0.0
2002-10-07,5.04,5.04,5.04,5.04,0,0.0,0.0
2002-10-08,5.02,5.07,4.98,5.07,14100,0.0,0.0
2002-10-09,5.07,5.07,4.98,4.98,3300,0.0,0.0
2002-10-10,5.15,5.15,5.07,5.15,8400,0.0,0.0
2002-10-11,5.17,5.17,5.17,5.17,600,0.02479,0.0
2002-10-14,5.17,5.17,5.17,5.17,0,0.0,0.0
2002-10-15,5.17,5.17,5.17,5.17,0,0.0,0.0
2002-10-16,5.17,5.17,5.17,5.17,0,0.0,0.0
2002-10-17,5.2,5.2,5.14,5.14,5500,0.0,0.0
2002-10-18,5.14,5.14,5.14,5.14,0,0.0,0.0
2002-10-21,5.21,5.21,5.14,5.14,7200,0.0,0.0
2002-10-22,5.14,5.14,5.14,5.14,0,0.0,0.0
2002-10-23,5.21,5.21,5.14,5.14,3000,0.0,0.0
2002-10-24,5.2,5.26,5.16,5.16,12300,0.0,0.0
2002-10-25,5.31,5.31,5.31,5.31,200,0.0,0.0
2002-10-28,5.32,5.34,5.16,5.34,4200,0.0,0.0
2002-10-29,5.34,5.34,5.34,5.34,0,0.0,0.0
2002-10-30,5.16,5.16,5.16,5.16,2400,0.0,0.0
2002-10-31,5.31,5.31,5.31,5.31,400,0.0,0.0
2002-11-01,5.4,5.4,5.34,5.34,1400,0.0,0.0
2002-11-04,5.34,5.34,5.34,5.34,1400,0.0,0.0
2002-11-05,5.34,5.34,5.34,5.34,1200,0.0,0.0
2002-11-06,5.34,5.34,5.34,5.34,0,0.0,0.0
2002-11-07,5.34,5.34,5.34,5.34,0,0.0,0.0
2002-11-08,5.27,5.38,5.27,5.3,2000,0.0,0.0
2002-11-11,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-12,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-13,5.3,5.3,5.3,5.3,1200,0.0,0.0
2002-11-14,5.3,5.3,5.3,5.3,1200,0.0,0.0
2002-11-15,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-18,5.3,5.3,5.3,5.3,600,0.0,0.0
2002-11-19,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-20,5.3,5.3,5.3,5.3,1600,0.0,0.0
2002-11-21,5.3,5.3,5.3,5.3,400,0.0,0.0
2002-11-22,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-25,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-26,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-11-27,5.3,5.3,5.3,5.3,1400,0.0,0.0
2002-11-29,5.3,5.3,5.3,5.3,0,0.0,0.0
2002-12-02,5.28,5.34,5.28,5.34,7200,0.0,0.0
2002-12-03,5.34,5.34,5.34,5.34,0,0.0,0.0
2002-12-04,5.34,5.36,5.34,5.36,6200,0.0,0.0
2002-12-05,5.35,5.35,5.35,5.35,200,0.0,0.0
2002-12-06,5.29,5.36,5.29,5.36,5500,0.0,0.0
2002-12-09,5.36,5.36,5.36,5.36,0,0.0,0.0
2002-12-10,5.36,5.36,5.36,5.36,0,0.0,0.0
2002-12-11,5.32,5.32,5.32,5.32,200,0.0,0.0
2002-12-12,5.35,5.37,5.35,5.37,1400,0.0,0.0
2002-12-13,5.38,5.38,5.38,5.38,200,0.0,0.0
2002-12-16,5.38,5.38,5.38,5.38,0,0.0,0.0
