Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-31,5.98,5.98,5.81,5.82,50800,0.0,0
2001-08-01,5.74,5.86,5.74,5.86,19000,0.0,0
2001-08-02,5.86,5.95,5.83,5.9,26000,0.0,0
2001-08-03,5.91,5.93,5.83,5.93,17700,0.0,0
2001-08-06,5.93,5.93,5.92,5.92,2600,0.0,0
2001-08-07,5.9,5.99,5.88,5.99,24900,0.0,0
2001-08-08,5.99,6.01,5.94,5.95,17600,0.0,0
2001-08-09,5.95,5.99,5.95,5.96,11400,0.0,0
2001-08-10,5.97,5.97,5.72,5.72,37200,0.0,0
2001-08-13,5.72,5.86,5.72,5.78,9300,0.0,0
2001-08-14,5.81,5.86,5.71,5.71,10600,0.0,0
2001-08-15,5.74,5.77,5.56,5.65,17600,0.0,0
2001-08-16,5.66,5.92,5.66,5.83,19400,0.0,0
2001-08-17,5.81,5.81,5.72,5.74,8700,0.0,0
2001-08-20,5.74,5.85,5.74,5.81,3200,0.0,0
2001-08-21,5.79,5.79,5.67,5.67,7800,0.0,0
2001-08-22,5.71,5.87,5.71,5.87,8600,0.0,0
2001-08-23,5.88,5.95,5.88,5.95,10200,0.0,0
2001-08-24,5.95,5.98,5.95,5.95,9800,0.0,0
2001-08-27,5.9,5.9,5.84,5.86,1500,0.0,0
2001-08-28,5.86,5.86,5.86,5.86,1100,0.0,0
2001-08-29,5.9,5.91,5.89,5.91,3400,0.25,0
2001-08-30,5.92,5.92,5.92,5.92,500,0.0,0
2001-08-31,5.96,5.96,5.83,5.83,2600,0.0,0
2001-09-04,5.89,5.91,5.81,5.81,10700,0.0,0
2001-09-05,5.83,5.83,5.75,5.78,3700,0.0,0
2001-09-06,5.73,5.73,5.47,5.47,10200,0.0,0
2001-09-07,5.42,5.42,5.24,5.33,8300,0.0,0
2001-09-10,5.33,5.46,5.33,5.43,4600,0.0,0
2001-09-17,5.27,5.46,5.27,5.44,3900,0.0,0
2001-09-18,5.47,5.55,5.47,5.51,2800,0.0,0
2001-09-19,5.46,5.46,5.4,5.4,2300,0.0,0
2001-09-20,5.37,5.48,5.27,5.35,13400,0.0,0
2001-09-21,5.61,5.7,5.44,5.48,11500,0.0,0
2001-09-24,5.46,5.46,5.42,5.42,1100,0.0,0
2001-09-25,5.42,5.42,5.28,5.28,4000,0.0,0
2001-09-26,5.27,5.27,4.87,5.01,18600,0.0,0
2001-09-27,5.01,5.01,4.77,4.82,11100,0.0,0
2001-09-28,4.83,5.11,4.83,5.0,16500,0.0,0
2001-10-01,5.04,5.06,5.0,5.06,2800,0.0,0
2001-10-02,5.08,5.22,5.08,5.22,3700,0.0,0
2001-10-03,5.18,5.34,5.18,5.27,10300,0.0,0
2001-10-04,5.24,5.24,5.11,5.11,5400,0.0,0
2001-10-05,5.11,5.16,5.11,5.16,1100,0.0,0
2001-10-08,5.16,5.18,5.16,5.18,500,0.0,0
2001-10-09,5.16,5.3,5.16,5.27,3100,0.0,0
2001-10-10,5.3,5.41,5.28,5.29,9500,0.0,0
2001-10-11,5.37,5.37,5.36,5.36,400,0.0,0
2001-10-12,5.36,5.36,5.16,5.18,7900,0.0,0
2001-10-15,5.2,5.29,5.15,5.15,5600,0.0,0
2001-10-16,5.17,5.21,5.08,5.12,6400,0.0,0
2001-10-17,5.13,5.2,5.13,5.16,5100,0.0,0
2001-10-18,5.13,5.13,5.06,5.06,6000,0.0,0
2001-10-19,5.07,5.14,5.06,5.14,2500,0.0,0
2001-10-22,5.15,5.29,5.15,5.29,3300,0.0,0
2001-10-23,5.3,5.42,5.3,5.42,4700,0.0,0
2001-10-24,5.42,5.42,5.3,5.3,4800,0.0,0
2001-10-25,5.32,5.32,5.32,5.32,600,0.0,0
2001-10-26,5.29,5.29,5.22,5.22,6700,0.0,0
2001-10-29,5.18,5.19,5.15,5.18,2100,0.0,0
2001-10-30,5.2,5.28,5.2,5.28,7400,0.0,0
2001-10-31,5.3,5.3,5.26,5.26,700,0.0,0
2001-11-01,5.26,5.26,5.09,5.09,9100,0.0,0
2001-11-02,5.15,5.15,5.07,5.12,5100,0.0,0
2001-11-05,5.1,5.11,5.07,5.08,2900,0.0,0
2001-11-06,5.1,5.1,5.07,5.09,2800,0.0,0
2001-11-07,5.11,5.11,5.04,5.05,3700,0.0,0
2001-11-08,5.05,5.14,5.05,5.14,6900,0.0,0
2001-11-09,5.18,5.22,5.17,5.19,8500,0.0,0
2001-11-12,5.22,5.26,5.15,5.26,5500,0.0,0
2001-11-13,5.29,5.33,5.26,5.26,10400,0.0,0
2001-11-14,5.26,5.31,5.26,5.26,2100,0.0,0
2001-11-15,5.24,5.31,5.21,5.3,4600,0.0,0
2001-11-16,5.29,5.29,5.29,5.29,500,0.0,0
2001-11-19,5.31,5.35,5.31,5.35,5200,0.0,0
2001-11-20,5.33,5.37,5.32,5.35,3500,0.0,0
2001-11-21,5.34,5.34,5.26,5.27,2400,0.0,0
2001-11-23,5.3,5.4,5.3,5.4,1500,0.0,0
2001-11-26,5.43,5.5,5.43,5.47,4000,0.0,0
2001-11-27,5.48,5.52,5.48,5.52,1900,0.0,0
2001-11-28,5.53,5.58,5.49,5.51,2700,0.25,0
2001-11-29,5.36,5.36,5.32,5.32,2200,0.0,0
2001-11-30,5.24,5.26,5.16,5.17,14700,0.0,0
2001-12-03,5.2,5.29,5.2,5.23,14600,0.0,0
2001-12-04,5.27,5.32,5.26,5.32,3000,0.0,0
2001-12-05,5.33,5.42,5.31,5.31,900,0.0,0
2001-12-06,5.29,5.29,5.21,5.21,1500,0.0,0
2001-12-07,5.21,5.21,5.09,5.13,2400,0.0,0
2001-12-10,5.13,5.14,5.07,5.07,2600,0.0,0
2001-12-11,5.07,5.1,4.95,4.95,6800,0.0,0
2001-12-12,5.03,5.09,4.99,4.99,5900,0.0,0
2001-12-13,5.01,5.01,4.95,4.95,1200,0.0,0
2001-12-14,4.93,4.94,4.79,4.92,12500,0.0,0
2001-12-17,4.96,5.01,4.93,4.98,5500,0.0,0
2001-12-18,4.99,5.11,4.99,5.09,7200,0.0,0
2001-12-19,5.07,5.11,5.02,5.09,3300,0.0,0
2001-12-20,5.12,5.21,5.05,5.07,9600,0.0,0
2001-12-21,5.07,5.08,5.01,5.04,6900,0.0,0
2001-12-24,5.04,5.04,5.04,5.04,0,0.0,0
2001-12-26,5.01,5.05,5.01,5.05,1100,0.0,0
2001-12-27,5.06,5.07,5.05,5.07,900,0.0,0
2001-12-28,5.08,5.12,5.08,5.1,6100,0.0,0
2001-12-31,5.07,5.14,5.02,5.14,12700,0.0,0
2002-01-02,5.1,5.1,5.02,5.03,3700,0.0,0
2002-01-03,5.04,5.11,5.04,5.11,6500,0.0,0
2002-01-04,5.12,5.18,5.09,5.09,5100,0.0,0
2002-01-07,5.08,5.11,5.08,5.11,1200,0.0,0
2002-01-08,5.13,5.19,5.13,5.18,5700,0.0,0
2002-01-09,5.14,5.33,5.14,5.27,9500,0.0,0
2002-01-10,5.25,5.31,5.2,5.31,7700,0.0,0
2002-01-11,5.32,5.36,5.27,5.27,2000,0.0,0
2002-01-14,5.27,5.27,5.14,5.15,5500,0.0,0
2002-01-15,5.18,5.18,5.08,5.09,7400,0.0,0
2002-01-16,5.08,5.08,4.98,4.98,14600,0.0,0
2002-01-17,4.96,4.96,4.93,4.94,2800,0.0,0
2002-01-18,4.94,4.99,4.94,4.98,4800,0.0,0
2002-01-22,5.12,5.12,4.99,4.99,7700,0.0,0
2002-01-23,4.99,5.04,4.99,5.03,2400,0.0,0
2002-01-24,5.05,5.06,4.98,4.98,3700,0.0,0
2002-01-25,4.95,4.95,4.89,4.89,2600,0.0,0
2002-01-28,4.9,4.92,4.87,4.91,6400,0.0,0
2002-01-29,4.93,5.05,4.93,4.94,14600,0.0,0
2002-01-30,4.95,4.96,4.93,4.95,1900,0.0,0
2002-01-31,4.94,4.94,4.86,4.89,4500,0.0,0
2002-02-01,4.88,4.91,4.86,4.91,4700,0.0,0
2002-02-04,4.93,4.93,4.81,4.82,6500,0.0,0
2002-02-05,4.8,4.8,4.77,4.77,2900,0.0,0
2002-02-06,4.77,4.84,4.71,4.8,6300,0.0,0
2002-02-07,4.81,4.93,4.81,4.93,8100,0.0,0
2002-02-08,4.95,5.01,4.95,4.97,3100,0.0,0
2002-02-11,5.01,5.09,5.01,5.09,2500,0.0,0
2002-02-12,5.09,5.15,5.09,5.15,1800,0.0,0
2002-02-13,5.14,5.15,5.13,5.13,1300,0.0,0
2002-02-14,5.13,5.13,5.09,5.09,1900,0.0,0
2002-02-15,5.1,5.15,5.1,5.15,8400,0.0,0
2002-02-19,5.18,5.2,5.08,5.12,4700,0.0,0
2002-02-20,5.11,5.11,5.1,5.11,1400,0.0,0
2002-02-21,5.08,5.08,5.02,5.02,1800,0.0,0
2002-02-22,5.02,5.02,4.9,4.9,6100,0.0,0
2002-02-25,4.93,5.07,4.86,5.07,8000,0.0,0
2002-02-26,5.07,5.09,5.07,5.09,800,0.0,0
2002-02-27,5.12,5.18,5.09,5.18,2400,0.157,0
2002-02-28,5.19,5.21,5.15,5.15,2700,0.0,0
2002-03-01,5.14,5.31,5.14,5.31,1900,0.0,0
2002-03-04,5.33,5.36,5.33,5.34,1400,0.0,0
2002-03-05,5.35,5.35,5.26,5.26,2800,0.0,0
2002-03-06,5.28,5.43,5.28,5.4,4100,0.0,0
2002-03-07,5.42,5.48,5.42,5.48,2300,0.0,0
2002-03-08,5.45,5.46,5.25,5.26,10000,0.0,0
2002-03-11,5.28,5.34,5.28,5.33,5000,0.0,0
2002-03-12,5.34,5.35,5.3,5.32,1900,0.0,0
2002-03-13,5.31,5.33,5.3,5.33,2000,0.0,0
2002-03-14,5.33,5.37,5.33,5.35,1300,0.0,0
2002-03-15,5.34,5.41,5.34,5.4,2300,0.0,0
2002-03-18,5.39,5.41,5.37,5.41,1500,0.0,0
2002-03-19,5.42,5.45,5.42,5.45,900,0.0,0
2002-03-20,5.43,5.47,5.41,5.46,4700,0.0,0
2002-03-21,5.46,5.46,5.43,5.43,2100,0.0,0
2002-03-22,5.44,5.48,5.41,5.48,5200,0.0,0
2002-03-25,5.46,5.46,5.39,5.39,3000,0.0,0
2002-03-26,5.37,5.37,5.26,5.26,5200,0.0,0
2002-03-27,5.27,5.28,5.27,5.28,2900,0.0,0
2002-03-28,5.28,5.28,5.26,5.27,3900,0.0,0
2002-04-01,5.26,5.26,5.18,5.18,7300,0.0,0
2002-04-02,5.17,5.18,5.15,5.15,5700,0.0,0
2002-04-03,5.18,5.25,5.18,5.22,4100,0.0,0
2002-04-04,5.18,5.18,4.99,5.05,11000,0.0,0
2002-04-05,5.07,5.11,5.03,5.06,3400,0.0,0
2002-04-08,5.07,5.07,5.01,5.01,5500,0.0,0
2002-04-09,5.02,5.06,4.96,5.06,5200,0.0,0
2002-04-10,5.07,5.08,5.06,5.06,1900,0.0,0
2002-04-11,5.09,5.14,5.08,5.08,4100,0.0,0
2002-04-12,5.07,5.25,5.06,5.23,11000,0.0,0
2002-04-15,5.22,5.23,5.21,5.23,3500,0.0,0
2002-04-16,5.23,5.26,5.21,5.23,5300,0.0,0
2002-04-17,5.22,5.33,5.21,5.3,4400,0.0,0
2002-04-18,5.28,5.29,5.11,5.13,10900,0.0,0
2002-04-19,5.11,5.25,5.11,5.25,13500,0.0,0
2002-04-22,5.24,5.24,5.22,5.23,1700,0.0,0
2002-04-23,5.24,5.28,5.24,5.28,5100,0.0,0
2002-04-24,5.28,5.35,5.28,5.35,2200,0.0,0
2002-04-25,5.35,5.52,5.35,5.5,10400,0.0,0
2002-04-26,5.49,5.49,5.34,5.35,8000,0.0,0
2002-04-29,5.38,5.39,5.27,5.27,11600,0.0,0
2002-04-30,5.29,5.42,5.29,5.4,3900,0.0,0
2002-05-01,5.4,5.52,5.4,5.52,4000,0.0,0
2002-05-02,5.51,5.51,5.4,5.44,3500,0.0,0
2002-05-03,5.44,5.47,5.42,5.44,4200,0.0,0
2002-05-06,5.41,5.51,5.41,5.51,3200,0.0,0
2002-05-07,5.51,5.53,5.5,5.53,1200,0.0,0
2002-05-08,5.54,5.6,5.54,5.59,8100,0.0,0
2002-05-09,5.59,5.61,5.59,5.59,3400,0.0,0
2002-05-10,5.59,5.75,5.59,5.74,5100,0.0,0
2002-05-13,5.74,5.76,5.7,5.76,7400,0.0,0
2002-05-14,5.74,5.8,5.74,5.77,12900,0.0,0
2002-05-15,5.75,5.75,5.62,5.62,16600,0.0,0
2002-05-16,5.62,5.69,5.58,5.63,16100,0.0,0
2002-05-17,5.63,5.68,5.61,5.61,6700,0.0,0
2002-05-20,5.6,5.61,5.6,5.6,900,0.0,0
2002-05-21,5.6,5.66,5.6,5.65,3800,0.0,0
2002-05-22,5.66,5.71,5.66,5.71,5000,0.0,0
2002-05-23,5.7,5.76,5.69,5.74,7600,0.0,0
2002-05-24,5.71,5.71,5.63,5.64,7200,0.0,0
2002-05-28,5.63,5.64,5.62,5.64,6200,0.0,0
2002-05-29,5.67,5.69,5.61,5.61,4000,0.25,0
2002-05-30,5.57,5.57,5.35,5.36,19600,0.0,0
2002-05-31,5.19,5.4,5.19,5.36,21800,0.0,0
2002-06-03,5.33,5.33,5.14,5.23,19900,0.0,0
2002-06-04,5.22,5.23,5.17,5.23,8200,0.0,0
2002-06-05,5.22,5.22,5.15,5.18,6100,0.0,0
2002-06-06,5.18,5.28,5.18,5.28,6200,0.0,0
2002-06-07,5.28,5.37,5.28,5.28,11600,0.0,0
2002-06-10,5.29,5.3,5.25,5.26,6100,0.0,0
2002-06-11,5.26,5.29,5.23,5.23,7700,0.0,0
2002-06-12,5.23,5.24,5.18,5.19,4500,0.0,0
2002-06-13,5.19,5.24,5.19,5.19,5300,0.0,0
2002-06-14,5.18,5.18,5.13,5.15,4800,0.0,0
2002-06-17,5.15,5.15,5.13,5.13,3600,0.0,0
2002-06-18,5.15,5.15,5.06,5.06,3500,0.0,0
2002-06-19,5.06,5.09,5.0,5.01,5400,0.0,0
2002-06-20,5.04,5.16,5.04,5.16,4200,0.0,0
2002-06-21,5.14,5.15,5.12,5.15,2900,0.0,0
2002-06-24,5.14,5.15,5.12,5.12,3900,0.0,0
2002-06-25,5.12,5.12,5.07,5.12,4900,0.0,0
2002-06-26,5.12,5.14,5.08,5.14,5200,0.0,0
2002-06-27,5.15,5.15,5.09,5.12,4300,0.0,0
2002-06-28,5.12,5.15,5.09,5.13,6900,0.0,0
2002-07-01,5.13,5.13,5.13,5.13,500,0.0,0
2002-07-02,5.12,5.16,5.08,5.16,2500,0.0,0
2002-07-03,5.16,5.25,5.13,5.25,10500,0.0,0
2002-07-05,5.26,5.26,5.22,5.26,2400,0.0,0
2002-07-08,5.27,5.29,5.17,5.18,4100,0.0,0
2002-07-09,5.21,5.25,5.2,5.22,4000,0.0,0
2002-07-10,5.22,5.22,5.15,5.15,4600,0.0,0
2002-07-11,5.13,5.13,5.11,5.12,2400,0.0,0
2002-07-12,5.13,5.13,5.02,5.02,5000,0.0,0
2002-07-15,4.98,5.06,4.9,4.97,11400,0.0,0
2002-07-16,4.94,5.06,4.94,5.06,6900,0.0,0
2002-07-17,5.05,5.05,4.98,4.99,5200,0.0,0
2002-07-18,4.99,5.08,4.95,4.95,5700,0.0,0
2002-07-19,4.94,4.94,4.78,4.78,9400,0.0,0
2002-07-22,4.74,4.74,4.61,4.62,13400,0.0,0
2002-07-23,4.63,4.65,4.51,4.57,8500,0.0,0
2002-07-24,4.58,4.63,4.57,4.62,10500,0.0,0
2002-07-25,4.6,4.62,4.44,4.54,13100,0.0,0
2002-07-26,4.5,4.5,4.4,4.44,7900,0.0,0
2002-07-29,4.47,4.6,4.47,4.55,6400,0.0,0
2002-07-30,4.54,4.58,4.53,4.56,6300,0.0,0
2002-07-31,4.57,4.64,4.57,4.62,6700,0.0,0
2002-08-01,4.63,4.65,4.6,4.6,16400,0.0,0
2002-08-02,4.63,4.63,4.51,4.51,7400,0.0,0
2002-08-05,4.5,4.5,4.5,4.5,300,0.0,0
2002-08-06,4.48,4.95,4.48,4.9,15800,0.0,0
2002-08-07,4.88,4.93,4.81,4.86,7600,0.0,0
2002-08-08,4.83,4.83,4.72,4.81,6200,0.0,0
2002-08-09,4.79,4.9,4.77,4.89,9500,0.0,0
2002-08-12,4.88,4.88,4.79,4.79,10900,0.0,0
2002-08-13,4.8,4.85,4.75,4.83,7100,0.0,0
2002-08-14,4.83,4.9,4.8,4.9,4300,0.0,0
2002-08-15,4.91,4.97,4.9,4.9,7900,0.0,0
2002-08-16,4.9,4.97,4.89,4.92,2900,0.0,0
2002-08-19,4.92,4.98,4.92,4.92,9200,0.0,0
2002-08-20,4.93,4.98,4.93,4.95,3500,0.0,0
2002-08-21,4.93,5.02,4.92,4.99,3000,0.0,0
2002-08-22,5.01,5.04,5.01,5.03,3600,0.0,0
2002-08-23,5.0,5.05,4.92,4.92,4800,0.0,0
2002-08-26,4.95,4.98,4.88,4.98,5900,0.0,0
2002-08-27,4.98,5.03,4.88,4.92,6500,0.0,0
2002-08-28,4.98,4.98,4.89,4.97,4900,0.25,0
2002-08-29,4.98,5.01,4.98,4.98,900,0.0,0
2002-08-30,4.98,4.98,4.98,4.98,0,0.0,0
2002-09-03,4.94,4.94,4.82,4.89,14300,0.0,0
2002-09-04,4.92,4.93,4.88,4.91,6000,0.0,0
2002-09-05,4.92,4.92,4.91,4.92,1900,0.0,0
2002-09-06,4.9,4.95,4.84,4.85,2700,0.0,0
2002-09-09,4.85,4.89,4.8,4.89,3900,0.0,0
2002-09-10,4.87,4.92,4.84,4.92,2200,0.0,0
2002-09-11,4.91,4.93,4.9,4.93,3800,0.0,0
2002-09-12,4.9,4.9,4.87,4.87,2000,0.0,0
2002-09-13,4.86,4.89,4.7,4.75,2300,0.0,0
2002-09-16,4.77,4.78,4.75,4.78,1300,0.0,0
2002-09-17,4.79,4.83,4.78,4.82,8800,0.0,0
2002-09-18,4.82,4.82,4.81,4.81,300,0.0,0
2002-09-19,4.77,4.77,4.77,4.77,200,0.0,0
2002-09-20,4.77,4.82,4.77,4.82,900,0.0,0
2002-09-23,4.77,4.85,4.75,4.81,2600,0.0,0
2002-09-24,4.79,4.88,4.79,4.88,1800,0.0,0
2002-09-25,4.87,4.88,4.8,4.8,800,0.0,0
2002-09-26,4.8,4.8,4.72,4.72,1500,0.0,0
2002-09-27,4.68,4.68,4.61,4.62,2100,0.0,0
2002-09-30,4.59,4.65,4.59,4.65,1300,0.0,0
2002-10-01,4.63,4.63,4.61,4.62,700,0.0,0
2002-10-02,4.62,4.68,4.59,4.59,1000,0.0,0
2002-10-03,4.58,4.62,4.58,4.62,1100,0.0,0
2002-10-04,4.61,4.61,4.57,4.57,900,0.0,0
2002-10-07,4.58,4.62,4.58,4.59,5000,0.0,0
2002-10-08,4.59,4.61,4.57,4.61,5700,0.0,0
2002-10-09,4.61,4.61,4.37,4.42,7400,0.0,0
2002-10-10,4.4,4.43,4.18,4.36,12300,0.0,0
2002-10-11,4.39,4.44,4.28,4.28,6700,0.0,0
2002-10-14,4.28,4.28,4.26,4.28,4300,0.0,0
2002-10-15,4.36,4.53,4.36,4.48,2300,0.0,0
2002-10-16,4.45,4.45,4.38,4.4,9100,0.0,0
2002-10-17,4.55,4.57,4.45,4.52,5900,0.0,0
2002-10-18,4.55,4.62,4.55,4.61,600,0.0,0
2002-10-21,4.61,4.68,4.6,4.68,1500,0.0,0
